t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00064,0.00000,0.46168,1.00000,0.00000,-0.00196,0.00000,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0,0.04900,0.01900,0.0288,0.0288,0.013398,0.067548,3.2850,-0.0003,27.8717,-0.4918,0.2767,32.6831,3.2850,0.0003,27.8717,-0.4918,-0.2767,32.6831,-0.044990,-0.000057,27.8734,0.007182,-0.002494,32.6831,-0.044990,0.000057,27.8734,0.007182,0.002494,32.6831,-0.00011,0.00009,-0.54856,1.10723,-0.55428,0.00051,0.00011,-0.00009,-0.54856,1.10723,-0.55428,-0.00051,0.00018,-0.00042,0.00018,-0.00042,0.00011,-0.00061,-0.48390,-1.90368,-0.98005,0.00035,-0.00011,0.00061,-0.48390,-1.90368,-0.98005,-0.00035,-0.07239,-0.00683,-0.07239,-0.00683,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00069,0.00000,0.46173,1.00000,0.00000,-0.00204,-0.00000,0.00851,0.00000,0.30058,0.30051,0.00392,0.00000,2,0.03442,0,0.04900,0.01900,0.1793,0.1793,-0.035262,0.069916,2.0680,-0.0002,29.0678,3.1712,0.0254,29.4834,2.0680,0.0012,29.0674,3.1712,-0.0254,29.4834,-0.026808,-0.000094,29.0688,-0.041476,-0.000132,29.4834,-0.026809,0.000081,29.0684,-0.041476,0.000132,29.4834,-0.00011,0.00009,-0.54867,1.10767,-0.55455,0.00045,0.00011,-0.00009,-0.54867,1.10767,-0.55455,-0.00045,0.00017,-0.00040,0.00017,-0.00040,-0.00004,-0.00220,-0.32940,-1.69573,-0.61624,0.00106,0.00004,0.00231,-0.32941,-1.69571,-0.61624,-0.00071,-0.04637,-0.00358,-0.04637,-0.00358,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00072,0.00000,0.46176,1.00000,0.00000,-0.00208,-0.00000,0.00849,0.00000,0.30063,0.30051,0.00407,0.00000,2,0.03448,0,0.04900,0.01900,0.1123,0.1123,-0.018925,0.069893,1.2734,0.0008,29.8676,2.0509,0.0250,30.4406,1.2734,0.0027,29.8660,2.0509,-0.0242,30.4402,-0.015908,-0.000126,29.8681,-0.025136,-0.000153,30.4406,-0.015909,0.000079,29.8665,-0.025136,0.000141,30.4402,-0.00010,0.00010,-0.54886,1.10826,-0.55497,0.00038,0.00010,-0.00010,-0.54886,1.10826,-0.55497,-0.00038,0.00015,-0.00037,0.00015,-0.00037,-0.00014,-0.00305,-0.22935,-1.56507,-0.38141,0.00188,0.00014,0.00346,-0.22938,-1.56501,-0.38143,-0.00061,-0.03020,-0.00163,-0.03020,-0.00163,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00074,0.00000,0.46179,1.00000,0.00000,-0.00210,-0.00000,0.00847,0.00000,0.30067,0.30051,0.00416,0.00000,2,0.03454,0,0.04900,0.01900,0.0702,0.0702,-0.008939,0.069871,0.7638,0.0024,30.4096,1.3083,0.0252,31.0742,0.7638,0.0047,30.4060,1.3083,-0.0223,31.0726,-0.009223,-0.000154,30.4098,-0.015146,-0.000173,31.0742,-0.009226,0.000062,30.4062,-0.015147,0.000131,31.0726,-0.00010,0.00011,-0.54909,1.10888,-0.55542,0.00031,0.00010,-0.00011,-0.54909,1.10888,-0.55542,-0.00031,0.00013,-0.00033,0.00013,-0.00033,-0.00019,-0.00342,-0.16368,-1.48270,-0.22911,0.00278,0.00019,0.00426,-0.16375,-1.48255,-0.22915,-0.00021,-0.02010,-0.00049,-0.02010,-0.00049,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00075,0.00000,0.46180,1.00000,0.00000,-0.00211,-0.00000,0.00846,0.00000,0.30071,0.30051,0.00421,0.00001,2,0.03459,0,0.04900,0.01900,0.0441,0.0441,-0.002753,0.069852,0.4379,0.0046,30.7843,0.8334,0.0249,31.4961,0.4379,0.0070,30.7778,0.8334,-0.0191,31.4925,-0.005048,-0.000181,30.7843,-0.008957,-0.000192,31.4961,-0.005051,0.000036,30.7778,-0.008959,0.000107,31.4925,-0.00010,0.00011,-0.54934,1.10947,-0.55584,0.00024,0.00010,-0.00012,-0.54934,1.10947,-0.55584,-0.00024,0.00010,-0.00030,0.00010,-0.00030,-0.00021,-0.00344,-0.11987,-1.43042,-0.12936,0.00372,0.00021,0.00480,-0.11999,-1.43015,-0.12943,0.00040,-0.01381,0.00013,-0.01381,0.00013,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00075,0.00000,0.46182,1.00000,0.00000,-0.00210,-0.00000,0.00846,0.00000,0.30073,0.30051,0.00422,0.00001,2,0.03463,0,0.04900,0.01900,0.0278,0.0278,0.001147,0.069834,0.2296,0.0070,31.0480,0.5294,0.0251,31.7849,0.2296,0.0094,31.0378,0.5294,-0.0159,31.7785,-0.002399,-0.000205,31.0480,-0.005054,-0.000210,31.7849,-0.002404,0.000002,31.0378,-0.005058,0.000075,31.7785,-0.00010,0.00012,-0.54960,1.10998,-0.55619,0.00019,0.00010,-0.00012,-0.54960,1.10998,-0.55619,-0.00017,0.00008,-0.00026,0.00008,-0.00026,-0.00021,-0.00320,-0.09007,-1.39682,-0.06324,0.00468,0.00021,0.00516,-0.09025,-1.39640,-0.06336,0.00116,-0.00990,0.00044,-0.00990,0.00044,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00075,0.00000,0.46183,1.00000,0.00000,-0.00207,-0.00000,0.00846,0.00000,0.30075,0.30051,0.00419,0.00002,2,0.03467,0,0.04900,0.01900,0.0174,0.0174,0.003646,0.069815,0.0970,0.0096,31.2369,0.3337,0.0258,31.9851,0.0970,0.0120,31.2220,0.3337,-0.0127,31.9749,-0.000698,-0.000229,31.2369,-0.002554,-0.000228,31.9851,-0.000704,-0.000035,31.2220,-0.002559,0.000040,31.9749,-0.00010,0.00012,-0.54985,1.11040,-0.55646,0.00014,0.00010,-0.00013,-0.54985,1.11040,-0.55646,-0.00012,0.00006,-0.00023,0.00006,-0.00023,-0.00020,-0.00279,-0.06937,-1.37484,-0.01886,0.00564,0.00020,0.00541,-0.06963,-1.37423,-0.01903,0.00202,-0.00746,0.00056,-0.00746,0.00056,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00074,0.00000,0.46184,1.00000,0.00000,-0.00204,-0.00000,0.00846,0.00000,0.30077,0.30051,0.00415,0.00002,2,0.03470,0,0.04900,0.01900,0.0108,0.0108,0.005270,0.069795,0.0134,0.0124,31.3753,0.2074,0.0268,32.1246,0.0134,0.0147,31.3548,0.2074,-0.0096,32.1098,0.000409,-0.000254,31.3753,-0.000930,-0.000248,32.1246,0.000402,-0.000074,31.3548,-0.000935,0.000002,32.1098,-0.00010,0.00013,-0.55010,1.11074,-0.55665,0.00010,0.00010,-0.00014,-0.55010,1.11074,-0.55665,-0.00006,0.00005,-0.00019,0.00005,-0.00019,-0.00019,-0.00228,-0.05464,-1.36010,0.01135,0.00662,0.00018,0.00562,-0.05500,-1.35926,0.01111,0.00295,-0.00594,0.00058,-0.00594,0.00058,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00073,0.00000,0.46185,1.00000,0.00000,-0.00200,-0.00000,0.00846,0.00000,0.30079,0.30051,0.00408,0.00003,2,0.03472,0,0.04900,0.01900,0.0067,0.0065,0.006341,0.069773,-0.0387,0.0152,31.4797,0.1258,0.0280,32.2225,-0.0387,0.0174,31.4527,0.1258,-0.0065,32.2022,0.001139,-0.000279,31.4797,0.000142,-0.000269,32.2225,0.001130,-0.000114,31.4527,0.000135,-0.000037,32.2022,-0.00010,0.00013,-0.55033,1.11100,-0.55678,0.00007,0.00010,-0.00014,-0.55033,1.11100,-0.55678,-0.00002,0.00003,-0.00016,0.00003,-0.00016,-0.00017,-0.00172,-0.04388,-1.34992,0.03224,0.00760,0.00016,0.00583,-0.04437,-1.34880,0.03192,0.00392,-0.00497,0.00055,-0.00497,0.00055,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00072,0.00000,0.46186,1.00000,0.00000,-0.00196,-0.00000,0.00846,0.00000,0.30080,0.30051,0.00400,0.00004,2,0.03474,0,0.04900,0.01900,0.0041,0.0038,0.007059,0.069751,-0.0704,0.0180,31.5615,0.0732,0.0293,32.2917,-0.0704,0.0202,31.5270,0.0732,-0.0035,32.2650,0.001628,-0.000305,31.5615,0.000860,-0.000292,32.2917,0.001617,-0.000155,31.5270,0.000851,-0.000076,32.2650,-0.00010,0.00013,-0.55056,1.11119,-0.55684,0.00005,0.00010,-0.00015,-0.55056,1.11119,-0.55684,0.00002,0.00001,-0.00014,0.00001,-0.00014,-0.00015,-0.00111,-0.03584,-1.34263,0.04691,0.00859,0.00014,0.00606,-0.03645,-1.34121,0.04650,0.00494,-0.00434,0.00050,-0.00435,0.00050,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0500,-0.00071,0.00000,0.46187,1.00000,0.00000,-0.00191,-0.00000,0.00846,0.00000,0.30081,0.30051,0.00391,0.00005,2,0.03476,0,0.04900,0.01900,0.0026,0.0020,0.007549,0.069726,-0.0891,0.0208,31.6281,0.0393,0.0306,32.3413,-0.0891,0.0229,31.5853,0.0393,-0.0005,32.3072,0.001961,-0.000333,31.6281,0.001350,-0.000316,32.3413,0.001948,-0.000195,31.5853,0.001339,-0.000114,32.3072,-0.00010,0.00013,-0.55077,1.11133,-0.55686,0.00003,0.00010,-0.00016,-0.55077,1.11133,-0.55686,0.00006,-0.00001,-0.00011,-0.00001,-0.00011,-0.00014,-0.00048,-0.02966,-1.33723,0.05739,0.00959,0.00012,0.00631,-0.03043,-1.33547,0.05688,0.00599,-0.00392,0.00045,-0.00392,0.00045,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0550,-0.00070,0.00000,0.46188,1.00000,0.00000,-0.00185,-0.00000,0.00847,0.00000,0.30082,0.30051,0.00381,0.00006,2,0.03477,0,0.04900,0.01900,0.0019,0.0009,0.007890,0.069700,-0.0993,0.0237,31.6849,0.0176,0.0320,32.3776,-0.0993,0.0256,31.6327,0.0175,0.0024,32.3353,0.002191,-0.000361,31.6849,0.001690,-0.000342,32.3776,0.002176,-0.000235,31.6328,0.001678,-0.000153,32.3353,-0.00010,0.00012,-0.55097,1.11141,-0.55683,0.00002,0.00010,-0.00017,-0.55097,1.11142,-0.55683,0.00010,-0.00003,-0.00009,-0.00003,-0.00009,-0.00012,0.00017,-0.02482,-1.33310,0.06499,0.01059,0.00010,0.00660,-0.02576,-1.33096,0.06437,0.00706,-0.00361,0.00039,-0.00362,0.00039,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0600,-0.00069,0.00001,0.46188,1.00000,0.00000,-0.00180,-0.00000,0.00847,0.00000,0.30083,0.30051,0.00371,0.00007,2,0.03478,0,0.04900,0.01900,0.0017,0.0003,0.008132,0.069674,-0.1042,0.0264,31.7351,0.0037,0.0335,32.4050,-0.1043,0.0283,31.6727,0.0036,0.0052,32.3535,0.002354,-0.000391,31.7351,0.001933,-0.000368,32.4050,0.002336,-0.000274,31.6728,0.001917,-0.000192,32.3535,-0.00010,0.00012,-0.55117,1.11146,-0.55678,0.00002,0.00010,-0.00017,-0.55117,1.11147,-0.55678,0.00013,-0.00006,-0.00006,-0.00006,-0.00006,-0.00011,0.00084,-0.02095,-1.32987,0.07057,0.01161,0.00008,0.00693,-0.02207,-1.32731,0.06984,0.00815,-0.00338,0.00033,-0.00338,0.00033,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0650,-0.00067,0.00001,0.46189,1.00000,0.00000,-0.00174,-0.00000,0.00848,0.00000,0.30084,0.30051,0.00360,0.00008,2,0.03479,0,0.04900,0.01900,0.0018,0.0005,0.008308,0.069645,-0.1057,0.0292,31.7810,-0.0051,0.0349,32.4265,-0.1058,0.0309,31.7075,-0.0052,0.0080,32.3649,0.002471,-0.000422,31.7810,0.002108,-0.000396,32.4265,0.002451,-0.000314,31.7076,0.002091,-0.000231,32.3649,-0.00010,0.00011,-0.55135,1.11148,-0.55670,0.00003,0.00010,-0.00018,-0.55135,1.11149,-0.55671,0.00016,-0.00008,-0.00004,-0.00008,-0.00004,-0.00010,0.00152,-0.01781,-1.32728,0.07473,0.01264,0.00006,0.00730,-0.01912,-1.32426,0.07387,0.00926,-0.00318,0.00028,-0.00319,0.00028,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0700,-0.00066,0.00001,0.46190,1.00000,0.00000,-0.00169,-0.00000,0.00848,0.00000,0.30085,0.30051,0.00349,0.00009,2,0.03480,0,0.04900,0.01900,0.0019,0.0008,0.008439,0.069616,-0.1051,0.0318,31.8240,-0.0107,0.0364,32.4442,-0.1052,0.0335,31.7386,-0.0107,0.0108,32.3716,0.002557,-0.000454,31.8240,0.002239,-0.000425,32.4442,0.002533,-0.000353,31.7386,0.002218,-0.000269,32.3716,-0.00010,0.00010,-0.55153,1.11148,-0.55662,0.00003,0.00010,-0.00019,-0.55153,1.11149,-0.55662,0.00019,-0.00011,-0.00003,-0.00011,-0.00003,-0.00009,0.00222,-0.01522,-1.32520,0.07784,0.01368,0.00005,0.00770,-0.01675,-1.32168,0.07684,0.01038,-0.00301,0.00024,-0.00302,0.00024,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
