t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,0.00019,0.00000,0.48033,1.00000,-0.00000,-0.00125,-0.00000,0.00608,-0.00000,0.31445,0.31445,0.00282,-0.00000,2,0.03442,0.00282,0.034421,0.01231,-1.0021,0.0000,-0.3831,0.0000,-1.3026,-0.0000,-2.3167,0,0.04900,0.01900,0.0753,0.0753,0.002218,0.083855,-1.2701,-0.0004,28.2019,0.0868,-1.4880,33.0016,-1.2701,0.0004,28.2019,0.0868,1.4880,33.0016,0.025176,0.000127,28.1997,-0.001987,0.014036,33.0016,0.025176,-0.000127,28.1997,-0.001987,-0.014036,33.0016,-0.00071,-0.00023,-0.34819,0.70674,-0.35464,-0.00303,0.00071,0.00023,-0.34819,0.70674,-0.35464,0.00303,0.00034,-0.00039,0.00034,-0.00039,0.00012,-0.00226,0.24905,-0.32304,0.60246,0.00091,-0.00012,0.00226,0.24905,-0.32304,0.60246,-0.00091,0.03726,0.00309,0.03726,0.00309,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,0.00023,0.00000,0.48037,1.00000,-0.00000,-0.00110,-0.00000,0.00610,0.00000,0.31452,0.31445,0.00249,-0.00000,2,0.03448,0.00249,0.034480,0.01151,-1.0842,-0.0001,-0.2541,-0.0000,-1.0827,0.0000,-1.9614,0,0.04900,0.01900,0.0648,0.0648,0.027786,0.070370,-0.8422,0.0029,28.9311,-1.1659,-0.1364,30.1935,-0.8422,-0.0029,28.9311,-1.1659,0.1364,30.1935,0.016372,0.000368,28.9297,0.023591,0.000568,30.1935,0.016372,-0.000368,28.9297,0.023591,-0.000568,30.1935,-0.00069,-0.00026,-0.34880,0.70730,-0.35497,-0.00275,0.00069,0.00026,-0.34880,0.70730,-0.35497,0.00275,0.00034,-0.00037,0.00034,-0.00037,0.00051,0.00938,0.14803,-0.49524,0.39653,-0.00297,-0.00051,-0.00938,0.14803,-0.49524,0.39653,0.00297,0.02168,0.00201,0.02168,0.00201,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,0.00025,-0.00000,0.48039,1.00000,-0.00000,-0.00098,-0.00000,0.00611,0.00000,0.31456,0.31445,0.00221,-0.00000,2,0.03453,0.00221,0.034535,0.01039,-1.1150,-0.0001,-0.1693,0.0000,-0.9225,0.0000,-1.7041,0,0.04900,0.01900,0.0416,0.0416,0.019717,0.070522,-0.5613,0.0050,29.4620,-0.7537,-0.1319,30.6583,-0.5613,-0.0050,29.4620,-0.7537,0.1319,30.6583,0.011002,0.000500,29.4612,0.015522,0.000714,30.6583,0.011002,-0.000500,29.4612,0.015522,-0.000714,30.6583,-0.00068,-0.00029,-0.34954,0.70815,-0.35543,-0.00240,0.00068,0.00029,-0.34954,0.70815,-0.35543,0.00240,0.00034,-0.00034,0.00034,-0.00034,0.00075,0.01660,0.08497,-0.60638,0.26669,-0.00558,-0.00075,-0.01660,0.08497,-0.60638,0.26669,0.00558,0.01221,0.00139,0.01221,0.00139,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,0.00027,-0.00000,0.48040,1.00000,-0.00000,-0.00087,-0.00000,0.00612,-0.00000,0.31459,0.31444,0.00196,-0.00000,2,0.03458,0.00196,0.034583,0.00914,-1.1121,-0.0002,-0.1139,0.0000,-0.8055,0.0000,-1.5114,0,0.04900,0.01900,0.0269,0.0269,0.014708,0.070590,-0.3776,0.0063,29.8498,-0.4832,-0.1261,31.0008,-0.3776,-0.0063,29.8498,-0.4832,0.1261,31.0008,0.007728,0.000562,29.8493,0.010512,0.000778,31.0008,0.007728,-0.000562,29.8493,0.010512,-0.000778,31.0008,-0.00068,-0.00033,-0.35034,0.70917,-0.35598,-0.00204,0.00068,0.00033,-0.35034,0.70917,-0.35598,0.00204,0.00033,-0.00031,0.00033,-0.00031,0.00087,0.02088,0.04632,-0.67748,0.18609,-0.00737,-0.00087,-0.02088,0.04632,-0.67748,0.18609,0.00737,0.00664,0.00105,0.00664,0.00105,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,0.00028,-0.00000,0.48040,1.00000,-0.00000,-0.00077,-0.00000,0.00612,-0.00000,0.31461,0.31442,0.00173,-0.00000,2,0.03462,0.00173,0.034625,0.00787,-1.0886,-0.0002,-0.0780,0.0000,-0.7201,0.0000,-1.3616,0,0.04900,0.01900,0.0175,0.0175,0.011612,0.070605,-0.2585,0.0069,30.1329,-0.3062,-0.1195,31.2583,-0.2585,-0.0069,30.1329,-0.3062,0.1195,31.2583,0.005744,0.000580,30.1325,0.007417,0.000791,31.2583,0.005744,-0.000580,30.1325,0.007417,-0.000791,31.2583,-0.00067,-0.00037,-0.35116,0.71028,-0.35657,-0.00168,0.00067,0.00037,-0.35116,0.71028,-0.35657,0.00168,0.00031,-0.00027,0.00031,-0.00027,0.00092,0.02318,0.02312,-0.72241,0.13697,-0.00860,-0.00092,-0.02318,0.02312,-0.72241,0.13697,0.00860,0.00348,0.00087,0.00348,0.00087,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,0.00029,-0.00000,0.48040,1.00000,-0.00000,-0.00067,-0.00000,0.00612,-0.00000,0.31462,0.31441,0.00153,-0.00000,2,0.03466,0.00153,0.034660,0.00668,-1.0540,-0.0003,-0.0549,0.0000,-0.6581,0.0000,-1.2410,0,0.04900,0.01900,0.0118,0.0118,0.009719,0.070591,-0.1820,0.0072,30.3384,-0.1914,-0.1135,31.4535,-0.1820,-0.0072,30.3384,-0.1914,0.1135,31.4535,0.004555,0.000570,30.3382,0.005524,0.000775,31.4535,0.004555,-0.000570,30.3382,0.005524,-0.000775,31.4535,-0.00067,-0.00040,-0.35199,0.71143,-0.35719,-0.00136,0.00067,0.00040,-0.35199,0.71143,-0.35719,0.00136,0.00029,-0.00024,0.00029,-0.00024,0.00091,0.02416,0.00949,-0.75032,0.10770,-0.00945,-0.00091,-0.02417,0.00949,-0.75032,0.10770,0.00945,0.00180,0.00078,0.00180,0.00078,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,0.00030,-0.00000,0.48038,1.00000,-0.00000,-0.00059,-0.00000,0.00613,-0.00000,0.31463,0.31439,0.00135,-0.00000,2,0.03469,0.00135,0.034690,0.00559,-1.0150,-0.0003,-0.0402,0.0000,-0.6135,0.0000,-1.1408,0,0.04900,0.01900,0.0085,0.0085,0.008580,0.070563,-0.1334,0.0073,30.4862,-0.1185,-0.1091,31.6026,-0.1334,-0.0073,30.4862,-0.1185,0.1091,31.6026,0.003853,0.000545,30.4861,0.004384,0.000746,31.6026,0.003853,-0.000545,30.4861,0.004384,-0.000746,31.6026,-0.00067,-0.00043,-0.35281,0.71262,-0.35781,-0.00106,0.00067,0.00043,-0.35281,0.71262,-0.35781,0.00106,0.00027,-0.00021,0.00027,-0.00021,0.00088,0.02435,0.00165,-0.76724,0.09066,-0.01004,-0.00088,-0.02435,0.00165,-0.76724,0.09066,0.01004,0.00100,0.00072,0.00100,0.00072,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,0.00030,-0.00000,0.48036,1.00000,-0.00000,-0.00051,-0.00000,0.00613,-0.00000,0.31462,0.31436,0.00118,-0.00000,2,0.03472,0.00118,0.034716,0.00464,-0.9759,-0.0003,-0.0310,0.0000,-0.5819,0.0000,-1.0557,0,0.04900,0.01900,0.0067,0.0067,0.007908,0.070530,-0.1027,0.0073,30.5913,-0.0727,-0.1058,31.7155,-0.1027,-0.0073,30.5913,-0.0727,0.1058,31.7155,0.003445,0.000513,30.5912,0.003712,0.000712,31.7155,0.003445,-0.000513,30.5912,0.003712,-0.000712,31.7155,-0.00067,-0.00046,-0.35364,0.71383,-0.35845,-0.00081,0.00067,0.00046,-0.35364,0.71383,-0.35845,0.00081,0.00024,-0.00018,0.00024,-0.00018,0.00083,0.02411,-0.00280,-0.77708,0.08097,-0.01046,-0.00083,-0.02411,-0.00280,-0.77708,0.08097,0.01046,0.00071,0.00069,0.00071,0.00069,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,0.00030,-0.00000,0.48034,1.00000,-0.00000,-0.00044,-0.00000,0.00613,-0.00000,0.31462,0.31433,0.00103,-0.00000,2,0.03474,0.00103,0.034736,0.00382,-0.9392,-0.0004,-0.0252,0.0000,-0.5596,0.0000,-0.9821,0,0.04900,0.01900,0.0059,0.0059,0.007520,0.070496,-0.0835,0.0071,30.6651,-0.0443,-0.1033,31.8001,-0.0835,-0.0071,30.6651,-0.0443,0.1033,31.8001,0.003213,0.000481,30.6650,0.003324,0.000678,31.8001,0.003213,-0.000481,30.6650,0.003324,-0.000678,31.8001,-0.00067,-0.00048,-0.35447,0.71508,-0.35909,-0.00059,0.00067,0.00048,-0.35447,0.71508,-0.35909,0.00059,0.00022,-0.00016,0.00022,-0.00016,0.00078,0.02366,-0.00536,-0.78243,0.07556,-0.01078,-0.00078,-0.02366,-0.00536,-0.78243,0.07556,0.01078,0.00069,0.00066,0.00069,0.00066,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,0.00030,-0.00000,0.48031,1.00000,-0.00000,-0.00038,-0.00000,0.00613,-0.00000,0.31460,0.31430,0.00089,-0.00000,2,0.03475,0.00089,0.034753,0.00313,-0.9061,-0.0004,-0.0216,0.0000,-0.5441,0.0000,-0.9177,0,0.04900,0.01900,0.0055,0.0055,0.007303,0.070465,-0.0716,0.0070,30.7164,-0.0271,-0.1014,31.8626,-0.0716,-0.0070,30.7164,-0.0271,0.1014,31.8626,0.003084,0.000450,30.7163,0.003107,0.000645,31.8626,0.003084,-0.000450,30.7163,0.003107,-0.000645,31.8626,-0.00067,-0.00050,-0.35530,0.71637,-0.35974,-0.00041,0.00067,0.00050,-0.35530,0.71637,-0.35974,0.00041,0.00019,-0.00013,0.00019,-0.00013,0.00074,0.02313,-0.00695,-0.78494,0.07251,-0.01101,-0.00074,-0.02313,-0.00695,-0.78494,0.07251,0.01101,0.00082,0.00064,0.00082,0.00064,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
