t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,0.00019,0.00000,0.48033,1.00000,-0.00000,-0.00125,-0.00000,0.00608,-0.00000,0.31445,0.31445,0.00282,-0.00000,2,0.03442,0.00282,0.034421,0.01235,-1.0021,0.0000,-0.3831,0.0000,-1.1491,-0.0000,-2.3167,0,0.04900,0.01900,0.0753,0.0753,0.002218,0.083855,-1.2701,-0.0004,28.7108,0.0868,-1.4880,33.0016,-1.2701,0.0004,28.7108,0.0868,1.4880,33.0016,0.023880,0.000127,28.7087,-0.001987,0.014036,33.0016,0.023880,-0.000127,28.7087,-0.001987,-0.014036,33.0016,-0.00071,-0.00023,-0.34815,0.70667,-0.35461,-0.00303,0.00071,0.00023,-0.34815,0.70667,-0.35461,0.00303,0.00034,-0.00039,0.00034,-0.00039,0.00011,-0.00222,0.23571,-0.36789,0.57936,0.00093,-0.00011,0.00222,0.23571,-0.36789,0.57936,-0.00093,0.03441,0.00276,0.03441,0.00276,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,0.00023,0.00000,0.48038,1.00000,-0.00000,-0.00110,-0.00000,0.00610,0.00000,0.31452,0.31445,0.00249,-0.00000,2,0.03448,0.00249,0.034481,0.01157,-1.0874,-0.0001,-0.2540,-0.0000,-0.9228,0.0000,-1.9778,0,0.04900,0.01900,0.0637,0.0637,0.026624,0.070365,-0.8419,0.0029,29.4610,-1.1606,-0.1366,30.5880,-0.8419,-0.0029,29.4610,-1.1606,0.1366,30.5880,0.015242,0.000364,29.4596,0.022429,0.000562,30.5880,0.015242,-0.000364,29.4596,0.022429,-0.000562,30.5880,-0.00069,-0.00026,-0.34867,0.70703,-0.35486,-0.00275,0.00069,0.00026,-0.34867,0.70703,-0.35486,0.00275,0.00034,-0.00037,0.00034,-0.00037,0.00050,0.00945,0.13653,-0.54485,0.37496,-0.00296,-0.00050,-0.00945,0.13653,-0.54485,0.37496,0.00296,0.01875,0.00167,0.01875,0.00167,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,0.00026,0.00000,0.48042,1.00000,-0.00000,-0.00097,-0.00000,0.00611,0.00000,0.31457,0.31445,0.00220,-0.00000,2,0.03454,0.00220,0.034535,0.01045,-1.1202,-0.0001,-0.1692,-0.0000,-0.7583,0.0000,-1.7347,0,0.04900,0.01900,0.0407,0.0407,0.018653,0.070515,-0.5610,0.0050,30.0063,-0.7473,-0.1321,31.0685,-0.5610,-0.0050,30.0063,-0.7473,0.1321,31.0685,0.009986,0.000493,30.0054,0.014458,0.000706,31.0685,0.009986,-0.000493,30.0054,0.014458,-0.000706,31.0685,-0.00068,-0.00029,-0.34924,0.70756,-0.35517,-0.00240,0.00068,0.00029,-0.34924,0.70756,-0.35517,0.00240,0.00033,-0.00034,0.00033,-0.00034,0.00073,0.01668,0.07557,-0.66021,0.24708,-0.00558,-0.00073,-0.01668,0.07557,-0.66021,0.24708,0.00558,0.00925,0.00105,0.00925,0.00105,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,0.00028,0.00000,0.48044,1.00000,-0.00000,-0.00086,-0.00000,0.00612,0.00000,0.31461,0.31445,0.00195,-0.00000,2,0.03458,0.00195,0.034584,0.00920,-1.1183,-0.0002,-0.1139,0.0000,-0.6384,0.0000,-1.5538,0,0.04900,0.01900,0.0261,0.0261,0.013715,0.070582,-0.3777,0.0063,30.4038,-0.4763,-0.1263,31.4225,-0.3777,-0.0063,30.4038,-0.4763,0.1263,31.4225,0.006789,0.000554,30.4033,0.009519,0.000769,31.4225,0.006789,-0.000554,30.4033,0.009519,-0.000769,31.4225,-0.00068,-0.00033,-0.34981,0.70811,-0.35550,-0.00204,0.00068,0.00033,-0.34981,0.70811,-0.35550,0.00204,0.00031,-0.00031,0.00031,-0.00031,0.00086,0.02097,0.03916,-0.73515,0.16868,-0.00737,-0.00086,-0.02097,0.03916,-0.73515,0.16868,0.00737,0.00364,0.00071,0.00364,0.00071,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,0.00030,0.00000,0.48047,1.00000,-0.00000,-0.00076,-0.00000,0.00612,0.00000,0.31464,0.31445,0.00172,-0.00000,2,0.03463,0.00172,0.034626,0.00793,-1.0950,-0.0002,-0.0781,0.0000,-0.5511,0.0000,-1.4139,0,0.04900,0.01900,0.0169,0.0169,0.010671,0.070596,-0.2589,0.0070,30.6933,-0.2991,-0.1195,31.6891,-0.2589,-0.0070,30.6933,-0.2991,0.1195,31.6891,0.004858,0.000571,30.6930,0.006475,0.000782,31.6891,0.004858,-0.000571,30.6930,0.006475,-0.000782,31.6891,-0.00067,-0.00037,-0.35033,0.70862,-0.35582,-0.00168,0.00067,0.00037,-0.35033,0.70862,-0.35582,0.00168,0.00028,-0.00028,0.00028,-0.00028,0.00090,0.02328,0.01825,-0.78364,0.12186,-0.00861,-0.00090,-0.02328,0.01825,-0.78364,0.12186,0.00861,0.00045,0.00053,0.00045,0.00053,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,0.00031,-0.00000,0.48049,1.00000,-0.00000,-0.00066,0.00000,0.00612,0.00000,0.31467,0.31445,0.00151,-0.00000,2,0.03466,0.00151,0.034662,0.00672,-1.0603,-0.0003,-0.0552,0.0000,-0.4879,0.0000,-1.3015,0,0.04900,0.01900,0.0113,0.0113,0.008815,0.070582,-0.1829,0.0073,30.9028,-0.1845,-0.1135,31.8916,-0.1829,-0.0073,30.9028,-0.1845,0.1135,31.8916,0.003705,0.000561,30.9025,0.004618,0.000766,31.8916,0.003705,-0.000561,30.9025,0.004618,-0.000766,31.8916,-0.00067,-0.00040,-0.35079,0.70905,-0.35609,-0.00135,0.00067,0.00040,-0.35079,0.70905,-0.35609,0.00135,0.00025,-0.00024,0.00025,-0.00024,0.00089,0.02426,0.00694,-0.81491,0.09490,-0.00946,-0.00089,-0.02426,0.00694,-0.81491,0.09490,0.00946,-0.00126,0.00043,-0.00126,0.00043,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,0.00033,-0.00000,0.48051,1.00000,-0.00000,-0.00057,0.00000,0.00613,-0.00000,0.31469,0.31445,0.00132,-0.00000,2,0.03469,0.00132,0.034692,0.00563,-1.0210,-0.0003,-0.0407,0.0000,-0.4427,0.0000,-1.2080,0,0.04900,0.01900,0.0081,0.0081,0.007702,0.070554,-0.1348,0.0073,31.0526,-0.1118,-0.1091,32.0468,-0.1348,-0.0073,31.0526,-0.1118,0.1091,32.0468,0.003026,0.000536,31.0524,0.003505,0.000737,32.0468,0.003026,-0.000536,31.0524,0.003505,-0.000737,32.0468,-0.00067,-0.00043,-0.35118,0.70936,-0.35630,-0.00106,0.00067,0.00043,-0.35118,0.70936,-0.35630,0.00106,0.00022,-0.00021,0.00022,-0.00021,0.00086,0.02444,0.00141,-0.83498,0.08017,-0.01005,-0.00086,-0.02444,0.00141,-0.83498,0.08017,0.01005,-0.00210,0.00037,-0.00210,0.00037,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,0.00034,-0.00000,0.48052,1.00000,-0.00000,-0.00049,0.00000,0.00613,-0.00000,0.31472,0.31445,0.00115,-0.00000,2,0.03472,0.00115,0.034717,0.00467,-0.9816,-0.0003,-0.0316,0.0000,-0.4109,0.0000,-1.1283,0,0.04900,0.01900,0.0065,0.0065,0.007048,0.070521,-0.1047,0.0073,31.1581,-0.0663,-0.1058,32.1647,-0.1047,-0.0073,31.1581,-0.0663,0.1058,32.1647,0.002635,0.000505,31.1580,0.002850,0.000703,32.1647,0.002635,-0.000505,31.1580,0.002850,-0.000703,32.1647,-0.00067,-0.00046,-0.35149,0.70956,-0.35645,-0.00081,0.00067,0.00046,-0.35149,0.70956,-0.35645,0.00081,0.00018,-0.00019,0.00018,-0.00019,0.00081,0.02420,-0.00074,-0.84781,0.07276,-0.01048,-0.00081,-0.02420,-0.00074,-0.84781,0.07276,0.01048,-0.00244,0.00034,-0.00244,0.00034,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,0.00035,-0.00000,0.48054,1.00000,-0.00000,-0.00042,0.00000,0.00613,-0.00000,0.31474,0.31445,0.00098,-0.00000,2,0.03474,0.00098,0.034738,0.00384,-0.9445,-0.0004,-0.0260,0.0000,-0.3888,0.0000,-1.0592,0,0.04900,0.01900,0.0057,0.0057,0.006674,0.070488,-0.0861,0.0072,31.2312,-0.0383,-0.1033,32.2534,-0.0861,-0.0072,31.2312,-0.0383,0.1033,32.2534,0.002414,0.000473,31.2311,0.002475,0.000669,32.2534,0.002414,-0.000473,31.2311,0.002475,-0.000669,32.2534,-0.00067,-0.00048,-0.35174,0.70966,-0.35654,-0.00059,0.00067,0.00048,-0.35174,0.70966,-0.35654,0.00059,0.00013,-0.00016,0.00013,-0.00016,0.00076,0.02375,-0.00102,-0.85595,0.06960,-0.01079,-0.00076,-0.02375,-0.00102,-0.85595,0.06960,0.01079,-0.00250,0.00031,-0.00250,0.00031,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,0.00037,-0.00000,0.48056,1.00000,-0.00000,-0.00035,0.00000,0.00613,-0.00000,0.31475,0.31445,0.00083,-0.00000,2,0.03476,0.00083,0.034755,0.00314,-0.9109,-0.0004,-0.0225,0.0000,-0.3739,0.0000,-0.9986,0,0.04900,0.01900,0.0053,0.0053,0.006467,0.070457,-0.0747,0.0070,31.2808,-0.0214,-0.1014,32.3195,-0.0747,-0.0070,31.2808,-0.0214,0.1014,32.3195,0.002294,0.000443,31.2808,0.002267,0.000637,32.3195,0.002294,-0.000443,31.2808,0.002267,-0.000637,32.3195,-0.00067,-0.00050,-0.35193,0.70965,-0.35657,-0.00041,0.00067,0.00050,-0.35193,0.70965,-0.35657,0.00041,0.00009,-0.00014,0.00009,-0.00014,0.00071,0.02323,-0.00033,-0.86108,0.06878,-0.01103,-0.00071,-0.02323,-0.00033,-0.86108,0.06878,0.01103,-0.00242,0.00028,-0.00242,0.00028,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
