t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,0.00019,0.00000,0.48033,1.00000,-0.00000,-0.00125,-0.00000,0.00608,-0.00000,0.31445,0.31445,0.00282,-0.00000,2,0.03442,0.00282,0.034421,0.01226,-0.5010,0.0000,-0.3831,0.0000,-1.3026,-0.0000,-2.3167,0,0.04900,0.01900,0.0753,0.0753,0.002218,0.083855,-1.2701,-0.0001,28.2019,0.0868,-1.4880,33.0016,-1.2701,0.0001,28.2019,0.0868,1.4880,33.0016,0.027434,0.000153,28.1997,-0.001987,0.014036,33.0016,0.027434,-0.000153,28.1997,-0.001987,-0.014036,33.0016,-0.00071,-0.00023,-0.34824,0.70685,-0.35468,-0.00303,0.00071,0.00023,-0.34824,0.70685,-0.35468,0.00303,0.00034,-0.00039,0.00034,-0.00039,0.00037,-0.00127,0.28407,-0.23570,0.66112,0.00048,-0.00037,0.00127,0.28407,-0.23570,0.66112,-0.00048,0.04374,0.00377,0.04374,0.00377,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,0.00022,0.00000,0.48036,1.00000,-0.00000,-0.00111,-0.00000,0.00610,0.00000,0.31451,0.31445,0.00250,-0.00000,2,0.03448,0.00250,0.034480,0.01144,-0.5150,-0.0001,-0.2494,-0.0000,-0.9990,0.0000,-1.8717,0,0.04900,0.01900,0.0689,0.0689,0.030518,0.070396,-0.8266,0.0012,29.2085,-1.2158,-0.1407,29.5981,-0.8266,-0.0012,29.2085,-1.2158,0.1407,29.5981,0.018122,0.000289,29.2071,0.026323,0.000595,29.5981,0.018122,-0.000289,29.2071,0.026323,-0.000595,29.5981,-0.00069,-0.00026,-0.34897,0.70768,-0.35514,-0.00275,0.00069,0.00026,-0.34897,0.70768,-0.35514,0.00275,0.00036,-0.00037,0.00036,-0.00037,0.00044,0.00350,0.17593,-0.41721,0.44622,0.00044,-0.00044,-0.00350,0.17593,-0.41721,0.44622,-0.00044,0.02794,0.00269,0.02794,0.00269,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,0.00024,0.00000,0.48036,1.00000,-0.00000,-0.00100,-0.00000,0.00611,0.00000,0.31455,0.31445,0.00223,-0.00000,2,0.03453,0.00223,0.034534,0.01034,-0.5061,-0.0001,-0.1582,-0.0000,-0.7730,0.0000,-1.5365,0,0.04900,0.01900,0.0453,0.0453,0.021954,0.070386,-0.5245,0.0020,29.9577,-0.8139,-0.1023,30.1992,-0.5245,-0.0020,29.9577,-0.8139,0.1023,30.1992,0.012166,0.000357,29.9569,0.017759,0.000579,30.1992,0.012166,-0.000357,29.9569,0.017759,-0.000579,30.1992,-0.00068,-0.00029,-0.34988,0.70892,-0.35578,-0.00240,0.00068,0.00029,-0.34988,0.70892,-0.35578,0.00240,0.00037,-0.00034,0.00037,-0.00034,0.00047,0.00636,0.10352,-0.54325,0.30089,0.00035,-0.00047,-0.00636,0.10352,-0.54325,0.30089,-0.00035,0.01744,0.00197,0.01744,0.00197,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,0.00025,0.00000,0.48036,1.00000,-0.00000,-0.00091,-0.00000,0.00611,0.00000,0.31457,0.31444,0.00200,-0.00000,2,0.03458,0.00200,0.034582,0.00910,-0.4834,-0.0002,-0.0975,-0.0000,-0.6064,0.0000,-1.2797,0,0.04900,0.01900,0.0291,0.0291,0.016301,0.070350,-0.3231,0.0025,30.5099,-0.5310,-0.0742,30.6643,-0.3231,-0.0025,30.5099,-0.5310,0.0742,30.6643,0.008374,0.000383,30.5094,0.012106,0.000540,30.6643,0.008374,-0.000383,30.5094,0.012106,-0.000540,30.6643,-0.00068,-0.00033,-0.35088,0.71041,-0.35654,-0.00203,0.00068,0.00033,-0.35088,0.71041,-0.35654,0.00203,0.00039,-0.00031,0.00039,-0.00031,0.00047,0.00799,0.05602,-0.62957,0.20470,0.00016,-0.00047,-0.00799,0.05602,-0.62957,0.20470,-0.00016,0.01063,0.00149,0.01063,0.00149,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,0.00025,0.00000,0.48034,1.00000,-0.00000,-0.00082,-0.00000,0.00612,0.00000,0.31458,0.31442,0.00181,-0.00000,2,0.03462,0.00181,0.034624,0.00786,-0.4532,-0.0002,-0.0580,-0.0000,-0.4853,0.0000,-1.0791,0,0.04900,0.01900,0.0183,0.0183,0.012612,0.070303,-0.1924,0.0028,30.9114,-0.3355,-0.0533,31.0247,-0.1924,-0.0028,30.9114,-0.3355,0.0533,31.0247,0.005989,0.000382,30.9111,0.008418,0.000490,31.0247,0.005989,-0.000382,30.9111,0.008418,-0.000490,31.0247,-0.00067,-0.00037,-0.35193,0.71204,-0.35739,-0.00166,0.00067,0.00037,-0.35193,0.71204,-0.35739,0.00166,0.00040,-0.00027,0.00040,-0.00027,0.00043,0.00882,0.02559,-0.68774,0.14264,-0.00014,-0.00043,-0.00882,0.02559,-0.68774,0.14264,0.00014,0.00637,0.00117,0.00637,0.00117,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,0.00025,0.00000,0.48031,1.00000,-0.00000,-0.00075,-0.00000,0.00612,0.00000,0.31457,0.31441,0.00165,-0.00000,2,0.03466,0.00165,0.034659,0.00669,-0.4201,-0.0003,-0.0333,0.0000,-0.3987,0.0000,-0.9194,0,0.04900,0.01900,0.0110,0.0110,0.010247,0.070252,-0.1103,0.0029,31.1983,-0.2036,-0.0387,31.3023,-0.1103,-0.0029,31.1983,-0.2036,0.0387,31.3023,0.004521,0.000365,31.1982,0.006052,0.000438,31.3023,0.004521,-0.000365,31.1982,0.006052,-0.000438,31.3023,-0.00067,-0.00041,-0.35299,0.71376,-0.35830,-0.00132,0.00067,0.00041,-0.35299,0.71376,-0.35830,0.00132,0.00041,-0.00024,0.00041,-0.00024,0.00039,0.00913,0.00660,-0.72619,0.10380,-0.00053,-0.00039,-0.00913,0.00660,-0.72619,0.10380,0.00053,0.00382,0.00096,0.00382,0.00096,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,0.00025,0.00000,0.48027,1.00000,-0.00000,-0.00069,-0.00000,0.00612,0.00000,0.31456,0.31439,0.00150,-0.00000,2,0.03469,0.00150,0.034689,0.00562,-0.3873,-0.0003,-0.0183,-0.0000,-0.3382,0.0000,-0.7900,0,0.04900,0.01900,0.0064,0.0064,0.008767,0.070206,-0.0607,0.0029,31.3990,-0.1177,-0.0297,31.5145,-0.0607,-0.0029,31.3990,-0.1177,0.0297,31.5145,0.003641,0.000340,31.3988,0.004573,0.000390,31.5145,0.003641,-0.000340,31.3988,0.004573,-0.000390,31.5145,-0.00067,-0.00044,-0.35405,0.71553,-0.35923,-0.00102,0.00067,0.00044,-0.35405,0.71553,-0.35923,0.00102,0.00042,-0.00021,0.00042,-0.00021,0.00033,0.00914,-0.00493,-0.75101,0.08037,-0.00095,-0.00033,-0.00914,-0.00493,-0.75101,0.08037,0.00095,0.00238,0.00083,0.00238,0.00083,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,0.00025,0.00000,0.48023,1.00000,-0.00000,-0.00063,-0.00000,0.00612,0.00000,0.31454,0.31436,0.00138,-0.00000,2,0.03471,0.00138,0.034715,0.00468,-0.3566,-0.0003,-0.0097,-0.0000,-0.2970,0.0000,-0.6834,0,0.04900,0.01900,0.0036,0.0036,0.007869,0.070166,-0.0321,0.0029,31.5354,-0.0634,-0.0244,31.6739,-0.0321,-0.0029,31.5354,-0.0634,0.0244,31.6739,0.003132,0.000311,31.5354,0.003674,0.000349,31.6739,0.003132,-0.000311,31.5354,0.003674,-0.000349,31.6739,-0.00067,-0.00047,-0.35511,0.71733,-0.36018,-0.00075,0.00067,0.00047,-0.35511,0.71733,-0.36018,0.00075,0.00043,-0.00018,0.00043,-0.00018,0.00028,0.00898,-0.01173,-0.76658,0.06681,-0.00139,-0.00028,-0.00898,-0.01173,-0.76658,0.06681,0.00139,0.00165,0.00075,0.00165,0.00075,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,0.00024,0.00000,0.48019,1.00000,-0.00000,-0.00058,-0.00000,0.00612,0.00000,0.31452,0.31433,0.00126,-0.00000,2,0.03474,0.00126,0.034736,0.00387,-0.3290,-0.0004,-0.0050,-0.0000,-0.2699,0.0000,-0.5945,0,0.04900,0.01900,0.0020,0.0020,0.007344,0.070132,-0.0166,0.0028,31.6254,-0.0304,-0.0215,31.7914,-0.0166,-0.0028,31.6254,-0.0304,0.0215,31.7914,0.002854,0.000283,31.6253,0.003150,0.000315,31.7914,0.002854,-0.000283,31.6253,0.003150,-0.000315,31.7914,-0.00067,-0.00049,-0.35617,0.71916,-0.36113,-0.00052,0.00067,0.00049,-0.35617,0.71916,-0.36113,0.00052,0.00044,-0.00015,0.00044,-0.00015,0.00023,0.00875,-0.01566,-0.77597,0.05939,-0.00181,-0.00023,-0.00875,-0.01566,-0.77597,0.05939,0.00181,0.00136,0.00071,0.00136,0.00071,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,0.00023,0.00000,0.48013,1.00000,-0.00000,-0.00054,-0.00000,0.00612,0.00000,0.31449,0.31430,0.00117,-0.00000,2,0.03475,0.00117,0.034753,0.00318,-0.3046,-0.0004,-0.0027,-0.0000,-0.2528,0.0000,-0.5195,0,0.04900,0.01900,0.0012,0.0012,0.007054,0.070104,-0.0091,0.0027,31.6823,-0.0114,-0.0201,31.8763,-0.0091,-0.0027,31.6823,-0.0114,0.0201,31.8763,0.002713,0.000256,31.6822,0.002859,0.000286,31.8763,0.002713,-0.000256,31.6822,0.002859,-0.000286,31.8763,-0.00067,-0.00051,-0.35723,0.72102,-0.36210,-0.00032,0.00067,0.00051,-0.35723,0.72102,-0.36210,0.00032,0.00045,-0.00012,0.00045,-0.00012,0.00018,0.00850,-0.01794,-0.78134,0.05561,-0.00220,-0.00018,-0.00850,-0.01794,-0.78134,0.05561,0.00220,0.00132,0.00069,0.00132,0.00069,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
