group,command,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived
forward,vx=+0.020,40,vx: +0.0182 / +0.0200 m/s (91%),5.2,1.00,67,9,0,0,,SURVIVED
forward,vx=+0.036,40,vx: +0.0327 / +0.0360 m/s (91%),5.2,1.00,65,18,0,0,,SURVIVED
forward,vx=+0.055,40,vx: +0.0501 / +0.0550 m/s (91%),5.2,1.00,64,39,0,0,,SURVIVED
forward,vx=+0.073,40,vx: +0.0665 / +0.0730 m/s (91%),5.3,1.01,86,46,0,0,,SURVIVED
forward,vx=+0.091,40,vx: +0.0829 / +0.0910 m/s (91%),10.4,1.00,71,112,0,0,,SURVIVED
forward,vx=+0.109,40,vx: +0.0994 / +0.1090 m/s (91%),14.0,1.01,104,291,0,0,,SURVIVED
forward,vx=+0.145,9,vx: +0.0256 / +0.1450 m/s (18%)   wz: +0.0354 / +0.0000 rad/s (0%),127.6,1.01,161,54,6,2,6.560,FELL
backward,vx=-0.036,40,vx: -0.0329 / -0.0360 m/s (91%),5.2,1.00,66,9,0,0,,SURVIVED
backward,vx=-0.073,40,vx: -0.0667 / -0.0730 m/s (91%),5.2,1.00,70,11,0,0,,SURVIVED
backward,vx=-0.091,40,vx: -0.0831 / -0.0910 m/s (91%),5.2,1.00,67,28,0,0,,SURVIVED
backward,vx=-0.109,40,vx: -0.0995 / -0.1090 m/s (91%),5.8,1.00,65,112,0,0,,SURVIVED
lateral,vy=+0.018,40,vy: +0.0156 / +0.0180 m/s (87%),5.2,1.00,66,17,0,0,,SURVIVED
lateral,vy=-0.018,40,vy: -0.0172 / -0.0180 m/s (95%),5.2,1.00,65,14,0,0,,SURVIVED
lateral,vy=+0.036,40,vy: +0.0320 / +0.0360 m/s (89%),8.6,1.00,66,10,0,0,,SURVIVED
lateral,vy=-0.036,40,vy: -0.0335 / -0.0360 m/s (93%),22.1,1.00,120,20,0,0,,SURVIVED
lateral,vy=+0.055,20,vx: +0.0028 / +0.0000 m/s (0%)   vy: +0.0277 / +0.0550 m/s (50%)   wz: -0.0115 / +0.0000 rad/s (0%),170.2,1.01,164,24,4,0,12.735,FELL
lateral,vy=-0.055,13,vy: -0.0217 / -0.0550 m/s (40%)   wz: +0.0011 / +0.0000 rad/s (0%),211.4,1.01,184,19,3,0,8.930,FELL
lateral,vy=+0.073,5,vx: -0.0021 / +0.0000 m/s (0%)   vy: +0.0059 / +0.0730 m/s (8%)   wz: -0.0015 / +0.0000 rad/s (0%),44.0,1.00,150,6,0,0,4.490,FELL
lateral,vy=-0.073,7,vy: -0.0162 / -0.0730 m/s (22%)   wz: -0.0122 / +0.0000 rad/s (0%),219.7,1.00,155,22,12,0,5.435,FELL
turn,wz=+0.05,24,vy: -0.0039 / +0.0000 m/s (0%)   wz: +0.0305 / +0.0500 rad/s (61%),91.5,1.01,181,18,0,0,14.975,FELL
turn,wz=-0.05,28,vx: -0.0031 / +0.0000 m/s (0%)   vy: -0.0060 / +0.0000 m/s (0%)   wz: -0.0189 / -0.0500 rad/s (38%),151.9,1.00,167,26,5,0,17.050,FELL
turn,wz=+0.10,18,vy: -0.0026 / +0.0000 m/s (0%)   wz: +0.0149 / +0.1000 rad/s (15%),40.5,1.00,145,30,0,0,11.735,FELL
turn,wz=-0.10,11,vx: +0.0019 / +0.0000 m/s (0%)   vy: +0.0032 / +0.0000 m/s (0%)   wz: -0.0578 / -0.1000 rad/s (58%),140.5,1.00,202,34,0,0,7.810,FELL
turn,wz=+0.20,15,vx: +0.0018 / +0.0000 m/s (0%)   vy: -0.0106 / +0.0000 m/s (0%)   wz: +0.0164 / +0.2000 rad/s (8%),271.6,1.01,205,45,9,3,9.950,FELL
turn,wz=-0.20,14,vx: +0.0156 / +0.0000 m/s (0%)   vy: +0.0012 / +0.0000 m/s (0%)   wz: -0.0451 / -0.2000 rad/s (23%),512.2,1.95,198,68,0,0,9.370,FELL
turn,wz=+0.40,12,vx: +0.0078 / +0.0000 m/s (0%)   vy: -0.0105 / +0.0000 m/s (0%)   wz: +0.0042 / +0.4000 rad/s (1%),293.1,1.01,160,79,11,2,8.380,FELL
turn,wz=-0.40,9,vy: -0.0127 / +0.0000 m/s (0%)   wz: -0.0038 / -0.4000 rad/s (1%),276.2,1.00,187,45,5,0,6.925,FELL
squat,amp=10mm still,0,no command,2.8,0.39,2,0,0,0,,SURVIVED
squat,amp=10mm walk,40,vx: +0.0501 / +0.0550 m/s (91%),5.2,1.00,86,16,0,0,,SURVIVED
squat,amp=20mm still,0,no command,2.8,0.39,2,0,0,0,,SURVIVED
squat,amp=20mm walk,40,vx: +0.0501 / +0.0550 m/s (91%),5.2,1.00,101,18,0,0,,SURVIVED
squat,amp=40mm still,0,no command,2.8,0.40,2,0,0,0,,SURVIVED
squat,amp=40mm walk,40,vx: +0.0501 / +0.0550 m/s (91%),11.6,1.00,97,17,0,0,,SURVIVED
combined,vx+wz,22,vx: +0.0263 / +0.0550 m/s (48%)   vy: +0.0096 / +0.0000 m/s (0%)   wz: +0.0403 / +0.1000 rad/s (40%),125.7,1.01,197,85,0,0,13.805,FELL
combined,vx+vy,40,vx: +0.0501 / +0.0550 m/s (91%)   vy: +0.0320 / +0.0360 m/s (89%),12.9,1.00,101,40,0,0,,SURVIVED
combined,vx+squat,40,vx: +0.0501 / +0.0550 m/s (91%),5.2,1.00,101,18,0,0,,SURVIVED
