group,command,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived
forward,vx=+0.020,40,vx: +0.0197 / +0.0200 m/s (98%)   vy: -0.0014 m/s (drift),8.0,1.01,64,4,0,0,,SURVIVED
forward,vx=+0.036,40,vx: +0.0353 / +0.0360 m/s (98%)   vy: -0.0014 m/s (drift),8.0,1.01,63,19,0,0,,SURVIVED
forward,vx=+0.055,40,vx: +0.0539 / +0.0550 m/s (98%)   vy: -0.0014 m/s (drift),8.0,1.01,64,49,0,0,,SURVIVED
forward,vx=+0.073,40,vx: +0.0716 / +0.0730 m/s (98%)   vy: -0.0014 m/s (drift),9.4,1.01,75,119,0,0,,SURVIVED
forward,vx=+0.091,40,vx: +0.0893 / +0.0910 m/s (98%)   vy: -0.0015 m/s (drift),11.6,1.01,91,231,0,0,,SURVIVED
forward,vx=+0.109,40,vx: +0.1077 / +0.1090 m/s (99%)   vy: -0.0021 m/s (drift),32.4,1.01,108,390,0,0,,SURVIVED
forward,vx=+0.145,9,vx: +0.2082 / +0.1450 m/s (144%)   vy: -0.0854 m/s (drift)   wz: +0.3406 rad/s (drift),93.6,1.01,201,56,6,0,6.495,FELL
backward,vx=-0.036,40,vx: -0.0351 / -0.0360 m/s (97%)   vy: -0.0013 m/s (drift),8.0,1.01,63,6,0,0,,SURVIVED
backward,vx=-0.073,40,vx: -0.0712 / -0.0730 m/s (97%)   vy: -0.0014 m/s (drift),8.0,1.01,63,3,0,0,,SURVIVED
backward,vx=-0.091,40,vx: -0.0886 / -0.0910 m/s (97%)   vy: -0.0013 m/s (drift),8.0,1.01,63,4,0,0,,SURVIVED
backward,vx=-0.109,16,vx: -0.1165 / -0.1090 m/s (107%)   vy: -0.0255 m/s (drift)   wz: +0.1024 rad/s (drift),115.4,1.01,199,84,26,0,10.250,FELL
lateral,vy=+0.018,40,vy: +0.0162 / +0.0180 m/s (90%),8.0,1.01,63,5,0,0,,SURVIVED
lateral,vy=-0.018,40,vy: -0.0189 / -0.0180 m/s (105%),8.0,1.01,64,2,0,0,,SURVIVED
lateral,vy=+0.036,40,vy: +0.0338 / +0.0360 m/s (94%),33.0,1.01,65,4,0,0,,SURVIVED
lateral,vy=-0.036,40,vy: -0.0365 / -0.0360 m/s (101%),10.1,1.01,63,0,0,0,,SURVIVED
lateral,vy=+0.055,9,vx: -0.0302 m/s (drift)   vy: +0.0559 / +0.0550 m/s (102%)   wz: -0.2493 rad/s (drift),29.3,1.01,110,4,0,0,6.710,FELL
lateral,vy=-0.055,10,vx: -0.0319 m/s (drift)   vy: -0.0806 / -0.0550 m/s (146%)   wz: +0.0825 rad/s (drift),55.2,1.01,176,9,0,0,7.335,FELL
lateral,vy=+0.073,10,vx: -0.0474 m/s (drift)   vy: +0.1655 / +0.0730 m/s (227%)   wz: -0.2711 rad/s (drift),279.4,1.01,185,20,9,0,7.440,FELL
lateral,vy=-0.073,9,vx: -0.0046 m/s (drift)   vy: -0.2263 / -0.0730 m/s (310%)   wz: +0.0227 rad/s (drift),234.3,1.01,187,12,0,0,6.790,FELL
turn,wz=+0.05,40,vy: -0.0017 m/s (drift)   wz: +0.0502 / +0.0500 rad/s (100%),8.0,1.01,64,4,0,0,,SURVIVED
turn,wz=-0.05,40,vy: -0.0011 m/s (drift)   wz: -0.0503 / -0.0500 rad/s (101%),8.0,1.01,65,5,0,0,,SURVIVED
turn,wz=+0.10,40,vy: -0.0020 m/s (drift)   wz: +0.1005 / +0.1000 rad/s (100%),8.0,1.01,62,6,0,0,,SURVIVED
turn,wz=-0.10,40,wz: -0.1006 / -0.1000 rad/s (101%),8.0,1.01,67,0,0,0,,SURVIVED
turn,wz=+0.20,40,vy: -0.0026 m/s (drift)   wz: +0.2010 / +0.2000 rad/s (100%),8.0,1.01,59,7,0,0,,SURVIVED
turn,wz=-0.20,40,wz: -0.2011 / -0.2000 rad/s (101%),8.0,1.01,68,12,0,0,,SURVIVED
turn,wz=+0.40,40,vx: +0.0011 m/s (drift)   vy: -0.0025 m/s (drift)   wz: +0.4026 / +0.4000 rad/s (101%),20.2,1.01,95,24,0,0,,SURVIVED
turn,wz=-0.40,40,wz: -0.4037 / -0.4000 rad/s (101%),19.4,1.01,101,28,0,0,,SURVIVED
turn,wz=+0.60,20,vx: +0.0163 m/s (drift)   vy: -0.0327 m/s (drift)   wz: +0.6163 / +0.6000 rad/s (103%),264.4,1.01,204,54,9,0,12.945,FELL
turn,wz=-0.60,16,vx: +0.0337 m/s (drift)   vy: +0.0166 m/s (drift)   wz: -0.5052 / -0.6000 rad/s (84%),304.7,1.01,156,41,7,0,10.410,FELL
