t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00014,-0.00001,0.48040,1.00000,-0.00000,-0.00122,-0.00000,0.00603,0.00000,0.31453,0.31453,0.00269,-0.00446,2,0.03448,0.00269,0.034481,0.01091,-0.2938,0.0000,-0.1817,-0.4172,-1.0855,0.0000,-1.7056,0,0.04900,0.03000,0.1571,0.1571,0.002740,0.079690,-0.5971,-1.3845,37.6373,0.0301,-3.0925,32.8255,-0.6075,-1.3816,20.2064,0.0301,3.0925,32.8255,0.014514,0.002735,37.6324,-0.001466,0.029885,32.8255,0.020315,0.005236,20.2096,-0.001466,-0.029885,32.8255,-0.00046,-0.00026,-0.34829,0.70655,-0.35479,-0.00264,0.00046,0.00033,-0.34831,0.70660,-0.35482,0.00256,0.00034,-0.00039,0.00033,-0.00039,-0.00129,0.30820,0.28152,-0.66486,0.48856,-0.05586,-0.00159,0.31989,0.08070,-0.19387,0.35356,-0.05622,0.02736,0.00220,0.02736,0.00220,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006746,0.000000,0.004191,-0.004459,0.004191,-0.000000,0.011856,0.013376,0.000000,0.005139,0.000000,0.000000,0.634288,0.365712,0.000000,0.000000,0.000000,-0.002591,0.002591
0.0050,0.00017,-0.00003,0.48043,1.00000,-0.00000,-0.00112,-0.00000,0.00605,-0.00001,0.31458,0.31453,0.00244,-0.00458,2,0.03454,0.00244,0.034532,0.00970,-0.2758,-0.0001,-0.1684,-0.3907,-0.7374,0.0221,-1.3507,0,0.04900,0.03000,0.0726,0.1011,0.018649,0.052857,-0.5532,-1.2956,38.2341,-0.6118,-1.5543,38.3342,-0.5630,-1.2950,21.9170,-0.6110,-1.1282,21.1636,0.012003,0.002631,38.2296,0.014455,0.003051,38.3342,0.015144,0.004264,21.9201,0.019834,0.003958,21.1636,-0.00044,-0.00018,-0.34881,0.70715,-0.35513,-0.00257,0.00044,0.00042,-0.34888,0.70729,-0.35521,0.00232,0.00035,-0.00037,0.00034,-0.00037,-0.00105,0.29335,0.22105,-0.75072,0.40010,-0.05222,-0.00146,0.29694,0.03264,-0.30822,0.27253,-0.05483,0.02028,0.00204,0.02010,0.00203,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006610,-0.000368,0.004191,-0.004583,0.004191,-0.000125,0.011446,0.012522,0.000000,0.004860,0.000000,0.000000,0.625709,0.374291,0.000000,0.000000,0.000000,-0.002636,0.002565
0.0100,0.00019,-0.00006,0.48044,1.00000,-0.00000,-0.00103,-0.00000,0.00606,-0.00002,0.31462,0.31453,0.00223,-0.00471,2,0.03459,0.00223,0.034577,0.00847,-0.2538,-0.0001,-0.1552,-0.3656,-0.4915,0.0312,-1.0873,0,0.04900,0.03000,0.0652,0.0939,0.016225,0.052627,-0.5100,-1.2115,38.5136,-0.5706,-1.3968,38.6013,-0.5192,-1.2122,23.2682,-0.5725,-1.1281,22.4628,0.010204,0.002507,38.5096,0.012031,0.002814,38.6013,0.011792,0.003595,23.2709,0.015060,0.003497,22.4628,-0.00042,-0.00007,-0.34945,0.70800,-0.35557,-0.00245,0.00043,0.00058,-0.34957,0.70827,-0.35573,0.00192,0.00036,-0.00034,0.00035,-0.00034,-0.00085,0.27752,0.17744,-0.81153,0.33526,-0.04899,-0.00132,0.27654,0.00103,-0.39686,0.21524,-0.05319,0.01524,0.00187,0.01497,0.00186,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006474,-0.000725,0.004191,-0.004708,0.004191,-0.000249,0.011039,0.011699,0.000000,0.004590,0.000000,0.000000,0.617454,0.382546,0.000000,0.000000,0.000000,-0.002568,0.002316
0.0150,0.00020,-0.00011,0.48044,1.00000,-0.00001,-0.00095,-0.00001,0.00607,-0.00005,0.31464,0.31453,0.00206,-0.00483,2,0.03463,0.00206,0.034616,0.00729,-0.2304,-0.0002,-0.1426,-0.3418,-0.3190,0.0325,-0.8892,0,0.04900,0.03000,0.0591,0.0866,0.014443,0.052411,-0.4685,-1.1323,38.5719,-0.5243,-1.2667,38.6650,-0.4771,-1.1337,24.3535,-0.5277,-1.1036,23.5368,0.008885,0.002369,38.5685,0.010248,0.002594,38.6650,0.009530,0.003105,24.3558,0.011814,0.003140,23.5368,-0.00042,0.00008,-0.35013,0.70897,-0.35606,-0.00233,0.00042,0.00078,-0.35031,0.70937,-0.35630,0.00143,0.00038,-0.00031,0.00036,-0.00031,-0.00069,0.26142,0.14581,-0.85407,0.28754,-0.04616,-0.00117,0.25795,-0.01905,-0.46644,0.17509,-0.05123,0.01168,0.00171,0.01138,0.00170,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006342,-0.001071,0.004191,-0.004832,0.004191,-0.000374,0.010644,0.010911,0.000000,0.004333,0.000000,0.000000,0.609542,0.390458,0.000000,0.000000,0.000000,-0.002449,0.001918
0.0200,0.00021,-0.00017,0.48044,1.00000,-0.00001,-0.00089,-0.00001,0.00608,-0.00008,0.31465,0.31453,0.00191,-0.00496,2,0.03467,0.00191,0.034649,0.00619,-0.2071,-0.0002,-0.1307,-0.3193,-0.1995,0.0291,-0.7381,0,0.04900,0.03000,0.0541,0.0796,0.013107,0.052211,-0.4294,-1.0576,38.4769,-0.4764,-1.1576,38.5890,-0.4374,-1.0594,25.2408,-0.4811,-1.0642,24.4419,0.007894,0.002224,38.4740,0.008912,0.002389,38.5890,0.007955,0.002730,25.2427,0.009552,0.002845,24.4419,-0.00041,0.00026,-0.35081,0.70995,-0.35654,-0.00223,0.00042,0.00103,-0.35105,0.71048,-0.35687,0.00088,0.00040,-0.00027,0.00038,-0.00027,-0.00056,0.24542,0.12258,-0.88328,0.25213,-0.04369,-0.00101,0.24073,-0.03116,-0.52185,0.14717,-0.04901,0.00916,0.00155,0.00886,0.00155,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006217,-0.001405,0.004191,-0.004957,0.004191,-0.000498,0.010268,0.010157,0.000000,0.004089,0.000000,0.000000,0.601974,0.398026,0.000000,0.000000,0.000000,-0.002325,0.001428
0.0250,0.00021,-0.00024,0.48043,1.00000,-0.00001,-0.00083,-0.00001,0.00608,-0.00012,0.31466,0.31453,0.00178,-0.00508,2,0.03470,0.00178,0.034677,0.00521,-0.1852,-0.0002,-0.1197,-0.2981,-0.1181,0.0234,-0.6210,0,0.04900,0.03000,0.0498,0.0731,0.012092,0.052026,-0.3930,-0.9873,38.2770,-0.4309,-1.0649,38.4176,-0.4004,-0.9894,25.9799,-0.4363,-1.0156,25.2193,0.007132,0.002078,38.2747,0.007896,0.002201,38.4176,0.006826,0.002431,25.9815,0.007945,0.002590,25.2193,-0.00041,0.00047,-0.35146,0.71089,-0.35700,-0.00218,0.00042,0.00131,-0.35176,0.71154,-0.35740,0.00031,0.00041,-0.00024,0.00039,-0.00024,-0.00047,0.22972,0.10522,-0.90277,0.22550,-0.04154,-0.00087,0.22455,-0.03785,-0.56664,0.12788,-0.04663,0.00737,0.00140,0.00710,0.00140,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006099,-0.001728,0.004191,-0.005081,0.004191,-0.000623,0.009915,0.009437,0.000000,0.003858,0.000000,0.000000,0.594740,0.405260,0.000000,0.000000,0.000000,-0.002228,0.000884
0.0300,0.00020,-0.00031,0.48043,1.00000,-0.00001,-0.00078,-0.00001,0.00608,-0.00017,0.31466,0.31453,0.00166,-0.00521,2,0.03473,0.00166,0.034700,0.00435,-0.1653,-0.0003,-0.1094,-0.2782,-0.0642,0.0166,-0.5289,0,0.04900,0.03000,0.0462,0.0669,0.011306,0.051858,-0.3592,-0.9212,38.0071,-0.3891,-0.9847,38.1812,-0.3661,-0.9233,26.6073,-0.3946,-0.9621,25.8972,0.006529,0.001934,38.0051,0.007110,0.002030,38.1812,0.005996,0.002184,26.6084,0.006783,0.002363,25.8972,-0.00040,0.00072,-0.35208,0.71176,-0.35741,-0.00218,0.00042,0.00162,-0.35242,0.71251,-0.35787,-0.00027,0.00043,-0.00021,0.00040,-0.00021,-0.00040,0.21442,0.09193,-0.91517,0.20507,-0.03963,-0.00073,0.20919,-0.04089,-0.60343,0.11460,-0.04421,0.00610,0.00127,0.00587,0.00127,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005989,-0.002041,0.004191,-0.005206,0.004191,-0.000747,0.009584,0.008748,0.000000,0.003640,0.000000,0.000000,0.587827,0.412173,0.000000,0.000000,0.000000,-0.002176,0.000313
0.0350,0.00019,-0.00040,0.48042,1.00000,-0.00001,-0.00074,-0.00001,0.00607,-0.00023,0.31466,0.31453,0.00156,-0.00533,2,0.03475,0.00156,0.034720,0.00362,-0.1478,-0.0003,-0.0999,-0.2594,-0.0298,0.0096,-0.4553,0,0.04900,0.03000,0.0431,0.0613,0.010687,0.051705,-0.3280,-0.8590,37.6923,-0.3513,-0.9138,37.9004,-0.3343,-0.8610,27.1501,-0.3565,-0.9067,26.4962,0.006040,0.001796,37.6908,0.006489,0.001873,37.9004,0.005369,0.001975,27.1510,0.005926,0.002158,26.4962,-0.00040,0.00100,-0.35265,0.71254,-0.35776,-0.00224,0.00041,0.00195,-0.35303,0.71338,-0.35829,-0.00085,0.00045,-0.00018,0.00041,-0.00018,-0.00035,0.19958,0.08143,-0.92243,0.18898,-0.03794,-0.00061,0.19451,-0.04155,-0.63415,0.10546,-0.04183,0.00518,0.00115,0.00500,0.00115,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005886,-0.002343,0.004191,-0.005330,0.004191,-0.000872,0.009275,0.008090,0.000000,0.003434,0.000000,0.000000,0.581220,0.418780,0.000000,0.000000,0.000000,-0.002179,-0.000267
0.0400,0.00018,-0.00049,0.48041,1.00000,-0.00001,-0.00070,-0.00001,0.00607,-0.00029,0.31466,0.31453,0.00147,-0.00545,2,0.03477,0.00147,0.034736,0.00300,-0.1327,-0.0003,-0.0911,-0.2418,-0.0090,0.0032,-0.3956,0,0.04900,0.03000,0.0402,0.0561,0.010185,0.051565,-0.2991,-0.8005,37.3514,-0.3172,-0.8501,37.5905,-0.3048,-0.8025,27.6289,-0.3220,-0.8511,27.0322,0.005630,0.001664,37.3502,0.005986,0.001730,37.5905,0.004879,0.001794,27.6296,0.005280,0.001972,27.0322,-0.00040,0.00131,-0.35317,0.71322,-0.35805,-0.00236,0.00041,0.00231,-0.35358,0.71413,-0.35863,-0.00142,0.00046,-0.00015,0.00042,-0.00015,-0.00031,0.18521,0.07283,-0.92602,0.17590,-0.03642,-0.00050,0.18042,-0.04070,-0.66029,0.09908,-0.03955,0.00452,0.00105,0.00438,0.00106,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005790,-0.002636,0.004191,-0.005455,0.004191,-0.000996,0.008987,0.007461,0.000000,0.003241,0.000000,0.000000,0.574904,0.425096,0.000000,0.000000,0.000000,-0.002240,-0.000848
0.0450,0.00017,-0.00060,0.48040,1.00000,-0.00001,-0.00066,-0.00001,0.00606,-0.00036,0.31466,0.31453,0.00139,-0.00558,2,0.03479,0.00139,0.034749,0.00249,-0.1200,-0.0003,-0.0830,-0.2252,0.0025,-0.0024,-0.3467,0,0.04900,0.03000,0.0377,0.0514,0.009768,0.051436,-0.2724,-0.7455,36.9977,-0.2865,-0.7920,37.2633,-0.2776,-0.7474,28.0588,-0.2908,-0.7966,27.5174,0.005276,0.001540,36.9967,0.005568,0.001599,37.2633,0.004486,0.001634,28.0593,0.004781,0.001801,27.5174,-0.00040,0.00165,-0.35366,0.71382,-0.35828,-0.00253,0.00041,0.00269,-0.35409,0.71478,-0.35890,-0.00199,0.00048,-0.00012,0.00044,-0.00012,-0.00028,0.17132,0.06552,-0.92702,0.16489,-0.03504,-0.00040,0.16684,-0.03894,-0.68292,0.09452,-0.03740,0.00401,0.00098,0.00392,0.00098,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005700,-0.002919,0.004191,-0.005579,0.004191,-0.001121,0.008717,0.006860,0.000000,0.003058,0.000000,0.000000,0.568866,0.431134,0.000000,0.000000,0.000000,-0.002360,-0.001423
