t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00005,0.00000,0.75203,1.00000,-0.00000,-0.00092,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03422,0.00183,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32324,0.00004,-0.00002,0.70531,-0.38065,-0.00002,-0.32324,-0.00003,0.00001,0.70531,-0.38065,0.00002,0.00140,0.00121,0.00140,0.00121,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0010,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03515,0.00007,0.68455,0.68452,0.00184,0.00007,2,0.03423,0.00184,0,0.08500,0.03000,0.2062,0.2064,-0.049808,0.118239,14.8932,-0.1230,136.1787,17.4727,-0.1997,141.2641,14.8911,0.0555,135.9580,17.4683,0.1454,141.0459,-0.076614,-0.000352,136.1724,-0.081131,-0.000292,141.2641,-0.076725,0.000691,135.9517,-0.081242,0.000616,141.0459,-0.32322,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70524,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.54623,-0.18311,0.11686,-14.83796,-5.00016,0.05220,-1.55250,0.17752,-0.11256,-14.81979,-5.00614,-0.09587,-1.26680,-0.84829,-1.26673,-0.84830,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00007,0.00000,0.75207,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03425,0.00185,0,0.08500,0.03000,0.1904,0.1907,-0.042990,0.118214,13.6346,-0.1221,138.0210,16.3525,-0.1627,143.1352,13.6326,0.0586,137.8011,16.3503,0.1091,142.9157,-0.069863,-0.000367,138.0153,-0.074313,-0.000316,143.1352,-0.069960,0.000676,137.7955,-0.074414,0.000622,142.9157,-0.32321,0.00004,-0.00002,0.70520,-0.38054,-0.00002,-0.32320,-0.00003,0.00001,0.70519,-0.38053,0.00002,0.00134,0.00119,0.00134,0.00119,-1.37221,-0.18569,0.11551,-14.59268,-4.21279,0.05479,-1.37844,0.18055,-0.11155,-14.57460,-4.21875,-0.09522,-1.28279,-0.87094,-1.28275,-0.87095,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0030,-0.00008,0.00000,0.75209,1.00000,-0.00000,-0.00093,-0.00000,0.03513,0.00007,0.68459,0.68452,0.00186,0.00007,2,0.03426,0.00186,0,0.08500,0.03000,0.1747,0.1749,-0.036694,0.118201,12.4637,-0.1212,139.7247,15.1913,-0.1618,144.9383,12.4617,0.0614,139.5057,15.1892,0.1110,144.7196,-0.063763,-0.000379,139.7197,-0.068017,-0.000330,144.9383,-0.063849,0.000663,139.5006,-0.068107,0.000609,144.7196,-0.32320,0.00004,-0.00002,0.70515,-0.38049,-0.00002,-0.32319,-0.00003,0.00001,0.70515,-0.38049,0.00002,0.00132,0.00117,0.00132,0.00117,-1.21038,-0.18809,0.11428,-14.36491,-3.48266,0.05720,-1.21657,0.18336,-0.11063,-14.34690,-3.48860,-0.09461,-1.29739,-0.89183,-1.29737,-0.89184,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75210,1.00000,-0.00000,-0.00093,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00186,0.00007,2,0.03428,0.00186,0,0.08500,0.03000,0.1604,0.1606,-0.030994,0.118188,11.3749,-0.1203,141.3011,14.1054,-0.1603,146.5987,11.3730,0.0642,141.0827,14.1016,0.1120,146.3801,-0.058238,-0.000391,141.2965,-0.062318,-0.000343,146.5987,-0.058315,0.000651,141.0782,-0.062397,0.000599,146.3801,-0.32319,0.00004,-0.00002,0.70512,-0.38046,-0.00002,-0.32319,-0.00003,0.00001,0.70512,-0.38046,0.00002,0.00129,0.00116,0.00129,0.00116,-1.05979,-0.19033,0.11314,-14.15330,-2.80555,0.05944,-1.06598,0.18598,-0.10979,-14.13535,-2.81145,-0.09405,-1.31067,-0.91109,-1.31067,-0.91110,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68463,0.68452,0.00187,0.00007,2,0.03429,0.00187,0,0.08500,0.03000,0.1468,0.1470,-0.025801,0.118176,10.3664,-0.1194,142.7615,13.0490,-0.1587,148.1132,10.3645,0.0668,142.5439,13.0477,0.1122,147.8963,-0.053226,-0.000402,142.7574,-0.057124,-0.000355,148.1132,-0.053294,0.000639,142.5398,-0.057196,0.000592,147.8963,-0.32319,0.00004,-0.00002,0.70510,-0.38044,-0.00002,-0.32319,-0.00003,0.00001,0.70510,-0.38043,0.00002,0.00126,0.00115,0.00126,0.00115,-0.91950,-0.19240,0.11215,-13.95639,-2.17748,0.06154,-0.92563,0.18844,-0.10900,-13.93852,-2.18338,-0.09352,-1.32276,-0.92887,-1.32275,-0.92887,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00010,0.00000,0.75214,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00007,2,0.03430,0.00187,0,0.08500,0.03000,0.1345,0.1347,-0.021079,0.118165,9.4329,-0.1186,144.1152,12.0663,-0.1576,149.5100,9.4309,0.0692,143.8983,12.0649,0.1138,149.2937,-0.048668,-0.000412,144.1115,-0.052402,-0.000366,149.5100,-0.048729,0.000629,143.8946,-0.052466,0.000582,149.2937,-0.32319,0.00004,-0.00002,0.70509,-0.38042,-0.00002,-0.32319,-0.00003,0.00001,0.70508,-0.38041,0.00002,0.00124,0.00114,0.00124,0.00114,-0.78870,-0.19432,0.11124,-13.77306,-1.59479,0.06350,-0.79477,0.19071,-0.10827,-13.75525,-1.60069,-0.09302,-1.33373,-0.94527,-1.33370,-0.94528,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0070,-0.00011,0.00000,0.75215,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00007,0.68466,0.68452,0.00187,0.00007,2,0.03432,0.00187,0,0.08500,0.03000,0.1233,0.1234,-0.016779,0.118156,8.5689,-0.1178,145.3706,11.1543,-0.1566,150.7990,8.5670,0.0715,145.1542,11.1530,0.1153,150.5835,-0.044517,-0.000421,145.3672,-0.048101,-0.000375,150.7990,-0.044571,0.000620,145.1508,-0.048158,0.000574,150.5835,-0.32320,0.00004,-0.00002,0.70508,-0.38041,-0.00002,-0.32320,-0.00003,0.00001,0.70508,-0.38040,0.00001,0.00121,0.00113,0.00121,0.00113,-0.66667,-0.19611,0.11041,-13.60224,-1.05407,0.06531,-0.67268,0.19282,-0.10761,-13.58449,-1.05996,-0.09257,-1.34364,-0.96041,-1.34360,-0.96041,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75216,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00188,0.00007,2,0.03433,0.00188,0,0.08500,0.03000,0.1131,0.1132,-0.012855,0.118147,7.7695,-0.1170,146.5352,10.3083,-0.1556,151.9891,7.7676,0.0737,146.3194,10.3069,0.1168,151.7741,-0.040729,-0.000429,146.5321,-0.044177,-0.000384,151.9891,-0.040777,0.000612,146.3163,-0.044228,0.000566,151.7741,-0.32321,0.00004,-0.00002,0.70509,-0.38040,-0.00002,-0.32321,-0.00003,0.00001,0.70508,-0.38040,0.00001,0.00118,0.00112,0.00118,0.00112,-0.55274,-0.19776,0.10966,-13.44298,-0.55215,0.06699,-0.55871,0.19478,-0.10700,-13.42528,-0.55804,-0.09215,-1.35257,-0.97437,-1.35252,-0.97436,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0090,-0.00012,0.00000,0.75218,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00188,0.00007,2,0.03434,0.00188,0,0.08500,0.03000,0.1037,0.1038,-0.009269,0.118139,7.0301,-0.1163,147.6160,9.5236,-0.1547,153.0880,7.0282,0.0757,147.4008,9.5222,0.1182,152.8736,-0.037268,-0.000437,147.6132,-0.040590,-0.000392,153.0880,-0.037310,0.000605,147.3980,-0.040636,0.000560,152.8736,-0.32322,0.00004,-0.00002,0.70509,-0.38040,-0.00002,-0.32322,-0.00003,0.00001,0.70509,-0.38039,0.00001,0.00116,0.00112,0.00116,0.00112,-0.44633,-0.19930,0.10897,-13.29437,-0.08614,0.06855,-0.45226,0.19658,-0.10645,-13.27673,-0.09202,-0.09177,-1.36059,-0.98723,-1.36053,-0.98723,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
