t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48034,1.00000,0.00000,-0.00126,0.00000,0.00608,-0.00000,0.31446,0.31446,0.00284,0.00445,2,0.03443,0.00284,0.034433,0.01265,-0.3179,0.0000,-0.1997,0.4165,-1.2754,-0.0000,-2.3360,0,0.04900,0.01900,0.1001,0.1001,0.002422,0.068717,-0.6671,1.3803,19.5778,0.0484,-1.9840,33.0639,-0.6566,1.3811,37.0067,0.0484,1.9840,33.0639,0.024735,-0.005026,19.5841,-0.001791,0.018998,33.0639,0.016778,-0.002977,36.9974,-0.001791,-0.018998,33.0639,-0.00064,-0.00035,-0.34822,0.70689,-0.35473,-0.00498,0.00064,0.00028,-0.34820,0.70685,-0.35470,0.00508,0.00034,-0.00039,0.00034,-0.00039,0.00212,-0.31653,0.12040,-0.10983,0.41935,0.05632,0.00090,-0.31183,0.32096,-0.58103,0.55446,0.05415,0.03229,0.00250,0.03229,0.00250,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006961,-0.000000,0.004200,0.004450,0.004200,0.000000,0.012483,-0.013351,0.000000,0.005237,0.000000,0.000000,0.365725,0.634275,0.000000,0.000000,0.000000,-0.005271,0.005271
0.0050,0.00024,0.00003,0.48037,1.00000,0.00000,-0.00112,0.00000,0.00610,0.00001,0.31452,0.31446,0.00251,0.00457,2,0.03449,0.00251,0.034493,0.01181,-0.3194,-0.0001,-0.1852,0.3906,-0.9100,-0.0206,-1.8626,0,0.04900,0.01900,0.1020,0.0752,0.028129,0.046341,-0.6189,1.2955,21.3349,-0.6786,1.0729,20.7501,-0.6090,1.2942,37.6719,-0.6799,1.5712,37.9395,0.018595,-0.003974,21.3406,0.023931,-0.003364,20.7501,0.013927,-0.002859,37.6635,0.016654,-0.003350,37.9395,-0.00062,-0.00048,-0.34893,0.70777,-0.35527,-0.00442,0.00062,0.00023,-0.34887,0.70764,-0.35520,0.00476,0.00035,-0.00037,0.00035,-0.00037,0.00191,-0.29460,0.06459,-0.22996,0.32769,0.05579,0.00069,-0.29750,0.25295,-0.67312,0.45545,0.04951,0.02450,0.00232,0.02466,0.00233,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006813,0.000362,0.004200,0.004575,0.004200,0.000124,0.012041,-0.012515,0.000000,0.004958,0.000000,0.000000,0.374136,0.625864,0.000000,0.000000,0.000000,-0.004984,0.005083
0.0100,0.00026,0.00006,0.48037,1.00000,0.00000,-0.00101,0.00000,0.00612,0.00002,0.31456,0.31446,0.00225,0.00470,2,0.03454,0.00225,0.034549,0.01069,-0.3080,-0.0001,-0.1709,0.3658,-0.6474,-0.0295,-1.5012,0,0.04900,0.01900,0.0955,0.0675,0.022598,0.046721,-0.5712,1.2139,22.7350,-0.6363,1.0907,22.0476,-0.5619,1.2113,38.0133,-0.6350,1.4108,38.2141,0.014576,-0.003274,22.7399,0.018400,-0.002987,22.0476,0.011864,-0.002721,38.0060,0.013941,-0.003071,38.2141,-0.00060,-0.00068,-0.34980,0.70905,-0.35599,-0.00368,0.00060,0.00015,-0.34969,0.70881,-0.35585,0.00438,0.00036,-0.00034,0.00037,-0.00034,0.00170,-0.27473,0.02642,-0.32402,0.26131,0.05461,0.00051,-0.28199,0.20294,-0.73971,0.38159,0.04587,0.01892,0.00214,0.01916,0.00215,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006666,0.000715,0.004200,0.004699,0.004200,0.000249,0.011600,-0.011704,0.000000,0.004686,0.000000,0.000000,0.382290,0.617710,0.000000,0.000000,0.000000,-0.004416,0.004757
0.0150,0.00028,0.00011,0.48037,1.00000,0.00001,-0.00092,0.00000,0.00613,0.00005,0.31458,0.31445,0.00203,0.00482,2,0.03458,0.00203,0.034599,0.00945,-0.2889,-0.0002,-0.1572,0.3422,-0.4600,-0.0313,-1.2223,0,0.04900,0.01900,0.0886,0.0611,0.018777,0.047000,-0.5254,1.1361,23.8660,-0.5873,1.0809,23.1335,-0.5166,1.1327,38.1245,-0.5844,1.2757,38.2927,0.011837,-0.002784,23.8700,0.014579,-0.002708,23.1335,0.010338,-0.002570,38.1183,0.011919,-0.002813,38.2927,-0.00059,-0.00093,-0.35076,0.71055,-0.35680,-0.00284,0.00059,0.00004,-0.35059,0.71018,-0.35659,0.00400,0.00037,-0.00031,0.00039,-0.00031,0.00150,-0.25640,0.00085,-0.39834,0.21355,0.05281,0.00038,-0.26603,0.16595,-0.78728,0.32635,0.04303,0.01494,0.00197,0.01522,0.00198,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006524,0.001058,0.004200,0.004823,0.004200,0.000373,0.011172,-0.010923,0.000000,0.004425,0.000000,0.000000,0.390146,0.609854,0.000000,0.000000,0.000000,-0.003676,0.004375
0.0200,0.00029,0.00017,0.48035,1.00000,0.00001,-0.00084,0.00001,0.00614,0.00008,0.31459,0.31445,0.00184,0.00495,2,0.03462,0.00184,0.034642,0.00818,-0.2658,-0.0002,-0.1442,0.3198,-0.3280,-0.0290,-1.0045,0,0.04900,0.01900,0.0819,0.0557,0.016075,0.047223,-0.4820,1.0622,24.7929,-0.5361,1.0531,24.0573,-0.4739,1.0584,38.0726,-0.5321,1.1617,38.2361,0.009911,-0.002424,24.7962,0.011877,-0.002484,24.0573,0.009185,-0.002410,38.0674,0.010387,-0.002576,38.2361,-0.00059,-0.00121,-0.35176,0.71214,-0.35765,-0.00197,0.00059,-0.00011,-0.35153,0.71166,-0.35737,0.00366,0.00039,-0.00027,0.00041,-0.00027,0.00129,-0.23927,-0.01581,-0.45765,0.17935,0.05053,0.00028,-0.25004,0.13829,-0.82067,0.28476,0.04080,0.01212,0.00181,0.01240,0.00181,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006388,0.001391,0.004200,0.004948,0.004200,0.000497,0.010764,-0.010173,0.000000,0.004176,0.000000,0.000000,0.397687,0.602313,0.000000,0.000000,0.000000,-0.002843,0.003996
0.0250,0.00029,0.00024,0.48033,1.00000,0.00001,-0.00078,0.00001,0.00615,0.00012,0.31459,0.31444,0.00169,0.00507,2,0.03466,0.00169,0.034680,0.00697,-0.2414,-0.0003,-0.1321,0.2987,-0.2367,-0.0244,-0.8324,0,0.04900,0.01900,0.0754,0.0511,0.014130,0.047413,-0.4416,0.9922,25.5647,-0.4862,1.0131,24.8542,-0.4340,0.9883,37.9063,-0.4810,1.0649,38.0840,0.008521,-0.002151,25.5673,0.009931,-0.002293,24.8542,0.008296,-0.002249,37.9021,0.009210,-0.002359,38.0840,-0.00058,-0.00152,-0.35275,0.71376,-0.35850,-0.00111,0.00058,-0.00030,-0.35248,0.71316,-0.35814,0.00340,0.00041,-0.00024,0.00043,-0.00024,0.00110,-0.22309,-0.02627,-0.50553,0.15492,0.04792,0.00022,-0.23426,0.11724,-0.84348,0.25307,0.03903,0.01014,0.00166,0.01039,0.00166,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006260,0.001713,0.004200,0.005072,0.004200,0.000621,0.010381,-0.009455,0.000000,0.003940,0.000000,0.000000,0.404914,0.595086,0.000000,0.000000,0.000000,-0.001974,0.003662
0.0300,0.00028,0.00031,0.48030,1.00000,0.00001,-0.00072,0.00001,0.00615,0.00017,0.31458,0.31442,0.00155,0.00520,2,0.03468,0.00155,0.034711,0.00586,-0.2173,-0.0003,-0.1208,0.2788,-0.1751,-0.0189,-0.6948,0,0.04900,0.01900,0.0692,0.0473,0.012709,0.047587,-0.4041,0.9262,26.2181,-0.4402,0.9647,25.5519,-0.3971,0.9221,37.6615,-0.4342,0.9826,37.8655,0.007491,-0.001934,26.2200,0.008509,-0.002117,25.5519,0.007594,-0.002090,37.6581,0.008296,-0.002165,37.8655,-0.00058,-0.00185,-0.35374,0.71536,-0.35932,-0.00026,0.00058,-0.00053,-0.35342,0.71467,-0.35890,0.00321,0.00042,-0.00020,0.00045,-0.00020,0.00092,-0.20768,-0.03250,-0.54466,0.13742,0.04518,0.00018,-0.21882,0.10085,-0.85843,0.22851,0.03760,0.00874,0.00152,0.00895,0.00152,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006140,0.002025,0.004200,0.005196,0.004200,0.000746,0.010022,-0.008767,0.000000,0.003718,0.000000,0.000000,0.411833,0.588167,0.000000,0.000000,0.000000,-0.001107,0.003397
0.0350,0.00027,0.00040,0.48027,1.00000,0.00001,-0.00067,0.00001,0.00615,0.00023,0.31456,0.31441,0.00144,0.00532,2,0.03471,0.00144,0.034737,0.00487,-0.1948,-0.0003,-0.1104,0.2600,-0.1350,-0.0131,-0.5838,0,0.04900,0.01900,0.0634,0.0440,0.011654,0.047749,-0.3693,0.8638,26.7806,-0.3985,0.9117,26.1691,-0.3629,0.8598,37.3645,-0.3925,0.9116,37.6013,0.006709,-0.001756,26.7820,0.007453,-0.001954,26.1691,0.007027,-0.001937,37.3617,0.007574,-0.001992,37.6013,-0.00058,-0.00221,-0.35470,0.71692,-0.36010,0.00054,0.00058,-0.00080,-0.35434,0.71614,-0.35963,0.00312,0.00044,-0.00017,0.00048,-0.00017,0.00076,-0.19292,-0.03586,-0.57708,0.12477,0.04243,0.00016,-0.20380,0.08772,-0.86754,0.20900,0.03639,0.00775,0.00142,0.00792,0.00141,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006028,0.002328,0.004200,0.005320,0.004200,0.000870,0.009686,-0.008108,0.000000,0.003507,0.000000,0.000000,0.418456,0.581544,0.000000,0.000000,0.000000,-0.000263,0.003214
0.0400,0.00026,0.00049,0.48023,1.00000,0.00001,-0.00062,0.00001,0.00614,0.00029,0.31455,0.31439,0.00134,0.00544,2,0.03472,0.00134,0.034759,0.00400,-0.1743,-0.0004,-0.1008,0.2423,-0.1103,-0.0075,-0.4933,0,0.04900,0.01900,0.0580,0.0411,0.010856,0.047900,-0.3371,0.8051,27.2739,-0.3609,0.8569,26.7205,-0.3312,0.8011,37.0350,-0.3552,0.8488,37.3053,0.006098,-0.001604,27.2749,0.006653,-0.001801,26.7205,0.006555,-0.001792,37.0327,0.006993,-0.001838,37.3053,-0.00057,-0.00259,-0.35563,0.71844,-0.36085,0.00131,0.00058,-0.00109,-0.35525,0.71759,-0.36033,0.00310,0.00046,-0.00014,0.00050,-0.00014,0.00062,-0.17871,-0.03736,-0.60434,0.11545,0.03977,0.00015,-0.18923,0.07685,-0.87238,0.19303,0.03533,0.00704,0.00133,0.00717,0.00133,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005924,0.002621,0.004200,0.005445,0.004200,0.000994,0.009373,-0.007478,0.000000,0.003309,0.000000,0.000000,0.424796,0.575204,0.000000,0.000000,0.000000,0.000544,0.003116
0.0450,0.00024,0.00059,0.48020,1.00000,0.00001,-0.00059,0.00001,0.00613,0.00036,0.31453,0.31438,0.00125,0.00557,2,0.03474,0.00125,0.034777,0.00325,-0.1562,-0.0004,-0.0919,0.2256,-0.0963,-0.0024,-0.4189,0,0.04900,0.01900,0.0531,0.0385,0.010237,0.048042,-0.3073,0.7498,27.7141,-0.3269,0.8022,27.2182,-0.3020,0.7459,36.6877,-0.3218,0.7920,36.9885,0.005608,-0.001471,27.7147,0.006034,-0.001658,27.2182,0.006151,-0.001658,36.6859,0.006515,-0.001699,36.9885,-0.00057,-0.00298,-0.35655,0.71991,-0.36155,0.00204,0.00058,-0.00142,-0.35615,0.71901,-0.36099,0.00316,0.00048,-0.00012,0.00052,-0.00012,0.00049,-0.16500,-0.03768,-0.62768,0.10836,0.03728,0.00015,-0.17514,0.06752,-0.87416,0.17953,0.03438,0.00652,0.00126,0.00661,0.00126,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005826,0.002905,0.004200,0.005569,0.004200,0.001119,0.009079,-0.006874,0.000000,0.003122,0.000000,0.000000,0.430863,0.569137,0.000000,0.000000,0.000000,0.001312,0.003100
