phase,z,pitch,vx,vz,w
0.01000,0.249198,0.005470,3.093384,-0.023533,1.863762
0.03000,0.248992,0.012883,3.097768,-0.075938,1.836700
0.05000,0.248576,0.019989,3.093519,-0.111809,1.774542
0.07000,0.248007,0.026685,3.082405,-0.131556,1.657366
0.09000,0.247682,0.032164,3.072121,-0.135637,1.545404
0.11000,0.247214,0.037156,3.056982,-0.126192,1.354594
0.13000,0.246727,0.041734,3.040590,-0.100878,1.117597
0.15000,0.246438,0.045325,3.023544,-0.065688,0.888458
0.17000,0.246350,0.048371,3.016968,-0.020570,0.610975
0.19000,0.246279,0.049979,3.013834,0.028667,0.293437
0.21000,0.246505,0.050064,3.003931,0.082140,-0.090040
0.23000,0.246906,0.048934,3.003227,0.129049,-0.435642
0.25000,0.247494,0.046632,3.005575,0.162441,-0.710066
0.27000,0.248066,0.044119,3.015042,0.182520,-0.899429
0.29000,0.248716,0.041012,3.023505,0.190964,-1.033696
0.31000,0.249397,0.036602,3.022732,0.190208,-1.146591
0.33000,0.250103,0.032362,3.029252,0.181975,-1.212055
0.35000,0.250727,0.027528,3.023000,0.162805,-1.242055
0.37000,0.251326,0.023565,3.015175,0.135339,-1.246330
0.39000,0.251650,0.018595,3.011697,0.111122,-1.277576
0.41000,0.252075,0.014565,2.994981,0.076970,-1.295985
0.43000,0.252272,0.009652,2.980139,0.036587,-1.330101
0.45000,0.252403,0.004593,2.965592,-0.009380,-1.362116
0.47000,0.252105,-0.000972,2.954680,-0.067610,-1.418690
0.49000,0.251885,-0.005324,2.956225,-0.119295,-1.547026
0.51000,0.251380,-0.010884,2.959902,-0.167477,-1.751590
0.53000,0.250539,-0.018838,2.963755,-0.219266,-1.940010
0.55000,0.249813,-0.025641,2.968135,-0.257866,-2.030947
0.57000,0.248757,-0.032702,2.967046,-0.281195,-2.006538
0.59000,0.247760,-0.040113,2.968578,-0.289920,-1.899158
0.61000,0.246686,-0.046744,2.955457,-0.285670,-1.676503
0.63000,0.245693,-0.051537,2.948505,-0.269905,-1.435308
0.65000,0.244733,-0.057040,2.941630,-0.236610,-1.119568
0.67000,0.243963,-0.060013,2.936777,-0.196658,-0.794205
0.69000,0.243376,-0.062643,2.929351,-0.148525,-0.474121
0.71000,0.242929,-0.063204,2.924570,-0.096785,-0.157440
0.73000,0.242730,-0.063549,2.926709,-0.036209,0.175072
0.75000,0.242641,-0.062187,2.927516,0.017933,0.441046
0.77000,0.242831,-0.060269,2.936300,0.069343,0.666482
0.79000,0.243201,-0.057665,2.952020,0.116085,0.893137
0.81000,0.243652,-0.053990,2.958502,0.154173,1.069978
0.83000,0.244237,-0.049609,2.972057,0.186102,1.236991
0.85000,0.245045,-0.044900,2.980959,0.210719,1.403328
0.87000,0.245733,-0.039142,2.996744,0.220874,1.545172
0.89000,0.246602,-0.034097,3.015359,0.222328,1.679674
0.91000,0.247388,-0.027867,3.022296,0.210748,1.806932
0.93000,0.248127,-0.020858,3.034681,0.184193,1.885888
0.95000,0.248764,-0.013499,3.052587,0.140282,1.958124
0.97000,0.249104,-0.005855,3.074141,0.077062,1.925384
0.99000,0.249263,-0.000138,3.090558,0.023729,1.887371
