phase,z,pitch,vx,vz,w
0.01000,0.250755,0.005470,2.593384,-0.047066,1.863762
0.03000,0.250343,0.012883,2.597768,-0.151876,1.836700
0.05000,0.249512,0.019989,2.593519,-0.223618,1.774542
0.07000,0.248373,0.026685,2.582405,-0.263111,1.657366
0.09000,0.247724,0.032164,2.572121,-0.271275,1.545404
0.11000,0.246788,0.037156,2.556982,-0.252384,1.354594
0.13000,0.245813,0.041734,2.540590,-0.201755,1.117597
0.15000,0.245236,0.045325,2.523544,-0.131376,0.888458
0.17000,0.245060,0.048371,2.516968,-0.041140,0.610975
0.19000,0.244917,0.049979,2.513834,0.057333,0.293437
0.21000,0.245369,0.050064,2.503931,0.164281,-0.090040
0.23000,0.246172,0.048934,2.503227,0.258098,-0.435642
0.25000,0.247348,0.046632,2.505575,0.324883,-0.710066
0.27000,0.248492,0.044119,2.515042,0.365041,-0.899429
0.29000,0.249791,0.041012,2.523505,0.381928,-1.033696
0.31000,0.251154,0.036602,2.522732,0.380416,-1.146591
0.33000,0.252566,0.032362,2.529252,0.363950,-1.212055
0.35000,0.253813,0.027528,2.523000,0.325610,-1.242055
0.37000,0.255011,0.023565,2.515175,0.270679,-1.246330
0.39000,0.255660,0.018595,2.511697,0.222244,-1.277576
0.41000,0.256510,0.014565,2.494981,0.153939,-1.295985
0.43000,0.256903,0.009652,2.480139,0.073173,-1.330101
0.45000,0.257165,0.004593,2.465592,-0.018759,-1.362116
0.47000,0.256569,-0.000972,2.454680,-0.135220,-1.418690
0.49000,0.256129,-0.005324,2.456225,-0.238590,-1.547026
0.51000,0.255118,-0.010884,2.459902,-0.334954,-1.751590
0.53000,0.253437,-0.018838,2.463755,-0.438532,-1.940010
0.55000,0.251984,-0.025641,2.468135,-0.515733,-2.030947
0.57000,0.249873,-0.032702,2.467046,-0.562390,-2.006538
0.59000,0.247880,-0.040113,2.468578,-0.579840,-1.899158
0.61000,0.245732,-0.046744,2.455457,-0.571341,-1.676503
0.63000,0.243744,-0.051537,2.448505,-0.539810,-1.435308
0.65000,0.241825,-0.057040,2.441630,-0.473220,-1.119568
0.67000,0.240285,-0.060013,2.436777,-0.393315,-0.794205
0.69000,0.239112,-0.062643,2.429351,-0.297050,-0.474121
0.71000,0.238218,-0.063204,2.424570,-0.193570,-0.157440
0.73000,0.237819,-0.063549,2.426709,-0.072417,0.175072
0.75000,0.237641,-0.062187,2.427516,0.035867,0.441046
0.77000,0.238022,-0.060269,2.436300,0.138685,0.666482
0.79000,0.238762,-0.057665,2.452020,0.232170,0.893137
0.81000,0.239664,-0.053990,2.458502,0.308346,1.069978
0.83000,0.240833,-0.049609,2.472057,0.372205,1.236991
0.85000,0.242448,-0.044900,2.480959,0.421438,1.403328
0.87000,0.243825,-0.039142,2.496744,0.441747,1.545172
0.89000,0.245562,-0.034097,2.515359,0.444655,1.679674
0.91000,0.247136,-0.027867,2.522296,0.421497,1.806932
0.93000,0.248613,-0.020858,2.534681,0.368387,1.885888
0.95000,0.249887,-0.013499,2.552587,0.280564,1.958124
0.97000,0.250567,-0.005855,2.574141,0.154124,1.925384
0.99000,0.250886,-0.000138,2.590558,0.047458,1.887371
