tick,t,FR_hip_joint_q,FR_hip_joint_dq,FR_thigh_joint_q,FR_thigh_joint_dq,FR_calf_joint_q,FR_calf_joint_dq,FL_hip_joint_q,FL_hip_joint_dq,FL_thigh_joint_q,FL_thigh_joint_dq,FL_calf_joint_q,FL_calf_joint_dq,RR_hip_joint_q,RR_hip_joint_dq,RR_thigh_joint_q,RR_thigh_joint_dq,RR_calf_joint_q,RR_calf_joint_dq,RL_hip_joint_q,RL_hip_joint_dq,RL_thigh_joint_q,RL_thigh_joint_dq,RL_calf_joint_q,RL_calf_joint_dq,root_x,root_y,root_z,root_qw,root_qx,root_qy,root_qz,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
0,0.0000,-0.000107,-0.053697,0.999521,0.031714,-1.988214,-0.035523,0.000107,0.053697,0.999521,0.031714,-1.988214,-0.035523,-0.000120,-0.059997,0.999527,0.034924,-1.988222,-0.039812,0.000120,0.059997,0.999527,0.034924,-1.988222,-0.039812,0.00000,0.00000,0.30000,1.000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,0.0020,-0.000286,-0.089212,0.999610,0.044681,-1.988308,-0.047247,0.000286,0.089212,0.999610,0.044681,-1.988308,-0.047247,-0.000312,-0.096158,0.999622,0.047627,-1.988323,-0.050554,0.000312,0.096158,0.999622,0.047627,-1.988323,-0.050554,0.00000,0.00000,0.29996,1.000000,-0.000000,-0.000006,-0.000000,0.00029,0.00000,-0.02219,-0.00000,-0.00639,-0.00000
2,0.0040,-0.000504,-0.109031,0.999707,0.048589,-1.988406,-0.049106,0.000504,0.109031,0.999707,0.048589,-1.988406,-0.049106,-0.000541,-0.114134,0.999723,0.050381,-1.988424,-0.050560,0.000541,0.114134,0.999723,0.050381,-1.988424,-0.050560,0.00000,0.00000,0.29987,1.000000,-0.000000,-0.000015,-0.000000,0.00042,-0.00000,-0.04318,-0.00000,-0.00906,-0.00000
3,0.0060,-0.000738,-0.116834,0.999803,0.047921,-1.988500,-0.046808,0.000738,0.116834,0.999803,0.047921,-1.988500,-0.046808,-0.000779,-0.119337,0.999820,0.048527,-1.988518,-0.046733,0.000779,0.119337,0.999820,0.048527,-1.988518,-0.046733,0.00000,-0.00000,0.29974,1.000000,-0.000000,-0.000025,-0.000000,0.00047,-0.00000,-0.06342,-0.00000,-0.00982,-0.00000
4,0.0080,-0.000970,-0.116125,0.999893,0.044911,-1.988586,-0.042787,0.000970,0.116125,0.999893,0.044911,-1.988586,-0.042787,-0.001012,-0.116149,0.999909,0.044561,-1.988601,-0.041713,0.001012,0.116149,0.999909,0.044561,-1.988601,-0.041713,0.00000,-0.00000,0.29958,1.000000,-0.000000,-0.000035,-0.000000,0.00047,-0.00000,-0.08319,-0.00000,-0.00959,-0.00000
5,0.0100,-0.001189,-0.109806,0.999974,0.040761,-1.988662,-0.038142,0.001189,0.109806,0.999974,0.040761,-1.988662,-0.038142,-0.001227,-0.107867,0.999989,0.039740,-1.988674,-0.036528,0.001227,0.107867,0.999989,0.039740,-1.988674,-0.036528,0.00000,-0.00000,0.29937,1.000000,-0.000000,-0.000044,-0.000000,0.00045,-0.00000,-0.10265,0.00000,-0.00885,-0.00000
6,0.0120,-0.001390,-0.100127,1.000047,0.036158,-1.988729,-0.033409,0.001390,0.100127,1.000047,0.036158,-1.988729,-0.033409,-0.001421,-0.096852,1.000058,0.034729,-1.988738,-0.031591,0.001421,0.096852,1.000058,0.034729,-1.988738,-0.031591,0.00001,-0.00000,0.29913,1.000000,-0.000000,-0.000052,-0.000000,0.00041,-0.00000,-0.12194,0.00000,-0.00788,-0.00000
7,0.0140,-0.001567,-0.088747,1.000110,0.031509,-1.988786,-0.028861,0.001567,0.088747,1.000110,0.031509,-1.988786,-0.028861,-0.001590,-0.084736,1.000118,0.029889,-1.988792,-0.027065,0.001590,0.084736,1.000118,0.029889,-1.988792,-0.027065,0.00001,-0.00000,0.29884,1.000000,-0.000000,-0.000058,-0.000000,0.00037,-0.00000,-0.14113,0.00000,-0.00686,-0.00000
8,0.0160,-0.001721,-0.076841,1.000164,0.027055,-1.988836,-0.024645,0.001721,0.076841,1.000164,0.027055,-1.988836,-0.024645,-0.001736,-0.072593,1.000169,0.025413,-1.988838,-0.023010,0.001736,0.072593,1.000169,0.025413,-1.988838,-0.023010,0.00001,-0.00000,0.29852,1.000000,-0.000000,-0.000064,-0.000000,0.00032,-0.00000,-0.16029,-0.00000,-0.00586,-0.00000
9,0.0180,-0.001851,-0.065201,1.000210,0.022935,-1.988877,-0.020832,0.001851,0.065201,1.000210,0.022935,-1.988877,-0.020832,-0.001858,-0.061094,1.000211,0.021389,-1.988877,-0.019433,0.001858,0.061094,1.000211,0.021389,-1.988877,-0.019433,0.00001,-0.00000,0.29817,1.000000,-0.000000,-0.000069,-0.000000,0.00028,0.00000,-0.17944,-0.00000,-0.00494,-0.00000
10,0.0200,-0.001960,-0.054328,1.000248,0.019219,-1.988912,-0.017451,0.001960,0.054328,1.000248,0.019219,-1.988912,-0.017451,-0.001959,-0.050621,1.000247,0.017847,-1.988909,-0.016317,0.001959,0.050621,1.000247,0.017847,-1.988909,-0.016317,0.00001,-0.00000,0.29777,1.000000,-0.000000,-0.000073,-0.000000,0.00023,0.00000,-0.19862,-0.00000,-0.00412,-0.00000
11,0.0220,-0.002049,-0.044507,1.000280,0.015933,-1.988941,-0.014499,0.002049,0.044507,1.000280,0.015933,-1.988941,-0.014499,-0.002042,-0.041354,1.000277,0.014780,-1.988937,-0.013631,0.002042,0.041354,1.000277,0.014780,-1.988937,-0.013631,0.00001,0.00000,0.29733,1.000000,-0.000000,-0.000077,-0.000000,0.00020,0.00000,-0.21783,-0.00000,-0.00341,0.00000
12,0.0240,-0.002121,-0.035868,1.000306,0.013076,-1.988965,-0.011957,0.002121,0.035868,1.000306,0.013076,-1.988965,-0.011957,-0.002108,-0.033342,1.000301,0.012159,-1.988959,-0.011336,0.002108,0.033342,1.000301,0.012159,-1.988959,-0.011336,0.00001,0.00000,0.29686,1.000000,-0.000000,-0.000080,-0.000000,0.00016,0.00000,-0.23709,-0.00000,-0.00280,0.00000
13,0.0260,-0.002178,-0.028437,1.000327,0.010627,-1.988985,-0.009793,0.002178,0.028437,1.000327,0.010627,-1.988985,-0.009793,-0.002162,-0.026545,1.000321,0.009943,-1.988978,-0.009391,0.002162,0.026545,1.000321,0.009943,-1.988978,-0.009391,0.00001,0.00000,0.29635,1.000000,-0.000000,-0.000082,-0.000000,0.00013,0.00000,-0.25640,-0.00000,-0.00229,-0.00000
14,0.0280,-0.002222,-0.022167,1.000344,0.008553,-1.989001,-0.007971,0.002222,0.022167,1.000344,0.008553,-1.989001,-0.007971,-0.002203,-0.020872,1.000337,0.008088,-1.988993,-0.007755,0.002203,0.020872,1.000337,0.008088,-1.988993,-0.007755,0.00001,0.00000,0.29579,1.000000,-0.000000,-0.000084,-0.000000,0.00011,0.00000,-0.27575,-0.00000,-0.00186,-0.00000
15,0.0300,-0.002256,-0.016968,1.000358,0.006818,-1.989014,-0.006452,0.002256,0.016968,1.000358,0.006818,-1.989014,-0.006452,-0.002236,-0.016208,1.000350,0.006547,-1.989006,-0.006386,0.002236,0.016208,1.000350,0.006547,-1.989006,-0.006386,0.00001,0.00000,0.29520,1.000000,-0.000000,-0.000085,-0.000000,0.00009,0.00000,-0.29515,-0.00000,-0.00151,-0.00000
16,0.0320,-0.002281,-0.012729,1.000369,0.005383,-1.989024,-0.005196,0.002281,0.012729,1.000369,0.005383,-1.989024,-0.005196,-0.002261,-0.012423,1.000361,0.005277,-1.989017,-0.005247,0.002261,0.012423,1.000361,0.005277,-1.989017,-0.005247,0.00001,0.00000,0.29457,1.000000,-0.000000,-0.000086,-0.000000,0.00007,0.00000,-0.31458,-0.00000,-0.00122,-0.00000
17,0.0340,-0.002300,-0.009327,1.000377,0.004207,-1.989032,-0.004166,0.002300,0.009327,1.000377,0.004207,-1.989032,-0.004166,-0.002279,-0.009392,1.000369,0.004237,-1.989025,-0.004305,0.002279,0.009392,1.000369,0.004237,-1.989025,-0.004305,0.00001,0.00000,0.29391,1.000000,-0.000000,-0.000087,-0.000000,0.00005,0.00000,-0.33405,-0.00000,-0.00099,-0.00000
18,0.0360,-0.002313,-0.006641,1.000384,0.003255,-1.989039,-0.003327,0.002313,0.006641,1.000384,0.003255,-1.989039,-0.003327,-0.002293,-0.006994,1.000376,0.003390,-1.989032,-0.003527,0.002293,0.006994,1.000376,0.003390,-1.989032,-0.003527,0.00001,0.00000,0.29320,1.000000,-0.000000,-0.000088,-0.000000,0.00004,0.00000,-0.35354,-0.00000,-0.00080,-0.00000
19,0.0380,-0.002322,-0.004556,1.000389,0.002492,-1.989044,-0.002648,0.002322,0.004556,1.000389,0.002492,-1.989044,-0.002648,-0.002304,-0.005120,1.000381,0.002705,-1.989038,-0.002889,0.002304,0.005120,1.000381,0.002705,-1.989038,-0.002889,0.00001,0.00000,0.29245,1.000000,-0.000000,-0.000089,-0.000000,0.00003,0.00000,-0.37307,-0.00000,-0.00064,-0.00000
20,0.0400,-0.002328,-0.002967,1.000392,0.001886,-1.989048,-0.002102,0.002328,0.002967,1.000392,0.001886,-1.989048,-0.002102,-0.002311,-0.003674,1.000386,0.002153,-1.989043,-0.002365,0.002311,0.003674,1.000386,0.002153,-1.989043,-0.002365,0.00001,0.00000,0.29167,1.000000,-0.000000,-0.000089,-0.000000,0.00002,0.00000,-0.39261,-0.00000,-0.00052,-0.00000
21,0.0420,-0.002332,-0.001780,1.000395,0.001411,-1.989052,-0.001666,0.002332,0.001780,1.000395,0.001411,-1.989052,-0.001666,-0.002316,-0.002573,1.000389,0.001711,-1.989047,-0.001937,0.002316,0.002573,1.000389,0.001711,-1.989047,-0.001937,0.00001,0.00000,0.29084,1.000000,-0.000000,-0.000090,-0.000000,0.00002,0.00000,-0.41217,-0.00000,-0.00042,-0.00000
22,0.0440,-0.002334,-0.000915,1.000397,0.001043,-1.989054,-0.001319,0.002334,0.000915,1.000397,0.001043,-1.989054,-0.001319,-0.002320,-0.001746,1.000392,0.001358,-1.989050,-0.001588,0.002320,0.001746,1.000392,0.001358,-1.989050,-0.001588,0.00001,0.00000,0.28998,1.000000,-0.000000,-0.000090,-0.000000,0.00001,0.00000,-0.43175,-0.00000,-0.00034,-0.00000
23,0.0460,-0.002334,-0.000303,1.000399,0.000760,-1.989057,-0.001044,0.002334,0.000303,1.000399,0.000760,-1.989057,-0.001044,-0.002322,-0.001135,1.000394,0.001077,-1.989053,-0.001303,0.002322,0.001135,1.000394,0.001077,-1.989053,-0.001303,0.00001,0.00000,0.28908,1.000000,-0.000000,-0.000090,-0.000000,0.00001,0.00000,-0.45133,-0.00000,-0.00027,-0.00000
24,0.0480,-0.002334,0.000114,1.000400,0.000546,-1.989058,-0.000826,0.002334,-0.000114,1.000400,0.000546,-1.989058,-0.000826,-0.002323,-0.000692,1.000396,0.000854,-1.989055,-0.001071,0.002323,0.000692,1.000396,0.000854,-1.989055,-0.001071,0.00001,0.00000,0.28814,1.000000,-0.000000,-0.000091,-0.000000,0.00001,0.00000,-0.47093,-0.00000,-0.00022,-0.00000
25,0.0500,-0.002333,0.000382,1.000401,0.000386,-1.989060,-0.000656,0.002333,-0.000382,1.000401,0.000386,-1.989060,-0.000656,-0.002324,-0.000377,1.000397,0.000678,-1.989056,-0.000881,0.002324,0.000377,1.000397,0.000678,-1.989056,-0.000881,0.00001,0.00000,0.28715,1.000000,-0.000000,-0.000091,-0.000000,0.00000,0.00000,-0.49053,-0.00000,-0.00018,-0.00000
26,0.0520,-0.002332,0.000540,1.000401,0.000269,-1.989061,-0.000522,0.002332,-0.000540,1.000401,0.000269,-1.989061,-0.000522,-0.002324,-0.000159,1.000398,0.000539,-1.989058,-0.000727,0.002324,0.000159,1.000398,0.000539,-1.989058,-0.000727,0.00001,0.00000,0.28613,1.000000,-0.000000,-0.000091,-0.000000,0.00000,0.00000,-0.51014,0.00000,-0.00014,-0.00000
