tick,t,FR_hip_joint_q,FR_hip_joint_dq,FR_thigh_joint_q,FR_thigh_joint_dq,FR_calf_joint_q,FR_calf_joint_dq,FL_hip_joint_q,FL_hip_joint_dq,FL_thigh_joint_q,FL_thigh_joint_dq,FL_calf_joint_q,FL_calf_joint_dq,RR_hip_joint_q,RR_hip_joint_dq,RR_thigh_joint_q,RR_thigh_joint_dq,RR_calf_joint_q,RR_calf_joint_dq,RL_hip_joint_q,RL_hip_joint_dq,RL_thigh_joint_q,RL_thigh_joint_dq,RL_calf_joint_q,RL_calf_joint_dq,root_x,root_y,root_z,root_qw,root_qx,root_qy,root_qz,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
0,0.0000,-0.000107,-0.053697,0.999521,0.031714,-1.988214,-0.035523,0.000107,0.053697,0.999521,0.031714,-1.988214,-0.035523,-0.000120,-0.059997,0.999527,0.034924,-1.988222,-0.039812,0.000120,0.059997,0.999527,0.034924,-1.988222,-0.039812,0.00000,0.00000,0.30000,1.000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,0.0020,-0.000286,-0.089212,0.999610,0.044681,-1.988308,-0.047247,0.000286,0.089212,0.999610,0.044681,-1.988308,-0.047247,-0.000312,-0.096158,0.999622,0.047627,-1.988323,-0.050554,0.000312,0.096158,0.999622,0.047627,-1.988323,-0.050554,0.00000,0.00000,0.29996,1.000000,-0.000000,-0.000006,-0.000000,0.00045,-0.00000,-0.02221,-0.00000,-0.00639,-0.00000
2,0.0040,-0.000491,-0.102763,0.999786,0.088063,-1.988418,-0.054860,0.000491,0.102763,0.999786,0.088063,-1.988418,-0.054860,-0.000543,-0.115242,0.999809,0.093611,-1.988446,-0.061333,0.000543,0.115242,0.999809,0.093611,-1.988446,-0.061333,0.00000,0.00000,0.29987,1.000000,-0.000000,-0.000015,-0.000000,0.00064,-0.00000,-0.04320,-0.00000,-0.00906,-0.00000
3,0.0060,-0.000707,-0.108034,1.000030,0.121854,-1.988524,-0.053207,0.000707,0.108034,1.000030,0.121854,-1.988524,-0.053207,-0.000786,-0.121724,1.000064,0.127465,-1.988564,-0.059079,0.000786,0.121724,1.000064,0.127465,-1.988564,-0.059079,0.00000,-0.00000,0.29974,1.000000,-0.000000,-0.000033,-0.000000,0.00155,-0.00000,-0.06398,0.00000,-0.01730,-0.00000
4,0.0080,-0.000910,-0.101507,1.000397,0.183446,-1.988630,-0.052800,0.000910,0.101507,1.000397,0.183446,-1.988630,-0.052800,-0.001027,-0.120288,1.000447,0.191419,-1.988687,-0.061429,0.001027,0.120288,1.000447,0.191419,-1.988687,-0.061429,0.00001,-0.00000,0.29957,1.000000,-0.000000,-0.000056,-0.000000,0.00231,-0.00000,-0.08417,0.00000,-0.02329,-0.00000
5,0.0100,-0.001096,-0.092900,1.000880,0.241730,-1.988725,-0.047596,0.001096,0.092900,1.000880,0.241730,-1.988725,-0.047596,-0.001254,-0.113497,1.000947,0.250136,-1.988799,-0.056123,0.001254,0.113497,1.000947,0.250136,-1.988799,-0.056123,0.00001,-0.00000,0.29936,1.000000,-0.000000,-0.000090,-0.000000,0.00367,-0.00000,-0.10446,0.00000,-0.03427,-0.00000
6,0.0120,-0.001253,-0.078621,1.001532,0.325744,-1.988814,-0.044486,0.001253,0.078621,1.001532,0.325744,-1.988814,-0.044486,-0.001462,-0.104096,1.001620,0.336385,-1.988910,-0.055530,0.001462,0.104096,1.001620,0.336385,-1.988910,-0.055530,0.00002,-0.00000,0.29912,1.000000,0.000000,-0.000135,-0.000000,0.00499,-0.00000,-0.12451,0.00000,-0.04424,-0.00000
7,0.0140,-0.001384,-0.065420,1.002355,0.411537,-1.988891,-0.038309,0.001384,0.065420,1.002355,0.411537,-1.988891,-0.038309,-0.001648,-0.093245,1.002466,0.422919,-1.989010,-0.049649,0.001648,0.093245,1.002466,0.422919,-1.989010,-0.049649,0.00003,-0.00000,0.29883,1.000000,0.000000,-0.000193,-0.000000,0.00687,-0.00000,-0.14480,0.00000,-0.05882,-0.00000
8,0.0160,-0.001484,-0.049916,1.003398,0.521487,-1.988958,-0.033787,0.001484,0.049916,1.003398,0.521487,-1.988958,-0.033787,-0.001813,-0.082414,1.003536,0.534985,-1.989104,-0.047406,0.001813,0.082414,1.003536,0.534985,-1.989104,-0.047406,0.00005,-0.00000,0.29850,1.000000,0.000000,-0.000267,-0.000000,0.00879,-0.00000,-0.16506,0.00000,-0.07339,-0.00000
9,0.0180,-0.001558,-0.036826,1.004671,0.636934,-1.989012,-0.026769,0.001558,0.036826,1.004671,0.636934,-1.989012,-0.026769,-0.001957,-0.071927,1.004839,0.651343,-1.989186,-0.040878,0.001957,0.071927,1.004839,0.651343,-1.989186,-0.040878,0.00006,-0.00000,0.29813,1.000000,0.000000,-0.000359,-0.000000,0.01124,-0.00000,-0.18562,-0.00000,-0.09230,-0.00000
