t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0.034232,0.01475,-0.5912,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0863,0.056853,0.118397,16.2345,-0.1229,134.1931,-8.9380,-0.6137,173.2324,16.2325,0.0514,133.9717,-8.9347,0.6301,173.0819,-0.071807,-0.000333,134.1859,0.025531,-0.000134,173.2324,-0.071912,0.000698,133.9645,0.025547,0.000147,173.0819,-0.32323,0.00004,-0.00002,0.70526,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70525,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.18493,-0.17618,0.12137,-13.43166,-4.23101,0.04886,-1.19120,0.17026,-0.11752,-13.41337,-4.23705,-0.09524,-1.01648,-0.75744,-1.01648,-0.75745,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75208,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0.034261,0.01455,-0.6016,-0.0000,0.8033,-0.0018,-1.6855,-0.0003,0.7243,0,0.08500,0.03000,0.1988,0.1991,-0.038874,0.118223,13.7111,-0.1212,138.7711,16.4026,-0.1542,137.5650,13.7092,0.0595,138.5511,16.4005,0.0968,137.3445,-0.059016,-0.000367,138.7654,-0.070198,-0.000308,137.5650,-0.059097,0.000667,138.5455,-0.070297,0.000645,137.3445,-0.32321,0.00004,-0.00002,0.70518,-0.38050,-0.00002,-0.32321,-0.00003,0.00001,0.70518,-0.38050,0.00002,0.00133,0.00118,0.00133,0.00118,-0.88451,-0.18308,0.11926,-13.12071,-2.76701,0.05520,-0.89071,0.17811,-0.11600,-13.10255,-2.77301,-0.09474,-1.06871,-0.81087,-1.06872,-0.81089,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00010,0.00000,0.75211,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68460,0.68452,0.00187,0.00008,2,0.03429,0.00187,0.034290,0.01425,-0.6056,-0.0001,0.6764,-0.0015,-1.4557,-0.0003,0.6565,0,0.08500,0.03000,0.1650,0.1652,-0.026703,0.118186,11.5455,-0.1181,142.6911,14.0367,-0.1490,141.8393,11.5436,0.0681,142.4723,14.0353,0.0970,141.6203,-0.048697,-0.000404,142.6866,-0.058027,-0.000344,141.8393,-0.048759,0.000634,142.4678,-0.058104,0.000626,141.6203,-0.32322,0.00004,-0.00002,0.70516,-0.38045,-0.00002,-0.32321,-0.00003,0.00001,0.70516,-0.38045,0.00002,0.00129,0.00116,0.00129,0.00116,-0.62460,-0.18873,0.11740,-12.85244,-1.50923,0.06186,-0.63072,0.18514,-0.11483,-12.83438,-1.51523,-0.09310,-1.11300,-0.85656,-1.11301,-0.85657,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75214,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00188,0.00008,2,0.03432,0.00188,0.034317,0.01385,-0.6048,-0.0001,0.5685,-0.0011,-1.2585,-0.0002,0.5939,0,0.08500,0.03000,0.1366,0.1368,-0.016783,0.118150,9.7033,-0.1139,146.0569,11.9208,-0.1437,145.4566,9.7014,0.0770,145.8387,11.9194,0.1003,145.2387,-0.040333,-0.000441,146.0532,-0.048106,-0.000381,145.4566,-0.040381,0.000598,145.8350,-0.048166,0.000599,145.2387,-0.32324,0.00004,-0.00002,0.70518,-0.38043,-0.00002,-0.32324,-0.00003,0.00001,0.70518,-0.38043,0.00002,0.00126,0.00115,0.00126,0.00115,-0.40093,-0.19331,0.11574,-12.62523,-0.43532,0.06870,-0.40700,0.19143,-0.11399,-12.60724,-0.44131,-0.09059,-1.15081,-0.89570,-1.15082,-0.89571,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00013,0.00000,0.75216,1.00000,-0.00000,-0.00095,-0.00000,0.03510,0.00008,0.68466,0.68452,0.00189,0.00008,2,0.03434,0.00189,0.034344,0.01337,-0.5999,-0.0001,0.4768,-0.0007,-1.0890,-0.0002,0.5363,0,0.08500,0.03000,0.1135,0.1136,-0.008699,0.118113,8.1384,-0.1088,148.9501,10.1097,-0.1380,148.5462,8.1366,0.0862,148.7321,10.1083,0.1045,148.3290,-0.033502,-0.000480,148.9470,-0.040022,-0.000419,148.5462,-0.033539,0.000562,148.7290,-0.040069,0.000569,148.3290,-0.32328,0.00004,-0.00002,0.70523,-0.38043,-0.00002,-0.32328,-0.00003,0.00001,0.70523,-0.38043,0.00001,0.00123,0.00114,0.00123,0.00114,-0.20824,-0.19699,0.11425,-12.43301,0.48149,0.07569,-0.21427,0.19708,-0.11345,-12.41504,0.47549,-0.08735,-1.18304,-0.92923,-1.18305,-0.92923,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00014,0.00000,0.75218,1.00000,-0.00000,-0.00095,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00189,0.00008,2,0.03437,0.00189,0.034370,0.01283,-0.5916,-0.0001,0.3990,-0.0002,-0.9431,-0.0001,0.4833,0,0.08500,0.03000,0.0944,0.0945,-0.002064,0.118074,6.8111,-0.1029,151.4399,8.5622,-0.1318,151.1893,6.8093,0.0957,151.2216,8.5608,0.1094,150.9722,-0.027885,-0.000520,151.4374,-0.033386,-0.000457,151.1893,-0.027914,0.000525,151.2190,-0.033422,0.000538,150.9722,-0.32333,0.00004,-0.00002,0.70531,-0.38046,-0.00001,-0.32333,-0.00004,0.00001,0.70531,-0.38045,0.00001,0.00120,0.00113,0.00120,0.00113,-0.04200,-0.19988,0.11291,-12.27041,1.26425,0.08279,-0.04800,0.20218,-0.11314,-12.25242,1.25822,-0.08348,-1.21044,-0.95795,-1.21046,-0.95795,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00015,0.00000,0.75219,1.00000,-0.00000,-0.00095,-0.00000,0.03508,0.00008,0.68471,0.68452,0.00190,0.00008,2,0.03440,0.00190,0.034395,0.01225,-0.5805,-0.0002,0.3331,0.0003,-0.8174,-0.0001,0.4347,0,0.08500,0.03000,0.0787,0.0788,0.003415,0.118035,5.6867,-0.0964,153.5849,7.2420,-0.1252,153.4541,5.6849,0.1052,153.3656,7.2406,0.1149,153.2367,-0.023243,-0.000560,153.5827,-0.027906,-0.000496,153.4541,-0.023265,0.000486,153.3634,-0.027934,0.000505,153.2367,-0.32339,0.00004,-0.00002,0.70541,-0.38049,-0.00001,-0.32339,-0.00003,0.00001,0.70540,-0.38049,0.00000,0.00118,0.00113,0.00118,0.00113,0.10168,-0.20210,0.11169,-12.13275,1.93277,0.08997,0.09569,0.20681,-0.11305,-12.11468,1.92671,-0.07909,-1.23367,-0.98254,-1.23370,-0.98254,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00016,0.00000,0.75220,1.00000,-0.00000,-0.00095,-0.00000,0.03507,0.00008,0.68472,0.68452,0.00190,0.00008,2,0.03442,0.00190,0.034419,0.01164,-0.5672,-0.0002,0.2774,0.0007,-0.7091,-0.0001,0.3902,0,0.08500,0.03000,0.0656,0.0657,0.007963,0.117996,4.7354,-0.0894,155.4344,6.1175,-0.1184,155.3979,4.7337,0.1149,155.2136,6.1161,0.1209,155.1796,-0.019386,-0.000600,155.4326,-0.023357,-0.000535,155.3979,-0.019402,0.000447,155.2118,-0.023379,0.000471,155.1796,-0.32346,0.00004,-0.00002,0.70552,-0.38054,-0.00001,-0.32346,-0.00003,0.00001,0.70552,-0.38054,0.00000,0.00115,0.00113,0.00115,0.00113,0.22615,-0.20375,0.11057,-12.01596,2.50407,0.09721,0.22014,0.21104,-0.11313,-11.99777,2.49796,-0.07426,-1.25328,-1.00359,-1.25334,-1.00359,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00017,0.00000,0.75221,1.00000,-0.00000,-0.00095,-0.00000,0.03507,0.00008,0.68474,0.68452,0.00190,0.00008,2,0.03444,0.00190,0.034441,0.01100,-0.5520,-0.0002,0.2303,0.0013,-0.6157,-0.0001,0.3495,0,0.08500,0.03000,0.0548,0.0549,0.011753,0.117956,3.9317,-0.0819,157.0305,5.1611,-0.1113,157.0692,3.9300,0.1247,156.8075,5.1597,0.1273,156.8495,-0.016169,-0.000641,157.0290,-0.019565,-0.000575,157.0692,-0.016181,0.000408,156.8060,-0.019582,0.000436,156.8495,-0.32354,0.00004,-0.00002,0.70564,-0.38059,-0.00000,-0.32354,-0.00003,0.00001,0.70564,-0.38059,-0.00000,0.00113,0.00113,0.00113,0.00113,0.33425,-0.20489,0.10953,-11.91654,2.99270,0.10450,0.32821,0.21492,-0.11337,-11.89818,2.98651,-0.06907,-1.26977,-1.02160,-1.26985,-1.02160,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00018,0.00000,0.75222,1.00000,-0.00000,-0.00094,-0.00000,0.03506,0.00008,0.68475,0.68452,0.00189,0.00009,2,0.03446,0.00189,0.034462,0.01035,-0.5355,-0.0002,0.1906,0.0018,-0.5350,-0.0001,0.3122,0,0.08500,0.03000,0.0457,0.0458,0.014926,0.117916,3.2535,-0.0740,158.4088,4.3489,-0.1039,158.5088,3.2518,0.1345,158.1829,4.3475,0.1340,158.2869,-0.013474,-0.000683,158.4075,-0.016391,-0.000616,158.5088,-0.013482,0.000368,158.1817,-0.016403,0.000399,158.2869,-0.32362,0.00004,-0.00002,0.70577,-0.38064,0.00000,-0.32361,-0.00003,0.00001,0.70576,-0.38064,-0.00001,0.00111,0.00113,0.00111,0.00113,0.42843,-0.20561,0.10856,-11.83149,3.41111,0.11180,0.42233,0.21850,-0.11374,-11.81289,3.40483,-0.06356,-1.28355,-1.03699,-1.28364,-1.03699,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
