t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00005,0.00000,0.75202,1.00000,-0.00000,-0.00092,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03422,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1224,131.5728,-8.9380,-0.6137,173.2324,16.2324,0.0509,131.3514,-8.9347,0.6301,173.0819,-0.082902,-0.000337,131.5657,0.025531,-0.000134,173.2324,-0.083028,0.000711,131.3443,0.025547,0.000147,173.0819,-0.32325,0.00004,-0.00002,0.70532,-0.38065,-0.00002,-0.32324,-0.00003,0.00001,0.70531,-0.38065,0.00002,0.00140,0.00121,0.00140,0.00121,-1.62380,-0.17733,0.11798,-14.53381,-5.57147,0.04848,-1.63003,0.17176,-0.11349,-14.51558,-5.57749,-0.09496,-1.17129,-0.78920,-1.17113,-0.78922,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0010,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03515,0.00007,0.68455,0.68452,0.00184,0.00007,2,0.03423,0,0.08500,0.03000,0.2107,0.2109,-0.048636,0.118244,14.8877,-0.1209,133.5533,17.5333,-0.2020,138.7255,14.8858,0.0534,133.3327,17.5289,0.1472,138.5075,-0.075291,-0.000348,133.5469,-0.079959,-0.000287,138.7255,-0.075402,0.000690,133.3264,-0.080070,0.000614,138.5075,-0.32323,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70525,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.43744,-0.17917,0.11601,-14.26732,-4.72373,0.05062,-1.44370,0.17386,-0.11215,-14.24915,-4.72971,-0.09383,-1.18866,-0.81363,-1.18866,-0.81365,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00007,0.00000,0.75207,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03425,0,0.08500,0.03000,0.1943,0.1945,-0.041682,0.118219,13.6261,-0.1199,135.3896,16.3869,-0.1608,140.6059,13.6241,0.0565,135.1699,16.3848,0.1071,140.3866,-0.068427,-0.000363,135.3840,-0.073005,-0.000312,140.6059,-0.068524,0.000675,135.1643,-0.073106,0.000619,140.3866,-0.32321,0.00004,-0.00002,0.70521,-0.38054,-0.00002,-0.32321,-0.00003,0.00001,0.70520,-0.38054,0.00002,0.00134,0.00119,0.00134,0.00119,-1.26450,-0.18177,0.11466,-14.02037,-3.93717,0.05321,-1.27071,0.17690,-0.11115,-14.00228,-3.94314,-0.09318,-1.20440,-0.83606,-1.20443,-0.83607,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0030,-0.00008,0.00000,0.75208,1.00000,-0.00000,-0.00093,-0.00000,0.03513,0.00007,0.68459,0.68452,0.00186,0.00007,2,0.03426,0,0.08500,0.03000,0.1782,0.1784,-0.035291,0.118205,12.4522,-0.1190,137.0879,15.2225,-0.1598,142.4029,12.4503,0.0594,136.8690,15.2204,0.1090,142.1844,-0.062228,-0.000376,137.0829,-0.066614,-0.000325,142.4029,-0.062314,0.000661,136.8640,-0.066703,0.000607,142.1844,-0.32321,0.00004,-0.00002,0.70517,-0.38050,-0.00002,-0.32320,-0.00003,0.00001,0.70517,-0.38050,0.00002,0.00132,0.00118,0.00132,0.00117,-1.10375,-0.18418,0.11342,-13.79103,-3.20796,0.05562,-1.10993,0.17972,-0.11023,-13.77301,-3.21391,-0.09258,-1.21875,-0.85673,-1.21880,-0.85674,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75210,1.00000,-0.00000,-0.00093,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00186,0.00007,2,0.03428,0,0.08500,0.03000,0.1635,0.1637,-0.029505,0.118191,11.3611,-0.1181,138.6595,14.1287,-0.1579,144.0559,11.3593,0.0621,138.4413,14.1257,0.1092,143.8378,-0.056617,-0.000388,138.6549,-0.060828,-0.000340,144.0559,-0.056693,0.000649,138.4368,-0.060907,0.000598,143.8378,-0.32320,0.00004,-0.00002,0.70515,-0.38047,-0.00002,-0.32320,-0.00003,0.00001,0.70514,-0.38047,0.00002,0.00129,0.00116,0.00129,0.00116,-0.95424,-0.18643,0.11229,-13.57791,-2.53183,0.05787,-0.96041,0.18235,-0.10938,-13.55997,-2.53774,-0.09201,-1.23180,-0.87577,-1.23186,-0.87578,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00010,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68462,0.68452,0.00187,0.00007,2,0.03429,0,0.08500,0.03000,0.1496,0.1498,-0.024236,0.118179,10.3508,-0.1173,140.1156,13.0680,-0.1568,145.5648,10.3490,0.0647,139.8981,13.0667,0.1103,145.3481,-0.051528,-0.000399,140.1115,-0.055559,-0.000351,145.5648,-0.051595,0.000638,139.8940,-0.055630,0.000589,145.3481,-0.32321,0.00004,-0.00002,0.70514,-0.38045,-0.00002,-0.32321,-0.00003,0.00001,0.70513,-0.38045,0.00002,0.00127,0.00116,0.00127,0.00116,-0.81504,-0.18850,0.11130,-13.37958,-1.90480,0.05997,-0.82114,0.18482,-0.10858,-13.36171,-1.91071,-0.09148,-1.24365,-0.89334,-1.24370,-0.89334,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00010,0.00000,0.75213,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00007,2,0.03430,0,0.08500,0.03000,0.1371,0.1372,-0.019448,0.118169,9.4156,-0.1164,141.4654,12.0835,-0.1557,146.9572,9.4137,0.0672,141.2486,12.0822,0.1119,146.7411,-0.046903,-0.000409,141.4617,-0.050771,-0.000362,146.9572,-0.046962,0.000627,141.2449,-0.050834,0.000580,146.7411,-0.32322,0.00004,-0.00002,0.70514,-0.38044,-0.00002,-0.32322,-0.00003,0.00001,0.70513,-0.38043,0.00002,0.00124,0.00115,0.00124,0.00115,-0.68531,-0.19043,0.11038,-13.19490,-1.32319,0.06193,-0.69136,0.18709,-0.10785,-13.17709,-1.32909,-0.09099,-1.25438,-0.90953,-1.25442,-0.90954,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0070,-0.00011,0.00000,0.75214,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00007,0.68465,0.68452,0.00187,0.00007,2,0.03432,0,0.08500,0.03000,0.1256,0.1258,-0.015089,0.118159,8.5500,-0.1156,142.7170,11.1699,-0.1547,148.2423,8.5482,0.0695,142.5009,11.1686,0.1135,148.0269,-0.042692,-0.000419,142.7137,-0.046411,-0.000372,148.2423,-0.042744,0.000618,142.4975,-0.046467,0.000571,148.0269,-0.32323,0.00004,-0.00002,0.70515,-0.38043,-0.00002,-0.32323,-0.00003,0.00001,0.70514,-0.38043,0.00001,0.00122,0.00114,0.00122,0.00114,-0.56436,-0.19221,0.10955,-13.02279,-0.78358,0.06374,-0.57036,0.18921,-0.10719,-13.00505,-0.78948,-0.09054,-1.26407,-0.92446,-1.26409,-0.92446,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75216,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00188,0.00007,2,0.03433,0,0.08500,0.03000,0.1151,0.1153,-0.011113,0.118150,7.7492,-0.1149,143.8783,10.3224,-0.1538,149.4287,7.7473,0.0717,143.6627,10.3211,0.1149,149.2139,-0.038851,-0.000427,143.8753,-0.042435,-0.000381,149.4287,-0.038896,0.000610,143.6596,-0.042484,0.000563,149.2139,-0.32325,0.00004,-0.00002,0.70516,-0.38043,-0.00002,-0.32325,-0.00003,0.00001,0.70516,-0.38043,0.00001,0.00120,0.00113,0.00120,0.00113,-0.45152,-0.19387,0.10879,-12.86230,-0.28280,0.06542,-0.45747,0.19116,-0.10658,-12.84461,-0.28870,-0.09012,-1.27277,-0.93821,-1.27278,-0.93821,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0090,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68468,0.68452,0.00188,0.00007,2,0.03434,0,0.08500,0.03000,0.1056,0.1057,-0.007480,0.118142,7.0085,-0.1141,144.9561,9.5364,-0.1529,150.5243,7.0066,0.0737,144.7410,9.5350,0.1163,150.3101,-0.035341,-0.000435,144.9533,-0.038801,-0.000389,150.5243,-0.035382,0.000602,144.7382,-0.038845,0.000556,150.3101,-0.32327,0.00004,-0.00002,0.70519,-0.38043,-0.00002,-0.32327,-0.00003,0.00001,0.70518,-0.38043,0.00001,0.00117,0.00113,0.00117,0.00113,-0.34619,-0.19541,0.10811,-12.71253,0.18205,0.06698,-0.35210,0.19297,-0.10603,-12.69489,0.17617,-0.08974,-1.28055,-0.95087,-1.28056,-0.95087,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
