t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,0.00019,0.00000,0.48033,1.00000,-0.00000,-0.00125,-0.00000,0.00608,-0.00000,0.31445,0.31445,0.00282,-0.00000,2,0.03442,0.00282,0.034421,0.01229,-0.5010,0.0000,-0.3831,0.0000,-1.1491,-0.0000,-2.3167,0,0.04900,0.01900,0.0753,0.0753,0.002218,0.083855,-1.2701,-0.0001,28.7108,0.0868,-1.4880,33.0016,-1.2701,0.0001,28.7108,0.0868,1.4880,33.0016,0.026098,0.000152,28.7087,-0.001987,0.014036,33.0016,0.026098,-0.000152,28.7087,-0.001987,-0.014036,33.0016,-0.00071,-0.00023,-0.34820,0.70678,-0.35465,-0.00303,0.00071,0.00023,-0.34820,0.70678,-0.35465,0.00303,0.00034,-0.00039,0.00034,-0.00039,0.00036,-0.00122,0.27073,-0.28055,0.63803,0.00050,-0.00036,0.00122,0.27073,-0.28055,0.63803,-0.00050,0.04089,0.00344,0.04089,0.00344,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,0.00022,0.00000,0.48037,1.00000,-0.00000,-0.00111,-0.00000,0.00610,0.00000,0.31451,0.31445,0.00250,-0.00000,2,0.03448,0.00250,0.034480,0.01150,-0.5166,-0.0001,-0.2493,-0.0000,-0.8391,0.0000,-1.8881,0,0.04900,0.01900,0.0677,0.0677,0.029297,0.070391,-0.8263,0.0012,29.7384,-1.2105,-0.1410,29.9926,-0.8263,-0.0012,29.7384,-1.2105,0.1410,29.9926,0.016966,0.000285,29.7370,0.025102,0.000589,29.9926,0.016966,-0.000285,29.7370,0.025102,-0.000589,29.9926,-0.00069,-0.00026,-0.34883,0.70741,-0.35502,-0.00275,0.00069,0.00026,-0.34883,0.70741,-0.35502,0.00275,0.00035,-0.00037,0.00035,-0.00037,0.00043,0.00355,0.16437,-0.46685,0.42441,0.00046,-0.00043,-0.00355,0.16437,-0.46685,0.42441,-0.00046,0.02496,0.00235,0.02496,0.00235,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,0.00025,0.00000,0.48039,1.00000,-0.00000,-0.00100,-0.00000,0.00611,0.00000,0.31456,0.31445,0.00223,-0.00000,2,0.03453,0.00223,0.034534,0.01040,-0.5085,-0.0001,-0.1583,-0.0000,-0.6085,0.0000,-1.5668,0,0.04900,0.01900,0.0443,0.0443,0.020835,0.070380,-0.5247,0.0020,30.5029,-0.8064,-0.1024,30.6076,-0.5247,-0.0020,30.5029,-0.8064,0.1024,30.6076,0.011141,0.000352,30.5020,0.016640,0.000573,30.6076,0.011141,-0.000352,30.5020,0.016640,-0.000573,30.6076,-0.00068,-0.00029,-0.34958,0.70832,-0.35551,-0.00240,0.00068,0.00029,-0.34958,0.70832,-0.35551,0.00240,0.00036,-0.00034,0.00036,-0.00034,0.00046,0.00642,0.09406,-0.59706,0.28100,0.00037,-0.00046,-0.00642,0.09406,-0.59706,0.28100,-0.00037,0.01439,0.00162,0.01439,0.00162,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,0.00026,-0.00000,0.48040,1.00000,-0.00000,-0.00090,-0.00000,0.00611,0.00000,0.31459,0.31445,0.00200,-0.00000,2,0.03458,0.00200,0.034583,0.00916,-0.4860,-0.0002,-0.0978,0.0000,-0.4386,0.0000,-1.3215,0,0.04900,0.01900,0.0283,0.0283,0.015265,0.070345,-0.3242,0.0025,31.0660,-0.5227,-0.0742,31.0836,-0.3242,-0.0025,31.0660,-0.5227,0.0742,31.0836,0.007444,0.000378,31.0655,0.011070,0.000534,31.0836,0.007444,-0.000378,31.0655,0.011070,-0.000534,31.0836,-0.00068,-0.00033,-0.35035,0.70935,-0.35607,-0.00203,0.00068,0.00033,-0.35035,0.70935,-0.35607,0.00203,0.00037,-0.00031,0.00037,-0.00031,0.00045,0.00806,0.04883,-0.68712,0.18707,0.00017,-0.00045,-0.00806,0.04883,-0.68712,0.18707,-0.00017,0.00754,0.00113,0.00754,0.00113,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,0.00027,-0.00000,0.48040,1.00000,-0.00000,-0.00081,-0.00000,0.00612,-0.00000,0.31461,0.31445,0.00180,-0.00000,2,0.03462,0.00180,0.034625,0.00791,-0.4557,-0.0002,-0.0587,0.0000,-0.3152,0.0000,-1.1303,0,0.04900,0.01900,0.0176,0.0176,0.011642,0.070298,-0.1945,0.0028,31.4753,-0.3271,-0.0533,31.4532,-0.1945,-0.0028,31.4753,-0.3271,0.0533,31.4532,0.005129,0.000377,31.4749,0.007447,0.000484,31.4532,0.005129,-0.000377,31.4749,0.007447,-0.000484,31.4532,-0.00067,-0.00037,-0.35110,0.71040,-0.35665,-0.00166,0.00067,0.00037,-0.35110,0.71040,-0.35665,0.00166,0.00037,-0.00027,0.00037,-0.00027,0.00042,0.00889,0.02075,-0.74872,0.12744,-0.00014,-0.00042,-0.00889,0.02075,-0.74872,0.12744,0.00014,0.00324,0.00081,0.00324,0.00081,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,0.00028,-0.00000,0.48040,1.00000,-0.00000,-0.00074,-0.00000,0.00612,-0.00000,0.31462,0.31445,0.00163,-0.00000,2,0.03466,0.00163,0.034661,0.00672,-0.4224,-0.0003,-0.0342,0.0000,-0.2271,0.0000,-0.9783,0,0.04900,0.01900,0.0105,0.0105,0.009328,0.070248,-0.1134,0.0029,31.7673,-0.1956,-0.0386,31.7385,-0.1134,-0.0029,31.7673,-0.1956,0.0386,31.7385,0.003709,0.000360,31.7671,0.005133,0.000432,31.7385,0.003709,-0.000360,31.7671,0.005133,-0.000432,31.7385,-0.00067,-0.00041,-0.35180,0.71139,-0.35721,-0.00132,0.00067,0.00041,-0.35180,0.71139,-0.35721,0.00132,0.00037,-0.00024,0.00037,-0.00024,0.00037,0.00921,0.00413,-0.79035,0.09108,-0.00053,-0.00037,-0.00921,0.00413,-0.79035,0.09108,0.00053,0.00065,0.00060,0.00065,0.00060,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,0.00028,-0.00000,0.48040,1.00000,-0.00000,-0.00067,-0.00000,0.00612,-0.00000,0.31463,0.31445,0.00148,-0.00000,2,0.03469,0.00148,0.034691,0.00564,-0.3893,-0.0003,-0.0195,0.0000,-0.1657,-0.0000,-0.8550,0,0.04900,0.01900,0.0060,0.0060,0.007888,0.070202,-0.0646,0.0029,31.9709,-0.1103,-0.0296,31.9573,-0.0646,-0.0029,31.9709,-0.1103,0.0296,31.9573,0.002864,0.000335,31.9708,0.003692,0.000385,31.9573,0.002864,-0.000335,31.9708,0.003692,-0.000385,31.9573,-0.00067,-0.00044,-0.35242,0.71229,-0.35773,-0.00101,0.00067,0.00044,-0.35242,0.71229,-0.35773,0.00101,0.00037,-0.00021,0.00037,-0.00021,0.00031,0.00921,-0.00503,-0.81816,0.07011,-0.00095,-0.00031,-0.00921,-0.00503,-0.81816,0.07011,0.00095,-0.00081,0.00047,-0.00081,0.00047,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,0.00029,-0.00000,0.48039,1.00000,-0.00000,-0.00061,-0.00000,0.00612,-0.00000,0.31463,0.31445,0.00134,-0.00000,2,0.03472,0.00134,0.034716,0.00469,-0.3581,-0.0003,-0.0111,0.0000,-0.1241,0.0000,-0.7533,0,0.04900,0.01900,0.0032,0.0032,0.007020,0.070162,-0.0367,0.0029,32.1088,-0.0568,-0.0243,32.1223,-0.0367,-0.0029,32.1088,-0.0568,0.0243,32.1223,0.002380,0.000307,32.1087,0.002823,0.000345,32.1223,0.002380,-0.000307,32.1087,0.002823,-0.000345,32.1223,-0.00067,-0.00047,-0.35298,0.71309,-0.35819,-0.00075,0.00067,0.00047,-0.35298,0.71309,-0.35819,0.00075,0.00036,-0.00018,0.00036,-0.00018,0.00025,0.00906,-0.00949,-0.83652,0.05899,-0.00139,-0.00025,-0.00906,-0.00949,-0.83652,0.05899,0.00139,-0.00157,0.00038,-0.00157,0.00038,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,0.00029,-0.00000,0.48039,1.00000,-0.00000,-0.00056,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00122,-0.00000,2,0.03474,0.00122,0.034737,0.00387,-0.3301,-0.0004,-0.0066,0.0000,-0.0969,0.0000,-0.6683,0,0.04900,0.01900,0.0017,0.0017,0.006517,0.070129,-0.0218,0.0028,32.1988,-0.0245,-0.0215,32.2443,-0.0218,-0.0028,32.1988,-0.0245,0.0215,32.2443,0.002120,0.000279,32.1987,0.002321,0.000311,32.2443,0.002120,-0.000279,32.1987,0.002321,-0.000311,32.2443,-0.00067,-0.00049,-0.35346,0.71378,-0.35860,-0.00052,0.00067,0.00049,-0.35346,0.71378,-0.35860,0.00052,0.00035,-0.00015,0.00035,-0.00015,0.00020,0.00883,-0.01110,-0.84852,0.05395,-0.00182,-0.00020,-0.00883,-0.01110,-0.84852,0.05395,0.00182,-0.00189,0.00032,-0.00189,0.00032,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,0.00029,-0.00000,0.48038,1.00000,-0.00000,-0.00051,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00112,-0.00000,2,0.03475,0.00112,0.034755,0.00317,-0.3054,-0.0004,-0.0044,-0.0000,-0.0800,-0.0000,-0.5964,0,0.04900,0.01900,0.0011,0.0011,0.006244,0.070101,-0.0147,0.0028,32.2548,-0.0061,-0.0201,32.3329,-0.0147,-0.0028,32.2548,-0.0061,0.0201,32.3329,0.001991,0.000252,32.2548,0.002047,0.000282,32.3329,0.001991,-0.000252,32.2548,0.002047,-0.000282,32.3329,-0.00067,-0.00051,-0.35388,0.71436,-0.35895,-0.00032,0.00067,0.00051,-0.35388,0.71436,-0.35895,0.00032,0.00034,-0.00013,0.00034,-0.00013,0.00016,0.00859,-0.01108,-0.85631,0.05249,-0.00221,-0.00016,-0.00859,-0.01108,-0.85631,0.05249,0.00221,-0.00196,0.00028,-0.00196,0.00028,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0500,0.00030,-0.00000,0.48038,1.00000,-0.00000,-0.00047,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00102,-0.00000,2,0.03477,0.00102,0.034769,0.00258,-0.2841,-0.0004,-0.0036,-0.0000,-0.0702,0.0000,-0.5350,0,0.04900,0.01900,0.0010,0.0010,0.006110,0.070078,-0.0121,0.0027,32.2873,0.0034,-0.0196,32.3962,-0.0121,-0.0027,32.2873,0.0034,0.0196,32.3962,0.001939,0.000229,32.2873,0.001913,0.000258,32.3962,0.001939,-0.000229,32.2873,0.001913,-0.000258,32.3962,-0.00067,-0.00053,-0.35423,0.71484,-0.35924,-0.00016,0.00067,0.00053,-0.35423,0.71484,-0.35924,0.00016,0.00033,-0.00011,0.00033,-0.00011,0.00012,0.00834,-0.01021,-0.86135,0.05299,-0.00257,-0.00012,-0.00834,-0.01021,-0.86135,0.05299,0.00257,-0.00189,0.00026,-0.00189,0.00026,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0550,0.00030,-0.00000,0.48038,1.00000,-0.00000,-0.00043,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00093,-0.00000,2,0.03478,0.00093,0.034780,0.00209,-0.2660,-0.0004,-0.0035,-0.0000,-0.0653,0.0000,-0.4823,0,0.04900,0.01900,0.0011,0.0011,0.006056,0.070059,-0.0117,0.0026,32.3038,0.0076,-0.0197,32.4406,-0.0117,-0.0026,32.3038,0.0076,0.0197,32.4406,0.001927,0.000208,32.3038,0.001859,0.000239,32.4406,0.001927,-0.000208,32.3038,0.001859,-0.000239,32.4406,-0.00067,-0.00054,-0.35454,0.71523,-0.35947,-0.00002,0.00067,0.00054,-0.35454,0.71523,-0.35947,0.00002,0.00031,-0.00009,0.00031,-0.00009,0.00008,0.00812,-0.00897,-0.86461,0.05443,-0.00288,-0.00008,-0.00812,-0.00897,-0.86461,0.05443,0.00288,-0.00176,0.00025,-0.00176,0.00025,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0600,0.00030,-0.00000,0.48037,1.00000,-0.00000,-0.00039,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00085,-0.00000,2,0.03479,0.00085,0.034789,0.00169,-0.2509,-0.0004,-0.0037,-0.0000,-0.0634,0.0000,-0.4369,0,0.04900,0.01900,0.0011,0.0011,0.006047,0.070044,-0.0124,0.0026,32.3099,0.0086,-0.0200,32.4711,-0.0124,-0.0026,32.3099,0.0086,0.0200,32.4711,0.001934,0.000190,32.3099,0.001848,0.000223,32.4711,0.001934,-0.000190,32.3099,0.001848,-0.000223,32.4711,-0.00067,-0.00055,-0.35479,0.71555,-0.35966,0.00009,0.00067,0.00055,-0.35479,0.71555,-0.35966,-0.00009,0.00030,-0.00007,0.00030,-0.00007,0.00006,0.00792,-0.00764,-0.86674,0.05620,-0.00315,-0.00006,-0.00792,-0.00764,-0.86674,0.05620,0.00315,-0.00160,0.00024,-0.00160,0.00024,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0650,0.00030,-0.00000,0.48037,1.00000,-0.00000,-0.00036,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00078,-0.00000,2,0.03480,0.00078,0.034797,0.00136,-0.2382,-0.0004,-0.0040,0.0000,-0.0635,0.0000,-0.3976,0,0.04900,0.01900,0.0011,0.0011,0.006058,0.070031,-0.0134,0.0026,32.3095,0.0081,-0.0205,32.4917,-0.0134,-0.0026,32.3095,0.0081,0.0205,32.4917,0.001947,0.000175,32.3095,0.001860,0.000211,32.4917,0.001947,-0.000175,32.3095,0.001860,-0.000211,32.4917,-0.00067,-0.00056,-0.35501,0.71580,-0.35980,0.00018,0.00067,0.00056,-0.35501,0.71580,-0.35980,-0.00018,0.00028,-0.00006,0.00028,-0.00006,0.00003,0.00775,-0.00637,-0.86816,0.05795,-0.00337,-0.00003,-0.00775,-0.00637,-0.86816,0.05795,0.00337,-0.00145,0.00022,-0.00145,0.00022,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0700,0.00031,-0.00000,0.48037,1.00000,-0.00000,-0.00033,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00072,-0.00000,2,0.03480,0.00072,0.034803,0.00109,-0.2277,-0.0004,-0.0043,0.0000,-0.0648,0.0000,-0.3636,0,0.04900,0.01900,0.0011,0.0011,0.006078,0.070021,-0.0143,0.0025,32.3053,0.0068,-0.0210,32.5052,-0.0143,-0.0025,32.3053,0.0068,0.0210,32.5052,0.001961,0.000162,32.3053,0.001879,0.000200,32.5052,0.001961,-0.000162,32.3053,0.001879,-0.000200,32.5052,-0.00067,-0.00056,-0.35520,0.71600,-0.35991,0.00025,0.00067,0.00056,-0.35520,0.71600,-0.35991,-0.00025,0.00026,-0.00004,0.00026,-0.00004,0.00001,0.00760,-0.00523,-0.86912,0.05953,-0.00356,-0.00001,-0.00760,-0.00523,-0.86912,0.05953,0.00356,-0.00130,0.00021,-0.00130,0.00021,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0750,0.00031,-0.00000,0.48037,1.00000,-0.00000,-0.00030,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00066,-0.00000,2,0.03481,0.00066,0.034807,0.00087,-0.2191,-0.0004,-0.0045,0.0000,-0.0667,0.0000,-0.3342,0,0.04900,0.01900,0.0011,0.0011,0.006099,0.070014,-0.0149,0.0025,32.2991,0.0053,-0.0215,32.5138,-0.0149,-0.0025,32.2991,0.0053,0.0215,32.5138,0.001972,0.000152,32.2991,0.001900,0.000192,32.5138,0.001972,-0.000152,32.2991,0.001900,-0.000192,32.5138,-0.00067,-0.00057,-0.35535,0.71614,-0.35999,0.00031,0.00067,0.00057,-0.35535,0.71614,-0.35999,-0.00031,0.00024,-0.00003,0.00024,-0.00003,-0.00000,0.00747,-0.00426,-0.86981,0.06084,-0.00372,0.00000,-0.00747,-0.00426,-0.86981,0.06084,0.00372,-0.00118,0.00020,-0.00118,0.00020,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0800,0.00031,-0.00000,0.48037,1.00000,-0.00000,-0.00028,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00060,-0.00000,2,0.03481,0.00060,0.034811,0.00069,-0.2120,-0.0004,-0.0046,0.0000,-0.0688,0.0000,-0.3086,0,0.04900,0.01900,0.0011,0.0011,0.006118,0.070007,-0.0153,0.0025,32.2920,0.0038,-0.0220,32.5190,-0.0153,-0.0025,32.2920,0.0038,0.0220,32.5190,0.001980,0.000143,32.2920,0.001918,0.000186,32.5190,0.001980,-0.000143,32.2920,0.001918,-0.000186,32.5190,-0.00067,-0.00057,-0.35549,0.71625,-0.36004,0.00036,0.00067,0.00057,-0.35549,0.71625,-0.36004,-0.00036,0.00022,-0.00002,0.00022,-0.00002,-0.00002,0.00736,-0.00344,-0.87031,0.06189,-0.00385,0.00002,-0.00736,-0.00344,-0.87031,0.06189,0.00385,-0.00107,0.00019,-0.00107,0.00019,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0850,0.00031,-0.00000,0.48037,1.00000,-0.00000,-0.00025,-0.00000,0.00612,-0.00000,0.31464,0.31445,0.00055,-0.00000,2,0.03481,0.00055,0.034814,0.00055,-0.2063,-0.0004,-0.0047,0.0000,-0.0710,0.0000,-0.2865,0,0.04900,0.01900,0.0012,0.0012,0.006132,0.070002,-0.0155,0.0024,32.2849,0.0026,-0.0224,32.5219,-0.0155,-0.0024,32.2849,0.0026,0.0224,32.5219,0.001984,0.000136,32.2849,0.001932,0.000180,32.5219,0.001984,-0.000136,32.2849,0.001932,-0.000180,32.5219,-0.00067,-0.00058,-0.35560,0.71633,-0.36007,0.00039,0.00067,0.00058,-0.35560,0.71633,-0.36007,-0.00039,0.00021,-0.00001,0.00021,-0.00001,-0.00003,0.00728,-0.00277,-0.87068,0.06269,-0.00395,0.00003,-0.00728,-0.00277,-0.87068,0.06269,0.00395,-0.00098,0.00018,-0.00098,0.00018,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0900,0.00032,-0.00000,0.48037,1.00000,-0.00000,-0.00023,-0.00000,0.00612,-0.00000,0.31465,0.31445,0.00050,-0.00000,2,0.03482,0.00050,0.034816,0.00043,-0.2016,-0.0004,-0.0046,0.0000,-0.0730,0.0000,-0.2674,0,0.04900,0.01900,0.0012,0.0012,0.006143,0.069998,-0.0154,0.0024,32.2782,0.0017,-0.0228,32.5233,-0.0154,-0.0024,32.2782,0.0017,0.0228,32.5233,0.001985,0.000130,32.2782,0.001942,0.000176,32.5233,0.001985,-0.000130,32.2782,0.001942,-0.000176,32.5233,-0.00067,-0.00058,-0.35569,0.71638,-0.36008,0.00042,0.00067,0.00058,-0.35569,0.71638,-0.36008,-0.00042,0.00019,0.00000,0.00019,0.00000,-0.00004,0.00720,-0.00223,-0.87097,0.06328,-0.00404,0.00004,-0.00720,-0.00223,-0.87097,0.06328,0.00404,-0.00090,0.00016,-0.00090,0.00016,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
