t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00064,0.00000,0.46178,1.00000,-0.00000,-0.00194,-0.00000,0.00855,0.00000,0.30061,0.30061,0.00363,0.00000,2,0.03443,0.00363,0.034433,0.01262,-1.0635,0.0000,0.9506,0.0000,-1.1806,-0.0000,3.0354,0,0.04900,0.01900,0.1047,0.1047,0.013146,0.068396,3.1511,-0.0018,28.6065,-0.4819,-1.9967,32.6967,3.1511,0.0018,28.6065,-0.4819,1.9967,32.6967,-0.042420,0.000071,28.6080,0.006954,0.018607,32.6967,-0.042420,-0.000071,28.6080,0.006954,-0.018607,32.6967,-0.00010,-0.00015,-0.54851,1.10711,-0.55417,-0.00459,0.00010,0.00015,-0.54851,1.10711,-0.55417,0.00459,0.00019,-0.00042,0.00019,-0.00042,-0.00070,-0.00668,-0.47496,-1.91609,-0.95115,0.00357,0.00070,0.00668,-0.47496,-1.91609,-0.95115,-0.00357,-0.07068,-0.00661,-0.07068,-0.00661,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00069,0.00000,0.46182,1.00000,0.00000,-0.00202,-0.00000,0.00850,0.00000,0.30067,0.30061,0.00387,0.00000,2,0.03449,0.00387,0.034493,0.01155,-1.1134,-0.0001,0.6067,0.0001,-0.8695,0.0000,2.4040,0,0.04900,0.01900,0.1671,0.1671,-0.033259,0.050558,2.0113,0.0032,29.6380,2.9918,-0.2056,29.9213,2.0113,-0.0026,29.6375,2.9918,0.2056,29.9213,-0.025490,0.000439,29.6388,-0.039448,0.000761,29.9213,-0.025491,-0.000448,29.6383,-0.039448,-0.000761,29.9213,-0.00011,-0.00019,-0.54855,1.10748,-0.55443,-0.00419,0.00011,0.00019,-0.54855,1.10748,-0.55443,0.00419,0.00018,-0.00040,0.00018,-0.00040,0.00069,0.01040,-0.32204,-1.70555,-0.59729,-0.00211,-0.00069,-0.01031,-0.32205,-1.70553,-0.59729,0.00236,-0.04482,-0.00337,-0.04482,-0.00337,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00072,0.00000,0.46185,1.00000,0.00000,-0.00207,-0.00000,0.00848,0.00000,0.30072,0.30061,0.00404,0.00000,2,0.03455,0.00404,0.034547,0.01028,-1.1229,-0.0001,0.3807,0.0004,-0.6636,-0.0000,1.8975,0,0.04900,0.01900,0.1061,0.1061,-0.017840,0.050762,1.2622,0.0070,30.3213,1.9488,-0.1943,30.7586,1.2622,-0.0045,30.3196,1.9488,0.1949,30.7582,-0.015215,0.000624,30.3216,-0.024024,0.000965,30.7586,-0.015216,-0.000657,30.3199,-0.024025,-0.000973,30.7582,-0.00012,-0.00025,-0.54865,1.10795,-0.55482,-0.00369,0.00012,0.00025,-0.54865,1.10795,-0.55482,0.00369,0.00016,-0.00037,0.00016,-0.00037,0.00149,0.02088,-0.22316,-1.57274,-0.36848,-0.00563,-0.00149,-0.02058,-0.22319,-1.57268,-0.36850,0.00654,-0.02875,-0.00144,-0.02875,-0.00144,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00074,0.00000,0.46187,1.00000,0.00000,-0.00210,-0.00000,0.00846,0.00000,0.30075,0.30061,0.00414,0.00000,2,0.03459,0.00414,0.034594,0.00895,-1.1076,-0.0002,0.2342,0.0008,-0.5265,-0.0000,1.4862,0,0.04900,0.01900,0.0676,0.0676,-0.008336,0.050839,0.7762,0.0100,30.7767,1.2567,-0.1830,31.3154,0.7762,-0.0049,30.7728,1.2567,0.1850,31.3138,-0.008861,0.000701,30.7767,-0.014517,0.001043,31.3154,-0.008863,-0.000767,30.7729,-0.014518,-0.001074,31.3138,-0.00012,-0.00031,-0.54880,1.10845,-0.55524,-0.00316,0.00012,0.00031,-0.54880,1.10845,-0.55524,0.00316,0.00015,-0.00033,0.00015,-0.00033,0.00191,0.02715,-0.15860,-1.48892,-0.22001,-0.00779,-0.00191,-0.02654,-0.15866,-1.48877,-0.22006,0.00964,-0.01878,-0.00032,-0.01878,-0.00032,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00075,0.00000,0.46188,1.00000,0.00000,-0.00211,-0.00000,0.00845,0.00000,0.30078,0.30061,0.00420,0.00001,2,0.03463,0.00420,0.034635,0.00766,-1.0769,-0.0002,0.1393,0.0012,-0.4346,-0.0000,1.1501,0,0.04900,0.01900,0.0435,0.0435,-0.002409,0.050841,0.4617,0.0125,31.0828,0.8087,-0.1713,31.6874,0.4617,-0.0042,31.0760,0.8087,0.1754,31.6837,-0.004873,0.000710,31.0828,-0.008586,0.001045,31.6874,-0.004877,-0.000813,31.0759,-0.008589,-0.001105,31.6837,-0.00013,-0.00037,-0.54896,1.10891,-0.55562,-0.00264,0.00013,0.00037,-0.54896,1.10891,-0.55562,0.00264,0.00013,-0.00029,0.00013,-0.00029,0.00210,0.03061,-0.11591,-1.43587,-0.12299,-0.00906,-0.00210,-0.02962,-0.11603,-1.43559,-0.12308,0.01202,-0.01265,0.00028,-0.01265,0.00028,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00075,0.00000,0.46189,1.00000,0.00000,-0.00210,-0.00000,0.00845,0.00000,0.30080,0.30061,0.00421,0.00001,2,0.03467,0.00421,0.034670,0.00646,-1.0382,-0.0003,0.0780,0.0018,-0.3727,-0.0001,0.8742,0,0.04900,0.01900,0.0284,0.0285,0.001339,0.050802,0.2585,0.0147,31.2899,0.5188,-0.1619,31.9413,0.2585,-0.0029,31.2792,0.5188,0.1685,31.9346,-0.002342,0.000678,31.2899,-0.004836,0.001006,31.9413,-0.002347,-0.000823,31.2791,-0.004840,-0.001102,31.9346,-0.00013,-0.00042,-0.54914,1.10931,-0.55593,-0.00215,0.00013,0.00042,-0.54914,1.10931,-0.55593,0.00216,0.00012,-0.00026,0.00012,-0.00026,0.00215,0.03227,-0.08722,-1.40208,-0.05903,-0.00974,-0.00215,-0.03085,-0.08741,-1.40164,-0.05915,0.01392,-0.00889,0.00057,-0.00889,0.00057,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00075,0.00000,0.46190,1.00000,0.00000,-0.00208,-0.00000,0.00844,0.00000,0.30082,0.30061,0.00420,0.00001,2,0.03470,0.00420,0.034699,0.00538,-0.9972,-0.0003,0.0385,0.0023,-0.3311,-0.0001,0.6471,0,0.04900,0.01900,0.0189,0.0192,0.003738,0.050743,0.1277,0.0167,31.4303,0.3306,-0.1544,32.1168,0.1277,-0.0012,31.4148,0.3306,0.1637,32.1063,-0.000719,0.000624,31.4303,-0.002436,0.000948,32.1168,-0.000725,-0.000813,31.4147,-0.002441,-0.001082,32.1063,-0.00013,-0.00047,-0.54933,1.10963,-0.55616,-0.00172,0.00013,0.00046,-0.54933,1.10963,-0.55617,0.00174,0.00012,-0.00022,0.00012,-0.00022,0.00211,0.03289,-0.06754,-1.38031,-0.01640,-0.01003,-0.00211,-0.03100,-0.06782,-1.37968,-0.01658,0.01551,-0.00662,0.00066,-0.00662,0.00066,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00074,0.00000,0.46192,1.00000,0.00000,-0.00205,-0.00000,0.00845,0.00000,0.30083,0.30061,0.00416,0.00002,2,0.03472,0.00416,0.034723,0.00445,-0.9573,-0.0003,0.0133,0.0029,-0.3032,-0.0002,0.4596,0,0.04900,0.01900,0.0132,0.0136,0.005290,0.050678,0.0440,0.0186,31.5257,0.2085,-0.1482,32.2392,0.0440,0.0008,31.5043,0.2085,0.1605,32.2239,0.000333,0.000561,31.5256,-0.000883,0.000881,32.2392,0.000325,-0.000795,31.5042,-0.000889,-0.001057,32.2239,-0.00013,-0.00051,-0.54951,1.10987,-0.55632,-0.00134,0.00013,0.00050,-0.54951,1.10987,-0.55632,0.00137,0.00011,-0.00019,0.00011,-0.00019,0.00202,0.03295,-0.05373,-1.36603,0.01236,-0.01005,-0.00203,-0.03054,-0.05411,-1.36516,0.01211,0.01690,-0.00524,0.00066,-0.00524,0.00066,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00073,0.00000,0.46193,1.00000,0.00000,-0.00202,-0.00000,0.00845,0.00000,0.30085,0.30061,0.00411,0.00002,2,0.03474,0.00411,0.034742,0.00365,-0.9206,-0.0004,-0.0028,0.0035,-0.2846,-0.0003,0.3049,0,0.04900,0.01900,0.0100,0.0106,0.006307,0.050611,-0.0092,0.0205,31.5906,0.1294,-0.1431,32.3252,-0.0092,0.0029,31.5626,0.1294,0.1584,32.3042,0.001022,0.000494,31.5906,0.000134,0.000814,32.3252,0.001013,-0.000775,31.5625,0.000127,-0.001032,32.3042,-0.00013,-0.00054,-0.54969,1.11004,-0.55641,-0.00102,0.00013,0.00053,-0.54969,1.11005,-0.55642,0.00105,0.00011,-0.00016,0.00011,-0.00016,0.00192,0.03274,-0.04375,-1.35642,0.03206,-0.00990,-0.00193,-0.02976,-0.04425,-1.35527,0.03173,0.01814,-0.00441,0.00062,-0.00441,0.00062,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00072,0.00000,0.46194,1.00000,0.00000,-0.00197,-0.00000,0.00845,0.00000,0.30086,0.30061,0.00403,0.00003,2,0.03476,0.00403,0.034759,0.00298,-0.8878,-0.0004,-0.0129,0.0041,-0.2723,-0.0005,0.1771,0,0.04900,0.01900,0.0082,0.0090,0.006982,0.050546,-0.0427,0.0223,31.6352,0.0783,-0.1388,32.3860,-0.0427,0.0050,31.5995,0.0783,0.1572,32.3584,0.001482,0.000429,31.6352,0.000810,0.000748,32.3860,0.001471,-0.000758,31.5995,0.000801,-0.001011,32.3584,-0.00013,-0.00057,-0.54986,1.11015,-0.55644,-0.00074,0.00013,0.00056,-0.54986,1.11015,-0.55645,0.00079,0.00010,-0.00013,0.00010,-0.00013,0.00182,0.03241,-0.03634,-1.34974,0.04579,-0.00961,-0.00183,-0.02884,-0.03697,-1.34828,0.04537,0.01928,-0.00390,0.00056,-0.00391,0.00056,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
