t_s,phase,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,quat_w,quat_x,quat_y,quat_z,imu_temp,power_v,power_a,foot0,foot1,foot2,foot3,FR_hip_cmd,FR_hip_q,FR_hip_dq,FR_hip_tau,FR_thigh_cmd,FR_thigh_q,FR_thigh_dq,FR_thigh_tau,FR_calf_cmd,FR_calf_q,FR_calf_dq,FR_calf_tau,FL_hip_cmd,FL_hip_q,FL_hip_dq,FL_hip_tau,FL_thigh_cmd,FL_thigh_q,FL_thigh_dq,FL_thigh_tau,FL_calf_cmd,FL_calf_q,FL_calf_dq,FL_calf_tau,RR_hip_cmd,RR_hip_q,RR_hip_dq,RR_hip_tau,RR_thigh_cmd,RR_thigh_q,RR_thigh_dq,RR_thigh_tau,RR_calf_cmd,RR_calf_q,RR_calf_dq,RR_calf_tau,RL_hip_cmd,RL_hip_q,RL_hip_dq,RL_hip_tau,RL_thigh_cmd,RL_thigh_q,RL_thigh_dq,RL_thigh_tau,RL_calf_cmd,RL_calf_q,RL_calf_dq,RL_calf_tau
0.0000,B,-0.01271,-0.00374,-2.23877,0.00852,0.02237,-0.02450,-0.25019,-0.06584,9.20930,-0.436216,0.004455,-0.004905,0.899818,79,30.297,18.014,101,15,31,15,0.00000,-0.00767,0.05038,7.7183,0.61018,0.61074,-0.39530,3.3644,-1.21323,-1.23195,0.82094,8.2028,0.00000,0.00416,-0.02325,-4.3787,0.61018,0.61326,-0.40693,1.3853,-1.21323,-1.22789,0.66929,5.2631,0.00000,-0.01682,0.08139,16.1294,0.61018,0.61516,-0.43793,-0.6432,-1.21323,-1.22698,0.77039,3.2242,0.00000,0.02233,-0.12789,-21.3739,0.61018,0.61637,-0.27904,-1.7069,-1.21323,-1.22906,0.89575,6.4484
0.0020,B,-0.01274,-0.00365,-2.23881,-0.01704,0.05220,-0.01598,-0.38068,-0.02634,9.30746,-0.436199,0.004421,-0.004933,0.899826,79,30.288,18.492,101,15,31,15,0.00000,-0.00764,0.05813,7.6936,0.61018,0.61017,-0.37593,3.4881,-1.21323,-1.23025,0.71984,8.7718,0.00000,0.00416,0.00000,-4.4034,0.61018,0.61207,-0.29842,0.8906,-1.21323,-1.22688,0.57425,6.0691,0.00000,-0.01663,0.07363,16.1541,0.61018,0.61464,-0.28291,-0.9895,-1.21323,-1.22459,0.83307,5.2631,0.00000,0.02208,-0.19765,-21.5718,0.61018,0.61495,-0.28679,-1.8306,-1.21323,-1.22754,0.84116,6.6855
0.0040,B,-0.01271,-0.00358,-2.23886,0.00959,0.03302,-0.03409,-0.38068,-0.02634,9.30746,-0.436174,0.004384,-0.004937,0.899838,79,30.288,18.082,101,15,31,15,0.00000,-0.00758,0.08526,7.5947,0.61018,0.60962,-0.30617,3.4881,-1.21323,-1.22784,0.67940,9.1037,0.00000,0.00409,0.00000,-4.2797,0.61018,0.61153,-0.36042,0.7669,-1.21323,-1.22461,0.79465,5.8320,0.00000,-0.01624,0.07751,16.1294,0.61018,0.61398,-0.47669,-0.9648,-1.21323,-1.22323,0.83105,3.8406,0.00000,0.02190,-0.14339,-21.6707,0.61018,0.61419,-0.40305,-1.0390,-1.21323,-1.22498,0.81285,6.2114
0.0060,B,-0.01278,-0.00350,-2.23891,-0.04368,0.03409,-0.02770,-0.39744,-0.05986,9.32422,-0.436152,0.004360,-0.004985,0.899849,79,30.119,24.577,101,15,30,15,0.00000,-0.00721,0.34880,8.8316,0.61018,0.60911,-0.37593,3.2902,-1.21323,-1.22628,0.95843,11.8063,0.00000,0.00406,0.00000,-4.2797,0.61018,0.61095,-0.37205,0.7669,-1.21323,-1.22292,1.05347,7.9657,0.00000,-0.01561,0.44956,17.9353,0.61018,0.61325,-0.46894,-0.9401,-1.21323,-1.22160,1.01101,7.2545,0.00000,0.02175,-0.16277,-21.4234,0.61018,0.61355,-0.31004,-1.7317,-1.21323,-1.22337,0.94226,9.3882
0.0100,B,-0.01294,-0.00329,-2.23900,-0.06179,0.05752,-0.01811,-0.39744,-0.05986,9.32422,-0.436114,0.004301,-0.005103,0.899867,79,30.208,20.407,101,15,30,15,0.00000,-0.00646,0.06588,8.9800,0.61018,0.60774,-0.30229,4.2797,-1.21323,-1.22284,1.00696,8.4399,0.00000,0.00297,-0.06201,-5.9867,0.61018,0.60986,-0.23641,1.4101,-1.21323,-1.21938,1.03527,4.6941,0.00000,-0.01415,0.21315,17.0694,0.61018,0.61240,-0.22090,-0.6679,-1.21323,-1.21800,1.05953,3.6510,0.00000,0.02012,-0.22478,-22.8087,0.61018,0.61264,-0.15502,-1.1874,-1.21323,-1.22002,1.05549,5.8795
0.0120,B,-0.01296,-0.00325,-2.23902,-0.03835,0.03835,-0.02237,-0.32920,-0.08978,10.31781,-0.436105,0.004288,-0.005125,0.899871,79,30.208,20.509,101,16,31,15,0.00000,-0.00612,0.25966,8.3368,0.61018,0.60735,-0.13952,4.6013,-1.21323,-1.22170,0.87351,8.0131,0.00000,0.00267,-0.14727,-4.9229,0.61018,0.60986,-0.23641,1.4101,-1.21323,-1.21829,0.78454,4.5044,0.00000,-0.01385,0.20928,17.0942,0.61018,0.61201,-0.22866,-0.3463,-1.21323,-1.21674,0.88160,3.5087,0.00000,0.01969,-0.26354,-23.0808,0.61018,0.61186,-0.32554,-0.6927,-1.21323,-1.21862,0.81083,5.6898
0.0140,B,-0.01301,-0.00310,-2.23906,-0.02237,0.04474,-0.03409,-0.32920,-0.08978,10.31781,-0.436085,0.004231,-0.005181,0.899881,79,30.261,18.903,101,16,31,16,0.00000,-0.00588,0.06588,8.2626,0.61018,0.60699,-0.12014,4.6755,-1.21323,-1.22053,0.59649,8.2502,0.00000,0.00243,-0.07363,-5.1208,0.61018,0.60911,-0.19765,1.8059,-1.21323,-1.21704,0.60458,4.8363,0.00000,-0.01346,0.10464,16.7973,0.61018,0.61122,-0.21315,-0.1484,-1.21323,-1.21462,0.44080,3.6035,0.00000,0.01918,-0.17827,-22.3634,0.61018,0.61165,-0.16277,-0.8658,-1.21323,-1.21765,0.60660,6.1165
0.0160,B,-0.01303,-0.00313,-2.23912,-0.01491,-0.03835,-0.02770,-0.14006,-0.21668,10.18134,-0.436061,0.004250,-0.005181,0.899892,79,30.261,18.697,101,15,31,16,0.00000,-0.00567,0.16277,8.0152,0.61018,0.60672,-0.09689,4.6261,-1.21323,-1.21916,0.33565,8.4399,0.00000,0.00219,-0.09301,-4.7250,0.61018,0.60890,-0.08914,1.9296,-1.21323,-1.21565,0.29521,5.0260,0.00000,-0.01321,0.08914,16.9705,0.61018,0.61107,-0.10076,-0.1237,-1.21323,-1.21397,0.34779,3.7932,0.00000,0.01885,-0.23641,-22.0913,0.61018,0.61140,-0.13177,-0.6679,-1.21323,-1.21685,0.43675,5.9743
0.0180,B,-0.01301,-0.00317,-2.23916,0.00959,-0.03835,-0.04368,-0.14006,-0.21668,10.18134,-0.436042,0.004262,-0.005164,0.899902,79,30.270,18.595,101,15,33,16,0.00000,-0.00546,0.12402,7.9657,0.61018,0.60656,-0.05813,4.4776,-1.21323,-1.21916,0.33565,8.4399,0.00000,0.00191,-0.15115,-4.4776,0.61018,0.60874,-0.06976,1.8059,-1.21323,-1.21565,0.29521,5.0260,0.00000,-0.01306,-0.00388,17.1684,0.61018,0.61086,-0.13952,0.0247,-1.21323,-1.21355,0.24264,3.6984,0.00000,0.01866,-0.06201,-22.2645,0.61018,0.61125,-0.06588,-0.7669,-1.21323,-1.21617,0.39834,6.0691
0.0200,B,-0.01300,-0.00316,-2.23919,0.00639,0.01065,-0.02770,-0.14006,-0.21668,10.18134,-0.436030,0.004254,-0.005159,0.899907,79,30.279,18.321,101,15,33,16,0.00000,-0.00531,0.13177,8.1389,0.61018,0.60641,-0.13177,4.5024,-1.21323,-1.21844,0.22040,8.2502,0.00000,0.00182,-0.05426,-4.7250,0.61018,0.60868,-0.07363,1.6080,-1.21323,-1.21533,0.17996,5.2157,0.00000,-0.01297,0.03488,16.9457,0.61018,0.61077,-0.10076,-0.0247,-1.21323,-1.21323,0.24062,3.6984,0.00000,0.01836,-0.20928,-21.7697,0.61018,0.61113,-0.08914,-0.7669,-1.21323,-1.21573,0.24871,5.8795
