t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00030,0.00001,0.48036,1.00000,0.00000,-0.00100,0.00000,0.00627,-0.00000,0.32501,0.32501,0.00248,0.00458,2,0.03444,0.00248,0.034441,0.01277,-0.3208,0.0000,-0.2021,0.4143,-1.1809,-0.0000,-4.1825,0,0.04900,0.01900,0.1035,0.1035,0.003611,0.031347,-0.6456,1.3134,18.8743,-0.2326,1.8907,30.6919,-0.6354,1.3125,35.8167,-0.2326,-1.8907,30.6919,0.027924,-0.006055,18.8657,-0.000589,-0.018928,30.6919,0.018418,-0.002904,35.8223,-0.000589,0.018928,30.6919,0.00067,0.00026,-0.34848,0.70641,-0.35445,0.00511,-0.00067,-0.00033,-0.34846,0.70637,-0.35443,-0.00499,-0.00272,0.00318,-0.01494,0.00273,0.00318,-0.01494,0.00070,-0.28557,0.15935,-0.03679,0.46470,0.06527,0.00195,-0.29039,0.35352,-0.49488,0.59611,0.06629,0.11286,0.11124,-0.47075,-0.05578,0.11124,-0.47075,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007112,-0.000000,0.004187,0.004575,0.004187,-0.000000,0.012963,-0.013726,0.000000,0.005431,0.000000,0.000000,0.363494,0.636506,0.000000,0.000000,0.000000,0.005254,-0.005254,0.000000,0.000000
0.0050,0.00035,0.00003,0.48040,1.00000,0.00000,-0.00083,0.00000,0.00629,0.00001,0.32507,0.32501,0.00200,0.00470,2,0.03450,0.00200,0.034503,0.01192,-0.3226,-0.0001,-0.1876,0.3896,-0.8122,-0.0227,-2.9303,0,0.04900,0.01900,0.1370,0.0545,0.031324,0.043734,-0.5994,1.2339,20.5525,-0.6702,1.4915,19.9030,-0.5898,1.2352,36.4753,-0.6768,0.9849,36.5690,0.020248,-0.005417,20.5447,0.027133,-0.006556,19.9030,0.014825,-0.002453,36.4804,0.018379,-0.002004,36.5690,0.00064,0.00021,-0.34920,0.70718,-0.35495,0.00484,-0.00064,-0.00047,-0.34913,0.70703,-0.35487,-0.00441,-0.00295,0.00494,-0.02299,0.00297,0.00495,-0.02299,0.00047,-0.27393,0.08872,-0.18061,0.35027,0.05973,0.00171,-0.27094,0.27165,-0.61277,0.47499,0.06518,0.14440,0.07436,-0.29532,-0.09101,0.07451,-0.29531,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006959,0.000359,0.004187,0.004701,0.004187,0.000126,0.012504,-0.012901,0.000000,0.005152,0.000000,0.000000,0.371706,0.628294,0.000000,0.000000,0.000000,0.005113,-0.004988,0.000000,0.000000
0.0100,0.00039,0.00006,0.48041,1.00000,0.00000,-0.00071,0.00000,0.00630,0.00002,0.32511,0.32501,0.00165,0.00483,2,0.03455,0.00165,0.034559,0.01077,-0.3109,-0.0001,-0.1732,0.3656,-0.5469,-0.0327,-2.0402,0,0.04900,0.01900,0.1168,0.0541,0.024305,0.044573,-0.5534,1.1573,21.8926,-0.6257,1.3428,21.1409,-0.5443,1.1600,36.8171,-0.6257,1.0190,36.8736,0.015343,-0.004876,21.8857,0.020115,-0.005710,21.1409,0.012297,-0.002130,36.8215,0.014898,-0.001883,36.8736,0.00063,0.00012,-0.34996,0.70824,-0.35560,0.00451,-0.00063,-0.00067,-0.34983,0.70797,-0.35544,-0.00365,-0.00327,0.00611,-0.02720,0.00332,0.00612,-0.02720,0.00030,-0.26090,0.04125,-0.29040,0.26971,0.05522,0.00151,-0.25309,0.21308,-0.69677,0.38750,0.06319,0.16669,0.04782,-0.16903,-0.11660,0.04805,-0.16902,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006805,0.000712,0.004187,0.004827,0.004187,0.000251,0.012042,-0.012092,0.000000,0.004877,0.000000,0.000000,0.379747,0.620253,0.000000,0.000000,0.000000,0.004838,-0.004415,0.000000,0.000000
0.0150,0.00042,0.00011,0.48042,1.00000,0.00001,-0.00062,0.00000,0.00631,0.00005,0.32513,0.32501,0.00141,0.00495,2,0.03459,0.00141,0.034609,0.00949,-0.2912,-0.0002,-0.1593,0.3426,-0.3579,-0.0346,-1.4137,0,0.04900,0.01900,0.1012,0.0528,0.019580,0.045266,-0.5091,1.0840,22.9762,-0.5740,1.2177,22.1831,-0.5006,1.0877,36.9311,-0.5701,1.0233,36.9838,0.012093,-0.004402,22.9703,0.015390,-0.005011,22.1831,0.010483,-0.001891,36.9347,0.012380,-0.001792,36.9838,0.00062,0.00001,-0.35072,0.70944,-0.35631,0.00418,-0.00062,-0.00092,-0.35053,0.70902,-0.35607,-0.00280,-0.00362,0.00684,-0.02873,0.00370,0.00686,-0.02873,0.00020,-0.24723,0.01010,-0.37493,0.21363,0.05157,0.00133,-0.23642,0.17105,-0.75586,0.32438,0.06047,0.18203,0.02903,-0.08000,-0.13494,0.02929,-0.07999,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006655,0.001058,0.004187,0.004953,0.004187,0.000377,0.011592,-0.011307,0.000000,0.004611,0.000000,0.000000,0.387558,0.612442,0.000000,0.000000,0.000000,0.004507,-0.003654,0.000000,0.000000
0.0200,0.00043,0.00017,0.48042,1.00000,0.00001,-0.00055,0.00001,0.00632,0.00008,0.32515,0.32501,0.00123,0.00508,2,0.03463,0.00123,0.034652,0.00820,-0.2673,-0.0002,-0.1462,0.3207,-0.2254,-0.0317,-0.9777,0,0.04900,0.01900,0.0887,0.0510,0.016333,0.045849,-0.4673,1.0142,23.8648,-0.5201,1.1118,23.0729,-0.4593,1.0185,36.8825,-0.5141,1.0063,36.9542,0.009880,-0.003979,23.8598,0.012144,-0.004425,23.0729,0.009158,-0.001710,36.8854,0.010533,-0.001715,36.9542,0.00061,-0.00015,-0.35145,0.71065,-0.35703,0.00388,-0.00061,-0.00120,-0.35119,0.71009,-0.35670,-0.00190,-0.00396,0.00728,-0.02848,0.00409,0.00730,-0.02848,0.00016,-0.23333,-0.00968,-0.44070,0.17505,0.04862,0.00116,-0.22066,0.14070,-0.79670,0.27874,0.05722,0.19227,0.01597,-0.01895,-0.14789,0.01622,-0.01894,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006513,0.001395,0.004187,0.005078,0.004187,0.000503,0.011165,-0.010547,0.000000,0.004356,0.000000,0.000000,0.395108,0.604892,0.000000,0.000000,0.000000,0.004176,-0.002796,0.000000,0.000000
0.0250,0.00043,0.00023,0.48041,1.00000,0.00001,-0.00051,0.00001,0.00632,0.00012,0.32515,0.32501,0.00111,0.00520,2,0.03466,0.00111,0.034690,0.00696,-0.2421,-0.0003,-0.1340,0.2999,-0.1343,-0.0262,-0.6783,0,0.04900,0.01900,0.0786,0.0488,0.014069,0.046341,-0.4283,0.9480,24.6049,-0.4681,1.0214,23.8424,-0.4209,0.9527,36.7198,-0.4611,0.9746,36.8231,0.008335,-0.003598,24.6007,0.009879,-0.003928,23.8424,0.008170,-0.001569,36.7221,0.009164,-0.001643,36.8231,0.00061,-0.00034,-0.35212,0.71180,-0.35770,0.00365,-0.00060,-0.00151,-0.35181,0.71111,-0.35730,-0.00101,-0.00428,0.00750,-0.02707,0.00446,0.00753,-0.02707,0.00015,-0.21947,-0.02164,-0.49253,0.14884,0.04622,0.00100,-0.20562,0.11849,-0.82425,0.24553,0.05369,0.19878,0.00711,0.02136,-0.15692,0.00735,0.02136,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006379,0.001722,0.004187,0.005204,0.004187,0.000628,0.010763,-0.009816,0.000000,0.004114,0.000000,0.000000,0.402381,0.597619,0.000000,0.000000,0.000000,0.003883,-0.001902,0.000000,0.000000
0.0300,0.00043,0.00031,0.48041,1.00000,0.00001,-0.00047,0.00001,0.00632,0.00017,0.32516,0.32501,0.00101,0.00533,2,0.03469,0.00101,0.034721,0.00583,-0.2174,-0.0003,-0.1227,0.2801,-0.0734,-0.0196,-0.4758,0,0.04900,0.01900,0.0703,0.0464,0.012472,0.046758,-0.3923,0.8852,25.2316,-0.4209,0.9443,24.5171,-0.3854,0.8902,36.4790,-0.4137,0.9321,36.6208,0.007232,-0.003256,25.2282,0.008281,-0.003508,24.5171,0.007418,-0.001455,36.4807,0.008137,-0.001569,36.6208,0.00060,-0.00057,-0.35274,0.71285,-0.35831,0.00349,-0.00060,-0.00185,-0.35238,0.71206,-0.35783,-0.00016,-0.00456,0.00759,-0.02498,0.00480,0.00761,-0.02498,0.00015,-0.20580,-0.02830,-0.53398,0.13125,0.04425,0.00084,-0.19121,0.10194,-0.84215,0.22105,0.05008,0.20265,0.00131,0.04649,-0.16310,0.00151,0.04649,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006254,0.002040,0.004187,0.005330,0.004187,0.000754,0.010389,-0.009113,0.000000,0.003885,0.000000,0.000000,0.409371,0.590629,0.000000,0.000000,0.000000,0.003650,-0.001014,0.000000,0.000000
0.0350,0.00042,0.00040,0.48040,1.00000,0.00001,-0.00044,0.00001,0.00632,0.00022,0.32516,0.32501,0.00094,0.00546,2,0.03471,0.00094,0.034747,0.00483,-0.1943,-0.0003,-0.1123,0.2615,-0.0343,-0.0128,-0.3416,0,0.04900,0.01900,0.0634,0.0439,0.011328,0.047113,-0.3591,0.8260,25.7715,-0.3789,0.8769,25.1147,-0.3527,0.8311,36.1866,-0.3719,0.8833,36.3686,0.006425,-0.002950,25.7686,0.007137,-0.003150,25.1147,0.006829,-0.001358,36.1879,0.007356,-0.001492,36.3686,0.00060,-0.00083,-0.35331,0.71379,-0.35884,0.00340,-0.00060,-0.00220,-0.35291,0.71290,-0.35829,0.00066,-0.00479,0.00758,-0.02254,0.00511,0.00761,-0.02254,0.00017,-0.19244,-0.03144,-0.56768,0.11954,0.04259,0.00070,-0.17733,0.08928,-0.85309,0.20263,0.04654,0.20465,-0.00230,0.06072,-0.16726,-0.00214,0.06072,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006138,0.002349,0.004187,0.005455,0.004187,0.000880,0.010040,-0.008439,0.000000,0.003668,0.000000,0.000000,0.416077,0.583923,0.000000,0.000000,0.000000,0.003490,-0.000157,0.000000,0.000000
0.0400,0.00041,0.00049,0.48039,1.00000,0.00001,-0.00042,0.00001,0.00631,0.00029,0.32516,0.32501,0.00088,0.00558,2,0.03473,0.00088,0.034769,0.00395,-0.1736,-0.0004,-0.1027,0.2438,-0.0107,-0.0064,-0.2546,0,0.04900,0.01900,0.0575,0.0414,0.010496,0.047418,-0.3283,0.7701,26.2449,-0.3415,0.8167,25.6487,-0.3225,0.7754,35.8628,-0.3351,0.8316,36.0820,0.005817,-0.002676,26.2426,0.006303,-0.002841,25.6487,0.006355,-0.001273,35.8637,0.006748,-0.001413,36.0820,0.00060,-0.00113,-0.35382,0.71461,-0.35928,0.00339,-0.00060,-0.00257,-0.35339,0.71365,-0.35868,0.00143,-0.00498,0.00751,-0.01999,0.00537,0.00755,-0.01999,0.00019,-0.17943,-0.03231,-0.59560,0.11176,0.04115,0.00057,-0.16396,0.07926,-0.85910,0.18834,0.04318,0.20537,-0.00437,0.06727,-0.16999,-0.00426,0.06727,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006029,0.002648,0.004187,0.005581,0.004187,0.001006,0.009715,-0.007793,0.000000,0.003464,0.000000,0.000000,0.422502,0.577498,0.000000,0.000000,0.000000,0.003405,0.000658,0.000000,0.000000
0.0450,0.00040,0.00059,0.48038,1.00000,0.00001,-0.00039,0.00001,0.00630,0.00035,0.32515,0.32501,0.00083,0.00571,2,0.03475,0.00083,0.034786,0.00320,-0.1553,-0.0004,-0.0938,0.2272,0.0022,-0.0009,-0.2000,0,0.04900,0.01900,0.0524,0.0390,0.009874,0.047682,-0.2999,0.7174,26.6677,-0.3084,0.7620,26.1306,-0.2946,0.7228,35.5223,-0.3027,0.7793,35.7736,0.005342,-0.002431,26.6657,0.005680,-0.002574,26.1306,0.005960,-0.001196,35.5229,0.006263,-0.001333,35.7736,0.00060,-0.00145,-0.35429,0.71532,-0.35964,0.00345,-0.00059,-0.00297,-0.35383,0.71430,-0.35900,0.00215,-0.00512,0.00742,-0.01746,0.00560,0.00745,-0.01746,0.00021,-0.16680,-0.03178,-0.61925,0.10652,0.03988,0.00045,-0.15105,0.07102,-0.86167,0.17681,0.04007,0.20525,-0.00538,0.06857,-0.17177,-0.00531,0.06857,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005928,0.002938,0.004187,0.005707,0.004187,0.001131,0.009411,-0.007174,0.000000,0.003271,0.000000,0.000000,0.428653,0.571347,0.000000,0.000000,0.000000,0.003393,0.001427,0.000000,0.000000
