t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00029,0.00001,0.48038,1.00000,-0.00001,-0.00099,-0.00002,0.00627,-0.00000,0.32501,0.32501,0.00248,0.00458,2,0.03449,0.00248,0.034467,0.02076,-0.3208,0.0000,-0.2021,0.4143,-1.1809,-0.0000,-4.1825,0,0.04900,0.01900,0.1035,0.1035,0.003611,0.031347,-0.7550,1.0956,24.4602,-0.2326,1.8907,30.6919,-0.5260,1.5304,30.2308,-0.2326,-1.8907,30.6919,-0.010847,-0.019002,24.4525,-0.000589,-0.018928,30.6919,0.049002,-0.010410,30.2379,-0.000589,0.018928,30.6919,0.00165,0.00028,-0.34858,0.70679,-0.35490,0.00550,-0.00210,-0.00010,-0.34926,0.70724,-0.35375,-0.00491,-0.00260,0.00319,-0.01494,0.00264,0.00314,-0.01494,1.03299,0.13881,-0.65312,-1.04779,-0.34289,0.42224,-1.02078,-0.15613,1.17758,0.53711,1.42179,0.26833,0.18466,0.11101,-0.47085,-0.13126,0.11101,-0.47085,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007112,-0.000000,0.004187,0.004575,0.004187,-0.000000,0.012963,-0.013726,0.000000,0.005431,0.000000,0.000000,0.363494,0.636506,0.000000,0.000000,0.000000,0.005254,-0.005254,0.000000,0.000000
0.0050,0.00035,0.00003,0.48042,1.00000,-0.00003,-0.00082,-0.00004,0.00629,0.00001,0.32509,0.32501,0.00198,0.00470,2,0.03460,0.00198,0.034555,0.01593,-0.5220,-0.0001,-0.2247,0.3695,-1.3722,0.3936,-3.0438,0,0.04900,0.01900,0.1167,0.1553,-0.002716,0.033714,-1.0363,0.7711,25.3503,-1.2997,1.4185,27.4916,-0.3877,1.5710,28.1284,2.5201,2.3430,36.9335,0.016089,-0.012468,25.3441,-0.006922,-0.016556,27.4916,0.024183,-0.019002,28.1350,0.032448,-0.008331,36.9335,0.00278,0.00025,-0.34948,0.70812,-0.35598,0.00574,-0.00380,0.00001,-0.35097,0.70913,-0.35344,-0.00404,-0.00256,0.00496,-0.02299,0.00264,0.00485,-0.02299,0.01871,0.07110,-0.06888,-0.42341,0.28259,0.29571,0.00910,0.02432,0.45411,-0.08758,0.65896,0.49895,0.18143,0.08063,-0.29477,-0.12723,0.07546,-0.29498,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007370,0.000582,0.004187,0.004701,0.004187,0.000126,0.013738,-0.012233,0.000000,0.005207,0.000000,0.000000,0.378345,0.621655,0.000000,0.000000,0.000000,0.005500,-0.004906,0.000000,0.000000
0.0100,0.00038,0.00007,0.48044,1.00000,-0.00003,-0.00069,-0.00005,0.00632,0.00003,0.32515,0.32501,0.00164,0.00483,2,0.03471,0.00164,0.034653,0.02158,-0.4169,-0.0002,-0.1975,0.3580,-0.7280,0.2060,-2.0752,0,0.04900,0.01900,0.0802,0.0894,0.019890,0.037375,0.0358,2.6509,23.0730,-0.9199,0.8062,25.4103,-1.2873,-0.3817,34.4885,-1.1871,0.8561,27.3031,-0.017346,-0.000176,23.0570,0.015684,-0.012958,25.4103,0.034892,-0.009944,34.4825,0.028288,-0.017785,27.3031,0.00244,0.00005,-0.35057,0.71026,-0.35787,0.00574,-0.00402,-0.00025,-0.35274,0.71139,-0.35332,-0.00264,-0.00256,0.00612,-0.02719,0.00261,0.00596,-0.02720,-0.88298,-0.85737,-0.53915,-0.94635,-0.42888,-0.08805,0.81675,0.50055,0.76824,0.04845,1.09159,0.39032,0.19344,0.04870,-0.16902,-0.14513,0.04599,-0.16907,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007078,0.000799,0.004187,0.004827,0.004187,0.000251,0.012860,-0.011833,0.000000,0.004958,0.000000,0.000000,0.382322,0.617678,0.000000,0.000000,0.000000,0.005744,-0.004041,0.000000,0.000000
0.0150,0.00040,0.00012,0.48044,1.00000,-0.00000,-0.00060,-0.00006,0.00634,0.00005,0.32519,0.32501,0.00138,0.00495,2,0.03479,0.00138,0.034763,0.02222,-0.5700,-0.0003,-0.1793,0.3751,-0.7139,-0.1957,-1.5523,0,0.04900,0.01900,0.1029,0.0820,-0.006369,0.051198,0.6026,1.4887,22.1962,-0.7983,1.3855,25.9010,-1.7388,0.8884,35.4546,-0.6435,-1.6405,35.8385,0.047593,0.005220,22.1876,-0.010532,0.000959,25.9010,-0.009458,-0.008450,35.4499,0.031864,-0.007734,35.8385,0.00088,-0.00012,-0.35207,0.71307,-0.35951,0.00531,-0.00354,-0.00076,-0.35418,0.71350,-0.35380,-0.00059,-0.00259,0.00686,-0.02873,0.00256,0.00665,-0.02873,-0.61261,-0.54854,1.05355,0.64852,1.03807,-0.17273,0.49929,0.08161,-0.88765,-1.59727,-0.48395,0.31718,0.18915,0.03084,-0.07983,-0.15116,0.02871,-0.07986,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006883,0.000701,0.004187,0.004953,0.004187,0.000377,0.012275,-0.012378,0.000000,0.005035,0.000000,0.000000,0.376901,0.623099,0.000000,0.000000,0.000000,0.005740,-0.002641,0.000000,0.000000
0.0200,0.00040,0.00018,0.48043,1.00000,0.00003,-0.00053,-0.00007,0.00635,0.00007,0.32522,0.32501,0.00119,0.00508,2,0.03483,0.00119,0.034850,0.01448,-0.6021,-0.0004,-0.1563,0.3439,-0.3787,-0.5887,-1.0512,0,0.04900,0.01900,0.2616,0.3215,0.040050,0.051933,1.9716,1.1167,24.8584,2.3209,3.0007,24.1725,-2.9624,1.0629,34.9173,-5.7382,-2.5274,32.5096,-0.000049,0.012964,24.8529,0.035896,0.001643,24.1725,0.016575,-0.019002,34.9055,0.002432,-0.000943,32.5096,-0.00067,-0.00023,-0.35357,0.71575,-0.36067,0.00450,-0.00311,-0.00160,-0.35489,0.71528,-0.35593,0.00395,-0.00261,0.00730,-0.02848,0.00248,0.00704,-0.02847,-0.38736,-0.69930,0.43171,-0.24246,0.12368,-0.38175,0.09060,0.41806,-0.34118,-0.91612,0.28732,0.71659,0.19514,0.01599,-0.01908,-0.16085,0.01312,-0.01902,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006633,0.001138,0.004187,0.005078,0.004187,0.000503,0.011527,-0.011319,0.000000,0.004639,0.000000,0.000000,0.387434,0.612566,0.000000,0.000000,0.000000,0.005312,-0.000587,0.000000,0.000000
0.0250,0.00040,0.00024,0.48040,1.00000,0.00005,-0.00048,-0.00008,0.00635,0.00010,0.32522,0.32501,0.00106,0.00520,2,0.03486,0.00106,0.034906,0.00924,-0.4256,-0.0005,-0.1214,0.3351,-0.0416,-0.3631,-0.7804,0,0.04900,0.01900,0.1490,0.1349,0.005171,0.063239,-2.9875,1.4395,28.2656,1.6129,1.2887,23.0925,2.2184,0.6844,33.6468,-2.3908,1.5324,35.0954,0.025802,-0.011668,28.2577,0.001017,0.012958,23.0925,-0.008051,-0.005061,33.6523,0.015551,-0.019000,35.0954,-0.00154,-0.00041,-0.35481,0.71788,-0.36152,0.00392,-0.00288,-0.00223,-0.35543,0.71671,-0.35779,0.00717,-0.00259,0.00752,-0.02707,0.00240,0.00723,-0.02707,0.36701,-0.15564,-0.20593,-0.52326,0.45316,0.25126,-0.14929,0.06827,0.25653,-0.83039,-0.15530,0.26190,0.20161,0.00506,0.02096,-0.16937,0.00273,0.02101,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006247,0.001328,0.004187,0.005204,0.004187,0.000628,0.010368,-0.010998,0.000000,0.004389,0.000000,0.000000,0.390623,0.609377,0.000000,0.000000,0.000000,0.004500,0.003946,0.000000,0.000000
0.0300,0.00040,0.00032,0.48037,1.00000,0.00006,-0.00044,-0.00007,0.00634,0.00014,0.32522,0.32501,0.00096,0.00533,2,0.03487,0.00096,0.034936,0.00438,-0.3055,-0.0005,-0.1110,0.3013,0.1364,-0.2613,-0.5240,0,0.04900,0.01900,0.1812,0.1400,0.029858,0.039459,-0.9882,0.5743,30.5738,-2.7582,1.0239,27.0604,0.2849,1.3355,32.4662,2.0608,1.7844,32.4654,0.018546,-0.006302,30.5710,0.025739,-0.010783,27.0604,-0.005631,-0.013289,32.4597,-0.008308,-0.008949,32.4654,-0.00198,-0.00065,-0.35575,0.71943,-0.36210,0.00363,-0.00275,-0.00271,-0.35579,0.71777,-0.35934,0.00918,-0.00255,0.00759,-0.02499,0.00231,0.00730,-0.02498,0.01462,0.00527,0.21868,-0.42861,0.46767,0.16027,0.02479,0.07386,-0.19305,-1.05323,-0.21405,0.44973,0.20519,-0.00298,0.04596,-0.17326,-0.00240,0.04608,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006131,0.001799,0.004187,0.005330,0.004187,0.000754,0.010019,-0.009838,0.000000,0.004031,0.000000,0.000000,0.402161,0.597839,0.000000,0.000000,0.000000,0.003924,0.007173,0.000000,0.000000
0.0350,0.00039,0.00040,0.48036,1.00000,0.00007,-0.00040,-0.00007,0.00633,0.00020,0.32520,0.32501,0.00088,0.00546,2,0.03488,0.00088,0.034988,0.01404,-0.1910,-0.0006,-0.0995,0.2729,0.2136,-0.1112,-0.3658,0,0.04900,0.01900,0.0716,0.0974,0.023684,0.043784,0.0205,1.0079,27.2331,-1.1103,0.5804,29.1735,-0.6513,0.7218,36.2964,0.4001,1.8221,31.9227,0.014190,-0.016086,27.2298,0.019561,-0.006457,29.1735,-0.001091,0.006445,36.2897,-0.006443,-0.015382,31.9227,-0.00386,-0.00086,-0.35695,0.72116,-0.36236,0.00371,-0.00150,-0.00302,-0.35609,0.71863,-0.36096,0.00862,-0.00251,0.00755,-0.02255,0.00224,0.00726,-0.02254,-1.20446,0.10847,0.31694,-0.32817,0.37963,0.39449,1.15639,-0.40580,-0.29885,-1.22640,-0.14535,-0.22162,0.20631,-0.00662,0.06021,-0.17491,-0.00572,0.06029,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006002,0.002214,0.004187,0.005455,0.004187,0.000880,0.009632,-0.008846,0.000000,0.003715,0.000000,0.000000,0.412033,0.587967,0.000000,0.000000,0.000000,0.003625,0.009179,0.000000,0.000000
0.0400,0.00037,0.00050,0.48034,1.00000,0.00007,-0.00038,-0.00007,0.00633,0.00026,0.32520,0.32501,0.00081,0.00558,2,0.03489,0.00081,0.034996,-0.01069,-0.4353,-0.0006,-0.1147,0.2192,-0.1800,-0.3948,-0.4088,0,0.04900,0.01900,0.1040,0.1341,0.012127,0.037202,-0.6081,1.2968,29.6415,1.6682,0.9891,31.0856,-0.1190,0.0926,31.3937,-0.5973,2.8887,36.6735,0.009712,-0.010869,29.6369,0.008034,-0.013074,31.0856,0.003756,-0.008098,31.3925,-0.000738,-0.000286,36.6735,-0.00555,-0.00106,-0.35746,0.72194,-0.36284,0.00357,-0.00015,-0.00322,-0.35640,0.71947,-0.36241,0.00713,-0.00244,0.00749,-0.01999,0.00216,0.00716,-0.01999,0.20025,-0.09598,0.05132,-0.60126,0.23357,0.28284,-0.22349,0.20163,-0.00670,-0.78562,0.06357,0.19704,0.19707,-0.00479,0.06721,-0.16647,-0.00528,0.06728,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006167,0.002912,0.004187,0.005581,0.004187,0.001006,0.010129,-0.007001,0.000000,0.003324,0.000000,0.000000,0.430379,0.569621,0.000000,0.000000,0.000000,0.003713,0.008615,0.000000,0.000000
0.0450,0.00036,0.00060,0.48031,1.00000,0.00002,-0.00036,-0.00007,0.00632,0.00034,0.32519,0.32501,0.00076,0.00571,2,0.03490,0.00076,0.034927,-0.01123,0.1693,-0.0006,-0.0558,0.2126,0.4737,0.5247,-0.1539,0,0.04900,0.01900,0.2458,0.0256,0.014291,0.031264,-0.3527,0.4886,28.8586,-0.2307,3.8363,26.0591,-0.0011,0.8591,36.3194,0.2796,-0.3997,31.7409,0.006686,0.014661,28.8568,0.010244,-0.019000,26.0591,0.001202,-0.015187,36.3157,0.002128,-0.006547,31.7409,-0.00518,-0.00095,-0.35687,0.72107,-0.36335,-0.00033,0.00045,-0.00339,-0.35676,0.72027,-0.36343,0.00641,-0.00229,0.00739,-0.01746,0.00209,0.00706,-0.01747,0.56800,-0.55977,0.00558,-0.71019,0.13240,-0.45032,-0.53360,0.27707,0.00696,-1.00909,0.01547,0.48291,0.21200,-0.00934,0.06803,-0.17967,-0.01112,0.06789,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005513,0.003094,0.004187,0.005707,0.004187,0.001131,0.008165,-0.006707,0.000000,0.002930,0.000000,0.000000,0.433299,0.566701,0.000000,0.000000,0.000000,0.003574,0.007133,0.000000,0.000000
