t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00029,0.00001,0.48038,1.00000,-0.00001,-0.00099,-0.00002,0.00627,-0.00000,0.32501,0.32501,0.00248,0.00458,2,0.03449,0.00248,0.034467,0.02076,-0.3208,0.0000,-0.2021,0.4143,-1.1809,-0.0000,-4.1825,0,0.04900,0.01900,0.1035,0.1035,0.003611,0.031347,-0.7550,1.0956,24.4602,-0.2326,1.8907,30.6919,-0.5260,1.5304,30.2308,-0.2326,-1.8907,30.6919,-0.010847,-0.019002,24.4525,-0.000589,-0.018928,30.6919,0.049002,-0.010410,30.2379,-0.000589,0.018928,30.6919,0.00165,0.00028,-0.34858,0.70679,-0.35490,0.00550,-0.00210,-0.00010,-0.34926,0.70724,-0.35375,-0.00491,-0.00260,0.00319,-0.01494,0.00264,0.00314,-0.01494,1.03299,0.13881,-0.65311,-1.04778,-0.34289,0.42224,-1.02078,-0.15613,1.17758,0.53711,1.42179,0.26833,0.18466,0.11101,-0.47085,-0.13126,0.11101,-0.47085,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007112,-0.000000,0.004187,0.004575,0.004187,-0.000000,0.012963,-0.013726,0.000000,0.005431,0.000000,0.000000,0.363494,0.636506,0.000000,0.000000,0.000000,0.005254,-0.005254,0.000000,0.000000
0.0050,0.00035,0.00003,0.48042,1.00000,-0.00003,-0.00082,-0.00004,0.00629,0.00001,0.32509,0.32501,0.00198,0.00470,2,0.03460,0.00198,0.034557,0.01645,-0.5220,-0.0001,-0.2247,0.3695,-1.3722,0.3936,-3.0438,0,0.04900,0.01900,0.1167,0.1553,-0.002716,0.033714,-0.4365,0.9364,24.8261,-1.2997,1.4185,27.4916,-0.9875,1.4056,28.6526,2.5201,2.3430,36.9334,0.020806,-0.019002,24.8197,-0.006922,-0.016556,27.4916,0.019987,-0.011409,28.6570,0.032448,-0.008331,36.9334,0.00283,0.00023,-0.34951,0.70817,-0.35598,0.00587,-0.00385,0.00002,-0.35094,0.70910,-0.35347,-0.00417,-0.00256,0.00496,-0.02299,0.00264,0.00485,-0.02299,0.14949,0.17374,0.20519,-0.19230,0.43918,0.44571,-0.18155,-0.12974,0.17958,-0.31928,0.50172,0.29720,0.18143,0.08063,-0.29477,-0.12723,0.07546,-0.29498,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007370,0.000582,0.004187,0.004701,0.004187,0.000126,0.013738,-0.012233,0.000000,0.005207,0.000000,0.000000,0.378345,0.621655,0.000000,0.000000,0.000000,0.005500,-0.004906,0.000000,0.000000
0.0100,0.00038,0.00006,0.48045,1.00000,-0.00005,-0.00069,-0.00005,0.00632,0.00003,0.32515,0.32501,0.00164,0.00483,2,0.03473,0.00164,0.034670,0.02606,-0.4300,-0.0002,-0.1964,0.3575,-0.7295,0.1683,-2.0767,0,0.04900,0.01900,0.0582,0.1242,0.024298,0.031594,0.5211,1.0184,22.5640,-0.2914,0.8260,25.0738,-1.7661,1.2477,34.9882,-1.8683,0.8707,27.6573,-0.016877,-0.014097,22.5580,0.020076,-0.018751,25.0738,0.034367,0.000376,34.9875,0.024319,-0.010633,27.6573,0.00505,0.00021,-0.35069,0.71057,-0.35802,0.00633,-0.00653,0.00022,-0.35305,0.71175,-0.35314,-0.00347,-0.00253,0.00611,-0.02719,0.00268,0.00596,-0.02720,1.08153,-0.00091,-0.39886,-0.83545,-0.38213,0.28851,-1.19688,-0.40160,0.62394,-0.06460,1.04200,-0.02806,0.19333,0.04865,-0.16902,-0.14517,0.04613,-0.16907,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007067,0.000804,0.004187,0.004827,0.004187,0.000251,0.012826,-0.011817,0.000000,0.004947,0.000000,0.000000,0.382484,0.617516,0.000000,0.000000,0.000000,0.005872,-0.004169,0.000000,0.000000
0.0150,0.00039,0.00011,0.48045,1.00000,-0.00005,-0.00059,-0.00005,0.00634,0.00006,0.32520,0.32501,0.00137,0.00495,2,0.03483,0.00137,0.034789,0.02220,-0.6823,-0.0003,-0.1940,0.2991,-1.0044,0.3680,-1.6108,0,0.04900,0.01900,0.1468,0.0998,-0.004519,0.037115,-2.3609,-0.0961,23.4350,-0.7303,2.2080,26.4119,1.1313,1.9920,32.3746,0.3272,2.3343,39.3798,0.041670,-0.013962,23.4339,-0.008734,-0.013163,26.4119,-0.006072,-0.003924,32.3855,0.025548,-0.000745,39.3798,0.00671,0.00017,-0.35227,0.71361,-0.35993,0.00684,-0.00860,0.00022,-0.35479,0.71425,-0.35352,-0.00247,-0.00251,0.00682,-0.02873,0.00271,0.00666,-0.02873,-0.43303,0.31261,0.12290,0.01082,0.70819,0.33983,0.62676,-0.53853,0.04844,-0.82285,-0.10257,0.07651,0.18918,0.03299,-0.07952,-0.13867,0.03063,-0.07958,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007046,0.001544,0.004187,0.004953,0.004187,0.000377,0.012766,-0.009848,0.000000,0.004449,0.000000,0.000000,0.402060,0.597940,0.000000,0.000000,0.000000,0.006330,-0.003471,0.000000,0.000000
0.0200,0.00040,0.00016,0.48043,1.00000,0.00001,-0.00052,-0.00012,0.00635,0.00010,0.32524,0.32501,0.00118,0.00508,2,0.03482,0.00118,0.034900,0.02198,-0.6055,-0.0004,-0.1558,0.3039,-0.2604,-0.3383,-1.0060,0,0.04900,0.01900,0.0426,0.8765,0.036617,0.037519,-1.1968,0.1884,28.2725,-0.6412,-0.0321,25.1057,0.2092,1.7377,32.2528,-8.0144,-1.1679,15.4025,0.002148,-0.002428,28.2702,0.032392,-0.013072,25.1057,0.015225,-0.019002,32.2573,0.048999,-0.007973,15.4025,0.00882,-0.00009,-0.35417,0.71704,-0.36150,0.00709,-0.01489,0.00032,-0.35482,0.71486,-0.35732,0.00209,-0.00251,0.00735,-0.02848,0.00265,0.00696,-0.02847,1.19449,-0.03928,-0.38682,-0.85906,-0.08943,0.06934,-1.10948,0.07579,0.45616,-0.36354,0.44925,0.57765,0.20115,0.01080,-0.01935,-0.16042,0.01542,-0.01910,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006630,0.001589,0.004187,0.005078,0.004187,0.000503,0.011516,-0.009965,0.000000,0.004259,0.000000,0.000000,0.400904,0.599096,0.000000,0.000000,0.000000,0.006839,-0.002472,0.000000,0.000000
0.0250,0.00040,0.00022,0.48041,1.00000,0.00005,-0.00046,-0.00021,0.00635,0.00016,0.32523,0.32501,0.00104,0.00520,2,0.03482,0.00104,0.034983,0.01352,-0.6166,-0.0005,-0.1291,0.2605,0.0022,-0.8721,-0.9653,0,0.04900,0.01900,0.2681,0.0860,-0.004111,0.031342,0.2301,-0.0950,29.5940,0.1240,3.9219,24.3948,-1.0482,1.7461,32.5959,1.7938,-0.3702,35.5181,-0.003047,-0.019007,29.5941,-0.008420,-0.018999,24.3948,0.015392,-0.006002,32.5898,0.010200,-0.013023,35.5181,0.01091,-0.00041,-0.35578,0.71986,-0.36279,0.00726,-0.02012,0.00034,-0.35501,0.71552,-0.36029,0.00606,-0.00248,0.00768,-0.02708,0.00258,0.00701,-0.02706,-0.25549,0.53705,-0.09449,-0.79275,-0.10927,0.55592,0.00615,-0.40137,0.12959,-0.60425,0.31619,0.26802,0.20424,0.01328,0.02108,-0.16868,-0.00812,0.02053,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006334,0.002169,0.004187,0.005204,0.004187,0.000628,0.010629,-0.008475,0.000000,0.003718,0.000000,0.000000,0.415718,0.584282,0.000000,0.000000,0.000000,0.007087,0.002086,0.000000,0.000000
0.0300,0.00039,0.00030,0.48038,1.00000,0.00006,-0.00042,-0.00027,0.00635,0.00021,0.32522,0.32501,0.00092,0.00533,2,0.03482,0.00092,0.035042,0.01092,-0.4218,-0.0006,-0.1221,0.2576,0.1237,-0.4697,-0.6271,0,0.04900,0.01900,0.0428,0.0919,0.001383,0.031394,0.0832,1.0630,29.3893,-0.0157,-0.6977,27.1995,-0.8572,0.5697,33.5708,-0.2153,1.8093,33.0350,-0.019731,-0.019008,29.3813,-0.002977,-0.018999,27.1995,0.027749,-0.000429,33.5671,0.010962,-0.008733,33.0350,0.01283,-0.00073,-0.35690,0.72204,-0.36413,0.00793,-0.02404,0.00045,-0.35566,0.71632,-0.36141,0.00760,-0.00243,0.00784,-0.02499,0.00254,0.00697,-0.02498,0.81595,0.18984,-0.62681,-1.33577,-0.60731,0.52515,-0.97947,-0.19321,0.64139,-0.15957,0.80839,0.07597,0.20595,0.00330,0.04611,-0.17200,-0.00983,0.04581,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006257,0.002304,0.004187,0.005330,0.004187,0.000754,0.010397,-0.008323,0.000000,0.003666,0.000000,0.000000,0.417233,0.582767,0.000000,0.000000,0.000000,0.007259,0.006061,0.000000,0.000000
0.0350,0.00038,0.00039,0.48036,1.00000,0.00004,-0.00039,-0.00028,0.00635,0.00028,0.32522,0.32501,0.00084,0.00546,2,0.03483,0.00084,0.035059,-0.00097,-0.3668,-0.0007,-0.1344,0.2151,0.0254,-0.0713,-0.4209,0,0.04900,0.01900,0.0972,0.1545,-0.012635,0.031230,-1.7953,0.8149,27.9944,-1.0774,1.2689,28.5518,0.9438,0.5485,34.3421,2.2673,2.2989,34.8463,0.021556,-0.005820,27.9872,-0.017029,-0.019000,28.5518,-0.007248,-0.007907,34.3348,0.017017,-0.006598,34.8463,0.01584,-0.00084,-0.35767,0.72322,-0.36403,0.00568,-0.02712,0.00060,-0.35644,0.71710,-0.36151,0.00759,-0.00232,0.00785,-0.02255,0.00250,0.00691,-0.02254,0.58332,-0.13360,-0.00168,-0.45632,0.41389,0.15035,-0.49561,0.00953,0.01172,-1.02816,-0.16359,0.24787,0.20482,-0.00190,0.06045,-0.16850,-0.00991,0.06028,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006391,0.002879,0.004187,0.005455,0.004187,0.000880,0.010801,-0.006850,0.000000,0.003391,0.000000,0.000000,0.431880,0.568120,0.000000,0.000000,0.000000,0.007928,0.007595,0.000000,0.000000
0.0400,0.00037,0.00048,0.48032,1.00000,-0.00002,-0.00038,-0.00025,0.00635,0.00036,0.32520,0.32501,0.00079,0.00558,2,0.03483,0.00079,0.034997,-0.01421,-0.0780,-0.0007,-0.1371,0.1729,0.2828,0.4517,-0.1372,0,0.04900,0.01900,0.6281,0.0509,0.053414,0.032151,-1.0414,1.2464,29.6270,-6.1161,-1.6573,16.8173,0.1723,-0.1508,34.3412,1.0403,0.2624,35.1466,-0.000153,-0.018184,29.6197,0.049000,-0.019000,16.8173,0.007737,0.004249,34.3409,-0.007375,-0.008196,35.1466,0.01997,-0.00100,-0.35724,0.72273,-0.36478,0.00293,-0.02933,0.00091,-0.35730,0.71780,-0.36075,0.00576,-0.00213,0.00777,-0.01999,0.00247,0.00685,-0.01999,0.55765,0.05334,-0.35552,-1.01162,-0.06555,0.38704,-0.46330,-0.14920,0.31987,-0.65511,0.29301,-0.15596,0.21162,-0.01059,0.06665,-0.17259,-0.00910,0.06677,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006423,0.003456,0.004187,0.005581,0.004187,0.001006,0.010895,-0.005370,0.000000,0.003085,0.000000,0.000000,0.446601,0.553399,0.000000,0.000000,0.000000,0.005682,0.007591,0.000000,0.000000
0.0450,0.00036,0.00058,0.48029,1.00000,-0.00007,-0.00036,-0.00022,0.00634,0.00045,0.32517,0.32501,0.00075,0.00571,2,0.03482,0.00075,0.034920,-0.01293,0.2556,-0.0006,-0.1052,0.1486,0.5214,0.9761,-0.1935,0,0.04900,0.01900,0.1280,0.1038,0.004543,0.031311,0.1448,1.3754,31.8267,-0.8591,2.0172,28.5626,-0.8116,-0.4335,33.6538,1.5033,1.4798,33.8888,0.001706,-0.005744,31.8241,0.000045,-0.019000,28.5626,0.004910,-0.007785,33.6569,0.003146,-0.001219,33.8888,0.02260,-0.00107,-0.35660,0.72161,-0.36494,-0.00010,-0.03069,0.00113,-0.35804,0.71822,-0.35969,0.00354,-0.00193,0.00765,-0.01746,0.00243,0.00676,-0.01747,-0.36463,-0.30024,0.02669,-0.87020,0.05544,0.06191,0.41791,0.31259,-0.02894,-0.90618,0.14339,0.19495,0.21729,-0.01499,0.06770,-0.17628,-0.00878,0.06792,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006068,0.003837,0.004187,0.005707,0.004187,0.001131,0.009830,-0.004478,0.000000,0.002652,0.000000,0.000000,0.455467,0.544533,0.000000,0.000000,0.000000,0.002934,0.005757,0.000000,0.000000
