t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00029,0.00001,0.48038,1.00000,-0.00001,-0.00099,-0.00002,0.00627,-0.00000,0.32501,0.32501,0.00248,0.00458,2,0.03449,0.00248,0.034467,0.02076,-0.3208,0.0000,-0.2021,0.4143,-1.1809,-0.0000,-4.1825,0,0.04900,0.01900,0.1035,0.1035,0.003611,0.031347,-0.7550,1.0956,24.4602,-0.2326,1.8907,30.6919,-0.5260,1.5304,30.2308,-0.2326,-1.8907,30.6919,-0.010847,-0.019002,24.4525,-0.000589,-0.018928,30.6919,0.049002,-0.010410,30.2379,-0.000589,0.018928,30.6919,0.00165,0.00028,-0.34858,0.70679,-0.35490,0.00550,-0.00210,-0.00010,-0.34926,0.70724,-0.35375,-0.00491,-0.00260,0.00319,-0.01494,0.00264,0.00314,-0.01494,1.03299,0.13881,-0.65311,-1.04778,-0.34289,0.42224,-1.02078,-0.15613,1.17758,0.53711,1.42179,0.26833,0.18466,0.11101,-0.47085,-0.13126,0.11101,-0.47085,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007112,-0.000000,0.004187,0.004575,0.004187,-0.000000,0.012963,-0.013726,0.000000,0.005431,0.000000,0.000000,0.363494,0.636506,0.000000,0.000000,0.000000,0.005254,-0.005254,0.000000,0.000000
0.0050,0.00034,0.00003,0.48045,1.00000,-0.00005,-0.00081,-0.00005,0.00629,0.00001,0.32509,0.32501,0.00198,0.00470,2,0.03468,0.00198,0.034609,0.03291,-0.5220,-0.0001,-0.2247,0.3695,-1.3722,0.3936,-3.0438,0,0.04900,0.01900,0.1167,0.1553,-0.002716,0.033714,-0.8601,1.3925,24.3242,-1.2997,1.4185,27.4916,-0.5640,0.9495,29.1545,2.5201,2.3430,36.9334,-0.001593,-0.017556,24.3146,-0.006922,-0.016556,27.4916,0.039084,-0.010979,29.1576,0.032448,-0.008331,36.9334,0.00463,0.00021,-0.34993,0.70893,-0.35630,0.00614,-0.00610,0.00032,-0.35204,0.71035,-0.35266,-0.00417,-0.00260,0.00496,-0.02299,0.00271,0.00480,-0.02299,1.24829,-0.01614,-0.47611,-0.80980,-0.15620,0.38505,-1.23790,0.00741,0.86181,0.29897,1.09767,0.30639,0.18143,0.08063,-0.29477,-0.12723,0.07546,-0.29498,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007370,0.000582,0.004187,0.004701,0.004187,0.000126,0.013738,-0.012233,0.000000,0.005207,0.000000,0.000000,0.378345,0.621655,0.000000,0.000000,0.000000,0.005500,-0.004906,0.000000,0.000000
0.0100,0.00037,0.00006,0.48047,1.00000,-0.00007,-0.00068,-0.00008,0.00633,0.00003,0.32518,0.32501,0.00161,0.00483,2,0.03484,0.00161,0.034744,0.02331,-0.8411,-0.0002,-0.2644,0.3343,-1.6845,0.5698,-2.2833,0,0.04900,0.01900,0.0739,0.1404,0.001122,0.036524,-1.2780,0.4819,24.1032,0.0000,1.3050,29.4167,-0.3977,1.6370,27.3965,2.5252,1.7526,36.5036,0.017839,-0.019009,24.0983,-0.003106,-0.013745,29.4167,0.020810,-0.011097,27.4008,0.023790,-0.008823,36.5036,0.00727,0.00003,-0.35163,0.71185,-0.35784,0.00704,-0.00941,0.00051,-0.35484,0.71396,-0.35212,-0.00300,-0.00262,0.00611,-0.02719,0.00278,0.00588,-0.02719,-0.38341,0.30098,-0.11994,-0.35046,0.27250,0.45860,0.42084,-0.25760,0.36953,-0.10521,0.55999,0.27239,0.17547,0.05736,-0.16801,-0.12206,0.04967,-0.16826,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007821,0.001062,0.004187,0.004827,0.004187,0.000251,0.015090,-0.011043,0.000000,0.005233,0.000000,0.000000,0.390180,0.609820,0.000000,0.000000,0.000000,0.006136,-0.004165,0.000000,0.000000
0.0150,0.00038,0.00010,0.48045,1.00000,-0.00004,-0.00058,0.00004,0.00636,0.00006,0.32525,0.32501,0.00135,0.00495,2,0.03485,0.00135,0.034859,0.02303,-0.6260,-0.0004,-0.2161,0.3440,-0.6727,0.1653,-1.4926,0,0.04900,0.01900,0.0726,0.4021,0.021713,0.031591,-2.2294,1.7152,24.1735,-0.9947,0.2603,23.6020,0.8597,0.4653,33.7387,-4.7409,-1.1301,20.2043,0.049003,-0.002714,24.1586,0.017418,-0.018815,23.6020,-0.015404,-0.009806,33.7441,0.048999,-0.009563,20.2043,0.00766,-0.00012,-0.35397,0.71553,-0.35891,0.00763,-0.00638,-0.00000,-0.35471,0.71503,-0.35707,-0.00117,-0.00256,0.00668,-0.02873,0.00278,0.00675,-0.02873,-0.68691,-0.48816,0.43056,0.24351,0.96150,0.02606,0.85576,0.21054,-0.33839,-1.24401,-0.46663,0.35511,0.19418,0.02703,-0.08014,-0.14998,0.02630,-0.08008,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007299,0.001048,0.004187,0.004953,0.004187,0.000377,0.013524,-0.011337,0.000000,0.004993,0.000000,0.000000,0.387253,0.612747,0.000000,0.000000,0.000000,0.007039,-0.003003,0.000000,0.000000
0.0200,0.00039,0.00015,0.48042,1.00000,0.00000,-0.00050,0.00013,0.00636,0.00009,0.32524,0.32501,0.00116,0.00508,2,0.03483,0.00116,0.034957,0.01414,-0.6363,-0.0005,-0.0938,0.3222,0.2625,-0.7527,-1.3495,0,0.04900,0.01900,0.1879,0.1078,0.041198,0.045667,0.7941,-0.1052,26.2875,-0.1230,2.9823,26.4754,-1.3883,2.1471,37.5518,2.1639,0.9386,36.4850,-0.002915,0.011269,26.2887,0.036989,-0.004937,26.4754,0.012234,-0.018286,37.5514,-0.014190,-0.008488,36.4850,0.00595,-0.00006,-0.35590,0.71891,-0.36100,0.00542,-0.00215,-0.00080,-0.35409,0.71563,-0.36254,0.00187,-0.00251,0.00694,-0.02848,0.00274,0.00729,-0.02848,-0.90993,-0.29800,0.09216,-0.53581,-0.02372,-0.28831,0.91561,0.03513,-0.03496,-0.92409,0.15518,0.69282,0.21331,-0.00593,-0.02058,-0.17187,0.02203,-0.01943,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005948,0.001384,0.004187,0.005078,0.004187,0.000503,0.009471,-0.010579,0.000000,0.004092,0.000000,0.000000,0.394793,0.605207,0.000000,0.000000,0.000000,0.007625,-0.001170,0.000000,0.000000
0.0250,0.00039,0.00022,0.48039,1.00000,0.00002,-0.00044,0.00017,0.00635,0.00014,0.32523,0.32501,0.00099,0.00520,2,0.03483,0.00099,0.035003,0.00624,-0.4331,-0.0006,-0.0758,0.2777,0.1863,-0.5546,-1.0196,0,0.04900,0.01900,0.4069,0.0834,0.017531,0.031430,1.0779,0.9148,29.6711,-0.9007,4.2854,17.9412,-1.5584,0.8453,33.6856,0.7011,1.8615,39.7608,0.002156,-0.019007,29.6669,0.013206,-0.019000,17.9412,0.009357,-0.002013,33.6877,0.004066,-0.016605,39.7608,0.00447,0.00010,-0.35686,0.72091,-0.36319,0.00131,0.00040,-0.00144,-0.35403,0.71642,-0.36584,0.00422,-0.00244,0.00708,-0.02707,0.00268,0.00756,-0.02707,0.81070,0.19412,0.28966,-0.52535,0.07344,0.39133,-0.92620,-0.14369,-0.21714,-0.92848,0.07630,0.12334,0.20910,-0.00229,0.02054,-0.17169,0.00685,0.02080,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005745,0.001973,0.004187,0.005204,0.004187,0.000628,0.008861,-0.009063,0.000000,0.003587,0.000000,0.000000,0.409869,0.590131,0.000000,0.000000,0.000000,0.005419,0.001871,0.000000,0.000000
0.0300,0.00039,0.00030,0.48034,1.00000,0.00001,-0.00041,0.00018,0.00633,0.00019,0.32521,0.32501,0.00087,0.00533,2,0.03479,0.00087,0.034957,-0.01374,-0.2464,-0.0006,-0.0860,0.2560,0.2520,-0.1011,-0.6012,0,0.04900,0.01900,0.0664,0.0709,0.005618,0.031336,-0.5539,-0.2169,27.1659,0.6549,0.8334,26.6087,0.0087,1.8395,36.6071,0.3759,1.3891,33.8175,0.006967,-0.000243,27.1662,0.001285,-0.019000,26.6087,0.004280,-0.006913,36.6014,0.001927,-0.004751,33.8175,0.00313,0.00027,-0.35701,0.72090,-0.36323,-0.00314,0.00240,-0.00184,-0.35421,0.71661,-0.36618,0.00590,-0.00230,0.00713,-0.02499,0.00258,0.00768,-0.02499,-0.45461,0.01278,-0.05682,-0.62628,0.09759,-0.08441,0.51667,-0.29023,0.10675,-0.90302,0.10427,0.23402,0.21000,-0.00607,0.04593,-0.17300,0.00041,0.04598,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005852,0.002315,0.004187,0.005330,0.004187,0.000754,0.009184,-0.008289,0.000000,0.003444,0.000000,0.000000,0.417564,0.582436,0.000000,0.000000,0.000000,0.001305,0.004222,0.000000,0.000000
0.0350,0.00039,0.00039,0.48031,1.00000,-0.00002,-0.00040,0.00016,0.00633,0.00026,0.32517,0.32501,0.00082,0.00546,2,0.03477,0.00082,0.034883,-0.01047,0.2501,-0.0006,-0.1291,0.2366,0.7986,0.2562,-0.0202,0,0.04900,0.01900,0.4541,0.1119,0.011332,0.069316,0.4378,0.3579,31.6820,-1.0952,-5.3498,20.0478,-1.2561,1.1419,35.5555,1.0067,2.3009,37.4108,-0.013849,-0.013617,31.6828,0.007133,0.019000,20.0478,0.017493,-0.000241,35.5560,-0.000337,-0.007906,37.4108,0.00085,-0.00003,-0.35677,0.71996,-0.36217,-0.00245,0.00498,-0.00211,-0.35480,0.71673,-0.36443,0.00602,-0.00215,0.00714,-0.02255,0.00246,0.00768,-0.02255,-1.04251,0.29803,-0.33248,-1.28127,-0.38517,0.34825,0.98083,-0.34912,0.28183,-0.62777,0.55794,0.00768,0.22094,-0.01243,0.05972,-0.18525,-0.01118,0.05953,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006327,0.002635,0.004187,0.005455,0.004187,0.000880,0.010607,-0.007582,0.000000,0.003541,0.000000,0.000000,0.424603,0.575397,0.000000,0.000000,0.000000,-0.003145,0.005900,0.000000,0.000000
0.0400,0.00038,0.00048,0.48029,1.00000,-0.00005,-0.00039,0.00015,0.00633,0.00032,0.32513,0.32501,0.00080,0.00558,2,0.03476,0.00080,0.034843,-0.00643,0.1810,-0.0005,-0.1494,0.2446,0.3164,0.4740,-0.0150,0,0.04900,0.01900,0.0425,0.0966,-0.008583,0.042134,0.0951,0.9800,31.0224,0.5452,-0.6695,33.8638,-1.0418,0.5702,33.1585,0.4536,2.1157,37.3426,0.015102,0.006405,31.0248,-0.012860,-0.008128,33.8638,-0.005255,-0.019003,33.1593,0.010854,-0.004208,37.3426,-0.00090,-0.00037,-0.35664,0.71931,-0.36148,-0.00160,0.00712,-0.00239,-0.35542,0.71680,-0.36251,0.00567,-0.00202,0.00707,-0.01999,0.00236,0.00762,-0.01999,-0.04979,-0.45043,0.45768,-0.41393,0.50157,-0.20083,0.02036,0.43214,-0.45638,-1.28123,-0.18168,0.58697,0.20792,-0.00797,0.06697,-0.17579,-0.00948,0.06666,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006552,0.002651,0.004187,0.005581,0.004187,0.001006,0.011282,-0.007783,0.000000,0.003765,0.000000,0.000000,0.422598,0.577402,0.000000,0.000000,0.000000,-0.002447,0.006023,0.000000,0.000000
0.0450,0.00038,0.00059,0.48029,1.00000,-0.00006,-0.00037,0.00014,0.00634,0.00039,0.32512,0.32501,0.00078,0.00571,2,0.03476,0.00078,0.034820,-0.00370,0.0881,-0.0005,-0.1309,0.2280,0.0999,0.3425,-0.0972,0,0.04900,0.01900,0.0709,0.0756,0.019206,0.055711,0.5252,-0.2758,29.1804,0.0829,1.3548,31.9102,-1.3546,1.7208,33.6288,-1.5132,0.1241,33.4737,-0.019163,0.008660,29.1800,0.014931,0.005458,31.9102,0.026762,-0.016251,33.6256,-0.003049,-0.017469,33.4737,-0.00194,-0.00072,-0.35654,0.71880,-0.36101,-0.00096,0.00838,-0.00276,-0.35593,0.71684,-0.36102,0.00588,-0.00190,0.00696,-0.01746,0.00228,0.00751,-0.01747,0.09549,-0.11960,-0.47021,-1.29813,-0.49710,-0.21782,-0.17266,-0.00844,0.51414,-0.28501,0.84634,0.47968,0.20152,-0.00591,0.06855,-0.17195,-0.00782,0.06831,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006348,0.002941,0.004187,0.005707,0.004187,0.001131,0.010672,-0.007166,0.000000,0.003510,0.000000,0.000000,0.428738,0.571262,0.000000,0.000000,0.000000,-0.001597,0.005672,0.000000,0.000000
0.0500,0.00037,0.00070,0.48029,1.00000,-0.00007,-0.00035,0.00012,0.00633,0.00046,0.32511,0.32501,0.00074,0.00583,2,0.03477,0.00074,0.034808,-0.00172,0.0247,-0.0004,-0.1171,0.2137,-0.0239,0.2625,-0.1423,0,0.04900,0.01900,0.0188,0.0944,-0.013499,0.058032,0.3664,1.0496,28.0171,0.3352,0.0320,29.8891,-1.1084,0.3046,34.0071,-1.4144,1.3143,34.0886,-0.017185,0.015316,28.0191,-0.017785,0.007748,29.8891,0.024552,-0.017981,34.0069,0.027083,-0.014828,34.0886,-0.00248,-0.00107,-0.35650,0.71846,-0.36077,-0.00057,0.00902,-0.00318,-0.35644,0.71694,-0.35980,0.00659,-0.00180,0.00683,-0.01506,0.00220,0.00736,-0.01506,0.20675,-0.74472,-0.45394,-1.20522,-0.44126,-0.44647,-0.26789,0.53514,0.50828,-0.32282,0.78952,0.60899,0.19745,-0.00470,0.06654,-0.17029,-0.00689,0.06634,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006195,0.003207,0.004187,0.005832,0.004187,0.001257,0.010212,-0.006618,0.000000,0.003305,0.000000,0.000000,0.434189,0.565811,0.000000,0.000000,0.000000,-0.000957,0.005884,0.000000,0.000000
