t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00030,0.00001,0.48036,1.00000,0.00000,-0.00100,0.00016,0.00627,-0.00000,0.32501,0.32501,0.00248,0.00458,2,0.03444,0.00248,0.034441,0.01284,-0.3208,0.0000,-0.2021,0.4143,-1.1809,-0.0000,-4.1825,0,0.04900,0.01900,0.1035,0.1035,0.003611,0.031347,-0.6780,1.3134,18.8749,-0.2326,1.8907,30.6919,-0.6030,1.3125,35.8161,-0.2326,-1.8907,30.6919,0.027765,-0.005771,18.8662,-0.000589,-0.018928,30.6919,0.018501,-0.002755,35.8218,-0.000589,0.018928,30.6919,0.00032,0.00025,-0.34856,0.70641,-0.35437,0.00512,-0.00100,-0.00034,-0.34839,0.70637,-0.35450,-0.00499,-0.00272,0.00319,-0.01494,0.00273,0.00317,-0.01494,-0.31299,-0.29185,0.16987,-0.04374,0.46359,0.05993,-0.31174,-0.29668,0.34300,-0.48793,0.59722,0.06095,0.11294,0.23085,-0.45857,-0.05570,-0.00836,-0.48294,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007112,-0.000000,0.004187,0.004575,0.004187,-0.000000,0.012963,-0.013726,0.000000,0.005431,0.000000,0.000000,0.363494,0.636506,0.000000,0.000000,0.000000,0.005254,-0.005254,0.000000,0.000000
0.0050,0.00035,0.00003,0.48040,1.00000,0.00000,-0.00083,0.00055,0.00629,0.00001,0.32507,0.32501,0.00200,0.00470,2,0.03450,0.00200,0.034503,0.01196,-0.3243,-0.0001,-0.1880,0.3898,-0.8141,-0.0371,-2.9300,0,0.04900,0.01900,0.1351,0.0546,0.030758,0.044054,-0.6268,1.2345,20.5424,-0.6378,1.4842,19.9300,-0.5645,1.2360,36.4736,-0.6930,0.9777,36.5597,0.020135,-0.005216,20.5345,0.026567,-0.006235,19.9300,0.014901,-0.002339,36.4788,0.018631,-0.001847,36.5597,-0.00053,0.00020,-0.34947,0.70716,-0.35468,0.00485,-0.00180,-0.00048,-0.34887,0.70706,-0.35513,-0.00442,-0.00296,0.00498,-0.02299,0.00297,0.00491,-0.02299,-0.26931,-0.27891,0.09358,-0.18613,0.35315,0.05574,-0.26790,-0.27572,0.26639,-0.60679,0.47237,0.06099,0.14403,0.17095,-0.28561,-0.09098,-0.02210,-0.30503,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006963,0.000357,0.004187,0.004701,0.004187,0.000126,0.012515,-0.012908,0.000000,0.005156,0.000000,0.000000,0.371631,0.628369,0.000000,0.000000,0.000000,0.005118,-0.004988,0.000000,0.000000
0.0100,0.00039,0.00006,0.48041,1.00000,0.00001,-0.00071,0.00112,0.00630,0.00002,0.32511,0.32501,0.00165,0.00483,2,0.03455,0.00165,0.034559,0.01079,-0.3120,-0.0001,-0.1734,0.3661,-0.5475,-0.0513,-2.0386,0,0.04900,0.01900,0.1161,0.0542,0.023967,0.044776,-0.5754,1.1586,21.8822,-0.6176,1.3360,21.1268,-0.5237,1.1615,36.8238,-0.6386,1.0150,36.8709,0.015232,-0.004720,21.8752,0.019775,-0.005506,21.1268,0.012359,-0.002033,36.8282,0.015117,-0.001761,36.8709,-0.00176,0.00011,-0.35050,0.70819,-0.35504,0.00452,-0.00299,-0.00068,-0.34930,0.70803,-0.35599,-0.00366,-0.00328,0.00619,-0.02720,0.00331,0.00604,-0.02719,-0.23176,-0.26501,0.04138,-0.29549,0.27534,0.05179,-0.23038,-0.25698,0.21179,-0.69221,0.38166,0.05961,0.16613,0.12509,-0.16136,-0.11674,-0.02928,-0.17669,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006807,0.000708,0.004187,0.004827,0.004187,0.000251,0.012049,-0.012107,0.000000,0.004882,0.000000,0.000000,0.379603,0.620397,0.000000,0.000000,0.000000,0.004848,-0.004416,0.000000,0.000000
0.0150,0.00042,0.00011,0.48042,1.00000,0.00001,-0.00062,0.00185,0.00631,0.00005,0.32513,0.32501,0.00141,0.00495,2,0.03459,0.00141,0.034610,0.00951,-0.2918,-0.0002,-0.1595,0.3432,-0.3579,-0.0552,-1.4106,0,0.04900,0.01900,0.1007,0.0529,0.019277,0.045428,-0.5268,1.0857,22.9651,-0.5665,1.2128,22.1700,-0.4839,1.0895,36.9420,-0.5785,1.0221,36.9895,0.011971,-0.004280,22.9591,0.015085,-0.004848,22.1700,0.010546,-0.001810,36.9457,0.012562,-0.001690,36.9895,-0.00328,-0.00001,-0.35161,0.70935,-0.35539,0.00419,-0.00448,-0.00094,-0.34966,0.70912,-0.35699,-0.00280,-0.00363,0.00697,-0.02874,0.00369,0.00673,-0.02873,-0.19998,-0.25058,0.00653,-0.37968,0.22130,0.04870,-0.19864,-0.23953,0.17261,-0.75246,0.31620,0.05747,0.18126,0.09019,-0.07403,-0.13509,-0.03200,-0.08598,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006657,0.001052,0.004187,0.004953,0.004187,0.000377,0.011597,-0.011325,0.000000,0.004617,0.000000,0.000000,0.387375,0.612625,0.000000,0.000000,0.000000,0.004519,-0.003657,0.000000,0.000000
0.0200,0.00043,0.00017,0.48042,1.00000,0.00002,-0.00055,0.00269,0.00632,0.00008,0.32515,0.32501,0.00124,0.00508,2,0.03463,0.00124,0.034653,0.00821,-0.2677,-0.0002,-0.1463,0.3213,-0.2252,-0.0527,-0.9730,0,0.04900,0.01900,0.0883,0.0511,0.016054,0.045976,-0.4815,1.0161,23.8531,-0.5144,1.1081,23.0603,-0.4458,1.0205,36.8953,-0.5183,1.0068,36.9642,0.009737,-0.003884,23.8481,0.011861,-0.004295,23.0603,0.009231,-0.001643,36.8983,0.010694,-0.001630,36.9642,-0.00503,-0.00017,-0.35273,0.71051,-0.35567,0.00389,-0.00621,-0.00123,-0.34992,0.71023,-0.35805,-0.00190,-0.00397,0.00746,-0.02848,0.00408,0.00712,-0.02847,-0.17311,-0.23603,-0.01607,-0.44519,0.18412,0.04625,-0.17184,-0.22311,0.14416,-0.79429,0.26897,0.05476,0.19131,0.06376,-0.01436,-0.14799,-0.03174,-0.02354,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006514,0.001388,0.004187,0.005078,0.004187,0.000503,0.011169,-0.010568,0.000000,0.004363,0.000000,0.000000,0.394905,0.605095,0.000000,0.000000,0.000000,0.004189,-0.002798,0.000000,0.000000
0.0250,0.00043,0.00023,0.48041,0.99999,0.00002,-0.00051,0.00362,0.00632,0.00012,0.32515,0.32501,0.00111,0.00520,2,0.03466,0.00111,0.034690,0.00697,-0.2424,-0.0003,-0.1341,0.3005,-0.1341,-0.0465,-0.6720,0,0.04900,0.01900,0.0783,0.0489,0.013802,0.046441,-0.4399,0.9499,24.5927,-0.4647,1.0185,23.8302,-0.4100,0.9547,36.7333,-0.4613,0.9762,36.8348,0.008165,-0.003525,24.5885,0.009609,-0.003826,23.8302,0.008262,-0.001513,36.7356,0.009314,-0.001572,36.8348,-0.00695,-0.00037,-0.35385,0.71161,-0.35586,0.00366,-0.00812,-0.00155,-0.35009,0.71131,-0.35913,-0.00101,-0.00429,0.00773,-0.02708,0.00445,0.00730,-0.02706,-0.15040,-0.22162,-0.03007,-0.49683,0.15876,0.04430,-0.14922,-0.20755,0.12311,-0.82268,0.23480,0.05170,0.19768,0.04382,0.02481,-0.15691,-0.02959,0.01789,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006380,0.001715,0.004187,0.005204,0.004187,0.000628,0.010767,-0.009837,0.000000,0.004121,0.000000,0.000000,0.402170,0.597830,0.000000,0.000000,0.000000,0.003895,-0.001903,0.000000,0.000000
0.0300,0.00043,0.00031,0.48041,0.99999,0.00002,-0.00047,0.00462,0.00632,0.00017,0.32516,0.32501,0.00101,0.00533,2,0.03469,0.00101,0.034722,0.00584,-0.2176,-0.0003,-0.1228,0.2807,-0.0732,-0.0385,-0.4682,0,0.04900,0.01900,0.0702,0.0464,0.012208,0.046834,-0.4019,0.8871,25.2193,-0.4200,0.9422,24.5055,-0.3766,0.8923,36.4924,-0.4103,0.9347,36.6326,0.007030,-0.003201,25.2158,0.008013,-0.003428,24.5055,0.007534,-0.001409,36.4941,0.008285,-0.001511,36.6326,-0.00900,-0.00061,-0.35494,0.71261,-0.35594,0.00350,-0.01016,-0.00189,-0.35018,0.71230,-0.36019,-0.00015,-0.00457,0.00787,-0.02499,0.00478,0.00733,-0.02497,-0.13119,-0.20748,-0.03813,-0.53814,0.14154,0.04270,-0.13013,-0.19270,0.10710,-0.84131,0.20989,0.04851,0.20145,0.02886,0.04902,-0.16297,-0.02631,0.04394,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006255,0.002033,0.004187,0.005330,0.004187,0.000754,0.010393,-0.009134,0.000000,0.003892,0.000000,0.000000,0.409160,0.590840,0.000000,0.000000,0.000000,0.003661,-0.001013,0.000000,0.000000
0.0350,0.00042,0.00040,0.48040,0.99998,0.00002,-0.00044,0.00567,0.00632,0.00022,0.32516,0.32501,0.00094,0.00546,2,0.03471,0.00094,0.034748,0.00483,-0.1946,-0.0003,-0.1124,0.2620,-0.0342,-0.0300,-0.3328,0,0.04900,0.01900,0.0634,0.0439,0.011060,0.047170,-0.3670,0.8278,25.7594,-0.3805,0.8755,25.1037,-0.3455,0.8331,36.1994,-0.3653,0.8865,36.3796,0.006187,-0.002909,25.7565,0.006863,-0.003088,25.1037,0.006974,-0.001322,36.2006,0.007509,-0.001445,36.3796,-0.01114,-0.00087,-0.35601,0.71349,-0.35591,0.00341,-0.01230,-0.00226,-0.35019,0.71320,-0.36121,0.00067,-0.00480,0.00791,-0.02255,0.00508,0.00728,-0.02254,-0.11495,-0.19370,-0.04211,-0.57173,0.12980,0.04136,-0.11399,-0.17847,0.09452,-0.85287,0.19148,0.04534,0.20340,0.01769,0.06249,-0.16701,-0.02245,0.05892,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006139,0.002342,0.004187,0.005455,0.004187,0.000880,0.010045,-0.008460,0.000000,0.003675,0.000000,0.000000,0.415872,0.584128,0.000000,0.000000,0.000000,0.003499,-0.000152,0.000000,0.000000
0.0400,0.00041,0.00049,0.48039,0.99998,0.00002,-0.00042,0.00676,0.00631,0.00028,0.32516,0.32501,0.00088,0.00558,2,0.03473,0.00088,0.034769,0.00396,-0.1739,-0.0004,-0.1028,0.2444,-0.0107,-0.0218,-0.2450,0,0.04900,0.01900,0.0576,0.0414,0.010215,0.047459,-0.3351,0.7717,26.2333,-0.3457,0.8157,25.6385,-0.3166,0.7772,35.8748,-0.3258,0.8351,36.0919,0.005540,-0.002646,26.2310,0.006017,-0.002795,25.6385,0.006532,-0.001244,35.8756,0.006914,-0.001376,36.0919,-0.01335,-0.00117,-0.35704,0.71424,-0.35577,0.00340,-0.01451,-0.00264,-0.35015,0.71400,-0.36218,0.00144,-0.00498,0.00789,-0.01999,0.00535,0.00717,-0.01998,-0.10119,-0.18033,-0.04334,-0.59958,0.12166,0.04021,-0.10035,-0.16480,0.08422,-0.85942,0.17755,0.04231,0.20412,0.00940,0.06843,-0.16963,-0.01839,0.06607,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006031,0.002642,0.004187,0.005581,0.004187,0.001006,0.009720,-0.007812,0.000000,0.003470,0.000000,0.000000,0.422308,0.577692,0.000000,0.000000,0.000000,0.003412,0.000668,0.000000,0.000000
0.0450,0.00040,0.00059,0.48038,0.99997,0.00002,-0.00040,0.00787,0.00630,0.00035,0.32515,0.32501,0.00084,0.00571,2,0.03475,0.00084,0.034787,0.00321,-0.1557,-0.0004,-0.0940,0.2277,0.0023,-0.0143,-0.1897,0,0.04900,0.01900,0.0526,0.0389,0.009577,0.047711,-0.3059,0.7189,26.6568,-0.3150,0.7613,26.1212,-0.2897,0.7245,35.5333,-0.2910,0.7829,35.7821,0.005027,-0.002411,26.6549,0.005377,-0.002540,26.1212,0.006171,-0.001174,35.5339,0.006445,-0.001304,35.7821,-0.01561,-0.00150,-0.35803,0.71488,-0.35553,0.00345,-0.01676,-0.00304,-0.35005,0.71470,-0.36310,0.00217,-0.00512,0.00784,-0.01747,0.00557,0.00703,-0.01745,-0.08953,-0.16739,-0.04278,-0.62316,0.11579,0.03917,-0.08880,-0.15165,0.07542,-0.86245,0.16667,0.03948,0.20403,0.00328,0.06924,-0.17130,-0.01437,0.06787,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005930,0.002932,0.004187,0.005707,0.004187,0.001131,0.009417,-0.007193,0.000000,0.003277,0.000000,0.000000,0.428472,0.571528,0.000000,0.000000,0.000000,0.003398,0.001443,0.000000,0.000000
