t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00029,0.00001,0.48038,1.00000,-0.00003,-0.00099,0.00010,0.00627,-0.00000,0.32501,0.32501,0.00248,0.00458,2,0.03452,0.00248,0.034450,0.01546,-0.3208,0.0000,-0.2021,0.4143,-1.1809,-0.0000,-4.1825,0,0.04900,0.01900,0.1035,0.1035,0.003611,0.031347,-1.0031,1.0984,24.4761,-0.2326,1.8907,30.6919,-0.2779,1.5276,30.2149,-0.2326,-1.8907,30.6919,-0.010799,-0.019002,24.4680,-0.000589,-0.018928,30.6919,0.049002,-0.010102,30.2224,-0.000589,0.018928,30.6919,0.00087,0.00029,-0.34845,0.70628,-0.35442,0.00546,-0.00322,0.00001,-0.34963,0.70791,-0.35374,-0.00500,-0.00261,0.00326,-0.01494,0.00264,0.00307,-0.01494,0.75427,0.13735,-0.69909,-1.08914,-0.35765,0.42244,-1.34788,-0.16574,1.22357,0.57848,1.43656,0.25895,0.18473,0.23061,-0.45867,-0.13118,-0.00860,-0.48304,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007112,-0.000000,0.004187,0.004575,0.004187,-0.000000,0.012963,-0.013726,0.000000,0.005431,0.000000,0.000000,0.363494,0.636506,0.000000,0.000000,0.000000,0.005254,-0.005254,0.000000,0.000000
0.0050,0.00035,0.00004,0.48042,1.00000,-0.00006,-0.00082,0.00041,0.00630,0.00001,0.32509,0.32501,0.00198,0.00470,2,0.03467,0.00198,0.034520,0.01311,-0.3896,-0.0001,-0.2433,0.3716,-1.4730,0.7878,-3.0300,0,0.04900,0.01900,0.1150,0.1946,-0.005027,0.032527,1.1295,2.0910,20.3100,-1.4362,0.9465,24.9268,-2.6717,0.2641,32.5298,3.9016,2.7512,40.8902,0.038679,-0.000056,20.2994,-0.009226,-0.017734,24.9268,0.009853,-0.009671,32.5237,0.027015,-0.007738,40.8902,0.00067,0.00028,-0.34932,0.70707,-0.35486,0.00557,-0.00687,0.00027,-0.35172,0.71064,-0.35356,-0.00428,-0.00259,0.00514,-0.02299,0.00264,0.00466,-0.02299,-0.21915,-0.64755,0.91620,0.49569,0.85981,-0.06541,-0.58453,0.21806,-0.53792,-0.97209,0.10713,0.32127,0.17944,0.18401,-0.28477,-0.12482,-0.02736,-0.30484,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007577,0.000559,0.004187,0.004701,0.004187,0.000126,0.014359,-0.012301,0.000000,0.005353,0.000000,0.000000,0.377665,0.622335,0.000000,0.000000,0.000000,0.005463,-0.004995,0.000000,0.000000
0.0100,0.00038,0.00007,0.48044,1.00000,-0.00005,-0.00069,0.00094,0.00633,0.00003,0.32516,0.32501,0.00164,0.00483,2,0.03476,0.00164,0.034619,0.02374,-0.3427,-0.0001,-0.2110,0.3558,-0.7728,0.3589,-2.0779,0,0.04900,0.01900,0.2070,0.2068,0.040821,0.049012,-2.2852,1.6109,26.1479,1.2475,2.3426,21.3750,0.9478,0.6442,31.1301,-3.7661,-0.4004,30.5270,0.038657,-0.019003,26.1354,0.036647,-0.001311,21.3750,-0.006559,-0.004839,31.1358,0.014587,-0.008780,30.5270,-0.00128,0.00020,-0.35119,0.70919,-0.35491,0.00599,-0.00966,0.00017,-0.35307,0.71289,-0.35424,-0.00308,-0.00259,0.00639,-0.02720,0.00261,0.00568,-0.02719,-0.98890,-0.01665,0.24107,-0.05612,0.81128,0.43563,0.63535,-0.04327,-0.02706,-0.83244,-0.14422,0.15670,0.19210,0.12996,-0.16124,-0.14434,-0.03567,-0.17685,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007230,0.000823,0.004187,0.004827,0.004187,0.000251,0.013317,-0.011760,0.000000,0.005029,0.000000,0.000000,0.383054,0.616946,0.000000,0.000000,0.000000,0.005573,-0.004281,0.000000,0.000000
0.0150,0.00039,0.00012,0.48044,1.00000,-0.00001,-0.00060,0.00165,0.00635,0.00005,0.32520,0.32501,0.00138,0.00495,2,0.03482,0.00138,0.034718,0.01747,-0.6178,-0.0002,-0.2132,0.3389,-0.6471,-0.5893,-1.4820,0,0.04900,0.01900,0.1124,0.1172,0.027540,0.035804,-1.8810,0.5399,27.3727,0.8368,1.9984,32.1175,0.5296,1.6080,30.7016,-1.6748,-1.0019,27.7545,-0.003905,-0.019002,27.3657,0.023344,-0.014516,32.1175,0.025911,-0.007776,30.7081,0.002026,-0.000786,27.7545,-0.00410,0.00001,-0.35339,0.71180,-0.35497,0.00679,-0.01186,-0.00018,-0.35379,0.71467,-0.35560,-0.00131,-0.00261,0.00721,-0.02874,0.00255,0.00630,-0.02872,-0.48458,0.33013,-0.70589,-1.08659,-0.25182,0.51469,0.10245,-0.25453,0.83032,0.06847,0.79019,0.23401,0.19070,0.09280,-0.07405,-0.15196,-0.03700,-0.08600,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007263,0.001103,0.004187,0.004953,0.004187,0.000377,0.013416,-0.011173,0.000000,0.004928,0.000000,0.000000,0.388889,0.611111,0.000000,0.000000,0.000000,0.005993,-0.003082,0.000000,0.000000
0.0200,0.00040,0.00018,0.48041,1.00000,0.00004,-0.00054,0.00248,0.00637,0.00009,0.32522,0.32501,0.00120,0.00508,2,0.03483,0.00120,0.034790,0.01288,-0.4789,-0.0003,-0.1766,0.3284,-0.2035,-0.5513,-1.0247,0,0.04900,0.01900,0.1571,0.0774,0.002949,0.031586,-1.2144,0.1120,28.5924,-2.4988,0.1479,26.5682,0.0949,1.9693,32.2936,-0.0309,1.3581,29.2519,0.019538,-0.019003,28.5883,-0.001249,-0.018766,26.5682,-0.000826,-0.004116,32.2965,0.029095,-0.007829,29.2519,-0.00664,-0.00032,-0.35537,0.71423,-0.35531,0.00771,-0.01476,-0.00063,-0.35364,0.71565,-0.35805,0.00117,-0.00261,0.00771,-0.02849,0.00244,0.00664,-0.02846,0.16555,0.51131,0.15016,-0.36864,0.45143,0.55649,-0.51358,-0.47279,-0.09378,-0.90501,-0.07428,0.11466,0.19868,0.06151,-0.01477,-0.16375,-0.03695,-0.02388,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006865,0.001313,0.004187,0.005078,0.004187,0.000503,0.012222,-0.010793,0.000000,0.004621,0.000000,0.000000,0.392665,0.607335,0.000000,0.000000,0.000000,0.006787,-0.001307,0.000000,0.000000
0.0250,0.00040,0.00025,0.48040,0.99999,0.00011,-0.00048,0.00339,0.00637,0.00012,0.32521,0.32501,0.00107,0.00520,2,0.03483,0.00107,0.034909,0.03004,-0.3774,-0.0004,-0.1248,0.3168,0.1569,-0.7397,-0.7997,0,0.04900,0.01900,0.0988,0.1175,0.025571,0.031342,0.4954,1.3765,28.4355,-1.6433,-0.1340,27.8099,-1.2864,0.6313,34.7346,0.5644,2.2387,32.7479,0.022111,-0.019003,28.4255,0.021372,-0.018998,27.8099,-0.006451,0.000901,34.7303,-0.001412,-0.004340,32.7479,-0.01138,-0.00059,-0.35797,0.71745,-0.35531,0.00867,-0.01704,-0.00117,-0.35335,0.71632,-0.36031,0.00322,-0.00265,0.00802,-0.02709,0.00233,0.00672,-0.02705,-1.49029,0.09298,0.71331,0.00094,0.66926,0.51197,1.02146,-0.18155,-0.67315,-1.46486,-0.41024,0.01679,0.20403,0.04044,0.02418,-0.17365,-0.03608,0.01729,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006293,0.001537,0.004187,0.005204,0.004187,0.000628,0.010507,-0.010372,0.000000,0.004229,0.000000,0.000000,0.396852,0.603148,0.000000,0.000000,0.000000,0.007713,0.001166,0.000000,0.000000
0.0300,0.00040,0.00032,0.48040,0.99999,0.00017,-0.00043,0.00439,0.00638,0.00017,0.32522,0.32501,0.00095,0.00533,2,0.03486,0.00095,0.035048,0.02299,-0.8154,-0.0005,-0.1580,0.2736,-0.4005,-1.4320,-0.6987,0,0.04900,0.01900,0.1876,0.0819,0.015181,0.034699,-0.6854,-0.1660,26.7108,3.4021,2.1028,35.5361,-0.3161,1.9001,32.9264,-0.9540,1.3957,34.4053,0.028572,0.002751,26.7089,0.011005,-0.015696,35.5361,-0.007686,-0.019002,32.9213,-0.008098,-0.001043,34.4053,-0.01428,-0.00104,-0.36093,0.72092,-0.35503,0.00853,-0.02005,-0.00181,-0.35331,0.71734,-0.36245,0.00536,-0.00273,0.00812,-0.02500,0.00224,0.00668,-0.02496,0.86100,-0.04027,0.50319,0.02010,0.70290,-0.04965,-1.27645,0.01523,-0.45040,-1.25653,-0.33966,0.60440,0.18944,0.03263,0.04908,-0.16345,-0.03114,0.04396,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006661,0.002114,0.004187,0.005330,0.004187,0.000754,0.011611,-0.008893,0.000000,0.004058,0.000000,0.000000,0.411557,0.588443,0.000000,0.000000,0.000000,0.008666,0.003218,0.000000,0.000000
0.0350,0.00039,0.00041,0.48038,0.99999,0.00020,-0.00039,0.00545,0.00639,0.00022,0.32524,0.32501,0.00085,0.00546,2,0.03488,0.00085,0.035114,0.00592,-0.6635,-0.0007,-0.1591,0.3030,-0.3467,-0.7299,-0.5553,0,0.04900,0.01900,0.3440,0.0261,0.053292,0.050631,-0.5424,0.2047,24.8653,-2.9202,-3.2897,21.3154,-0.4658,1.7156,35.1129,0.4673,0.3174,36.0884,0.042561,-0.002319,24.8605,0.049000,0.000471,21.3154,-0.017746,-0.003223,35.1056,-0.008081,-0.014954,36.0884,-0.01650,-0.00117,-0.36318,0.72299,-0.35466,0.00611,-0.02324,-0.00234,-0.35343,0.71865,-0.36448,0.00720,-0.00274,0.00815,-0.02256,0.00216,0.00657,-0.02253,-0.55188,0.03115,0.85448,0.40405,1.01133,0.01248,0.32619,-0.36545,-0.84041,-1.71066,-0.72899,0.11356,0.18937,0.01253,0.06235,-0.16609,-0.01999,0.05899,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006676,0.001890,0.004187,0.005455,0.004187,0.000880,0.011656,-0.009817,0.000000,0.004349,0.000000,0.000000,0.402375,0.597625,0.000000,0.000000,0.000000,0.008531,0.005363,0.000000,0.000000
0.0400,0.00037,0.00051,0.48034,0.99998,0.00018,-0.00037,0.00645,0.00639,0.00029,0.32524,0.32501,0.00079,0.00558,2,0.03489,0.00079,0.035083,-0.01276,-0.2553,-0.0007,-0.1589,0.2024,0.1391,-0.1794,-0.2775,0,0.04900,0.01900,0.4730,0.1111,0.053268,0.031135,-1.6213,0.8163,28.5469,0.6186,5.4218,19.2329,0.6145,0.4668,34.5105,-0.2991,2.3140,35.0137,0.023110,-0.008047,28.5349,0.049000,-0.018999,19.2329,-0.010957,-0.003715,34.5075,-0.018655,-0.004953,35.0137,-0.02216,-0.00063,-0.36411,0.72309,-0.35484,0.00370,-0.02576,-0.00271,-0.35357,0.71996,-0.36619,0.00830,-0.00267,0.00825,-0.02000,0.00207,0.00630,-0.01997,-0.50678,-0.14718,0.22059,-0.34423,0.55791,0.09821,0.30773,0.03105,-0.27193,-1.25856,-0.38307,0.14739,0.20403,0.00735,0.06798,-0.17276,-0.02848,0.06535,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006676,0.003105,0.004187,0.005581,0.004187,0.001006,0.011656,-0.006422,0.000000,0.003511,0.000000,0.000000,0.436137,0.563863,0.000000,0.000000,0.000000,0.006105,0.007199,0.000000,0.000000
0.0450,0.00036,0.00062,0.48029,0.99997,0.00011,-0.00035,0.00745,0.00639,0.00037,0.32521,0.32501,0.00074,0.00571,2,0.03489,0.00074,0.034930,-0.03549,0.2072,-0.0007,-0.1005,0.1659,0.5639,0.3640,-0.2162,0,0.04900,0.01900,0.4212,0.0704,0.053452,0.045447,0.0251,0.6174,32.1462,-5.4400,0.9959,21.8889,-0.6618,0.4340,33.6035,0.9070,1.1305,34.2971,0.004023,-0.005954,32.1438,0.049000,-0.004665,21.8889,0.001561,-0.008851,33.6007,-0.012308,-0.005485,34.2971,-0.02828,-0.00008,-0.36269,0.72064,-0.35730,0.00298,-0.02807,-0.00290,-0.35371,0.72118,-0.36751,0.00879,-0.00250,0.00840,-0.01748,0.00195,0.00598,-0.01746,-0.12600,-0.14154,0.14495,-0.78526,0.11058,0.12950,-0.25984,0.19525,-0.17693,-1.02087,-0.03721,0.29788,0.21319,0.00640,0.06867,-0.18106,-0.03302,0.06659,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006031,0.003621,0.004187,0.005707,0.004187,0.001131,0.009719,-0.005125,0.000000,0.002784,0.000000,0.000000,0.449029,0.550971,0.000000,0.000000,0.000000,0.003703,0.008296,0.000000,0.000000
