t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00025,0.00001,0.48036,1.00000,0.00000,-0.00110,0.00016,0.00627,-0.00000,0.32501,0.32501,0.00250,0.00457,2,0.03443,0.00250,0.034432,0.01258,-0.3084,0.0000,-0.2029,0.4140,-1.1458,0.0000,-2.1932,0,0.04900,0.01900,0.0952,0.0952,0.002394,0.032307,-0.6804,1.3121,18.9860,0.0776,1.8005,31.5655,-0.6054,1.3117,35.9274,0.0776,-1.8005,31.5655,0.025591,-0.005757,18.9789,-0.001803,-0.017928,31.5655,0.017365,-0.002731,35.9318,-0.001803,0.017928,31.5655,0.00036,0.00024,-0.34832,0.70637,-0.35438,0.00405,-0.00104,-0.00033,-0.34815,0.70634,-0.35451,-0.00393,-0.00069,0.00031,-0.00212,0.00069,0.00029,-0.00212,-0.31341,-0.29301,0.14396,-0.08816,0.42503,0.05897,-0.31226,-0.29576,0.31708,-0.53233,0.55866,0.06118,0.11420,0.14901,0.01369,-0.05694,-0.09079,-0.01076,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007118,0.000000,0.004183,0.004572,0.004183,0.000000,0.012987,-0.013715,0.000000,0.005433,0.000000,0.000000,0.363493,0.636507,0.000000,0.000000,0.000000,0.004214,-0.004214,0.000000,0.000000
0.0050,0.00029,0.00003,0.48039,1.00000,0.00000,-0.00098,0.00055,0.00629,0.00001,0.32507,0.32501,0.00220,0.00470,2,0.03449,0.00220,0.034493,0.01189,-0.3176,-0.0001,-0.1892,0.3894,-0.8115,-0.0355,-1.7657,0,0.04900,0.01900,0.1276,0.0559,0.028381,0.044379,-0.6308,1.2334,20.5515,-0.6128,1.4185,20.1848,-0.5685,1.2348,36.4808,-0.6574,1.0460,36.8376,0.019380,-0.005156,20.5451,0.024194,-0.005870,20.1848,0.014460,-0.002372,36.4849,0.017351,-0.001998,36.8376,-0.00048,0.00018,-0.34916,0.70713,-0.35468,0.00382,-0.00184,-0.00046,-0.34857,0.70704,-0.35513,-0.00340,-0.00066,0.00033,-0.00201,0.00066,0.00026,-0.00201,-0.26941,-0.27905,0.08156,-0.20338,0.33751,0.05550,-0.26822,-0.27573,0.25440,-0.62387,0.45666,0.06055,0.14286,0.11850,0.01346,-0.08951,-0.07511,-0.00606,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006974,0.000357,0.004183,0.004697,0.004183,0.000126,0.012556,-0.012896,0.000000,0.005160,0.000000,0.000000,0.371646,0.628354,0.000000,0.000000,0.000000,0.004054,-0.003929,0.000000,0.000000
0.0100,0.00031,0.00006,0.48040,1.00000,0.00001,-0.00087,0.00112,0.00630,0.00002,0.32511,0.32501,0.00195,0.00482,2,0.03454,0.00195,0.034549,0.01085,-0.3099,-0.0001,-0.1752,0.3656,-0.5610,-0.0517,-1.4359,0,0.04900,0.01900,0.1117,0.0552,0.022986,0.045019,-0.5811,1.1573,21.8424,-0.5940,1.2949,21.2590,-0.5294,1.1599,36.7780,-0.6171,1.0597,37.0028,0.015164,-0.004638,21.8368,0.018799,-0.005223,21.2590,0.012304,-0.002102,36.7814,0.014576,-0.001905,37.0028,-0.00170,0.00009,-0.35022,0.70821,-0.35503,0.00358,-0.00303,-0.00066,-0.34903,0.70805,-0.35598,-0.00273,-0.00061,0.00037,-0.00185,0.00062,0.00022,-0.00184,-0.23196,-0.26446,0.03730,-0.29677,0.27301,0.05228,-0.23080,-0.25737,0.20770,-0.69319,0.37918,0.05891,0.16384,0.09382,0.01272,-0.11392,-0.06131,-0.00273,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006825,0.000709,0.004183,0.004823,0.004183,0.000251,0.012107,-0.012092,0.000000,0.004889,0.000000,0.000000,0.379652,0.620348,0.000000,0.000000,0.000000,0.003825,-0.003405,0.000000,0.000000
0.0150,0.00032,0.00011,0.48041,1.00000,0.00001,-0.00079,0.00185,0.00631,0.00005,0.32514,0.32501,0.00175,0.00495,2,0.03458,0.00175,0.034600,0.00964,-0.2928,-0.0002,-0.1616,0.3427,-0.3769,-0.0578,-1.1792,0,0.04900,0.01900,0.0982,0.0537,0.019061,0.045601,-0.5335,1.0844,22.9092,-0.5535,1.1860,22.2183,-0.4905,1.0877,36.8780,-0.5673,1.0489,37.0314,0.012222,-0.004186,22.9043,0.014874,-0.004634,22.2183,0.010689,-0.001896,36.8808,0.012442,-0.001823,37.0314,-0.00322,-0.00005,-0.35140,0.70943,-0.35536,0.00335,-0.00453,-0.00090,-0.34947,0.70922,-0.35696,-0.00199,-0.00056,0.00041,-0.00166,0.00058,0.00018,-0.00165,-0.20030,-0.24967,0.00671,-0.37236,0.22611,0.04959,-0.19918,-0.24016,0.17280,-0.74478,0.32080,0.05663,0.17868,0.07389,0.01168,-0.13185,-0.04926,-0.00042,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006678,0.001053,0.004183,0.004949,0.004183,0.000377,0.011668,-0.011309,0.000000,0.004626,0.000000,0.000000,0.387440,0.612560,0.000000,0.000000,0.000000,0.003577,-0.002735,0.000000,0.000000
0.0200,0.00033,0.00017,0.48040,1.00000,0.00002,-0.00071,0.00269,0.00632,0.00008,0.32515,0.32501,0.00157,0.00507,2,0.03462,0.00157,0.034644,0.00838,-0.2707,-0.0002,-0.1486,0.3209,-0.2439,-0.0576,-0.9775,0,0.04900,0.01900,0.0870,0.0516,0.016217,0.046103,-0.4889,1.0149,23.7981,-0.5092,1.0910,23.0627,-0.4530,1.0187,36.8318,-0.5146,1.0219,36.9571,0.010116,-0.003784,23.7940,0.012029,-0.004128,23.0627,0.009467,-0.001735,36.8340,0.010801,-0.001749,36.9571,-0.00496,-0.00023,-0.35265,0.71068,-0.35563,0.00317,-0.00626,-0.00118,-0.34985,0.71043,-0.35801,-0.00121,-0.00050,0.00046,-0.00147,0.00052,0.00013,-0.00146,-0.17352,-0.23494,-0.01380,-0.43385,0.19231,0.04733,-0.17246,-0.22391,0.14650,-0.78258,0.27689,0.05391,0.18884,0.05779,0.01049,-0.14480,-0.03879,0.00114,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006537,0.001389,0.004183,0.005074,0.004183,0.000502,0.011246,-0.010552,0.000000,0.004373,0.000000,0.000000,0.394974,0.605026,0.000000,0.000000,0.000000,0.003348,-0.001986,0.000000,0.000000
0.0250,0.00032,0.00024,0.48040,0.99999,0.00002,-0.00065,0.00362,0.00633,0.00012,0.32516,0.32501,0.00143,0.00520,2,0.03466,0.00143,0.034682,0.00717,-0.2465,-0.0003,-0.1365,0.3001,-0.1499,-0.0538,-0.8174,0,0.04900,0.01900,0.0777,0.0493,0.014134,0.046535,-0.4475,0.9488,24.5466,-0.4654,1.0083,23.8100,-0.4175,0.9530,36.6789,-0.4632,0.9838,36.8042,0.008573,-0.003426,24.5432,0.009946,-0.003691,23.8100,0.008528,-0.001605,36.6805,0.009532,-0.001677,36.8042,-0.00688,-0.00044,-0.35390,0.71187,-0.35580,0.00304,-0.00817,-0.00149,-0.35016,0.71160,-0.35908,-0.00043,-0.00045,0.00051,-0.00129,0.00047,0.00007,-0.00127,-0.15086,-0.22045,-0.02695,-0.48422,0.16809,0.04542,-0.14987,-0.20845,0.12637,-0.80972,0.24382,0.05092,0.19549,0.04477,0.00924,-0.15400,-0.02976,0.00215,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006404,0.001716,0.004183,0.005200,0.004183,0.000628,0.010847,-0.009823,0.000000,0.004131,0.000000,0.000000,0.402237,0.597763,0.000000,0.000000,0.000000,0.003165,-0.001208,0.000000,0.000000
0.0300,0.00032,0.00031,0.48038,0.99999,0.00002,-0.00060,0.00462,0.00633,0.00017,0.32517,0.32501,0.00130,0.00533,2,0.03468,0.00130,0.034715,0.00604,-0.2224,-0.0003,-0.1252,0.2803,-0.0854,-0.0481,-0.6890,0,0.04900,0.01900,0.0700,0.0467,0.012596,0.046904,-0.4093,0.8862,25.1847,-0.4247,0.9366,24.4763,-0.3840,0.8906,36.4499,-0.4159,0.9377,36.5936,0.007418,-0.003106,25.1819,0.008406,-0.003318,24.4763,0.007796,-0.001497,36.4510,0.008547,-0.001602,36.5936,-0.00893,-0.00069,-0.35514,0.71297,-0.35587,0.00299,-0.01021,-0.00183,-0.35039,0.71270,-0.36014,0.00032,-0.00039,0.00056,-0.00111,0.00042,0.00002,-0.00109,-0.13166,-0.20628,-0.03482,-0.52584,0.15073,0.04379,-0.13076,-0.19365,0.11063,-0.82867,0.21875,0.04787,0.19956,0.03423,0.00801,-0.16042,-0.02203,0.00280,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006280,0.002034,0.004183,0.005325,0.004183,0.000754,0.010473,-0.009121,0.000000,0.003902,0.000000,0.000000,0.409224,0.590776,0.000000,0.000000,0.000000,0.003042,-0.000432,0.000000,0.000000
0.0350,0.00031,0.00040,0.48037,0.99998,0.00003,-0.00055,0.00567,0.00632,0.00022,0.32517,0.32501,0.00119,0.00545,2,0.03471,0.00119,0.034742,0.00503,-0.1997,-0.0003,-0.1147,0.2617,-0.0427,-0.0417,-0.5850,0,0.04900,0.01900,0.0635,0.0441,0.011443,0.047221,-0.3741,0.8269,25.7363,-0.3877,0.8725,25.0735,-0.3526,0.8315,36.1687,-0.3732,0.8868,36.3403,0.006532,-0.002821,25.7339,0.007252,-0.002997,25.0735,0.007214,-0.001403,36.1695,0.007776,-0.001525,36.3403,-0.01107,-0.00097,-0.35634,0.71394,-0.35583,0.00300,-0.01235,-0.00219,-0.35055,0.71370,-0.36116,0.00105,-0.00033,0.00060,-0.00094,0.00036,-0.00003,-0.00092,-0.11539,-0.19249,-0.03894,-0.56057,0.13819,0.04236,-0.11457,-0.17943,0.09796,-0.84141,0.19950,0.04489,0.20176,0.02569,0.00689,-0.16479,-0.01547,0.00326,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006163,0.002342,0.004183,0.005451,0.004183,0.000879,0.010122,-0.008446,0.000000,0.003685,0.000000,0.000000,0.415934,0.584066,0.000000,0.000000,0.000000,0.002987,0.000323,0.000000,0.000000
0.0400,0.00030,0.00049,0.48036,0.99998,0.00003,-0.00051,0.00676,0.00632,0.00028,0.32517,0.32501,0.00110,0.00558,2,0.03473,0.00110,0.034764,0.00414,-0.1789,-0.0004,-0.1049,0.2440,-0.0161,-0.0331,-0.5000,0,0.04900,0.01900,0.0578,0.0415,0.010564,0.047496,-0.3418,0.7710,26.2194,-0.3540,0.8137,25.6134,-0.3233,0.7757,35.8542,-0.3348,0.8334,36.0565,0.005836,-0.002565,26.2175,0.006371,-0.002718,25.6134,0.006743,-0.001318,35.8547,0.007163,-0.001446,36.0565,-0.01328,-0.00128,-0.35749,0.71479,-0.35569,0.00307,-0.01456,-0.00257,-0.35063,0.71459,-0.36213,0.00174,-0.00027,0.00065,-0.00078,0.00032,-0.00007,-0.00075,-0.10159,-0.17914,-0.04045,-0.58987,0.12894,0.04101,-0.10086,-0.16580,0.08742,-0.84945,0.18447,0.04198,0.20267,0.01875,0.00594,-0.16767,-0.00995,0.00361,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006053,0.002641,0.004183,0.005576,0.004183,0.001005,0.009793,-0.007801,0.000000,0.003480,0.000000,0.000000,0.422362,0.577638,0.000000,0.000000,0.000000,0.002997,0.001047,0.000000,0.000000
0.0450,0.00028,0.00059,0.48035,0.99997,0.00003,-0.00047,0.00787,0.00631,0.00035,0.32516,0.32501,0.00101,0.00570,2,0.03474,0.00101,0.034782,0.00338,-0.1605,-0.0004,-0.0959,0.2274,-0.0008,-0.0241,-0.4302,0,0.04900,0.01900,0.0528,0.0390,0.009880,0.047738,-0.3120,0.7183,26.6498,-0.3237,0.7601,26.1012,-0.2958,0.7232,35.5209,-0.3003,0.7806,35.7527,0.005273,-0.002335,26.6482,0.005685,-0.002472,26.1012,0.006350,-0.001239,35.5212,0.006667,-0.001365,35.7527,-0.01554,-0.00162,-0.35860,0.71551,-0.35545,0.00320,-0.01681,-0.00296,-0.35065,0.71538,-0.36304,0.00240,-0.00019,0.00069,-0.00064,0.00027,-0.00011,-0.00060,-0.08988,-0.16624,-0.04020,-0.61496,0.12188,0.03975,-0.08924,-0.15268,0.07835,-0.85407,0.17241,0.03925,0.20270,0.01311,0.00515,-0.16952,-0.00534,0.00386,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005950,0.002931,0.004183,0.005702,0.004183,0.001130,0.009485,-0.007182,0.000000,0.003287,0.000000,0.000000,0.428516,0.571484,0.000000,0.000000,0.000000,0.003072,0.001738,0.000000,0.000000
