t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48035,1.00000,0.00000,-0.00125,0.00000,0.00608,-0.00000,0.31446,0.31446,0.00284,0.00445,2,0.03443,0.00284,0.034433,0.01274,-1.0382,0.0000,-0.1997,0.4165,-1.1877,-0.0000,-2.3360,0,0.04900,0.01900,0.1001,0.1001,0.002422,0.068717,-0.6671,1.3786,19.8685,0.0484,-1.9840,33.0639,-0.6566,1.3829,37.2976,0.0484,1.9840,33.0639,0.018937,-0.005112,19.8748,-0.001791,0.018998,33.0639,0.013750,-0.002869,37.2883,-0.001791,-0.018998,33.0639,-0.00064,-0.00035,-0.34813,0.70669,-0.35464,-0.00498,0.00064,0.00028,-0.34811,0.70665,-0.35462,0.00508,0.00033,-0.00039,0.00034,-0.00039,0.00141,-0.32231,0.06147,-0.26278,0.31949,0.05909,0.00163,-0.30606,0.26204,-0.73399,0.45460,0.05138,0.02116,0.00131,0.02117,0.00131,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006961,-0.000000,0.004200,0.004450,0.004200,0.000000,0.012483,-0.013351,0.000000,0.005237,0.000000,0.000000,0.365724,0.634276,0.000000,0.000000,0.000000,-0.005271,0.005271
0.0050,0.00025,0.00003,0.48039,1.00000,0.00000,-0.00111,0.00000,0.00610,0.00001,0.31453,0.31446,0.00250,0.00457,2,0.03449,0.00250,0.034494,0.01193,-1.1224,-0.0001,-0.1868,0.3906,-0.9391,-0.0204,-2.0017,0,0.04900,0.01900,0.0956,0.0707,0.021728,0.046358,-0.6242,1.2987,21.2389,-0.5976,1.0997,21.8307,-0.6141,1.2910,37.5749,-0.5988,1.5442,39.0244,0.014268,-0.003540,21.2446,0.017530,-0.003351,21.8307,0.011470,-0.002829,37.5665,0.013272,-0.003171,39.0244,-0.00062,-0.00049,-0.34861,0.70708,-0.35497,-0.00442,0.00062,0.00023,-0.34855,0.70695,-0.35490,0.00475,0.00032,-0.00037,0.00033,-0.00037,0.00207,-0.28487,0.02022,-0.36692,0.24557,0.04361,0.00075,-0.30965,0.20702,-0.80850,0.37323,0.05030,0.01412,0.00118,0.01471,0.00123,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006830,0.000362,0.004200,0.004575,0.004200,0.000124,0.012092,-0.012515,0.000000,0.004967,0.000000,0.000000,0.374134,0.625866,0.000000,0.000000,0.000000,-0.004981,0.005081
0.0100,0.00028,0.00006,0.48043,1.00000,0.00001,-0.00098,0.00000,0.00612,0.00002,0.31458,0.31446,0.00221,0.00470,2,0.03454,0.00221,0.034551,0.01080,-1.1559,-0.0001,-0.1745,0.3661,-0.7629,-0.0357,-1.7540,0,0.04900,0.01900,0.0840,0.0662,0.017502,0.047467,-0.5834,1.2213,22.3456,-0.5393,1.0219,22.9236,-0.5738,1.2062,37.6364,-0.5431,1.4520,39.0452,0.011334,-0.002574,22.3505,0.013303,-0.002245,22.9236,0.009910,-0.002747,37.6292,0.011072,-0.003067,39.0452,-0.00060,-0.00068,-0.34915,0.70764,-0.35536,-0.00369,0.00060,0.00015,-0.34904,0.70740,-0.35523,0.00437,0.00031,-0.00034,0.00032,-0.00034,0.00246,-0.25534,-0.00452,-0.44430,0.19758,0.03325,0.00018,-0.30527,0.16950,-0.85751,0.31772,0.04937,0.00963,0.00112,0.01061,0.00120,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006705,0.000711,0.004200,0.004699,0.004200,0.000249,0.011717,-0.011715,0.000000,0.004710,0.000000,0.000000,0.382180,0.617820,0.000000,0.000000,0.000000,-0.004415,0.004753
0.0150,0.00031,0.00011,0.48046,1.00000,0.00001,-0.00086,0.00000,0.00614,0.00005,0.31462,0.31446,0.00196,0.00482,2,0.03459,0.00196,0.034601,0.00953,-1.1553,-0.0002,-0.1630,0.3431,-0.6373,-0.0472,-1.5652,0,0.04900,0.01900,0.0748,0.0620,0.014776,0.048141,-0.5448,1.1470,23.2605,-0.4892,0.9510,23.8352,-0.5357,1.1276,37.5544,-0.4947,1.3614,38.9302,0.009420,-0.001953,23.2646,0.010576,-0.001570,23.8352,0.008813,-0.002630,37.5482,0.009548,-0.002933,38.9302,-0.00059,-0.00092,-0.34970,0.70823,-0.35576,-0.00288,0.00060,0.00004,-0.34954,0.70787,-0.35555,0.00400,0.00028,-0.00031,0.00030,-0.00031,0.00265,-0.23137,-0.01844,-0.50306,0.16685,0.02590,-0.00015,-0.29603,0.14365,-0.88911,0.27951,0.04832,0.00681,0.00109,0.00803,0.00118,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006587,0.001048,0.004200,0.004823,0.004200,0.000373,0.011361,-0.010952,0.000000,0.004466,0.000000,0.000000,0.389857,0.610143,0.000000,0.000000,0.000000,-0.003687,0.004371
0.0200,0.00034,0.00017,0.48048,1.00000,0.00001,-0.00076,0.00000,0.00615,0.00008,0.31465,0.31446,0.00173,0.00495,2,0.03463,0.00173,0.034645,0.00823,-1.1332,-0.0002,-0.1521,0.3214,-0.5476,-0.0559,-1.4171,0,0.04900,0.01900,0.0671,0.0582,0.012970,0.048570,-0.5085,1.0764,24.0330,-0.4448,0.8852,24.6150,-0.5000,1.0546,37.3770,-0.4512,1.2754,38.7305,0.008122,-0.001538,24.0363,0.008769,-0.001140,24.6150,0.008013,-0.002487,37.3719,0.008467,-0.002777,38.7305,-0.00058,-0.00120,-0.35021,0.70877,-0.35611,-0.00205,0.00059,-0.00012,-0.35000,0.70831,-0.35583,0.00367,0.00025,-0.00028,0.00028,-0.00028,0.00270,-0.21141,-0.02545,-0.54882,0.14736,0.02044,-0.00034,-0.28386,0.12546,-0.90890,0.25266,0.04705,0.00506,0.00106,0.00640,0.00116,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006474,0.001374,0.004200,0.004948,0.004200,0.000497,0.011023,-0.010224,0.000000,0.004236,0.000000,0.000000,0.397173,0.602827,0.000000,0.000000,0.000000,-0.002879,0.003996
0.0250,0.00035,0.00023,0.48050,1.00000,0.00002,-0.00066,0.00000,0.00615,0.00012,0.31468,0.31446,0.00152,0.00507,2,0.03466,0.00152,0.034682,0.00699,-1.0988,-0.0003,-0.1419,0.3011,-0.4835,-0.0623,-1.2974,0,0.04900,0.01900,0.0605,0.0548,0.011738,0.048855,-0.4745,1.0094,24.6978,-0.4055,0.8232,25.2958,-0.4666,0.9866,37.1367,-0.4118,1.1949,38.4774,0.007202,-0.001252,24.7004,0.007536,-0.000854,25.2958,0.007404,-0.002328,37.1324,0.007675,-0.002608,38.4774,-0.00058,-0.00151,-0.35068,0.70922,-0.35639,-0.00122,0.00059,-0.00032,-0.35042,0.70865,-0.35605,0.00341,0.00021,-0.00024,0.00025,-0.00024,0.00265,-0.19427,-0.02820,-0.58549,0.13497,0.01620,-0.00044,-0.27002,0.11219,-0.92075,0.23308,0.04563,0.00396,0.00103,0.00535,0.00112,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006368,0.001688,0.004200,0.005072,0.004200,0.000621,0.010704,-0.009531,0.000000,0.004019,0.000000,0.000000,0.404146,0.595854,0.000000,0.000000,0.000000,-0.002046,0.003669
0.0300,0.00037,0.00031,0.48052,1.00000,0.00002,-0.00058,0.00000,0.00616,0.00017,0.31470,0.31446,0.00133,0.00520,2,0.03469,0.00133,0.034714,0.00585,-1.0587,-0.0003,-0.1324,0.2819,-0.4382,-0.0671,-1.1981,0,0.04900,0.01900,0.0546,0.0516,0.010869,0.049057,-0.4427,0.9461,25.2796,-0.3711,0.7635,25.9013,-0.4354,0.9232,36.8557,-0.3770,1.1215,38.1922,0.006519,-0.001045,25.2817,0.006666,-0.000650,25.9013,0.006919,-0.002165,36.8522,0.007075,-0.002438,38.1922,-0.00057,-0.00184,-0.35108,0.70956,-0.35660,-0.00043,0.00059,-0.00055,-0.35079,0.70891,-0.35619,0.00324,0.00017,-0.00021,0.00023,-0.00021,0.00254,-0.17910,-0.02842,-0.61567,0.12698,0.01281,-0.00047,-0.25540,0.10206,-0.92722,0.21810,0.04412,0.00328,0.00098,0.00464,0.00107,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006268,0.001991,0.004200,0.005196,0.004200,0.000746,0.010404,-0.008870,0.000000,0.003815,0.000000,0.000000,0.410793,0.589207,0.000000,0.000000,0.000000,-0.001223,0.003415
0.0350,0.00038,0.00039,0.48054,1.00000,0.00002,-0.00050,-0.00000,0.00616,0.00022,0.31473,0.31446,0.00116,0.00532,2,0.03471,0.00116,0.034740,0.00484,-1.0176,-0.0003,-0.1236,0.2640,-0.4064,-0.0705,-1.1143,0,0.04900,0.01900,0.0494,0.0488,0.010231,0.049209,-0.4130,0.8865,25.7965,-0.3405,0.7067,26.4460,-0.4062,0.8637,36.5494,-0.3461,1.0542,37.8880,0.005988,-0.000887,25.7981,0.006027,-0.000496,26.4460,0.006514,-0.002005,36.5465,0.006602,-0.002273,37.8880,-0.00056,-0.00219,-0.35142,0.70977,-0.35672,0.00032,0.00060,-0.00082,-0.35111,0.70906,-0.35626,0.00316,0.00013,-0.00019,0.00020,-0.00019,0.00241,-0.16522,-0.02717,-0.64112,0.12166,0.01003,-0.00048,-0.24059,0.09392,-0.93000,0.20604,0.04264,0.00284,0.00093,0.00414,0.00101,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006173,0.002284,0.004200,0.005321,0.004200,0.000870,0.010121,-0.008239,0.000000,0.003622,0.000000,0.000000,0.417135,0.582865,0.000000,0.000000,0.000000,-0.000431,0.003243
0.0400,0.00039,0.00048,0.48055,1.00000,0.00003,-0.00042,-0.00000,0.00616,0.00028,0.31475,0.31446,0.00100,0.00544,2,0.03473,0.00100,0.034761,0.00396,-0.9780,-0.0004,-0.1152,0.2471,-0.3845,-0.0729,-1.0424,0,0.04900,0.01900,0.0448,0.0462,0.009744,0.049331,-0.3851,0.8303,26.2620,-0.3129,0.6526,26.9408,-0.3789,0.8080,36.2288,-0.3183,0.9922,37.5725,0.005559,-0.000761,26.2632,0.005538,-0.000373,26.9408,0.006164,-0.001852,36.2265,0.006211,-0.002119,37.5725,-0.00055,-0.00257,-0.35171,0.70988,-0.35676,0.00104,0.00061,-0.00112,-0.35138,0.70911,-0.35626,0.00315,0.00008,-0.00016,0.00016,-0.00016,0.00226,-0.15224,-0.02514,-0.66304,0.11792,0.00771,-0.00048,-0.22594,0.08704,-0.93028,0.19580,0.04124,0.00256,0.00088,0.00377,0.00094,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006084,0.002568,0.004200,0.005445,0.004200,0.000994,0.009853,-0.007637,0.000000,0.003439,0.000000,0.000000,0.423192,0.576808,0.000000,0.000000,0.000000,0.000324,0.003156
0.0450,0.00039,0.00058,0.48057,1.00000,0.00003,-0.00036,-0.00001,0.00616,0.00035,0.31476,0.31446,0.00085,0.00557,2,0.03474,0.00085,0.034779,0.00321,-0.9415,-0.0004,-0.1075,0.2312,-0.3697,-0.0743,-0.9802,0,0.04900,0.01900,0.0406,0.0438,0.009355,0.049433,-0.3591,0.7775,26.6867,-0.2878,0.6013,27.3942,-0.3534,0.7557,35.9023,-0.2928,0.9347,37.2515,0.005198,-0.000655,26.6877,0.005147,-0.000270,27.3942,0.005850,-0.001711,35.9004,0.005877,-0.001976,37.2515,-0.00054,-0.00296,-0.35194,0.70987,-0.35673,0.00171,0.00061,-0.00145,-0.35160,0.70908,-0.35620,0.00322,0.00004,-0.00014,0.00013,-0.00014,0.00210,-0.13990,-0.02276,-0.68230,0.11506,0.00575,-0.00049,-0.21164,0.08094,-0.92886,0.18671,0.03994,0.00237,0.00082,0.00346,0.00087,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006000,0.002842,0.004200,0.005569,0.004200,0.001119,0.009600,-0.007062,0.000000,0.003267,0.000000,0.000000,0.428981,0.571019,0.000000,0.000000,0.000000,0.001038,0.003151
