t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00008,0.00000,0.75210,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0.00183,0.034276,0.01446,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32320,0.00004,-0.00002,0.70515,-0.38049,-0.00002,-0.32319,-0.00003,0.00001,0.70514,-0.38049,0.00002,0.00129,0.00116,0.00129,0.00116,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68462,0.68452,0.00187,0.00007,2,0.03434,0.00187,0.034345,0.01330,-1.2740,-0.0001,0.5549,-0.0015,-1.3685,-0.0003,0.5621,0,0.08500,0.03000,0.2061,0.2063,-0.049564,0.118236,9.4704,-0.1173,144.1791,17.4846,-0.1851,141.4164,9.4689,0.0667,143.9620,17.4807,0.1282,141.1977,-0.048390,-0.000399,144.1752,-0.080885,-0.000295,141.4164,-0.048449,0.000621,143.9581,-0.080996,0.000619,141.1977,-0.32325,0.00004,-0.00002,0.70518,-0.38049,-0.00001,-0.32324,-0.00003,0.00002,0.70517,-0.38049,0.00001,0.00117,0.00113,0.00117,0.00113,-0.78347,-0.19165,0.10976,-13.74377,-1.55551,0.06161,-0.78980,0.18729,-0.10772,-13.72590,-1.56132,-0.09185,-1.33070,-0.94494,-1.33113,-0.94496,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00014,0.00000,0.75221,1.00000,-0.00000,-0.00093,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00188,0.00007,2,0.03441,0.00188,0.034407,0.01175,-1.2918,-0.0001,0.2994,-0.0010,-1.0002,-0.0001,0.3601,1,0.08500,0.03000,0.1226,0.1227,-0.016398,0.118167,-4.4086,89.9615,150.0005,11.0938,-0.1530,150.8644,14.6290,-89.9955,150.0095,11.0925,0.1092,150.6482,0.017559,-0.030002,150.0002,-0.047716,-0.000364,150.8644,-0.016798,0.021756,150.0002,-0.047772,0.000569,150.6482,-0.32338,0.00004,-0.00002,0.70539,-0.38062,-0.00001,-0.32338,-0.00003,0.00002,0.70539,-0.38062,-0.00001,0.00106,0.00111,0.00106,0.00111,-0.78347,-0.19165,0.10976,-13.74377,-1.55551,0.06161,-0.78980,0.18729,-0.10772,-13.72590,-1.56132,-0.09185,-1.33070,-0.94494,-1.33113,-0.94496,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00017,-0.00005,0.75226,1.00000,-0.00007,-0.00089,0.00029,0.03508,0.00008,0.68474,0.68452,0.00186,0.00007,2,0.03459,0.00186,0.034556,0.04177,-1.2664,-0.0002,0.0429,-0.0005,-0.6235,0.0000,0.1726,0,0.08500,0.03000,0.1213,0.1215,-0.016236,0.118167,-88.4587,89.9776,149.9610,10.9879,-0.1527,150.9635,89.9291,-89.9940,150.0469,10.9862,0.1082,150.7470,0.030409,0.004961,150.0002,-0.047548,-0.000364,150.9635,-0.085003,-0.004269,150.0002,-0.047604,0.000569,150.7470,-0.32429,0.00041,0.00057,0.70645,-0.38023,-0.00038,-0.32357,0.00151,0.00165,0.70645,-0.38345,0.00098,0.00071,0.00262,0.00071,0.00268,-50.75892,-47.53510,34.21853,-34.87690,5.07587,-3.89435,46.81665,54.31004,-21.48176,6.76577,-2.89576,3.78949,1.21861,1.97474,-2.31948,1.74109,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00020,-0.00012,0.75230,1.00000,-0.00018,-0.00083,0.00059,0.03509,0.00009,0.68480,0.68452,0.00177,0.00007,2,0.03472,0.00177,0.034714,0.02550,-3.9067,-0.0004,-0.1979,-0.4407,-1.4291,1.8252,-0.6656,0,0.08500,0.03000,0.8203,0.8180,0.034297,0.120961,-3.1186,-5.4528,142.2611,-60.8947,83.1272,209.3547,-3.6373,-9.5914,143.8120,80.1022,-48.0098,190.2713,-0.013528,-0.006342,142.2583,0.002934,0.002544,209.3547,-0.000062,-0.029843,143.8333,-0.056714,-0.005524,190.2713,-0.32536,0.00112,0.00152,0.70772,-0.37980,-0.00076,-0.32363,0.00409,0.00470,0.70701,-0.38420,0.00400,0.00018,0.00488,0.00021,0.00503,2.05864,7.70305,2.12966,-11.95321,2.80765,1.09951,-1.30214,1.25172,4.61364,-12.48473,4.75052,4.57726,-4.25960,-1.07360,0.33503,-0.90795,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00022,-0.00018,0.75233,1.00000,-0.00030,-0.00078,0.00052,0.03511,0.00012,0.68486,0.68452,0.00166,0.00007,2,0.03476,0.00166,0.034806,0.01431,-2.8568,-0.0005,-0.2148,-0.3844,-0.6043,1.9147,-0.4411,1,0.08500,0.03000,0.0611,0.0692,0.016751,0.112896,-89.5914,-90.1416,150.1603,0.1422,-5.5300,150.9377,82.2914,77.0888,150.5899,-2.6283,-6.1418,160.8431,-0.083055,-0.017636,150.0002,-0.014696,-0.005336,150.9377,0.085003,-0.030003,150.0002,-0.003483,-0.026105,160.8431,-0.32599,0.00206,0.00269,0.70860,-0.37982,-0.00087,-0.32371,0.00657,0.00789,0.70692,-0.38251,0.00742,-0.00045,0.00686,-0.00034,0.00710,2.05864,7.70305,2.12966,-11.95321,2.80765,1.09951,-1.30214,1.25172,4.61364,-12.48473,4.75052,4.57726,-4.25960,-1.07360,0.33503,-0.90795,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00023,-0.00021,0.75234,1.00000,-0.00042,-0.00072,0.00008,0.03512,0.00013,0.68488,0.68452,0.00156,0.00007,2,0.03480,0.00156,0.034854,0.00683,-2.1077,-0.0006,-0.2042,-0.2694,-0.3684,1.9556,-0.5816,1,0.08500,0.03000,0.0810,0.0363,0.015139,0.113200,-89.4192,-90.2506,150.1974,3.4737,-6.8157,157.3663,82.4669,81.2442,150.7881,-3.0300,-1.7378,160.4527,-0.085003,-0.030003,150.0002,-0.016347,-0.004934,157.3663,0.077669,-0.030003,150.0002,-0.003363,-0.027281,160.4527,-0.32630,0.00330,0.00428,0.70919,-0.38015,-0.00081,-0.32399,0.00880,0.01088,0.70692,-0.38138,0.00999,-0.00120,0.00864,-0.00095,0.00898,2.05864,7.70305,2.12966,-11.95321,2.80765,1.09951,-1.30214,1.25172,4.61364,-12.48473,4.75052,4.57726,-4.25960,-1.07360,0.33503,-0.90795,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00025,-0.00022,0.75234,1.00000,-0.00055,-0.00064,-0.00070,0.03513,0.00015,0.68489,0.68452,0.00144,0.00007,2,0.03484,0.00144,0.034873,0.00200,-1.5853,-0.0006,-0.2254,-0.1831,-0.1980,2.1169,-0.7848,1,0.08500,0.03000,0.0977,0.0324,0.014123,0.113337,-89.3092,-90.3710,150.1905,5.7086,-7.5820,161.8313,81.6082,84.4365,150.9776,-2.9246,1.1342,161.4384,-0.047209,-0.006842,150.0002,-0.017384,-0.004742,161.8313,0.085003,-0.030003,150.0002,-0.003603,-0.027449,161.4384,-0.32640,0.00485,0.00630,0.70962,-0.38072,-0.00067,-0.32448,0.01092,0.01382,0.70701,-0.38062,0.01213,-0.00208,0.01025,-0.00162,0.01070,2.05864,7.70305,2.12966,-11.95321,2.80765,1.09951,-1.30214,1.25172,4.61364,-12.48473,4.75052,4.57726,-4.25960,-1.07360,0.33503,-0.90795,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00027,-0.00021,0.75233,1.00000,-0.00069,-0.00055,-0.00179,0.03515,0.00015,0.68489,0.68452,0.00129,0.00007,2,0.03488,0.00129,0.034873,-0.00100,-1.2279,-0.0007,-0.2710,-0.1190,-0.0824,2.3888,-1.0310,1,0.08500,0.03000,0.1092,0.0473,0.013494,0.113383,-89.2370,-90.4968,150.1577,7.1862,-8.0605,164.8823,79.9634,86.8653,151.1683,-2.8734,3.6004,162.2986,-0.000040,-0.030002,150.0002,-0.018021,-0.004667,164.8823,0.085003,-0.030002,150.0002,-0.003830,-0.027453,162.2986,-0.32636,0.00671,0.00876,0.70998,-0.38148,-0.00050,-0.32515,0.01308,0.01687,0.70718,-0.38010,0.01412,-0.00311,0.01173,-0.00235,0.01229,2.05864,7.70305,2.12966,-11.95321,2.80765,1.09951,-1.30214,1.25172,4.61364,-12.48473,4.75052,4.57726,-4.25960,-1.07360,0.33503,-0.90795,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00029,-0.00019,0.75232,0.99999,-0.00086,-0.00045,-0.00317,0.03517,0.00016,0.68488,0.68452,0.00138,0.00007,2,0.03493,0.00138,0.034862,-0.00276,-0.9870,-0.0007,-0.3325,-0.0750,-0.0037,2.7595,-1.3007,1,0.08500,0.03000,0.1165,0.0622,0.013118,0.113375,-89.1869,-90.6234,150.1111,8.1496,-8.3479,166.9273,77.8035,88.5969,151.3680,-2.8624,5.3514,162.6755,0.085003,-0.030002,150.0002,-0.018402,-0.004661,166.9273,-0.067425,-0.030002,150.0002,-0.004021,-0.027458,162.6755,-0.32623,0.00889,0.01163,0.71033,-0.38239,-0.00035,-0.32600,0.01537,0.02013,0.70744,-0.37971,0.01613,-0.00428,0.01309,-0.00313,0.01378,2.05864,7.70305,2.12966,-11.95321,2.80765,1.09951,-1.30214,1.25172,4.61364,-12.48473,4.75052,4.57726,-4.25960,-1.07360,0.33503,-0.90795,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
