t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00013,0.00000,0.75201,1.00000,-0.00001,-0.00088,0.00005,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0.00183,0.034277,0.01505,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,1,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,-0.0000,0.0000,0.0000,-8.9380,-0.6137,173.2324,0.0000,-0.0000,0.0000,-8.9347,0.6301,173.0819,0.000000,0.000000,0.0000,0.025531,-0.000134,173.2324,-0.084922,-0.029263,0.0000,0.025547,0.000147,173.0819,-0.32385,0.00001,-0.00010,0.70605,-0.38079,-0.00002,-0.32379,-0.00007,-0.00007,0.70601,-0.38080,0.00003,0.00093,0.00050,0.00106,0.00059,0.21748,0.06018,-0.07995,0.06629,-0.00039,0.00244,-0.30527,0.05608,-0.08475,0.00076,-0.01488,0.00244,-2.94497,-1.93728,-1.89624,-1.56055,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00025,0.00000,0.75183,1.00000,-0.00002,-0.00085,0.00011,0.03512,0.00007,0.68456,0.68452,0.00176,0.00007,2,0.03435,0.00176,0.034351,0.01445,-1.3237,-0.0001,0.5055,-0.0023,0.4469,0.1837,-0.8185,1,0.08500,0.03000,0.4847,0.4836,-0.009889,0.118674,5.6755,-5.6789,9.4664,19.3075,-0.2794,66.3958,5.5754,5.5787,9.2994,19.1605,0.2892,66.0405,-0.077511,0.004391,9.4646,-0.041213,0.000144,66.3958,-0.078900,-0.030000,9.2976,-0.041055,-0.000116,66.0405,-0.32520,-0.00004,-0.00023,0.70835,-0.38170,-0.00002,-0.32507,-0.00012,-0.00019,0.70826,-0.38174,0.00005,-0.00004,-0.00041,0.00030,-0.00018,2.96151,3.02547,-1.77089,0.35282,-0.10987,0.15619,2.99171,-2.82192,1.64718,0.34082,-0.11729,0.08268,-1.66765,-0.58195,-1.79547,-0.62607,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00038,0.00000,0.75152,1.00000,-0.00003,-0.00084,0.00018,0.03511,0.00008,0.68445,0.68452,0.00171,0.00007,2,0.03442,0.00171,0.034423,0.01441,-1.3935,-0.0001,-0.0625,-0.0005,2.6201,0.1949,0.4164,1,0.08500,0.03000,0.5343,0.5324,-0.011619,0.119086,-20.9342,-20.9257,34.8696,24.1824,-5.8665,77.6221,18.9159,20.8742,54.1944,23.9729,5.7297,77.1544,-0.085000,0.025038,34.8754,-0.042938,0.000554,77.6221,-0.085000,0.030000,54.1895,-0.042952,-0.003459,77.1544,-0.32711,0.00002,-0.00025,0.71183,-0.38334,-0.00012,-0.32687,-0.00013,-0.00027,0.71165,-0.38335,-0.00005,-0.00143,-0.00177,-0.00090,-0.00143,-12.63673,11.56543,-4.45272,-12.42518,-2.71823,-0.14071,12.19972,-11.59057,9.45009,-2.35914,-1.59080,-2.35618,-3.40273,-2.39435,-3.61173,-2.42208,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00052,-0.00000,0.75114,1.00000,-0.00004,-0.00079,0.00025,0.03513,0.00008,0.68424,0.68452,0.00167,0.00007,2,0.03448,0.00167,0.034487,0.01188,-1.5053,-0.0002,-0.4670,-0.0467,3.9540,0.2270,-0.2158,1,0.08500,0.03000,0.2906,0.5767,-0.020468,0.125172,-7.8598,-0.8369,67.4399,-2.3846,-18.3084,105.8760,-7.8054,-0.7722,66.8620,36.2227,21.6412,121.9470,-0.053356,0.010403,67.4421,-0.051783,0.006632,105.8760,-0.053673,0.011300,66.8638,-0.057480,0.012330,121.9470,-0.32936,0.00009,-0.00023,0.71589,-0.38535,-0.00028,-0.32901,-0.00014,-0.00033,0.71562,-0.38530,-0.00021,-0.00297,-0.00316,-0.00229,-0.00273,-1.58438,-0.39155,0.03633,-11.16830,-1.42525,-0.67270,-1.62826,-0.13617,-0.00323,-11.10109,-1.43594,-0.72878,-0.75153,-0.42306,-0.89064,-0.44626,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00065,-0.00001,0.75072,1.00000,-0.00005,-0.00071,0.00031,0.03517,0.00008,0.68397,0.68452,0.00157,0.00007,2,0.03453,0.00157,0.034539,0.00961,-1.4053,-0.0003,-0.7215,-0.0165,4.7861,0.1350,-0.6550,1,0.08500,0.03000,0.1264,0.1304,-0.013491,0.123768,-12.1737,-0.3423,81.4647,10.0874,-1.9231,135.4542,-12.1507,-0.2546,81.1415,10.6216,-0.4019,135.8071,-0.021971,0.002999,81.4694,-0.044801,0.005216,135.4542,-0.022002,0.003914,81.1447,-0.044886,0.005285,135.8071,-0.33174,0.00012,-0.00025,0.72012,-0.38743,-0.00040,-0.33132,-0.00016,-0.00040,0.71982,-0.38739,-0.00034,-0.00447,-0.00411,-0.00366,-0.00362,-1.12204,-0.26409,0.02747,-11.85755,0.69306,-0.23220,-1.13827,0.03707,-0.01228,-11.82251,0.68614,-0.30820,-1.06734,-0.65509,-1.15879,-0.67552,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00078,-0.00001,0.75029,1.00000,-0.00005,-0.00062,0.00036,0.03522,0.00008,0.68366,0.68452,0.00142,0.00007,2,0.03457,0.00142,0.034581,0.00762,-1.3065,-0.0003,-0.8812,0.0005,5.2880,0.0776,-1.0309,1,0.08500,0.03000,0.0687,0.0704,0.002696,0.120364,-14.8798,-0.0621,89.9379,6.0499,-1.2070,149.7311,-14.8732,0.0395,89.7643,6.3380,-0.0337,150.0008,-0.005646,-0.000199,89.9449,-0.028612,0.001797,149.7311,-0.005630,0.000751,89.7690,-0.028634,0.002063,150.0008,-0.33417,0.00012,-0.00029,0.72439,-0.38951,-0.00047,-0.33370,-0.00019,-0.00046,0.72407,-0.38949,-0.00040,-0.00594,-0.00475,-0.00502,-0.00420,-0.74815,-0.19178,0.02030,-12.14487,2.15614,0.02065,-0.74972,0.13706,-0.02004,-12.12825,2.15217,-0.06771,-1.25479,-0.80240,-1.31745,-0.82043,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00090,-0.00001,0.74985,1.00000,-0.00005,-0.00051,0.00040,0.03527,0.00008,0.68334,0.68452,0.00124,0.00007,2,0.03460,0.00124,0.034614,0.00595,-1.2138,-0.0004,-0.9821,0.0093,5.5940,0.0429,-1.3575,1,0.08500,0.03000,0.0383,0.0390,0.012209,0.118690,-16.5917,0.0827,95.1219,3.5565,-0.7680,158.2232,-16.5930,0.1928,95.0281,3.7012,0.2038,158.4185,0.004387,-0.001648,95.1306,-0.019095,0.000113,158.2232,0.004411,-0.000673,95.0341,-0.019078,0.000478,158.4185,-0.33661,0.00010,-0.00033,0.72861,-0.39153,-0.00048,-0.33610,-0.00022,-0.00052,0.72829,-0.39156,-0.00041,-0.00737,-0.00517,-0.00637,-0.00458,-0.44238,-0.15382,0.01578,-12.22324,3.18817,0.15472,-0.43716,0.19180,-0.02537,-12.21630,3.18637,0.05865,-1.36687,-0.89755,-1.41161,-0.91345,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00102,-0.00001,0.74940,1.00000,-0.00005,-0.00039,0.00043,0.03534,0.00008,0.68301,0.68452,0.00102,0.00007,2,0.03463,0.00102,0.034639,0.00458,-1.1316,-0.0004,-1.0468,0.0128,5.7829,0.0231,-1.6436,1,0.08500,0.03000,0.0211,0.0214,0.018375,0.117867,-17.6883,0.1416,98.3388,2.0088,-0.5015,163.2938,-17.6929,0.2570,98.2786,2.0730,0.3518,163.4223,0.011211,-0.002211,98.3485,-0.012926,-0.000716,163.2938,0.011240,-0.001221,98.2855,-0.012886,-0.000298,163.4223,-0.33903,0.00008,-0.00037,0.73273,-0.39348,-0.00045,-0.33850,-0.00025,-0.00056,0.73243,-0.39356,-0.00038,-0.00876,-0.00543,-0.00769,-0.00481,-0.18822,-0.13721,0.01401,-12.19461,3.93693,0.21344,-0.18090,0.21860,-0.02808,-12.19181,3.93665,0.11254,-1.43395,-0.96003,-1.46699,-0.97401,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00114,-0.00001,0.74897,1.00000,-0.00005,-0.00025,0.00046,0.03540,0.00008,0.68268,0.68452,0.00077,0.00007,2,0.03465,0.00077,0.034658,0.00348,-1.0617,-0.0004,-1.0887,0.0131,5.9015,0.0127,-1.8951,1,0.08500,0.03000,0.0110,0.0115,0.022667,0.117515,-18.4004,0.1480,100.3775,1.0373,-0.3468,166.3119,-18.4057,0.2667,100.3216,1.0585,0.4360,166.3795,0.016162,-0.002295,100.3876,-0.008632,-0.001073,166.3119,0.016199,-0.001295,100.3291,-0.008579,-0.000624,166.3795,-0.34142,0.00006,-0.00041,0.73676,-0.39537,-0.00039,-0.34088,-0.00028,-0.00059,0.73646,-0.39548,-0.00032,-0.01012,-0.00559,-0.00900,-0.00494,0.02567,-0.13348,0.01450,-12.11697,4.49518,0.22598,0.03237,0.22858,-0.02860,-12.11489,4.49591,0.12201,-1.47404,-1.00178,-1.49900,-1.01403,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00125,-0.00001,0.74853,1.00000,-0.00005,-0.00011,0.00048,0.03546,0.00008,0.68234,0.68452,0.00050,0.00007,2,0.03466,0.00050,0.034673,0.00262,-1.0039,-0.0005,-1.1161,0.0116,5.9783,0.0081,-2.1158,1,0.08500,0.03000,0.0049,0.0063,0.025813,0.117430,-18.8687,0.1251,101.7119,0.4191,-0.2654,168.0938,-18.8736,0.2458,101.6435,0.4195,0.4746,168.1062,0.019901,-0.002125,101.7220,-0.005485,-0.001161,168.0938,0.019953,-0.001119,101.6512,-0.005424,-0.000693,168.1062,-0.34379,0.00003,-0.00044,0.74067,-0.39717,-0.00031,-0.34323,-0.00030,-0.00061,0.74040,-0.39734,-0.00024,-0.01146,-0.00567,-0.01029,-0.00500,0.20714,-0.13696,0.01653,-12.02338,4.92133,0.21237,0.21180,0.22896,-0.02763,-12.02008,4.92270,0.10640,-1.49794,-1.03023,-1.51697,-1.04094,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
