t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00007,0.00000,0.75203,1.00000,-0.00000,-0.00092,0.00001,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0.034232,0.01504,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,1,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,0.0000,-0.0000,0.0000,-8.9380,-0.6137,173.2324,0.0000,-0.0000,0.0000,-8.9347,0.6301,173.0819,0.000000,0.000000,0.0000,0.025531,-0.000134,173.2324,0.000000,0.000000,0.0000,0.025547,0.000147,173.0819,-0.32335,0.00003,-0.00003,0.70543,-0.38065,-0.00002,-0.32334,-0.00004,-0.00000,0.70542,-0.38065,0.00002,0.00131,0.00109,0.00134,0.00111,0.21232,0.05613,-0.07571,0.05690,0.00091,0.00230,-0.28103,0.05294,-0.07944,-0.00491,-0.01278,0.00230,-2.36918,-1.53485,-1.38397,-1.18132,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00012,0.00000,0.75201,1.00000,-0.00000,-0.00087,0.00002,0.03514,0.00007,0.68455,0.68452,0.00183,0.00007,2,0.03426,0.00183,0.034262,0.01499,-1.2508,-0.0000,0.7723,-0.0021,-0.9913,0.0710,0.1843,1,0.08500,0.03000,0.5052,0.5048,-0.011662,0.118670,0.0000,-0.0000,0.0000,19.5874,-0.2852,64.6233,0.0000,-0.0000,0.0000,19.5278,0.2834,64.4807,0.000000,0.000000,0.0000,-0.042985,0.000139,64.6233,0.000000,0.000000,0.0000,-0.042925,-0.000125,64.4807,-0.32375,0.00002,-0.00006,0.70584,-0.38072,-0.00002,-0.32372,-0.00005,-0.00002,0.70582,-0.38072,0.00003,0.00086,0.00006,0.00092,0.00011,-0.25165,0.00047,0.01569,0.21044,-0.04680,-0.00033,-0.27688,-0.02475,-0.01403,0.20804,-0.04765,-0.00033,-15.18484,-10.87756,-15.04945,-10.83326,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00019,0.00000,0.75196,1.00000,-0.00001,-0.00081,0.00003,0.03512,0.00007,0.68456,0.68452,0.00174,0.00007,2,0.03429,0.00174,0.034292,0.01490,-1.2953,-0.0001,0.5946,-0.0022,-0.0329,0.0677,-1.9530,1,0.08500,0.03000,0.4871,0.4867,-0.010336,0.118666,2.4623,-2.4638,4.1071,19.3647,-0.2840,66.2607,2.3781,2.3796,3.9667,19.3065,0.2893,66.1223,-0.085000,-0.029999,4.1063,-0.041661,0.000135,66.2607,-0.085000,-0.030000,3.9659,-0.041599,-0.000126,66.1223,-0.32434,0.00002,-0.00008,0.70657,-0.38093,-0.00002,-0.32430,-0.00006,-0.00005,0.70654,-0.38094,0.00003,0.00010,-0.00119,0.00021,-0.00112,1.55515,1.48247,-0.76630,0.19835,-0.07723,0.20910,1.44133,-1.32163,0.47092,0.18128,-0.07573,0.03538,-6.00725,-1.81008,-5.92704,-1.75469,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00027,0.00000,0.75189,1.00000,-0.00001,-0.00075,0.00005,0.03511,0.00007,0.68454,0.68452,0.00163,0.00007,2,0.03432,0.00163,0.034321,0.01472,-1.3360,-0.0001,0.3957,-0.0014,0.8818,0.0961,-2.0126,1,0.08500,0.03000,0.5072,0.5055,-0.011659,0.116983,4.4989,-8.4909,14.1557,21.5345,-2.7203,71.3290,9.3350,8.4241,15.5697,21.3887,2.5693,71.0268,-0.085000,0.030000,14.1543,-0.042983,-0.001548,71.3290,-0.085000,-0.007835,15.5668,-0.042847,-0.001661,71.0268,-0.32508,0.00001,-0.00010,0.70757,-0.38127,-0.00003,-0.32502,-0.00008,-0.00008,0.70753,-0.38129,0.00003,-0.00086,-0.00274,-0.00071,-0.00265,1.91022,4.65780,-1.73685,-0.79372,-0.48645,-0.12754,4.89181,-4.93471,1.78214,0.57183,-0.30598,-0.17295,-6.97611,-5.21810,-7.34579,-5.23891,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00035,0.00000,0.75178,1.00000,-0.00001,-0.00070,0.00006,0.03511,0.00008,0.68451,0.68452,0.00151,0.00007,2,0.03435,0.00151,0.034351,0.01465,-1.3685,-0.0001,0.1589,-0.0010,1.6937,0.0824,-2.0133,1,0.08500,0.03000,0.4964,0.5753,-0.015527,0.123235,1.2056,-16.9958,29.0031,23.0753,-8.0982,82.1062,4.7605,16.9347,28.2285,27.6108,8.0021,83.2792,-0.085000,0.030000,29.0029,-0.046850,0.004703,82.1062,-0.085000,-0.030000,28.2273,-0.047185,-0.001209,83.2792,-0.32592,0.00002,-0.00011,0.70879,-0.38175,-0.00005,-0.32585,-0.00011,-0.00013,0.70874,-0.38178,0.00005,-0.00194,-0.00451,-0.00175,-0.00439,0.45490,9.29659,-3.46631,-4.22968,-1.33237,-0.27531,2.76297,-9.27697,3.48495,-2.93127,-1.10847,0.25405,-4.27785,-3.18381,-4.51338,-3.20142,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00043,0.00000,0.75166,1.00000,-0.00001,-0.00064,0.00008,0.03511,0.00008,0.68445,0.68452,0.00140,0.00007,2,0.03438,0.00140,0.034381,0.01530,-1.4092,-0.0001,-0.0392,-0.0010,2.3707,0.0737,-1.9774,1,0.08500,0.03000,0.4179,0.4697,-0.020040,0.126081,-0.8590,23.7528,40.4668,19.3644,-15.0886,97.9065,0.1949,-23.8208,39.7056,22.7724,15.0797,96.9194,-0.085000,0.030000,40.4672,-0.051359,0.007548,97.9065,-0.085000,-0.030000,39.7056,-0.050994,-0.007424,96.9194,-0.32683,-0.00001,-0.00016,0.71018,-0.38237,-0.00010,-0.32674,-0.00011,-0.00014,0.71013,-0.38241,0.00010,-0.00308,-0.00629,-0.00286,-0.00615,-0.25974,-15.31731,6.06810,-6.72446,-1.95608,-2.04539,0.44796,15.31123,-6.10994,-6.25310,-1.86324,2.02486,-1.99726,-1.47048,-2.11875,-1.48544,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00051,0.00000,0.75152,1.00000,-0.00001,-0.00059,0.00009,0.03511,0.00008,0.68438,0.68452,0.00129,0.00007,2,0.03441,0.00129,0.034413,0.01651,-1.5097,-0.0002,-0.2014,-0.0008,2.9243,0.0660,-1.9337,1,0.08500,0.03000,0.3699,0.3837,-0.021294,0.130170,-3.0091,29.6530,49.4304,16.6122,18.3058,111.3688,-3.1554,-29.7187,49.5248,17.6158,-18.3464,110.4924,-0.085000,0.030000,49.4329,-0.052609,0.011638,111.3688,-0.085000,-0.027591,49.5273,-0.052355,-0.011527,110.4924,-0.32779,-0.00010,-0.00029,0.71171,-0.38313,-0.00018,-0.32769,-0.00004,-0.00005,0.71165,-0.38318,0.00018,-0.00422,-0.00791,-0.00396,-0.00775,-1.12090,-19.06163,7.61143,-8.85621,-2.46977,-2.52075,-1.21441,18.99954,-7.56518,-8.91801,-2.48186,2.40656,-0.08601,-0.03853,-0.11143,-0.05144,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00059,0.00000,0.75138,1.00000,-0.00001,-0.00054,0.00010,0.03512,0.00008,0.68430,0.68452,0.00118,0.00007,2,0.03444,0.00118,0.034444,0.01517,-1.6579,-0.0002,-0.3364,-0.0011,3.3740,0.0599,-1.9047,1,0.08500,0.03000,0.3570,0.3558,-0.021951,0.131723,-5.3979,-0.0603,57.2367,14.1188,22.0445,122.2054,-5.4131,-0.0128,57.0044,13.9980,-22.0155,122.2217,-0.063354,0.000346,57.2388,-0.053262,0.013196,122.2054,-0.063586,0.001055,57.0066,-0.053282,-0.012355,122.2217,-0.32878,-0.00019,-0.00043,0.71331,-0.38394,-0.00025,-0.32866,0.00003,0.00004,0.71325,-0.38400,0.00024,-0.00534,-0.00934,-0.00505,-0.00915,-1.22262,-0.11479,0.04960,-9.64999,-1.71785,-0.01735,-1.22282,0.10732,0.01194,-9.63377,-1.72489,-0.06000,0.04631,0.05236,0.03594,0.04034,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00066,0.00000,0.75122,1.00000,-0.00002,-0.00049,0.00011,0.03513,0.00008,0.68421,0.68452,0.00107,0.00007,2,0.03447,0.00107,0.034473,0.01390,-1.5999,-0.0002,-0.4627,-0.0009,3.8017,0.0541,-1.8691,1,0.08500,0.03000,0.1748,0.1751,-0.018037,0.118449,-7.5747,-0.0615,64.5203,13.0514,1.2919,125.0496,-7.5888,-0.0034,64.2912,13.0346,-1.3354,124.7466,-0.044323,0.000160,64.5240,-0.049340,-0.000072,125.0496,-0.044454,0.000930,64.2949,-0.049408,0.000683,124.7466,-0.32978,-0.00026,-0.00054,0.71496,-0.38477,-0.00031,-0.32966,0.00009,0.00012,0.71490,-0.38484,0.00030,-0.00643,-0.01059,-0.00610,-0.01039,-1.08201,-0.12430,0.04623,-10.14707,-0.78606,-0.00758,-1.08267,0.11941,0.01065,-10.13086,-0.79273,-0.06026,-0.13634,-0.08744,-0.14592,-0.09880,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00074,-0.00000,0.75106,1.00000,-0.00002,-0.00043,0.00012,0.03515,0.00008,0.68411,0.68452,0.00097,0.00007,2,0.03450,0.00097,0.034498,0.01271,-1.5438,-0.0003,-0.5692,-0.0007,4.1610,0.0489,-1.8471,1,0.08500,0.03000,0.1372,0.1373,-0.009460,0.118468,-9.4098,-0.0614,70.6421,10.8684,0.9493,132.5439,-9.4229,0.0056,70.4163,10.8506,-0.9947,132.2513,-0.031080,0.000025,70.6474,-0.040757,-0.000045,132.5439,-0.031153,0.000828,70.4216,-0.040800,0.000553,132.2513,-0.33080,-0.00033,-0.00063,0.71665,-0.38561,-0.00035,-0.33067,0.00014,0.00018,0.71658,-0.38568,0.00033,-0.00749,-0.01169,-0.00714,-0.01147,-0.95251,-0.13194,0.04320,-10.55151,0.01664,0.00129,-0.95358,0.12970,0.00933,-10.53534,0.01032,-0.05938,-0.29355,-0.20770,-0.30236,-0.21844,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
