t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00013,0.00000,0.75201,1.00000,-0.00001,-0.00089,0.00004,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0.00183,0.034277,0.01505,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,1,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,0.0000,-0.0000,0.0000,-8.9380,-0.6137,173.2324,0.0000,-0.0000,0.0000,-8.9347,0.6301,173.0819,0.000000,0.000000,0.0000,0.025531,-0.000134,173.2324,0.000000,0.000000,0.0000,0.025547,0.000147,173.0819,-0.32382,0.00001,-0.00010,0.70603,-0.38078,-0.00002,-0.32377,-0.00007,-0.00007,0.70600,-0.38080,0.00003,0.00099,0.00065,0.00111,0.00075,0.21232,0.05613,-0.07571,0.05690,0.00091,0.00230,-0.28103,0.05294,-0.07944,-0.00491,-0.01278,0.00230,-2.36918,-1.53485,-1.38397,-1.18132,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00027,0.00000,0.75182,1.00000,-0.00002,-0.00081,0.00011,0.03512,0.00007,0.68456,0.68452,0.00177,0.00007,2,0.03435,0.00177,0.034351,0.01439,-1.3246,-0.0001,0.5055,-0.0022,0.4475,0.1729,-0.6649,1,0.08500,0.03000,0.4851,0.4840,-0.009893,0.118674,5.5322,-5.5354,9.2273,19.3036,-0.2797,66.3301,5.7288,5.4384,9.5553,19.1646,0.2883,65.9947,-0.085000,0.030000,9.2255,-0.041217,0.000143,66.3301,-0.085000,-0.003974,9.5534,-0.041068,-0.000116,65.9947,-0.32540,-0.00005,-0.00022,0.70846,-0.38171,-0.00004,-0.32528,-0.00013,-0.00020,0.70840,-0.38176,0.00004,-0.00028,-0.00170,0.00004,-0.00148,2.72376,2.79740,-1.56738,0.34533,-0.19192,-0.08313,2.77902,-3.21523,1.19256,0.35418,-0.20027,-0.15248,-6.17161,-4.53358,-6.53297,-4.56898,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00044,0.00000,0.75149,1.00000,-0.00002,-0.00071,0.00017,0.03511,0.00008,0.68445,0.68452,0.00161,0.00007,2,0.03443,0.00161,0.034426,0.01557,-1.3886,-0.0001,-0.0614,-0.0006,2.6162,0.1166,-1.0828,1,0.08500,0.03000,0.5286,0.5291,-0.012322,0.121951,-1.7307,-26.4404,44.8174,24.0163,-5.6696,77.8052,0.0106,26.3625,43.9480,24.0849,5.5818,77.8856,-0.085000,0.030000,44.8179,-0.043642,0.003420,77.8052,-0.085000,-0.030000,43.9483,-0.043667,-0.000480,77.8856,-0.32762,0.00008,-0.00012,0.71216,-0.38349,-0.00019,-0.32744,-0.00036,-0.00052,0.71206,-0.38357,0.00019,-0.00220,-0.00503,-0.00172,-0.00471,-0.72182,14.44715,-5.42492,-7.69159,-2.20515,-0.41924,0.46808,-14.41709,5.45734,-6.97313,-2.07026,0.39566,-2.66778,-1.80826,-2.82539,-1.83592,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00060,0.00000,0.75109,1.00000,-0.00003,-0.00062,0.00022,0.03513,0.00008,0.68424,0.68452,0.00143,0.00007,2,0.03449,0.00143,0.034495,0.01256,-1.6034,-0.0002,-0.4617,-0.0024,3.8979,0.0886,-1.2513,1,0.08500,0.03000,0.3830,0.4027,-0.021820,0.127623,-7.6164,-0.1032,66.2277,15.9295,-21.5428,116.6001,-7.6359,-0.0386,65.9835,17.5418,21.6569,115.3321,-0.050395,0.000617,66.2306,-0.053127,0.009077,116.6001,-0.050588,0.001400,65.9863,-0.052927,-0.009007,115.3321,-0.33008,0.00025,0.00005,0.71639,-0.38564,-0.00037,-0.32985,-0.00061,-0.00086,0.71627,-0.38574,0.00035,-0.00424,-0.00780,-0.00362,-0.00740,-1.36649,-0.13855,0.05782,-10.75176,-1.19971,-0.03722,-1.35939,0.11606,0.01564,-10.73685,-1.20891,-0.09125,-0.45706,-0.18024,-0.49504,-0.20306,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00075,0.00000,0.75066,1.00000,-0.00003,-0.00051,0.00026,0.03517,0.00008,0.68397,0.68452,0.00123,0.00007,2,0.03455,0.00123,0.034549,0.00995,-1.4719,-0.0003,-0.7220,-0.0005,4.7631,0.0631,-1.3411,1,0.08500,0.03000,0.1341,0.1334,-0.012127,0.119390,-12.0823,-0.0805,80.9493,10.6060,-2.1230,134.4154,-12.0991,0.0104,80.7279,10.5548,1.9672,134.1037,-0.020070,-0.000076,80.9561,-0.043425,0.000825,134.4154,-0.020120,0.000823,80.7346,-0.043457,0.000140,134.1037,-0.33261,0.00034,0.00014,0.72077,-0.38781,-0.00047,-0.33235,-0.00077,-0.00108,0.72064,-0.38793,0.00044,-0.00621,-0.00976,-0.00548,-0.00929,-0.99113,-0.15264,0.05096,-11.63424,0.84320,0.00927,-0.98524,0.15371,0.00468,-11.62068,0.83576,-0.06716,-0.79982,-0.46205,-0.83114,-0.48179,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00090,0.00000,0.75021,1.00000,-0.00003,-0.00041,0.00029,0.03522,0.00008,0.68367,0.68452,0.00103,0.00007,2,0.03459,0.00103,0.034592,0.00773,-1.3496,-0.0003,-0.8838,0.0008,5.2830,0.0446,-1.4747,1,0.08500,0.03000,0.0720,0.0714,0.003577,0.118906,-14.8587,-0.0611,89.8109,6.2906,-1.4103,149.2779,-14.8729,0.0459,89.6068,6.2465,1.3044,149.0084,-0.004664,-0.000452,89.8210,-0.027714,0.000318,149.2779,-0.004661,0.000517,89.6167,-0.027707,0.000093,149.0084,-0.33515,0.00038,0.00018,0.72514,-0.38993,-0.00052,-0.33485,-0.00087,-0.00123,0.72501,-0.39007,0.00048,-0.00810,-0.01113,-0.00728,-0.01061,-0.67832,-0.16016,0.04545,-12.04792,2.24203,0.04320,-0.67384,0.17784,-0.00400,-12.03520,2.23610,-0.04841,-1.01547,-0.64625,-1.04132,-0.66336,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00104,0.00000,0.74976,1.00000,-0.00003,-0.00029,0.00031,0.03527,0.00008,0.68334,0.68452,0.00081,0.00007,2,0.03462,0.00081,0.034625,0.00590,-1.2398,-0.0004,-0.9850,0.0017,5.5981,0.0314,-1.6355,1,0.08500,0.03000,0.0399,0.0394,0.012666,0.118621,-16.5991,-0.0469,95.1970,3.6522,-0.9783,158.0935,-16.6110,0.0699,95.0049,3.6169,0.9166,157.8565,0.004735,-0.000673,95.2094,-0.018618,0.000018,158.0935,0.004765,0.000342,95.0170,-0.018597,0.000046,157.8565,-0.33766,0.00040,0.00020,0.72944,-0.39197,-0.00052,-0.33734,-0.00094,-0.00132,0.72930,-0.39213,0.00049,-0.00991,-0.01208,-0.00901,-0.01152,-0.41370,-0.16435,0.04117,-12.20550,3.22517,0.06624,-0.41071,0.19281,-0.01065,-12.19317,3.22049,-0.03537,-1.15470,-0.76915,-1.17604,-0.78399,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00117,0.00000,0.74931,1.00000,-0.00003,-0.00016,0.00033,0.03534,0.00007,0.68301,0.68452,0.00058,0.00007,2,0.03465,0.00058,0.034649,0.00444,-1.1453,-0.0004,-1.0493,0.0021,5.7910,0.0222,-1.8101,1,0.08500,0.03000,0.0220,0.0217,0.018521,0.118446,-17.7041,-0.0383,98.5062,2.0326,-0.7142,163.3297,-17.7139,0.0845,98.3213,2.0058,0.6889,163.1157,0.011151,-0.000798,98.5198,-0.012758,-0.000168,163.3297,0.011199,0.000248,98.3346,-0.012731,0.000014,163.1157,-0.34013,0.00041,0.00020,0.73363,-0.39393,-0.00050,-0.33980,-0.00098,-0.00138,0.73349,-0.39410,0.00048,-0.01164,-0.01273,-0.01068,-0.01214,-0.18591,-0.16707,0.03804,-12.22372,3.93972,0.08041,-0.18443,0.20159,-0.01558,-12.21142,3.93604,-0.02775,-1.24685,-0.85281,-1.26443,-0.86571,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00129,0.00000,0.74886,1.00000,-0.00003,-0.00003,0.00035,0.03540,0.00007,0.68268,0.68452,0.00033,0.00007,2,0.03467,0.00033,0.034668,0.00329,-1.0668,-0.0004,-1.0905,0.0023,5.9109,0.0159,-1.9881,1,0.08500,0.03000,0.0117,0.0115,0.022604,0.118339,-18.4155,-0.0346,100.5754,1.0284,-0.5518,166.4203,-18.4235,0.0917,100.3940,1.0093,0.5540,166.2213,0.015858,-0.000857,100.5893,-0.008673,-0.000282,166.4203,0.015919,0.000212,100.4076,-0.008643,-0.000000,166.2213,-0.34255,0.00041,0.00019,0.73770,-0.39580,-0.00046,-0.34221,-0.00101,-0.00142,0.73756,-0.39599,0.00046,-0.01329,-0.01317,-0.01228,-0.01254,0.01225,-0.16927,0.03588,-12.17140,4.47590,0.08776,0.01226,0.20626,-0.01916,-12.15882,4.47300,-0.02473,-1.30957,-0.91101,-1.32398,-0.92223,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00142,0.00000,0.74843,1.00000,-0.00003,0.00011,0.00036,0.03546,0.00007,0.68235,0.68452,0.00006,0.00007,2,0.03468,0.00006,0.034681,0.00240,-1.0035,-0.0005,-1.1174,0.0022,5.9876,0.0118,-2.1619,1,0.08500,0.03000,0.0060,0.0060,0.025621,0.118278,-18.8798,-0.0348,101.9080,0.3977,-0.4521,168.2224,-18.8862,0.0936,101.7271,0.3854,0.4727,168.0324,0.019469,-0.000871,101.9215,-0.005653,-0.000348,168.2224,0.019540,0.000214,101.7404,-0.005622,0.000003,168.0324,-0.34493,0.00040,0.00018,0.74165,-0.39760,-0.00041,-0.34458,-0.00103,-0.00144,0.74151,-0.39780,0.00043,-0.01486,-0.01344,-0.01382,-0.01279,0.18546,-0.17137,0.03454,-12.08925,4.88930,0.09021,0.18405,0.20827,-0.02172,-12.07620,4.88699,-0.02518,-1.35364,-0.95243,-1.36537,-0.96221,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
