t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00013,0.00000,0.75201,1.00000,-0.00001,-0.00088,0.00004,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0.00183,0.034277,0.01505,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,1,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,-0.0000,0.0000,0.0000,-8.9380,-0.6137,173.2324,0.0000,-0.0000,0.0000,-8.9347,0.6301,173.0819,0.000000,0.000000,0.0000,0.025531,-0.000134,173.2324,-0.084666,-0.030615,0.0000,0.025547,0.000147,173.0819,-0.32383,0.00001,-0.00008,0.70604,-0.38079,-0.00002,-0.32379,-0.00006,-0.00005,0.70601,-0.38080,0.00003,0.00096,0.00057,0.00107,0.00064,0.15705,0.04587,-0.06006,0.05558,-0.00155,0.00185,-0.23796,0.04210,-0.06448,0.00604,-0.01250,0.00185,-2.62241,-1.75095,-1.82623,-1.46475,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00027,0.00000,0.75182,1.00000,-0.00001,-0.00080,0.00009,0.03512,0.00007,0.68456,0.68452,0.00177,0.00007,2,0.03435,0.00177,0.034351,0.01439,-1.3244,-0.0001,0.5055,-0.0022,0.4471,0.1392,-0.7631,1,0.08500,0.03000,0.4847,0.4839,-0.009873,0.118671,5.5565,-5.5598,9.2680,19.2897,-0.2808,66.3328,5.6983,5.4668,9.5044,19.1781,0.2877,66.0629,-0.085000,0.030000,9.2662,-0.041197,0.000140,66.3328,-0.085000,-0.008034,9.5025,-0.041077,-0.000119,66.0629,-0.32543,-0.00003,-0.00018,0.70848,-0.38172,-0.00004,-0.32533,-0.00011,-0.00016,0.70843,-0.38176,0.00004,-0.00034,-0.00190,-0.00008,-0.00172,2.74065,2.80922,-1.57525,0.34634,-0.19244,-0.08351,2.76088,-3.19669,1.18417,0.35093,-0.19915,-0.11510,-6.11136,-4.48764,-6.45270,-4.51731,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00044,0.00000,0.75148,1.00000,-0.00002,-0.00070,0.00014,0.03511,0.00008,0.68445,0.68452,0.00160,0.00007,2,0.03443,0.00160,0.034426,0.01556,-1.3887,-0.0001,-0.0613,-0.0005,2.6153,0.0930,-1.1492,1,0.08500,0.03000,0.5287,0.5288,-0.012330,0.121962,-1.6655,-26.4650,44.7179,24.0297,-5.6946,77.8442,-0.0345,26.3995,44.0029,24.0672,5.6007,77.8833,-0.085000,0.030000,44.7183,-0.043650,0.003430,77.8442,-0.085000,-0.030000,44.0032,-0.043650,-0.000943,77.8833,-0.32766,0.00010,-0.00006,0.71219,-0.38350,-0.00020,-0.32751,-0.00033,-0.00046,0.71211,-0.38357,0.00019,-0.00229,-0.00531,-0.00190,-0.00505,-0.67378,14.46142,-5.43935,-7.65436,-2.19671,-0.41538,0.43028,-14.43709,5.46465,-6.99810,-2.07545,0.39602,-2.63538,-1.78477,-2.77656,-1.80749,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00061,0.00000,0.75108,1.00000,-0.00002,-0.00060,0.00018,0.03513,0.00008,0.68424,0.68452,0.00141,0.00007,2,0.03449,0.00141,0.034495,0.01256,-1.6029,-0.0002,-0.4619,-0.0020,3.8969,0.0712,-1.2966,1,0.08500,0.03000,0.3843,0.4023,-0.021794,0.127611,-7.6117,-0.0924,66.2021,15.9862,-21.5808,116.4863,-7.6311,-0.0279,65.9644,17.5043,21.6781,115.4367,-0.050260,0.000436,66.2049,-0.053101,0.009066,116.4863,-0.050437,0.001217,65.9673,-0.052932,-0.009010,115.4367,-0.33013,0.00028,0.00012,0.71642,-0.38565,-0.00037,-0.32994,-0.00058,-0.00079,0.71633,-0.38574,0.00036,-0.00436,-0.00813,-0.00386,-0.00780,-1.35578,-0.13194,0.05674,-10.73847,-1.19019,-0.02556,-1.35090,0.12260,0.01456,-10.72371,-1.19853,-0.07956,-0.44189,-0.17026,-0.46519,-0.18862,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00076,0.00000,0.75065,1.00000,-0.00002,-0.00050,0.00021,0.03517,0.00008,0.68397,0.68452,0.00121,0.00007,2,0.03455,0.00121,0.034549,0.00995,-1.4717,-0.0003,-0.7223,-0.0005,4.7623,0.0514,-1.3717,1,0.08500,0.03000,0.1341,0.1336,-0.012053,0.119304,-12.0822,-0.0769,80.9303,10.6059,-2.1099,134.3932,-12.0988,0.0141,80.7106,10.5635,1.9843,134.1015,-0.019971,-0.000126,80.9371,-0.043352,0.000739,134.3932,-0.020013,0.000773,80.7172,-0.043385,0.000050,134.1015,-0.33266,0.00037,0.00022,0.72080,-0.38782,-0.00047,-0.33244,-0.00073,-0.00100,0.72070,-0.38793,0.00045,-0.00635,-0.01012,-0.00576,-0.00974,-0.98383,-0.14956,0.05097,-11.62478,0.85092,0.01318,-0.98021,0.15674,0.00470,-11.61088,0.84402,-0.06325,-0.78612,-0.45377,-0.80493,-0.46962,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00091,0.00000,0.75020,1.00000,-0.00002,-0.00039,0.00024,0.03522,0.00008,0.68367,0.68452,0.00100,0.00007,2,0.03459,0.00100,0.034592,0.00774,-1.3497,-0.0003,-0.8840,0.0006,5.2824,0.0369,-1.4950,1,0.08500,0.03000,0.0719,0.0714,0.003634,0.118878,-14.8602,-0.0623,89.7982,6.2862,-1.4025,149.2601,-14.8743,0.0448,89.5923,6.2491,1.3147,149.0014,-0.004599,-0.000437,89.8083,-0.027656,0.000291,149.2601,-0.004592,0.000533,89.6022,-0.027654,0.000063,149.0014,-0.33520,0.00042,0.00027,0.72519,-0.38995,-0.00052,-0.33496,-0.00083,-0.00114,0.72508,-0.39007,0.00049,-0.00827,-0.01151,-0.00760,-0.01109,-0.67363,-0.15940,0.04628,-12.04204,2.24735,0.04187,-0.67131,0.17856,-0.00318,-12.02869,2.24170,-0.04973,-1.00332,-0.63931,-1.01844,-0.65303,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00105,0.00000,0.74975,1.00000,-0.00003,-0.00027,0.00026,0.03528,0.00008,0.68335,0.68452,0.00078,0.00007,2,0.03462,0.00078,0.034625,0.00591,-1.2400,-0.0004,-0.9853,0.0013,5.5977,0.0265,-1.6486,1,0.08500,0.03000,0.0398,0.0394,0.012705,0.118627,-16.6006,-0.0511,95.1898,3.6466,-0.9747,158.0804,-16.6125,0.0657,94.9937,3.6164,0.9218,157.8475,0.004770,-0.000624,95.2021,-0.018579,0.000024,158.0804,0.004803,0.000392,95.0058,-0.018562,0.000050,157.8475,-0.33772,0.00045,0.00029,0.72949,-0.39199,-0.00052,-0.33746,-0.00089,-0.00123,0.72938,-0.39213,0.00050,-0.01010,-0.01249,-0.00937,-0.01203,-0.41095,-0.16506,0.04258,-12.20263,3.22815,0.06168,-0.40992,0.19208,-0.00926,-12.18951,3.22352,-0.03994,-1.14407,-0.76329,-1.15613,-0.77517,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00118,0.00000,0.74930,1.00000,-0.00003,-0.00015,0.00028,0.03534,0.00007,0.68301,0.68452,0.00055,0.00007,2,0.03465,0.00055,0.034649,0.00444,-1.1455,-0.0004,-1.0494,0.0017,5.7908,0.0191,-1.8183,1,0.08500,0.03000,0.0219,0.0217,0.018544,0.118470,-17.7050,-0.0440,98.5033,2.0273,-0.7137,163.3208,-17.7149,0.0788,98.3133,2.0039,0.6903,163.1064,0.011163,-0.000732,98.5168,-0.012735,-0.000143,163.3208,0.011212,0.000314,98.3266,-0.012712,0.000038,163.1064,-0.34019,0.00046,0.00029,0.73368,-0.39395,-0.00050,-0.33992,-0.00094,-0.00128,0.73357,-0.39410,0.00048,-0.01184,-0.01315,-0.01107,-0.01266,-0.18454,-0.16862,0.03979,-12.22320,3.94072,0.07413,-0.18476,0.20003,-0.01384,-12.21005,3.93690,-0.03404,-1.23762,-0.84782,-1.24714,-0.85813,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00131,0.00000,0.74886,1.00000,-0.00003,-0.00002,0.00029,0.03540,0.00007,0.68268,0.68452,0.00030,0.00007,2,0.03467,0.00030,0.034668,0.00329,-1.0671,-0.0004,-1.0906,0.0018,5.9109,0.0141,-1.9930,1,0.08500,0.03000,0.0117,0.0115,0.022614,0.118373,-18.4156,-0.0408,100.5757,1.0241,-0.5535,166.4148,-18.4238,0.0855,100.3887,1.0070,0.5528,166.2126,0.015852,-0.000786,100.5896,-0.008663,-0.000247,166.4148,0.015914,0.000282,100.4023,-0.008636,0.000034,166.2126,-0.34261,0.00046,0.00029,0.73775,-0.39582,-0.00046,-0.34233,-0.00096,-0.00132,0.73764,-0.39598,0.00046,-0.01350,-0.01359,-0.01270,-0.01308,0.01270,-0.17123,0.03781,-12.17257,4.47540,0.08088,0.01126,0.20430,-0.01726,-12.15917,4.47222,-0.03161,-1.30160,-0.90672,-1.30900,-0.91568,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00143,0.00000,0.74842,1.00000,-0.00003,0.00012,0.00030,0.03546,0.00007,0.68235,0.68452,0.00005,0.00007,2,0.03468,0.00005,0.034681,0.00240,-1.0037,-0.0005,-1.1174,0.0018,5.9877,0.0108,-2.1647,1,0.08500,0.03000,0.0060,0.0060,0.025621,0.118316,-18.8791,-0.0407,101.9106,0.3947,-0.4551,168.2195,-18.8859,0.0878,101.7242,0.3831,0.4700,168.0247,0.019452,-0.000803,101.9241,-0.005653,-0.000310,168.2195,0.019523,0.000282,101.7375,-0.005625,0.000041,168.0247,-0.34499,0.00045,0.00029,0.74170,-0.39762,-0.00042,-0.34470,-0.00098,-0.00134,0.74159,-0.39779,0.00043,-0.01509,-0.01387,-0.01425,-0.01335,0.18534,-0.17345,0.03651,-12.09154,4.88777,0.08349,0.18274,0.20619,-0.01979,-12.07773,4.88506,-0.03191,-1.34679,-0.94872,-1.35241,-0.95651,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
