t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00013,0.00000,0.75201,1.00000,-0.00000,-0.00089,0.00002,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0.00183,0.034277,0.01507,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,1,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,-0.0000,0.0000,0.0000,-8.9380,-0.6137,173.2324,0.0000,-0.0000,0.0000,-8.9347,0.6301,173.0819,0.000000,0.000000,0.0000,0.025531,-0.000134,173.2324,0.000000,0.000000,0.0000,0.025547,0.000147,173.0819,-0.32379,0.00003,-0.00005,0.70601,-0.38079,-0.00002,-0.32376,-0.00005,-0.00002,0.70600,-0.38079,0.00003,0.00106,0.00078,0.00111,0.00082,0.06784,0.02279,-0.02885,0.03332,-0.00220,0.00090,-0.12449,0.02018,-0.03190,0.00918,-0.00753,0.00090,-1.72955,-1.18198,-1.33761,-1.04087,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00023,0.00000,0.75184,1.00000,-0.00001,-0.00089,0.00004,0.03512,0.00007,0.68456,0.68452,0.00178,0.00007,2,0.03435,0.00178,0.034351,0.01448,-1.3260,-0.0001,0.5054,-0.0022,0.4478,0.0684,-0.5680,1,0.08500,0.03000,0.4850,0.4846,-0.009854,0.118666,5.6748,-5.6781,9.4652,19.2616,-0.2829,66.1941,5.5931,5.5965,9.3290,19.2062,0.2852,66.0599,-0.030031,0.006076,9.4634,-0.041177,0.000135,66.1941,-0.030048,-0.030000,9.3272,-0.041119,-0.000124,66.0599,-0.32502,0.00001,-0.00010,0.70824,-0.38170,-0.00003,-0.32497,-0.00006,-0.00006,0.70820,-0.38171,0.00005,0.00044,0.00029,0.00057,0.00037,3.31373,3.02297,-1.75809,0.78562,0.33713,0.14046,3.32842,-2.82009,1.65725,0.77759,0.33472,0.08317,-0.91794,-0.41971,-0.96928,-0.44033,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00035,-0.00000,0.75154,1.00000,-0.00002,-0.00089,0.00009,0.03511,0.00008,0.68445,0.68452,0.00177,0.00007,2,0.03442,0.00177,0.034428,0.01598,-1.3962,-0.0001,-0.0636,-0.0006,2.6226,0.0978,0.8500,1,0.08500,0.03000,0.5353,0.5340,-0.005822,0.119276,-20.9821,-26.7764,44.6208,24.1567,-5.8642,77.3990,18.8827,26.7439,44.5781,24.0360,5.7439,77.1351,-0.085000,-0.027230,44.6265,-0.037142,0.000744,77.3990,-0.085000,0.030000,44.5732,-0.037130,-0.003475,77.1351,-0.32683,0.00018,0.00006,0.71170,-0.38349,0.00004,-0.32668,-0.00006,-0.00010,0.71154,-0.38331,-0.00004,-0.00057,-0.00079,-0.00036,-0.00066,-13.17107,16.85962,-6.80439,-14.01092,-3.20828,2.15243,12.69667,-14.84702,10.68289,-0.81122,-1.11218,-2.27316,-3.75157,-2.59050,-3.91345,-2.60180,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00047,-0.00001,0.75116,1.00000,-0.00003,-0.00085,0.00014,0.03513,0.00008,0.68424,0.68452,0.00178,0.00007,2,0.03448,0.00178,0.034498,0.01270,-1.6391,-0.0002,-0.4646,-0.0623,3.9339,0.2168,0.0911,1,0.08500,0.03000,0.3208,0.6708,-0.021625,0.107487,-7.8682,-1.0796,67.1724,-2.7470,-22.4144,117.3057,-7.7670,-1.0149,66.4853,36.2346,27.0680,112.3797,-0.054866,0.013646,67.1756,-0.052944,-0.011059,117.3057,-0.055178,0.014594,66.4869,-0.055191,0.011051,112.3797,-0.32901,0.00038,0.00024,0.71576,-0.38566,0.00006,-0.32876,-0.00007,-0.00017,0.71548,-0.38526,-0.00020,-0.00180,-0.00199,-0.00152,-0.00182,-1.65353,-0.48405,-0.00238,-11.23180,-1.52111,-0.87976,-1.73236,-0.22862,-0.04270,-11.13986,-1.52862,-0.93505,-0.85759,-0.47002,-1.00977,-0.47831,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00060,-0.00002,0.75075,1.00000,-0.00003,-0.00079,0.00020,0.03517,0.00008,0.68397,0.68452,0.00171,0.00007,2,0.03453,0.00171,0.034552,0.00993,-1.4875,-0.0003,-0.7180,-0.0217,4.7849,0.1100,-0.4206,1,0.08500,0.03000,0.1285,0.1310,-0.014375,0.125305,-12.1444,-0.4177,81.4773,10.0314,-2.6335,134.5240,-12.1002,-0.3289,81.1231,10.6250,-0.4270,135.3228,-0.023451,0.003799,81.4847,-0.045682,0.006738,134.5240,-0.023448,0.004733,81.1260,-0.045573,0.006750,135.3228,-0.33134,0.00047,0.00032,0.71999,-0.38782,-0.00000,-0.33102,-0.00009,-0.00024,0.71966,-0.38734,-0.00034,-0.00303,-0.00279,-0.00270,-0.00260,-1.19386,-0.29737,0.00791,-11.96574,0.57617,-0.29596,-1.22749,0.00602,-0.03409,-11.92018,0.57092,-0.37193,-1.18164,-0.69976,-1.26135,-0.70719,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00072,-0.00002,0.75031,1.00000,-0.00003,-0.00070,0.00024,0.03522,0.00008,0.68366,0.68452,0.00158,0.00007,2,0.03457,0.00158,0.034595,0.00763,-1.3529,-0.0003,-0.8777,0.0002,5.2950,0.0486,-0.8522,1,0.08500,0.03000,0.0699,0.0707,0.001811,0.120738,-14.8391,-0.0623,90.0690,6.0627,-1.5542,149.2842,-14.8257,0.0412,89.9023,6.3617,-0.0064,149.9072,-0.006971,-0.000238,90.0801,-0.029495,0.002146,149.2842,-0.006932,0.000739,89.9066,-0.029384,0.002458,149.9072,-0.33373,0.00051,0.00033,0.72424,-0.38993,-0.00006,-0.33336,-0.00013,-0.00031,0.72389,-0.38945,-0.00042,-0.00426,-0.00331,-0.00389,-0.00311,-0.81327,-0.19638,0.01341,-12.25909,2.04523,0.02263,-0.82269,0.13605,-0.03004,-12.23930,2.04200,-0.06666,-1.36633,-0.84329,-1.40483,-0.84998,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00083,-0.00002,0.74987,1.00000,-0.00003,-0.00060,0.00028,0.03527,0.00008,0.68334,0.68452,0.00141,0.00007,2,0.03460,0.00141,0.034627,0.00578,-1.2364,-0.0004,-0.9793,0.0109,5.6035,0.0151,-1.2218,1,0.08500,0.03000,0.0392,0.0393,0.011404,0.118623,-16.5539,0.1117,95.2843,3.6029,-0.9268,158.0435,-16.5561,0.2241,95.2141,3.7325,0.2508,158.5114,0.003303,-0.001971,95.2979,-0.019900,0.000012,158.0435,0.003340,-0.000961,95.2196,-0.019777,0.000461,158.5114,-0.33613,0.00052,0.00032,0.72843,-0.39195,-0.00010,-0.33573,-0.00016,-0.00036,0.72809,-0.39152,-0.00043,-0.00550,-0.00364,-0.00510,-0.00342,-0.49697,-0.14579,0.01716,-12.32430,3.09586,0.18301,-0.49454,0.20418,-0.02759,-12.31789,3.09427,0.08518,-1.47024,-0.93416,-1.48536,-0.94013,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00095,-0.00003,0.74943,1.00000,-0.00003,-0.00048,0.00032,0.03534,0.00008,0.68301,0.68452,0.00120,0.00007,2,0.03463,0.00120,0.034651,0.00432,-1.1389,-0.0004,-1.0448,0.0149,5.7919,-0.0014,-1.5411,1,0.08500,0.03000,0.0219,0.0218,0.017703,0.117648,-17.6603,0.1773,98.4893,2.0667,-0.5636,163.2521,-17.6697,0.2952,98.4586,2.1042,0.4030,163.5872,0.010394,-0.002594,98.5043,-0.013599,-0.000975,163.2521,0.010430,-0.001561,98.4652,-0.013470,-0.000461,163.5872,-0.33853,0.00052,0.00029,0.73253,-0.39388,-0.00011,-0.33811,-0.00019,-0.00041,0.73221,-0.39353,-0.00039,-0.00674,-0.00384,-0.00631,-0.00361,-0.23152,-0.12492,0.02069,-12.27485,3.86742,0.24841,-0.22450,0.23564,-0.02527,-12.27428,3.86705,0.14507,-1.52688,-0.99239,-1.52879,-0.99766,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00106,-0.00003,0.74900,1.00000,-0.00003,-0.00035,0.00035,0.03540,0.00008,0.68267,0.68452,0.00096,0.00007,2,0.03465,0.00096,0.034669,0.00318,-1.0597,-0.0004,-1.0876,0.0151,5.9089,-0.0077,-1.8180,1,0.08500,0.03000,0.0115,0.0119,0.022145,0.117269,-18.3840,0.1800,100.4986,1.0938,-0.3614,166.3339,-18.3961,0.3012,100.4729,1.0846,0.4837,166.5562,0.015596,-0.002644,100.5138,-0.009155,-0.001363,166.3339,0.015637,-0.001597,100.4801,-0.009026,-0.000817,166.5562,-0.34091,0.00050,0.00026,0.73653,-0.39572,-0.00009,-0.34047,-0.00023,-0.00045,0.73624,-0.39547,-0.00033,-0.00797,-0.00394,-0.00752,-0.00370,-0.00732,-0.12110,0.02447,-12.17535,4.44767,0.25846,0.00019,0.24589,-0.02263,-12.17619,4.44817,0.15153,-1.55607,-1.03019,-1.55051,-1.03478,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00117,-0.00003,0.74857,1.00000,-0.00003,-0.00021,0.00037,0.03546,0.00008,0.68234,0.68452,0.00070,0.00007,2,0.03467,0.00070,0.034682,0.00232,-0.9968,-0.0005,-1.1158,0.0133,5.9839,-0.0084,-2.0580,1,0.08500,0.03000,0.0053,0.0067,0.025435,0.117211,-18.8633,0.1493,101.7995,0.4679,-0.2592,168.1388,-18.8754,0.2727,101.7598,0.4379,0.5153,168.2661,0.019548,-0.002408,101.8143,-0.005863,-0.001427,168.1388,0.019601,-0.001353,101.7673,-0.005737,-0.000867,168.2661,-0.34325,0.00048,0.00023,0.74042,-0.39749,-0.00006,-0.34280,-0.00025,-0.00048,0.74016,-0.39732,-0.00025,-0.00919,-0.00398,-0.00873,-0.00373,0.18271,-0.12634,0.02843,-12.06223,4.89259,0.23883,0.18854,0.24459,-0.01980,-12.06202,4.89368,0.12949,-1.56952,-1.05511,-1.55975,-1.05906,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
