t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00008,0.00000,0.75210,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0.00183,0.034276,0.01446,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32320,0.00004,-0.00002,0.70515,-0.38049,-0.00002,-0.32319,-0.00003,0.00001,0.70514,-0.38049,0.00002,0.00129,0.00116,0.00129,0.00116,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68462,0.68452,0.00187,0.00007,2,0.03434,0.00187,0.034345,0.01330,-1.2740,-0.0001,0.5549,-0.0015,-1.3685,-0.0003,0.5621,0,0.08500,0.03000,0.2061,0.2063,-0.049564,0.118236,9.4704,-0.1173,144.1791,17.4846,-0.1851,141.4164,9.4689,0.0667,143.9620,17.4807,0.1282,141.1977,-0.048390,-0.000399,144.1752,-0.080885,-0.000295,141.4164,-0.048449,0.000621,143.9581,-0.080996,0.000619,141.1977,-0.32325,0.00004,-0.00002,0.70518,-0.38049,-0.00001,-0.32324,-0.00003,0.00002,0.70517,-0.38049,0.00001,0.00117,0.00113,0.00117,0.00113,-0.78347,-0.19165,0.10976,-13.74377,-1.55551,0.06161,-0.78980,0.18729,-0.10772,-13.72590,-1.56132,-0.09185,-1.33070,-0.94494,-1.33113,-0.94496,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00014,0.00000,0.75221,1.00000,-0.00000,-0.00093,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00188,0.00007,2,0.03441,0.00188,0.034407,0.01186,-1.2918,-0.0001,0.2994,-0.0010,-1.0002,-0.0001,0.3601,0,0.08500,0.03000,0.1226,0.1227,-0.016398,0.118167,5.1109,-0.1137,150.4626,11.0938,-0.1530,150.8644,5.1092,0.0796,150.2487,11.0925,0.1092,150.6482,-0.028234,-0.000450,150.4604,-0.047716,-0.000364,150.8644,-0.028262,0.000581,150.2465,-0.047772,0.000569,150.6482,-0.32336,0.00004,-0.00002,0.70534,-0.38057,-0.00001,-0.32336,-0.00003,0.00002,0.70533,-0.38057,-0.00001,0.00105,0.00110,0.00105,0.00110,-0.16971,-0.20177,0.10627,-12.88050,1.16458,0.07159,-0.17570,0.19928,-0.10480,-12.86295,1.15878,-0.09000,-1.37804,-1.01982,-1.37826,-1.01982,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00016,0.00000,0.75224,1.00000,-0.00000,-0.00091,-0.00000,0.03508,0.00008,0.68474,0.68452,0.00186,0.00007,2,0.03446,0.00186,0.034461,0.01028,-1.2754,-0.0002,0.1401,-0.0007,-0.7659,0.0000,0.1917,0,0.08500,0.03000,0.0728,0.0729,0.002652,0.118119,2.3923,-0.1108,154.4605,6.8466,-0.1501,156.7817,2.3907,0.0883,154.2487,6.8452,0.1203,156.5689,-0.016287,-0.000479,154.4594,-0.028660,-0.000412,156.7817,-0.016298,0.000557,154.2476,-0.028688,0.000535,156.5689,-0.32352,0.00004,-0.00002,0.70555,-0.38068,-0.00000,-0.32352,-0.00003,0.00002,0.70554,-0.38068,-0.00002,0.00091,0.00108,0.00091,0.00108,0.23748,-0.20806,0.10429,-12.31646,2.89761,0.07780,0.23168,0.20663,-0.10310,-12.29911,2.89182,-0.08880,-1.40309,-1.06596,-1.40315,-1.06595,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00017,0.00000,0.75227,1.00000,-0.00000,-0.00089,-0.00000,0.03508,0.00008,0.68478,0.68452,0.00183,0.00007,2,0.03451,0.00183,0.034508,0.00869,-1.2359,-0.0003,0.0417,-0.0004,-0.6142,0.0001,0.0534,0,0.08500,0.03000,0.0434,0.0435,0.014035,0.118091,0.7123,-0.1086,157.0486,4.1793,-0.1477,160.4814,0.7106,0.0941,156.8381,4.1779,0.1276,160.2709,-0.008938,-0.000497,157.0482,-0.017274,-0.000441,160.4814,-0.008939,0.000544,156.8378,-0.017286,0.000515,160.2709,-0.32369,0.00004,-0.00002,0.70576,-0.38076,0.00001,-0.32369,-0.00003,0.00002,0.70576,-0.38076,-0.00003,0.00076,0.00106,0.00076,0.00106,0.51527,-0.21198,0.10330,-11.93564,4.01604,0.08162,0.50957,0.21110,-0.10222,-11.91841,4.01026,-0.08807,-1.41335,-1.09384,-1.41328,-1.09382,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00018,0.00000,0.75229,1.00000,-0.00000,-0.00086,-0.00000,0.03508,0.00008,0.68481,0.68452,0.00178,0.00007,2,0.03455,0.00178,0.034547,0.00718,-1.1828,-0.0003,-0.0184,-0.0003,-0.5141,0.0002,-0.0587,0,0.08500,0.03000,0.0257,0.0258,0.021090,0.118073,-0.3133,-0.1070,158.7565,2.5104,-0.1457,162.8298,-0.3150,0.0981,158.5468,2.5090,0.1325,162.6207,-0.004281,-0.000508,158.7566,-0.010215,-0.000458,162.8298,-0.004276,0.000536,158.5469,-0.010218,0.000503,162.6207,-0.32386,0.00003,-0.00002,0.70595,-0.38082,0.00002,-0.32386,-0.00003,0.00002,0.70595,-0.38082,-0.00004,0.00059,0.00104,0.00059,0.00104,0.71073,-0.21441,0.10291,-11.66807,4.74983,0.08394,0.70509,0.21379,-0.10186,-11.65091,4.74405,-0.08767,-1.41414,-1.11019,-1.41399,-1.11016,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00019,0.00000,0.75230,1.00000,-0.00000,-0.00083,0.00000,0.03508,0.00008,0.68483,0.68452,0.00172,0.00007,2,0.03458,0.00172,0.034579,0.00583,-1.1241,-0.0003,-0.0545,-0.0002,-0.4469,0.0003,-0.1486,0,0.08500,0.03000,0.0150,0.0150,0.025596,0.118063,-0.9286,-0.1059,159.9037,1.4732,-0.1443,164.3484,-0.9303,0.1007,159.6944,1.4720,0.1358,164.1404,-0.001246,-0.000514,159.9041,-0.005707,-0.000468,164.3484,-0.001238,0.000532,159.6948,-0.005704,0.000497,164.1404,-0.32403,0.00003,-0.00002,0.70610,-0.38084,0.00003,-0.32402,-0.00003,0.00002,0.70610,-0.38084,-0.00005,0.00041,0.00101,0.00041,0.00101,0.85264,-0.21592,0.10287,-11.47180,5.24079,0.08531,0.84705,0.21539,-0.10182,-11.45468,5.23502,-0.08747,-1.40924,-1.11929,-1.40903,-1.11926,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00020,0.00000,0.75231,1.00000,-0.00000,-0.00079,0.00000,0.03509,0.00008,0.68485,0.68452,0.00166,0.00007,2,0.03460,0.00166,0.034604,0.00466,-1.0662,-0.0004,-0.0757,-0.0001,-0.4013,0.0003,-0.2204,0,0.08500,0.03000,0.0086,0.0086,0.028550,0.118057,-1.2907,-0.1053,160.6829,0.8392,-0.1431,165.3572,-1.2924,0.1024,160.4738,0.8381,0.1379,165.1498,0.000786,-0.000518,160.6835,-0.002751,-0.000475,165.3572,0.000798,0.000530,160.4743,-0.002745,0.000493,165.1498,-0.32418,0.00003,-0.00002,0.70622,-0.38083,0.00004,-0.32417,-0.00003,0.00002,0.70621,-0.38083,-0.00006,0.00021,0.00098,0.00021,0.00098,0.95860,-0.21684,0.10302,-11.32198,5.57661,0.08609,0.95304,0.21632,-0.10197,-11.30488,5.57084,-0.08740,-1.40130,-1.12392,-1.40106,-1.12388,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00020,0.00000,0.75233,1.00000,-0.00000,-0.00075,0.00000,0.03509,0.00008,0.68487,0.68452,0.00159,0.00007,2,0.03462,0.00159,0.034625,0.00369,-1.0132,-0.0004,-0.0879,-0.0000,-0.3701,0.0003,-0.2775,0,0.08500,0.03000,0.0048,0.0048,0.030542,0.118052,-1.4994,-0.1049,161.2145,0.4545,-0.1422,166.0313,-1.5011,0.1035,161.0053,0.4534,0.1391,165.8242,0.002187,-0.000520,161.2150,-0.000758,-0.000479,166.0313,0.002200,0.000529,161.0059,-0.000750,0.000492,165.8242,-0.32432,0.00003,-0.00002,0.70629,-0.38080,0.00005,-0.32431,-0.00003,0.00002,0.70629,-0.38079,-0.00007,-0.00000,0.00094,-0.00000,0.00094,1.03953,-0.21741,0.10325,-11.20399,5.81157,0.08652,1.03398,0.21686,-0.10221,-11.18690,5.80579,-0.08738,-1.39209,-1.12584,-1.39184,-1.12580,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00021,0.00000,0.75234,1.00000,-0.00000,-0.00072,0.00000,0.03510,0.00008,0.68489,0.68452,0.00151,0.00007,2,0.03464,0.00151,0.034641,0.00288,-0.9668,-0.0004,-0.0947,-0.0000,-0.3488,0.0004,-0.3228,0,0.08500,0.03000,0.0026,0.0026,0.031923,0.118050,-1.6161,-0.1047,161.5784,0.2229,-0.1415,166.4826,-1.6178,0.1042,161.3693,0.2218,0.1398,166.2757,0.003179,-0.000522,161.5790,0.000624,-0.000482,166.4826,0.003193,0.000530,161.3698,0.000633,0.000491,166.2757,-0.32444,0.00003,-0.00002,0.70634,-0.38074,0.00006,-0.32444,-0.00003,0.00002,0.70633,-0.38074,-0.00007,-0.00022,0.00090,-0.00022,0.00090,1.10244,-0.21776,0.10351,-11.10906,5.97955,0.08674,1.09692,0.21717,-0.10249,-11.09197,5.97377,-0.08739,-1.38273,-1.12617,-1.38248,-1.12613,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
