t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00008,0.00000,0.75210,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32320,0.00004,-0.00002,0.70515,-0.38049,-0.00002,-0.32319,-0.00003,0.00001,0.70514,-0.38049,0.00002,0.00129,0.00116,0.00129,0.00116,-1.73367,-0.18116,0.11877,-15.10276,-5.84847,0.05000,-1.73991,0.17530,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24891,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68462,0.68452,0.00187,0.00007,2,0.03434,0,0.08500,0.03000,0.2061,0.2063,-0.049564,0.118236,9.4704,-0.1173,144.1791,17.4846,-0.1851,141.4164,9.4689,0.0667,143.9620,17.4807,0.1282,141.1977,-0.048390,-0.000399,144.1752,-0.080885,-0.000295,141.4164,-0.048449,0.000621,143.9581,-0.080996,0.000619,141.1977,-0.32325,0.00004,-0.00002,0.70518,-0.38049,-0.00001,-0.32324,-0.00003,0.00002,0.70517,-0.38049,0.00001,0.00117,0.00113,0.00117,0.00113,-0.78347,-0.19165,0.10976,-13.74377,-1.55551,0.06161,-0.78980,0.18728,-0.10772,-13.72590,-1.56132,-0.09185,-1.33070,-0.94494,-1.33113,-0.94496,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00014,-0.00001,0.75222,1.00000,-0.00002,-0.00093,0.00003,0.03509,0.00008,0.68469,0.68452,0.00188,0.00007,2,0.03443,0,0.08500,0.03000,0.1226,0.1227,-0.016398,0.118167,-9.7033,89.9615,149.9982,11.0938,-0.1530,150.8644,19.9237,-89.9955,150.0118,11.0925,0.1092,150.6482,-0.001590,-0.029703,150.0002,-0.047716,-0.000364,150.8644,-0.054366,0.030002,150.0002,-0.047772,0.000569,150.6482,-0.32347,0.00008,0.00017,0.70551,-0.38057,0.00066,-0.32340,0.00037,0.00033,0.70549,-0.38111,-0.00064,0.00103,0.00111,0.00105,0.00113,-5.83045,-44.81915,28.25463,-13.74193,4.37827,1.30676,5.51440,46.44781,-25.21214,-11.84858,-1.98105,-1.35051,-1.36762,-1.01522,-1.36786,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00016,-0.00003,0.75226,1.00000,-0.00006,-0.00090,0.00013,0.03508,0.00008,0.68475,0.68452,0.00185,0.00007,2,0.03455,1,0.08500,0.03000,0.8537,0.7846,0.026029,0.096220,-86.1538,86.3571,150.0200,-5.7487,83.6309,163.6510,89.9181,-89.8760,150.1241,21.7327,-75.0213,165.9160,0.085003,0.006643,150.0002,-0.005286,-0.022270,163.6510,-0.077382,-0.030002,150.0002,-0.049049,0.020608,165.9160,-0.32391,0.00019,0.00057,0.70616,-0.38068,0.00219,-0.32365,0.00140,0.00116,0.70612,-0.38260,-0.00214,0.00087,0.00110,0.00094,0.00116,-5.83045,-44.81915,28.25463,-13.74193,4.37827,1.30676,5.51440,46.44781,-25.21214,-11.84858,-1.98105,-1.35051,-1.36762,-1.01522,-1.36786,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00018,-0.00007,0.75229,1.00000,-0.00013,-0.00086,0.00030,0.03508,0.00009,0.68480,0.68452,0.00180,0.00007,2,0.03469,1,0.08500,0.03000,0.8759,0.7977,0.026550,0.095776,-90.1064,82.5283,150.1413,-6.4714,84.9529,162.1122,87.5521,-89.5910,150.3116,21.9461,-76.3663,166.0045,0.072528,-0.006957,150.0002,-0.004766,-0.022618,162.1122,-0.085003,-0.030002,150.0002,-0.048619,0.020568,166.0045,-0.32451,0.00036,0.00113,0.70705,-0.38083,0.00432,-0.32398,0.00301,0.00246,0.70700,-0.38479,-0.00430,0.00067,0.00112,0.00085,0.00123,-5.83045,-44.81915,28.25463,-13.74193,4.37827,1.30676,5.51440,46.44781,-25.21214,-11.84858,-1.98105,-1.35051,-1.36762,-1.01522,-1.36786,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00018,-0.00014,0.75229,1.00000,-0.00022,-0.00081,0.00062,0.03510,0.00011,0.68485,0.68452,0.00172,0.00007,2,0.03475,1,0.08500,0.03000,0.8739,0.8757,0.026369,0.095680,-90.1393,78.5837,150.3029,-6.2328,85.5813,163.6551,81.3250,-89.1946,150.5621,26.0626,-54.8785,115.6302,0.085003,-0.013094,150.0002,-0.004952,-0.022575,163.6551,-0.082424,-0.030002,150.0002,-0.085017,0.021193,115.6302,-0.32532,0.00053,0.00168,0.70828,-0.38103,0.00685,-0.32412,0.00555,0.00456,0.70724,-0.38429,-0.00724,0.00045,0.00112,0.00080,0.00129,-5.83045,-44.81915,28.25463,-13.74193,4.37827,1.30676,5.51440,46.44781,-25.21214,-11.84858,-1.98105,-1.35051,-1.36762,-1.01522,-1.36786,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00018,-0.00021,0.75229,1.00000,-0.00034,-0.00076,0.00105,0.03512,0.00014,0.68488,0.68452,0.00163,0.00007,2,0.03483,1,0.08500,0.03000,0.8951,0.8064,0.026965,0.095158,-90.1577,68.0164,150.4443,-7.3656,86.4393,161.5278,73.4543,-88.6728,150.6545,22.3349,-83.8082,179.2590,0.085007,-0.006154,150.0005,-0.004364,-0.022923,161.5278,-0.072725,-0.030007,150.0005,-0.044481,0.020035,179.2590,-0.32628,0.00076,0.00235,0.70972,-0.38122,0.00948,-0.32435,0.00862,0.00711,0.70781,-0.38469,-0.01057,0.00018,0.00114,0.00078,0.00135,-5.83045,-44.81915,28.25463,-13.74193,4.37827,1.30676,5.51440,46.44781,-25.21214,-11.84858,-1.98105,-1.35051,-1.36762,-1.01522,-1.36786,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00017,-0.00031,0.75227,1.00000,-0.00048,-0.00070,0.00160,0.03516,0.00018,0.68490,0.68452,0.00152,0.00007,2,0.03493,1,0.08500,0.03000,0.9383,0.8202,0.027370,0.090442,-90.1929,65.5093,150.6179,-8.5451,88.5161,157.9511,67.4570,-88.1010,150.8216,22.0004,-82.8989,174.2944,0.085007,-0.016022,150.0005,-0.003989,-0.027423,157.9511,-0.058338,-0.030007,150.0005,-0.044403,0.020370,174.2944,-0.32736,0.00113,0.00324,0.71131,-0.38130,0.01146,-0.32461,0.01218,0.01004,0.70857,-0.38540,-0.01422,-0.00012,0.00117,0.00079,0.00143,-5.83045,-44.81915,28.25463,-13.74193,4.37827,1.30676,5.51440,46.44781,-25.21214,-11.84858,-1.98105,-1.35051,-1.36762,-1.01522,-1.36786,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00015,-0.00042,0.75223,1.00000,-0.00065,-0.00063,0.00234,0.03521,0.00022,0.68490,0.68452,0.00139,0.00007,2,0.03497,1,0.08500,0.03000,0.9257,0.8895,0.026950,0.090166,-90.1807,55.8289,150.6810,-7.9405,88.8829,160.6603,60.6199,-87.5324,151.0059,24.0728,-56.5956,115.2405,0.085007,-0.019729,150.0005,-0.004427,-0.027418,160.6603,-0.017972,-0.030007,150.0005,-0.085014,0.025045,115.2405,-0.32860,0.00156,0.00417,0.71313,-0.38132,0.01293,-0.32469,0.01652,0.01366,0.70901,-0.38498,-0.01733,-0.00046,0.00119,0.00086,0.00147,-5.83045,-44.81915,28.25463,-13.74193,4.37827,1.30676,5.51440,46.44781,-25.21214,-11.84858,-1.98105,-1.35051,-1.36762,-1.01522,-1.36786,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00013,-0.00055,0.75217,0.99999,-0.00085,-0.00058,0.00348,0.03527,0.00028,0.68488,0.68452,0.00130,0.00007,2,0.03503,0,0.08500,0.03000,0.9353,0.8604,0.027315,0.089824,-90.1837,52.0055,150.7645,-8.7045,88.9588,159.2830,55.0098,-87.0639,151.0669,20.3393,-87.0552,173.1743,0.085007,-0.030007,150.0006,-0.004083,-0.027433,159.2830,0.039627,-0.030007,150.0006,-0.040184,0.026370,173.1743,-0.33014,0.00264,0.00671,0.71510,-0.38081,0.01241,-0.32403,0.01990,0.01567,0.70958,-0.38298,-0.00942,-0.00104,0.00145,0.00098,0.00229,-40.25468,-14.82125,16.24718,-27.41270,13.08356,2.52207,44.52024,24.47558,-12.03254,13.44107,14.05548,7.64217,0.41274,-0.76326,-2.33691,0.57625,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
