t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1224,131.5728,-8.9380,-0.6137,173.2324,16.2324,0.0509,131.3514,-8.9347,0.6301,173.0819,-0.082902,-0.000337,131.5657,0.025531,-0.000134,173.2324,-0.083028,0.000711,131.3443,0.025547,0.000147,173.0819,-0.32323,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70525,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.62380,-0.17733,0.11798,-14.53381,-5.57147,0.04848,-1.63003,0.17176,-0.11349,-14.51558,-5.57749,-0.09496,-1.17129,-0.78920,-1.17113,-0.78922,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75208,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0,0.08500,0.03000,0.2106,0.2109,-0.048565,0.118243,13.5355,-0.1193,135.5392,17.5328,-0.1976,138.7639,13.5337,0.0561,135.3195,17.5286,0.1421,138.5458,-0.067864,-0.000359,135.5336,-0.079889,-0.000287,138.7639,-0.067960,0.000671,135.3139,-0.079999,0.000615,138.5458,-0.32321,0.00004,-0.00002,0.70518,-0.38051,-0.00002,-0.32320,-0.00003,0.00001,0.70517,-0.38050,0.00002,0.00132,0.00118,0.00132,0.00118,-1.24982,-0.18110,0.11411,-13.99728,-3.87095,0.05283,-1.25611,0.17606,-0.11085,-13.97918,-3.87688,-0.09273,-1.20529,-0.83783,-1.20544,-0.83785,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00186,0.00007,2,0.03429,0,0.08500,0.03000,0.1767,0.1770,-0.034708,0.118208,11.1971,-0.1176,138.9182,15.1169,-0.1572,142.5695,11.1953,0.0620,138.7001,15.1149,0.1056,142.3509,-0.055691,-0.000386,138.9137,-0.066032,-0.000323,142.5695,-0.055765,0.000644,138.6956,-0.066120,0.000604,142.3509,-0.32321,0.00004,-0.00002,0.70515,-0.38046,-0.00002,-0.32321,-0.00003,0.00001,0.70514,-0.38046,0.00002,0.00127,0.00116,0.00127,0.00116,-0.92936,-0.18608,0.11175,-13.53885,-2.41781,0.05775,-0.93555,0.18188,-0.10909,-13.52091,-2.42371,-0.09161,-1.23323,-0.87871,-1.23339,-0.87873,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75214,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00007,2,0.03432,0,0.08500,0.03000,0.1472,0.1474,-0.023319,0.118180,9.1981,-0.1159,141.7959,12.8819,-0.1547,145.8259,9.1963,0.0673,141.5792,12.8806,0.1079,145.6091,-0.045759,-0.000409,141.7923,-0.054642,-0.000350,145.8259,-0.045816,0.000623,141.5756,-0.054711,0.000586,145.6091,-0.32324,0.00004,-0.00002,0.70516,-0.38045,-0.00002,-0.32323,-0.00003,0.00001,0.70516,-0.38044,0.00001,0.00122,0.00114,0.00122,0.00114,-0.65356,-0.19032,0.10986,-13.14513,-1.17666,0.06201,-0.65963,0.18692,-0.10756,-13.12732,-1.18256,-0.09062,-1.25617,-0.91325,-1.25630,-0.91325,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75216,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00188,0.00007,2,0.03434,0,0.08500,0.03000,0.1227,0.1228,-0.013972,0.118159,7.4971,-0.1144,144.2530,10.9331,-0.1530,148.5691,7.4953,0.0720,144.0376,10.9317,0.1118,148.3537,-0.037588,-0.000428,144.2501,-0.045293,-0.000372,148.5691,-0.037631,0.000606,144.0346,-0.045347,0.000568,148.3537,-0.32328,0.00004,-0.00002,0.70521,-0.38045,-0.00002,-0.32327,-0.00003,0.00001,0.70520,-0.38045,0.00001,0.00118,0.00113,0.00118,0.00113,-0.41541,-0.19394,0.10830,-12.80576,-0.11567,0.06565,-0.42137,0.19119,-0.10630,-12.78808,-0.12155,-0.08977,-1.27479,-0.94241,-1.27488,-0.94241,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00014,0.00000,0.75218,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00188,0.00007,2,0.03437,0,0.08500,0.03000,0.1024,0.1025,-0.006255,0.118141,6.0511,-0.1130,146.3549,9.2682,-0.1515,150.8925,6.0493,0.0760,146.1405,9.2669,0.1152,150.6784,-0.030818,-0.000443,146.3525,-0.037575,-0.000390,150.8925,-0.030852,0.000591,146.1381,-0.037617,0.000553,150.6784,-0.32333,0.00004,-0.00002,0.70528,-0.38048,-0.00001,-0.32333,-0.00003,0.00001,0.70528,-0.38048,0.00001,0.00113,0.00112,0.00113,0.00112,-0.20923,-0.19703,0.10701,-12.51235,0.79234,0.06876,-0.21510,0.19482,-0.10526,-12.49476,0.78647,-0.08905,-1.28964,-0.96699,-1.28970,-0.96698,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00015,0.00000,0.75220,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68471,0.68451,0.00187,0.00007,2,0.03440,0,0.08500,0.03000,0.0856,0.0857,0.000159,0.118127,4.8232,-0.1117,148.1562,7.8471,-0.1501,152.8627,4.8214,0.0796,147.9428,7.8458,0.1182,152.6497,-0.025177,-0.000456,148.1543,-0.031159,-0.000405,152.8627,-0.025201,0.000580,147.9408,-0.031192,0.000541,152.6497,-0.32340,0.00004,-0.00002,0.70538,-0.38052,-0.00001,-0.32340,-0.00003,0.00001,0.70537,-0.38052,0.00000,0.00108,0.00112,0.00108,0.00112,-0.03025,-0.19967,0.10596,-12.25781,1.57037,0.07140,-0.03606,0.19789,-0.10441,-12.24031,1.56451,-0.08844,-1.30125,-0.98765,-1.30127,-0.98764,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00016,0.00000,0.75221,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68473,0.68451,0.00187,0.00007,2,0.03442,0,0.08500,0.03000,0.0716,0.0717,0.005522,0.118114,3.7817,-0.1105,149.7032,6.6351,-0.1488,154.5355,3.7799,0.0828,149.4905,6.6337,0.1208,154.3234,-0.020450,-0.000467,149.7016,-0.025795,-0.000417,154.5355,-0.020467,0.000570,149.4889,-0.025820,0.000532,154.3234,-0.32348,0.00004,-0.00002,0.70549,-0.38057,-0.00001,-0.32348,-0.00003,0.00001,0.70549,-0.38057,-0.00000,0.00104,0.00111,0.00104,0.00111,0.12556,-0.20192,0.10511,-12.03620,2.23792,0.07366,0.11980,0.20050,-0.10373,-12.01877,2.23207,-0.08793,-1.31006,-1.00497,-1.31005,-1.00496,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00017,-0.00000,0.75222,1.00000,-0.00000,-0.00092,0.00001,0.03507,0.00008,0.68474,0.68450,0.00186,0.00007,2,0.03445,0,0.08500,0.03000,0.0599,0.0600,0.010029,0.118104,-14.9064,89.9703,149.9968,5.6022,-0.1476,155.9579,20.7037,-89.9942,150.0126,5.6009,0.1231,155.7467,0.016023,-0.029750,150.0002,-0.021286,-0.000427,155.9579,-0.047410,0.030002,150.0002,-0.021305,0.000524,155.7467,-0.32361,0.00006,0.00006,0.70569,-0.38060,0.00013,-0.32356,0.00004,0.00006,0.70564,-0.38072,-0.00014,0.00099,0.00111,0.00099,0.00112,-6.52033,-44.64526,28.56564,-12.77090,6.72760,1.31341,7.11507,46.61015,-24.91233,-10.49516,-0.91572,-1.35033,-1.28903,-1.00733,-1.28902,-1.00731,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00018,-0.00001,0.75223,1.00000,-0.00001,-0.00091,0.00004,0.03507,0.00008,0.68476,0.68450,0.00184,0.00007,2,0.03448,1,0.08500,0.03000,0.7766,0.7934,0.036958,0.097696,-86.6351,88.8557,149.9815,-6.2196,81.3264,175.0368,89.9292,-89.9700,150.0574,21.9233,-74.6221,163.3858,0.065527,-0.024214,150.0002,0.005643,-0.020822,175.0368,-0.085003,-0.030001,150.0002,-0.043584,0.021196,163.3858,-0.32381,0.00011,0.00025,0.70599,-0.38059,0.00043,-0.32366,0.00020,0.00018,0.70583,-0.38101,-0.00043,0.00093,0.00112,0.00095,0.00112,-6.52033,-44.64526,28.56564,-12.77090,6.72760,1.31341,7.11507,46.61015,-24.91233,-10.49516,-0.91572,-1.35033,-1.28903,-1.00733,-1.28902,-1.00731,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
