t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0.034232,0.01478,-1.1824,0.0000,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32322,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70524,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.73367,-0.18116,0.11877,-15.10276,-5.84846,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24892,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75209,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0.034261,0.01454,-1.2294,-0.0000,0,0.08500,0.03000,0.2062,0.2064,-0.049750,0.118238,13.5458,-0.1216,138.1708,17.4781,-0.1955,141.2899,13.5440,0.0582,137.9510,17.4738,0.1405,141.0716,-0.069310,-0.000364,138.1652,-0.081073,-0.000293,141.2899,-0.069407,0.000673,137.9453,-0.081184,0.000617,141.0716,-0.32320,0.00004,-0.00002,0.70516,-0.38050,-0.00002,-0.32320,-0.00003,0.00001,0.70515,-0.38050,0.00002,0.00132,0.00117,0.00132,0.00117,-1.35750,-0.18515,0.11500,-14.56970,-4.14673,0.05447,-1.36379,0.17983,-0.11130,-14.55160,-4.15266,-0.09483,-1.28377,-0.87275,-1.28384,-0.87277,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00186,0.00007,2,0.03429,0.00186,0.034290,0.01420,-1.2574,-0.0001,0,0.08500,0.03000,0.1734,0.1736,-0.036132,0.118203,11.2125,-0.1198,141.5618,15.0917,-0.1591,145.0917,11.2107,0.0641,141.3435,15.0896,0.1076,144.8729,-0.057327,-0.000390,141.5572,-0.067455,-0.000328,145.0917,-0.057403,0.000647,141.3390,-0.067544,0.000607,144.8729,-0.32319,0.00004,-0.00002,0.70511,-0.38045,-0.00002,-0.32319,-0.00003,0.00001,0.70511,-0.38045,0.00002,0.00126,0.00115,0.00126,0.00115,-1.03484,-0.19010,0.11264,-14.11446,-2.69161,0.05938,-1.04104,0.18563,-0.10953,-14.09651,-2.69751,-0.09370,-1.31221,-0.91409,-1.31231,-0.91410,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75215,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00007,2,0.03432,0.00187,0.034317,0.01377,-1.2754,-0.0001,0,0.08500,0.03000,0.1446,0.1448,-0.024907,0.118176,9.2167,-0.1181,144.4490,12.8679,-0.1565,148.3621,9.2148,0.0694,144.2322,12.8666,0.1098,148.1452,-0.047541,-0.000412,144.4453,-0.056229,-0.000355,148.3621,-0.047599,0.000626,144.2285,-0.056300,0.000589,148.1452,-0.32320,0.00004,-0.00002,0.70510,-0.38042,-0.00002,-0.32320,-0.00003,0.00001,0.70509,-0.38042,0.00001,0.00121,0.00113,0.00121,0.00113,-0.75686,-0.19431,0.11076,-13.72361,-1.44825,0.06363,-0.76293,0.19064,-0.10801,-13.70580,-1.45414,-0.09270,-1.33564,-0.94906,-1.33571,-0.94907,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00188,0.00007,2,0.03434,0.00188,0.034344,0.01328,-1.2857,-0.0001,0,0.08500,0.03000,0.1205,0.1206,-0.015685,0.118155,7.5183,-0.1166,146.9141,10.9217,-0.1548,151.1148,7.5165,0.0741,146.6985,10.9203,0.1137,150.8993,-0.039484,-0.000430,146.9111,-0.047006,-0.000376,151.1148,-0.039530,0.000608,146.6955,-0.047062,0.000571,150.8993,-0.32323,0.00004,-0.00002,0.70511,-0.38042,-0.00002,-0.32322,-0.00003,0.00001,0.70511,-0.38042,0.00001,0.00116,0.00112,0.00116,0.00112,-0.51651,-0.19792,0.10920,-13.38682,-0.38491,0.06726,-0.52248,0.19490,-0.10675,-13.36914,-0.39080,-0.09184,-1.35473,-0.97865,-1.35476,-0.97865,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00013,0.00000,0.75220,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68470,0.68452,0.00188,0.00007,2,0.03437,0.00188,0.034370,0.01273,-1.2891,-0.0001,0,0.08500,0.03000,0.1006,0.1007,-0.008067,0.118138,6.0747,-0.1152,149.0227,9.2590,-0.1533,153.4461,6.0728,0.0781,148.8082,9.2576,0.1171,153.2318,-0.032805,-0.000445,149.0202,-0.039387,-0.000393,153.4461,-0.032841,0.000594,148.8057,-0.039431,0.000557,153.2318,-0.32326,0.00004,-0.00002,0.70515,-0.38043,-0.00001,-0.32326,-0.00003,0.00001,0.70514,-0.38043,0.00001,0.00111,0.00111,0.00111,0.00111,-0.30814,-0.20100,0.10791,-13.09575,0.52550,0.07037,-0.31402,0.19851,-0.10571,-13.07816,0.51963,-0.09112,-1.37005,-1.00364,-1.37004,-1.00363,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00014,-0.00000,0.75222,1.00000,-0.00000,-0.00093,0.00001,0.03508,0.00008,0.68472,0.68452,0.00187,0.00007,2,0.03440,0.00187,0.034399,0.01511,-1.2867,-0.0002,0,0.08500,0.03000,0.0841,0.0842,-0.001732,0.118124,-11.4061,89.9632,149.9978,7.8396,-0.1518,155.4229,21.1023,-89.9954,150.0121,7.8382,0.1200,155.2097,0.002262,-0.029709,150.0002,-0.033050,-0.000408,155.4229,-0.055646,0.030002,150.0002,-0.033085,0.000545,155.2097,-0.32333,0.00005,0.00003,0.70524,-0.38045,0.00013,-0.32331,0.00005,0.00008,0.70523,-0.38057,-0.00014,0.00105,0.00110,0.00106,0.00110,-6.32357,-44.74325,28.40003,-13.71731,4.86756,1.30765,6.12389,46.52923,-25.06962,-11.63947,-2.11011,-1.35044,-1.35852,-1.01511,-1.36304,-1.01540,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00015,-0.00001,0.75224,1.00000,-0.00001,-0.00093,0.00003,0.03508,0.00008,0.68474,0.68452,0.00187,0.00007,2,0.03444,0.00187,0.034432,0.01721,-1.5233,-0.0002,1,0.08500,0.03000,0.8289,0.7675,0.028640,0.096668,-82.8183,88.4287,149.9803,-6.3263,82.3111,165.9890,89.9335,-89.9694,150.0590,22.5814,-73.0049,165.9360,0.063753,-0.009128,150.0002,-0.002677,-0.021854,165.9890,-0.085003,-0.030002,150.0002,-0.050257,0.020394,165.9360,-0.32344,0.00008,0.00013,0.70539,-0.38046,0.00045,-0.32338,0.00026,0.00024,0.70537,-0.38087,-0.00044,0.00099,0.00109,0.00100,0.00110,-6.32357,-44.74325,28.40003,-13.71731,4.86756,1.30765,6.12389,46.52923,-25.06962,-11.63947,-2.11011,-1.35044,-1.35852,-1.01511,-1.36304,-1.01540,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00016,-0.00001,0.75225,1.00000,-0.00003,-0.00092,0.00006,0.03507,0.00008,0.68477,0.68452,0.00185,0.00007,2,0.03448,0.00185,0.034470,0.01924,-1.7440,-0.0002,1,0.08500,0.03000,0.8370,0.7750,0.028656,0.096557,-85.3752,86.8682,150.0062,-6.4898,83.0309,165.8460,89.9251,-89.9112,150.0985,22.6878,-73.8500,166.1489,0.085003,-0.006281,150.0002,-0.002661,-0.021945,165.8460,-0.081533,-0.030000,150.0002,-0.049974,0.020336,166.1489,-0.32359,0.00012,0.00027,0.70560,-0.38048,0.00091,-0.32346,0.00057,0.00049,0.70556,-0.38133,-0.00090,0.00092,0.00108,0.00096,0.00111,-6.32357,-44.74325,28.40003,-13.71731,4.86756,1.30765,6.12389,46.52923,-25.06962,-11.63947,-2.11011,-1.35044,-1.35852,-1.01511,-1.36304,-1.01540,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00017,-0.00002,0.75227,1.00000,-0.00004,-0.00090,0.00010,0.03507,0.00008,0.68479,0.68452,0.00183,0.00007,2,0.03452,0.00183,0.034511,0.02120,-1.9663,-0.0003,1,0.08500,0.03000,0.8439,0.7806,0.028685,0.096434,-87.9428,85.2840,150.0445,-6.6665,83.6284,165.6895,89.9147,-89.8234,150.1575,22.8404,-74.5043,166.3753,0.085003,-0.014246,150.0002,-0.002634,-0.022037,165.6895,-0.066279,-0.030002,150.0002,-0.049753,0.020279,166.3753,-0.32378,0.00017,0.00046,0.70587,-0.38050,0.00149,-0.32355,0.00098,0.00083,0.70580,-0.38192,-0.00149,0.00085,0.00108,0.00091,0.00112,-6.32357,-44.74325,28.40003,-13.71731,4.86756,1.30765,6.12389,46.52923,-25.06962,-11.63947,-2.11011,-1.35044,-1.35852,-1.01511,-1.36304,-1.01540,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
