t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00008,0.00000,0.75210,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32320,0.00004,-0.00002,0.70515,-0.38049,-0.00002,-0.32319,-0.00003,0.00001,0.70514,-0.38049,0.00002,0.00129,0.00116,0.00129,0.00116,-1.73367,-0.18116,0.11877,-15.10276,-5.84847,0.05000,-1.73991,0.17530,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24891,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68462,0.68452,0.00187,0.00008,2,0.03434,0,0.08500,0.03000,0.2061,0.2063,-0.049564,0.118236,9.4704,-0.1132,144.1794,17.4846,-0.1851,141.4164,9.4689,0.0709,143.9617,17.4807,0.1282,141.1977,-0.048390,-0.000422,144.1755,-0.080885,-0.000295,141.4164,-0.048449,0.000598,143.9578,-0.080996,0.000619,141.1977,-0.32325,0.00004,-0.00002,0.70518,-0.38049,-0.00001,-0.32324,-0.00003,0.00002,0.70517,-0.38049,0.00001,0.00117,0.00113,0.00117,0.00113,-0.78347,-0.19090,0.10942,-13.74380,-1.55550,0.06477,-0.78980,0.18804,-0.10806,-13.72587,-1.56133,-0.08870,-1.33068,-0.94494,-1.33114,-0.94496,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00014,-0.00001,0.75222,1.00000,-0.00001,-0.00093,0.00003,0.03509,0.00008,0.68469,0.68452,0.00188,0.00008,2,0.03443,0,0.08500,0.03000,0.1226,0.1227,-0.016398,0.118146,-6.6741,89.9921,149.9996,11.0938,-0.1496,150.8647,16.8945,-89.9956,150.0105,11.0925,0.1126,150.6479,-0.006986,-0.029860,150.0002,-0.047716,-0.000385,150.8647,-0.048970,0.030002,150.0002,-0.047772,0.000548,150.6479,-0.32346,0.00006,0.00016,0.70550,-0.38058,0.00066,-0.32339,0.00028,0.00023,0.70546,-0.38097,-0.00062,0.00104,0.00111,0.00105,0.00112,-4.67049,-44.98363,27.94305,-13.54833,3.72807,1.32922,4.35444,46.27945,-25.52224,-12.04218,-1.33084,-1.35048,-1.36758,-1.01522,-1.36789,-1.01522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00018,-0.00007,0.75228,1.00000,-0.00011,-0.00088,0.00038,0.03508,0.00008,0.68475,0.68452,0.00185,0.00008,2,0.03468,0,0.08500,0.03000,0.8575,0.8091,0.021427,0.095998,-86.0819,87.4057,150.0196,-3.1126,83.7578,162.9099,89.9214,-89.8882,150.1149,18.8288,-77.3469,163.9831,0.037618,0.024990,150.0002,-0.009887,-0.022492,162.9099,-0.085003,-0.029952,150.0002,-0.045174,0.021549,163.9831,-0.32457,0.00060,0.00107,0.70682,-0.38013,0.00049,-0.32365,0.00239,0.00247,0.70695,-0.38480,0.00107,0.00080,0.00162,0.00081,0.00172,-48.05519,-47.36203,34.20659,-33.08392,6.27166,-6.77282,46.71674,54.58381,-22.13928,6.59488,-2.88725,7.59331,0.74850,0.00955,-3.16137,-0.27130,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00021,-0.00018,0.75233,1.00000,-0.00027,-0.00083,0.00078,0.03509,0.00010,0.68484,0.68452,0.00175,0.00009,2,0.03477,0,0.08500,0.03000,0.7353,0.9150,0.036224,0.131372,7.3423,-5.2388,131.7469,-53.6682,81.3251,220.8435,-13.3876,-11.7554,134.5118,75.0021,-26.3701,144.8175,-0.042926,-0.018421,131.7511,0.004878,0.013048,220.8435,0.015448,-0.030008,134.5754,-0.085015,-0.021983,144.8175,-0.32591,0.00175,0.00258,0.70864,-0.38015,0.00014,-0.32354,0.00596,0.00679,0.70704,-0.38272,0.00706,0.00041,0.00231,0.00050,0.00252,5.71340,9.95582,1.76201,-11.36051,-0.75493,2.59549,-5.84116,-0.11509,5.07487,-13.53668,6.01007,4.43281,-4.84292,-1.23361,0.96965,-1.02011,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00023,-0.00025,0.75235,1.00000,-0.00042,-0.00077,0.00072,0.03510,0.00013,0.68491,0.68452,0.00165,0.00010,2,0.03480,1,0.08500,0.03000,0.1086,0.1606,-0.007547,0.103069,-89.4403,-90.4046,150.0922,9.4217,-1.2850,145.9288,81.6811,72.3613,150.6872,-12.0295,-9.3245,157.9204,-0.077891,-0.028813,150.0002,-0.039052,-0.014917,145.9288,0.085003,-0.030003,150.0002,0.008906,-0.026349,157.9204,-0.32675,0.00352,0.00485,0.71013,-0.38117,0.00053,-0.32359,0.00904,0.01065,0.70683,-0.38004,0.01156,-0.00013,0.00285,0.00011,0.00319,5.71340,9.95582,1.76201,-11.36051,-0.75493,2.59549,-5.84116,-0.11509,5.07487,-13.53668,6.01007,4.43281,-4.84292,-1.23361,0.96965,-1.02011,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00024,-0.00031,0.75234,1.00000,-0.00061,-0.00071,0.00018,0.03512,0.00016,0.68494,0.68452,0.00154,0.00010,2,0.03483,1,0.08500,0.03000,0.0950,0.1381,-0.006099,0.099466,83.4799,-89.4511,149.9061,8.2194,-0.4485,144.3937,-90.9043,75.0912,151.1929,-12.5902,-3.6981,158.3335,-0.085003,0.030003,150.0002,-0.037681,-0.018407,144.3937,0.064471,0.030003,150.0002,0.009075,-0.027830,158.3335,-0.32686,0.00630,0.00852,0.71063,-0.38328,0.00131,-0.32391,0.01178,0.01407,0.70682,-0.37844,0.01442,-0.00081,0.00324,-0.00034,0.00376,5.71340,9.95582,1.76201,-11.36051,-0.75493,2.59549,-5.84116,-0.11509,5.07487,-13.53668,6.01007,4.43281,-4.84292,-1.23361,0.96965,-1.02011,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00025,-0.00036,0.75231,1.00000,-0.00085,-0.00063,-0.00073,0.03513,0.00019,0.68493,0.68452,0.00141,0.00011,2,0.03487,1,0.08500,0.03000,0.4039,0.1265,-0.053337,0.100606,85.4917,-89.3011,149.9446,22.1821,14.0057,108.2463,-90.9461,75.0569,151.5750,-12.1968,-0.0915,160.6755,-0.051605,0.030003,150.0002,-0.085005,-0.016697,108.2463,0.085003,0.027219,150.0002,0.008393,-0.027824,160.6755,-0.32669,0.01009,0.01338,0.71066,-0.38348,0.00260,-0.32449,0.01443,0.01728,0.70700,-0.37757,0.01650,-0.00168,0.00352,-0.00086,0.00426,5.71340,9.95582,1.76201,-11.36051,-0.75493,2.59549,-5.84116,-0.11509,5.07487,-13.53668,6.01007,4.43281,-4.84292,-1.23361,0.96965,-1.02011,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00027,-0.00038,0.75227,1.00000,-0.00109,-0.00052,-0.00198,0.03514,0.00021,0.68491,0.68452,0.00169,0.00013,2,0.03492,1,0.08500,0.03000,0.2254,0.1419,-0.009464,0.104874,81.6717,-89.2708,149.7687,21.9293,-8.8315,174.8343,-91.0396,75.5266,151.8299,-12.6404,5.1755,160.4440,0.085003,-0.030003,150.0002,-0.041126,-0.012934,174.8343,-0.058219,-0.030003,150.0002,0.008428,-0.027835,160.4440,-0.32663,0.01406,0.01844,0.71125,-0.38480,0.00345,-0.32534,0.01705,0.02054,0.70733,-0.37715,0.01834,-0.00274,0.00376,-0.00144,0.00470,5.71340,9.95582,1.76201,-11.36051,-0.75493,2.59549,-5.84116,-0.11509,5.07487,-13.53668,6.01007,4.43281,-4.84292,-1.23361,0.96965,-1.02011,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00030,-0.00039,0.75222,0.99999,-0.00136,-0.00038,-0.00356,0.03516,0.00024,0.68488,0.68452,0.00218,0.00014,2,0.03498,1,0.08500,0.03000,0.2314,0.1514,-0.009706,0.104524,77.8494,-89.2464,149.6762,22.1377,-9.1153,172.4405,-91.1785,76.6916,152.0308,-12.6962,7.1621,160.4828,-0.064637,0.030003,150.0002,-0.041389,-0.013337,172.4405,0.085003,0.030003,150.0002,0.008198,-0.027838,160.4828,-0.32662,0.01829,0.02379,0.71224,-0.38682,0.00394,-0.32642,0.01977,0.02399,0.70778,-0.37697,0.02018,-0.00400,0.00397,-0.00207,0.00510,5.71340,9.95582,1.76201,-11.36051,-0.75493,2.59549,-5.84116,-0.11509,5.07487,-13.53668,6.01007,4.43281,-4.84292,-1.23361,0.96965,-1.02011,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
