t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00009,0.00000,0.75210,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03428,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1224,131.5728,-8.9380,-0.6137,173.2324,16.2324,0.0509,131.3514,-8.9347,0.6301,173.0819,-0.082902,-0.000337,131.5657,0.025531,-0.000134,173.2324,-0.083028,0.000711,131.3443,0.025547,0.000147,173.0819,-0.32321,0.00004,-0.00002,0.70517,-0.38050,-0.00002,-0.32321,-0.00003,0.00001,0.70517,-0.38050,0.00002,0.00130,0.00117,0.00130,0.00117,-1.62380,-0.17733,0.11798,-14.53381,-5.57147,0.04848,-1.63003,0.17176,-0.11349,-14.51558,-5.57749,-0.09496,-1.17129,-0.78920,-1.17113,-0.78922,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0050,-0.00012,0.00000,0.75216,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68462,0.68452,0.00187,0.00007,2,0.03434,0,0.08500,0.03000,0.2102,0.2105,-0.048342,0.118241,9.4481,-0.1149,141.5227,17.5238,-0.1867,138.9290,9.4467,0.0644,141.3058,17.5200,0.1293,138.7105,-0.046614,-0.000394,141.5189,-0.079664,-0.000290,138.9290,-0.046672,0.000617,141.3019,-0.079774,0.000617,138.7105,-0.32330,0.00004,-0.00002,0.70527,-0.38052,-0.00002,-0.32329,-0.00003,0.00002,0.70527,-0.38052,0.00001,0.00119,0.00114,0.00119,0.00114,-0.67929,-0.18731,0.10874,-13.16558,-1.28228,0.05980,-0.68561,0.18319,-0.10717,-13.14770,-1.28809,-0.08959,-1.25106,-0.90912,-1.25156,-0.90914,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00015,0.00000,0.75219,1.00000,-0.00000,-0.00093,-0.00000,0.03509,0.00008,0.68468,0.68452,0.00188,0.00007,2,0.03441,0,0.08500,0.03000,0.1246,0.1248,-0.014665,0.118172,5.0852,-0.1113,147.7783,11.0938,-0.1515,148.3578,5.0836,0.0774,147.5646,11.0926,0.1077,148.1417,-0.026185,-0.000447,147.7761,-0.045983,-0.000359,148.3578,-0.026211,0.000577,147.5624,-0.046037,0.000564,148.1417,-0.32347,0.00004,-0.00002,0.70554,-0.38065,-0.00001,-0.32347,-0.00003,0.00002,0.70554,-0.38065,-0.00000,0.00108,0.00113,0.00108,0.00113,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00017,0.00000,0.75220,1.00000,-0.00000,-0.00091,-0.00000,0.03508,0.00008,0.68472,0.68451,0.00186,0.00007,2,0.03446,1,0.08500,0.03000,0.0740,0.0741,0.004616,0.118123,-85.2064,89.9719,149.9652,6.8461,-0.1487,154.2471,89.9338,-89.9941,150.0440,6.8448,0.1189,154.0344,0.035826,0.030002,150.0002,-0.026698,-0.000408,154.2471,-0.085002,-0.029491,150.0002,-0.026723,0.000530,154.0344,-0.32372,0.00004,-0.00002,0.70594,-0.38085,-0.00000,-0.32372,-0.00003,0.00002,0.70594,-0.38085,-0.00002,0.00097,0.00113,0.00097,0.00113,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0200,-0.00018,0.00000,0.75219,1.00000,-0.00000,-0.00089,0.00000,0.03508,0.00008,0.68475,0.68449,0.00183,0.00007,2,0.03451,1,0.08500,0.03000,0.0730,0.0731,0.004722,0.118122,-90.0696,89.9821,149.9620,6.7614,-0.1483,154.3260,89.3691,-89.9924,150.0464,6.7599,0.1189,154.1133,0.085002,0.029764,150.0002,-0.026587,-0.000409,154.3260,-0.014946,-0.013186,150.0002,-0.026612,0.000531,154.1133,-0.32404,0.00003,-0.00002,0.70646,-0.38113,0.00001,-0.32403,-0.00003,0.00002,0.70646,-0.38113,-0.00003,0.00087,0.00115,0.00087,0.00115,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0250,-0.00018,0.00000,0.75216,1.00000,-0.00000,-0.00085,0.00000,0.03509,0.00008,0.68475,0.68448,0.00178,0.00007,2,0.03455,1,0.08500,0.03000,0.0728,0.0728,0.004806,0.118122,-90.0721,89.9924,149.9611,6.7456,-0.1487,154.5732,83.8865,-89.9907,150.0462,6.7439,0.1196,154.3604,0.085002,0.022234,150.0002,-0.026499,-0.000409,154.5732,-0.025927,-0.029729,150.0002,-0.026524,0.000531,154.3604,-0.32441,0.00003,-0.00002,0.70710,-0.38147,0.00001,-0.32441,-0.00003,0.00002,0.70709,-0.38147,-0.00004,0.00077,0.00117,0.00077,0.00117,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0300,-0.00018,0.00000,0.75211,1.00000,-0.00000,-0.00081,0.00000,0.03511,0.00008,0.68473,0.68445,0.00171,0.00007,2,0.03458,1,0.08500,0.03000,0.0729,0.0730,0.004874,0.118123,-90.0747,89.9930,149.9601,6.7766,-0.1497,154.9282,78.2999,-89.9822,150.0459,6.7750,0.1209,154.7155,0.085002,0.029507,150.0002,-0.026426,-0.000409,154.9282,-0.057024,-0.029264,150.0002,-0.026451,0.000530,154.7155,-0.32485,0.00003,-0.00003,0.70785,-0.38189,0.00002,-0.32485,-0.00003,0.00002,0.70784,-0.38189,-0.00005,0.00067,0.00121,0.00067,0.00121,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0350,-0.00017,0.00000,0.75204,1.00000,-0.00000,-0.00076,0.00000,0.03514,0.00008,0.68469,0.68443,0.00162,0.00007,2,0.03460,1,0.08500,0.03000,0.0734,0.0735,0.004930,0.118123,-90.0777,89.9919,149.9590,6.8408,-0.1509,155.3484,72.5755,-89.9702,150.0455,6.8391,0.1223,155.1359,0.085002,0.029635,150.0002,-0.026365,-0.000408,155.3484,-0.043578,-0.022109,150.0002,-0.026390,0.000529,155.1359,-0.32535,0.00003,-0.00003,0.70872,-0.38239,0.00003,-0.32535,-0.00003,0.00002,0.70872,-0.38239,-0.00006,0.00058,0.00126,0.00057,0.00126,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0400,-0.00016,0.00000,0.75194,1.00000,-0.00000,-0.00070,0.00000,0.03517,0.00007,0.68464,0.68440,0.00152,0.00007,2,0.03462,1,0.08500,0.03000,0.0740,0.0741,0.004981,0.118124,-90.0810,89.9909,149.9577,6.9180,-0.1522,155.7799,66.6927,-89.9582,150.0448,6.9162,0.1236,155.5673,0.085002,-0.009707,150.0002,-0.026308,-0.000408,155.7799,-0.008090,-0.029374,150.0002,-0.026333,0.000529,155.5673,-0.32592,0.00003,-0.00003,0.70972,-0.38296,0.00004,-0.32592,-0.00003,0.00002,0.70972,-0.38296,-0.00007,0.00049,0.00131,0.00048,0.00131,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0450,-0.00014,0.00000,0.75183,1.00000,-0.00000,-0.00064,0.00000,0.03522,0.00007,0.68457,0.68437,0.00140,0.00007,2,0.03464,1,0.08500,0.03000,0.0747,0.0747,0.005034,0.118124,-90.0845,89.9899,149.9561,6.9959,-0.1534,156.1886,60.6441,-89.9461,150.0438,6.9941,0.1249,155.9761,0.085002,0.006940,150.0002,-0.026250,-0.000408,156.1886,-0.070625,0.026153,150.0002,-0.026275,0.000528,155.9761,-0.32656,0.00003,-0.00003,0.71086,-0.38362,0.00005,-0.32655,-0.00002,0.00002,0.71085,-0.38362,-0.00008,0.00040,0.00138,0.00040,0.00138,-0.07126,-0.19757,0.10529,-12.29553,1.43099,0.06985,-0.07724,0.19533,-0.10429,-12.27798,1.42519,-0.08781,-1.29712,-0.98287,-1.29742,-0.98287,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
