t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0.034232,0.01478,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0863,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32322,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70524,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.73367,-0.18116,0.11877,-15.10276,-5.84847,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24891,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75209,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0.034261,0.01454,-1.2294,-0.0000,0.7936,-0.0019,-1.7206,-0.0004,0.7004,0,0.08500,0.03000,0.2062,0.2065,-0.049750,0.118238,13.5458,-0.1216,138.1708,17.4781,-0.1955,141.2899,13.5440,0.0582,137.9510,17.4738,0.1405,141.0716,-0.069310,-0.000364,138.1652,-0.081073,-0.000293,141.2899,-0.069407,0.000673,137.9453,-0.081184,0.000617,141.0716,-0.32320,0.00004,-0.00002,0.70516,-0.38050,-0.00002,-0.32320,-0.00003,0.00001,0.70515,-0.38050,0.00002,0.00132,0.00117,0.00132,0.00117,-1.35750,-0.18515,0.11500,-14.56970,-4.14673,0.05447,-1.36379,0.17983,-0.11130,-14.55160,-4.15266,-0.09483,-1.28377,-0.87275,-1.28384,-0.87277,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00186,0.00007,2,0.03429,0.00186,0.034290,0.01420,-1.2574,-0.0001,0.6569,-0.0016,-1.5219,-0.0003,0.6090,0,0.08500,0.03000,0.1734,0.1736,-0.036132,0.118203,11.2125,-0.1198,141.5618,15.0917,-0.1591,145.0917,11.2107,0.0641,141.3435,15.0896,0.1076,144.8729,-0.057327,-0.000390,141.5572,-0.067455,-0.000328,145.0917,-0.057403,0.000647,141.3390,-0.067544,0.000607,144.8729,-0.32319,0.00004,-0.00002,0.70511,-0.38045,-0.00002,-0.32319,-0.00003,0.00001,0.70511,-0.38045,0.00002,0.00126,0.00115,0.00126,0.00115,-1.03484,-0.19010,0.11264,-14.11446,-2.69161,0.05938,-1.04104,0.18563,-0.10953,-14.09651,-2.69751,-0.09370,-1.31221,-0.91409,-1.31231,-0.91410,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75215,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00007,2,0.03432,0.00187,0.034317,0.01377,-1.2754,-0.0001,0.5400,-0.0014,-1.3527,-0.0002,0.5234,0,0.08500,0.03000,0.1446,0.1448,-0.024907,0.118176,9.2167,-0.1181,144.4490,12.8679,-0.1565,148.3621,9.2148,0.0694,144.2322,12.8666,0.1098,148.1452,-0.047541,-0.000412,144.4453,-0.056229,-0.000355,148.3621,-0.047599,0.000626,144.2285,-0.056300,0.000589,148.1452,-0.32320,0.00004,-0.00002,0.70510,-0.38042,-0.00002,-0.32320,-0.00003,0.00001,0.70509,-0.38042,0.00001,0.00121,0.00113,0.00121,0.00113,-0.75686,-0.19431,0.11076,-13.72361,-1.44825,0.06363,-0.76293,0.19064,-0.10801,-13.70580,-1.45414,-0.09270,-1.33564,-0.94906,-1.33571,-0.94907,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00188,0.00007,2,0.03434,0.00188,0.034344,0.01328,-1.2857,-0.0001,0.4405,-0.0012,-1.2082,-0.0001,0.4437,0,0.08500,0.03000,0.1205,0.1206,-0.015685,0.118155,7.5183,-0.1166,146.9141,10.9217,-0.1548,151.1148,7.5165,0.0741,146.6985,10.9203,0.1137,150.8993,-0.039484,-0.000430,146.9111,-0.047006,-0.000376,151.1148,-0.039530,0.000608,146.6955,-0.047062,0.000571,150.8993,-0.32323,0.00004,-0.00002,0.70511,-0.38042,-0.00002,-0.32322,-0.00003,0.00001,0.70511,-0.38042,0.00001,0.00116,0.00112,0.00116,0.00112,-0.51651,-0.19792,0.10920,-13.38683,-0.38491,0.06726,-0.52248,0.19490,-0.10675,-13.36914,-0.39080,-0.09184,-1.35473,-0.97865,-1.35476,-0.97865,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00013,0.00000,0.75220,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68470,0.68452,0.00188,0.00007,2,0.03437,0.00188,0.034370,0.01273,-1.2891,-0.0001,0.3559,-0.0011,-1.0846,-0.0001,0.3697,0,0.08500,0.03000,0.1006,0.1007,-0.008067,0.118138,6.0747,-0.1152,149.0227,9.2590,-0.1533,153.4461,6.0728,0.0781,148.8082,9.2576,0.1171,153.2318,-0.032805,-0.000445,149.0202,-0.039387,-0.000393,153.4461,-0.032841,0.000594,148.8057,-0.039431,0.000557,153.2318,-0.32326,0.00004,-0.00002,0.70515,-0.38043,-0.00001,-0.32326,-0.00003,0.00001,0.70514,-0.38043,0.00001,0.00111,0.00111,0.00111,0.00111,-0.30814,-0.20100,0.10791,-13.09575,0.52550,0.07037,-0.31402,0.19851,-0.10571,-13.07816,0.51963,-0.09112,-1.37005,-1.00364,-1.37005,-1.00363,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00014,0.00000,0.75222,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68472,0.68452,0.00187,0.00007,2,0.03439,0.00187,0.034394,0.01215,-1.2867,-0.0002,0.2840,-0.0009,-0.9787,0.0000,0.3011,0,0.08500,0.03000,0.0841,0.0842,-0.001732,0.118124,4.8488,-0.1139,150.8298,7.8396,-0.1518,155.4229,4.8469,0.0817,150.6161,7.8382,0.1200,155.2097,-0.027236,-0.000458,150.8277,-0.033050,-0.000408,155.4229,-0.027263,0.000583,150.6141,-0.033085,0.000545,155.2097,-0.32330,0.00004,-0.00002,0.70520,-0.38045,-0.00001,-0.32330,-0.00003,0.00001,0.70519,-0.38045,0.00000,0.00105,0.00110,0.00105,0.00110,-0.12698,-0.20362,0.10686,-12.84335,1.30596,0.07301,-0.13279,0.20158,-0.10486,-12.82585,1.30010,-0.09050,-1.38213,-1.02471,-1.38209,-1.02470,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00015,0.00000,0.75223,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68474,0.68452,0.00187,0.00007,2,0.03442,0.00187,0.034418,0.01154,-1.2793,-0.0002,0.2231,-0.0008,-0.8878,0.0001,0.2377,0,0.08500,0.03000,0.0704,0.0704,0.003568,0.118111,3.8089,-0.1127,152.3815,6.6290,-0.1505,157.1012,3.8071,0.0848,152.1686,6.6276,0.1226,156.8890,-0.022567,-0.000469,152.3799,-0.027749,-0.000420,157.1012,-0.022587,0.000573,152.1670,-0.027776,0.000535,156.8890,-0.32335,0.00004,-0.00002,0.70526,-0.38048,-0.00001,-0.32335,-0.00003,0.00001,0.70525,-0.38047,-0.00000,0.00100,0.00108,0.00100,0.00108,0.03098,-0.20587,0.10601,-12.62372,1.97593,0.07526,0.02522,0.20418,-0.10417,-12.60629,1.97008,-0.08998,-1.39141,-1.04244,-1.39134,-1.04242,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00016,0.00000,0.75225,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68476,0.68452,0.00186,0.00007,2,0.03444,0.00186,0.034440,0.01091,-1.2677,-0.0002,0.1715,-0.0007,-0.8095,0.0001,0.1791,0,0.08500,0.03000,0.0589,0.0589,0.008022,0.118101,2.9279,-0.1117,153.7167,5.5973,-0.1493,158.5284,2.9260,0.0876,153.5045,5.5959,0.1248,158.3170,-0.018636,-0.000477,153.7155,-0.023293,-0.000430,158.5284,-0.018650,0.000565,153.5032,-0.023314,0.000527,158.3170,-0.32341,0.00004,-0.00002,0.70532,-0.38051,-0.00000,-0.32341,-0.00003,0.00001,0.70532,-0.38050,-0.00001,0.00094,0.00107,0.00094,0.00107,0.16913,-0.20778,0.10533,-12.43188,2.55191,0.07717,0.16341,0.20638,-0.10363,-12.41452,2.54606,-0.08955,-1.39831,-1.05731,-1.39821,-1.05730,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00016,0.00000,0.75226,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68478,0.68452,0.00185,0.00007,2,0.03446,0.00185,0.034461,0.01027,-1.2525,-0.0002,0.1278,-0.0006,-0.7420,0.0001,0.1250,0,0.08500,0.03000,0.0493,0.0493,0.011785,0.118093,2.1823,-0.1108,154.8681,4.7187,-0.1482,159.7439,2.1805,0.0900,154.6564,4.7173,0.1268,159.5333,-0.015311,-0.000485,154.8671,-0.019529,-0.000439,159.7439,-0.015321,0.000559,154.6555,-0.019545,0.000521,159.5333,-0.32347,0.00004,-0.00002,0.70539,-0.38054,-0.00000,-0.32346,-0.00003,0.00002,0.70539,-0.38053,-0.00001,0.00088,0.00107,0.00088,0.00107,0.29033,-0.20942,0.10480,-12.26366,3.04786,0.07880,0.28465,0.20824,-0.10321,-12.24634,3.04203,-0.08919,-1.40317,-1.06976,-1.40304,-1.06974,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
