t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0.034232,0.01478,-1.1824,0.0000,0.9512,-0.0021,-2.2005,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0863,0.056853,0.118397,16.2346,-0.1212,129.9819,-8.9380,-0.6137,173.2324,16.2325,0.0497,129.7606,-8.9347,0.6301,173.0819,-0.082155,-0.000334,129.9748,0.025531,-0.000134,173.2324,-0.082281,0.000710,129.7535,0.025547,0.000147,173.0819,-0.32323,0.00004,-0.00002,0.70526,-0.38059,-0.00002,-0.32323,-0.00003,0.00001,0.70525,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.55709,-0.17500,0.11749,-14.18838,-5.40329,0.04755,-1.56332,0.16962,-0.11327,-14.17016,-5.40932,-0.09375,-1.12403,-0.76832,-1.12391,-0.76833,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75208,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0.034261,0.01456,-1.2296,-0.0000,0.7927,-0.0019,-1.9684,-0.0004,0.7002,0,0.08500,0.03000,0.2134,0.2137,-0.047825,0.118247,13.5293,-0.1180,133.9414,17.5660,-0.1989,137.2303,13.5275,0.0547,133.7218,17.5618,0.1431,137.0124,-0.066958,-0.000356,133.9358,-0.079148,-0.000284,137.2303,-0.067054,0.000669,133.7162,-0.079259,0.000613,137.0124,-0.32321,0.00004,-0.00002,0.70519,-0.38051,-0.00002,-0.32321,-0.00003,0.00001,0.70518,-0.38051,0.00002,0.00132,0.00118,0.00132,0.00118,-1.18445,-0.17865,0.11357,-13.64974,-3.70352,0.05183,-1.19073,0.17377,-0.11058,-13.63165,-3.70945,-0.09145,-1.15765,-0.81663,-1.15783,-0.81665,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00010,0.00000,0.75211,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68460,0.68452,0.00186,0.00007,2,0.03429,0.00186,0.034290,0.01424,-1.2593,-0.0001,0.6555,-0.0016,-1.7708,-0.0003,0.6088,0,0.08500,0.03000,0.1789,0.1791,-0.033819,0.118211,11.1877,-0.1162,137.3131,15.1322,-0.1560,141.0382,11.1860,0.0607,137.0951,15.1302,0.1044,140.8197,-0.054667,-0.000384,137.3086,-0.065142,-0.000320,141.0382,-0.054741,0.000643,137.0907,-0.065230,0.000602,140.8197,-0.32322,0.00004,-0.00002,0.70517,-0.38047,-0.00002,-0.32322,-0.00003,0.00001,0.70517,-0.38047,0.00002,0.00127,0.00116,0.00127,0.00116,-0.86533,-0.18364,0.11121,-13.18938,-2.25159,0.05675,-0.87151,0.17961,-0.10881,-13.17144,-2.25750,-0.09034,-1.18528,-0.85723,-1.18548,-0.85725,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75214,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00007,2,0.03432,0.00187,0.034318,0.01383,-1.2790,-0.0001,0.5382,-0.0014,-1.6025,-0.0002,0.5232,0,0.08500,0.03000,0.1489,0.1491,-0.022328,0.118183,9.1868,-0.1146,140.1849,12.8904,-0.1535,144.2861,9.1851,0.0660,139.9684,12.8891,0.1068,144.0694,-0.044644,-0.000407,140.1813,-0.053650,-0.000348,144.2861,-0.044700,0.000622,139.9647,-0.053719,0.000584,144.0694,-0.32326,0.00004,-0.00002,0.70520,-0.38046,-0.00002,-0.32325,-0.00003,0.00001,0.70519,-0.38046,0.00001,0.00123,0.00115,0.00123,0.00115,-0.59086,-0.18789,0.10932,-12.79392,-1.01181,0.06102,-0.59692,0.18466,-0.10729,-12.77612,-1.01771,-0.08935,-1.20794,-0.89151,-1.20810,-0.89151,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75216,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68466,0.68452,0.00188,0.00007,2,0.03434,0.00188,0.034344,0.01335,-1.2908,-0.0001,0.4385,-0.0012,-1.4588,-0.0001,0.4435,0,0.08500,0.03000,0.1240,0.1242,-0.012903,0.118161,7.4842,-0.1130,142.6371,10.9400,-0.1519,147.0235,7.4824,0.0707,142.4217,10.9387,0.1107,146.8082,-0.036402,-0.000426,142.6341,-0.044224,-0.000370,147.0235,-0.036445,0.000604,142.4188,-0.044278,0.000566,146.8082,-0.32331,0.00004,-0.00002,0.70527,-0.38048,-0.00002,-0.32331,-0.00003,0.00001,0.70526,-0.38047,0.00001,0.00118,0.00114,0.00118,0.00114,-0.35405,-0.19153,0.10776,-12.45299,0.04773,0.06467,-0.36001,0.18894,-0.10603,-12.43531,0.04184,-0.08851,-1.22627,-0.92041,-1.22639,-0.92041,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00014,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68468,0.68451,0.00188,0.00007,2,0.03437,0.00188,0.034370,0.01282,-1.2956,-0.0001,0.3537,-0.0011,-1.3359,-0.0001,0.3695,0,0.08500,0.03000,0.1035,0.1037,-0.005125,0.118143,6.0368,-0.1116,144.7346,9.2738,-0.1504,149.3421,6.0351,0.0748,144.5203,9.2725,0.1141,149.1281,-0.029577,-0.000442,144.7322,-0.036445,-0.000388,149.3421,-0.029609,0.000590,144.5179,-0.036486,0.000551,149.1281,-0.32338,0.00004,-0.00002,0.70537,-0.38051,-0.00001,-0.32337,-0.00003,0.00001,0.70536,-0.38051,0.00001,0.00114,0.00113,0.00114,0.00113,-0.14922,-0.19463,0.10647,-12.15817,0.95423,0.06778,-0.15509,0.19258,-0.10499,-12.14059,0.94836,-0.08779,-1.24084,-0.94474,-1.24093,-0.94474,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00015,0.00000,0.75218,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68470,0.68451,0.00187,0.00007,2,0.03440,0.00187,0.034395,0.01225,-1.2944,-0.0002,0.2816,-0.0009,-1.2305,-0.0000,0.3008,0,0.08500,0.03000,0.0865,0.0866,0.001338,0.118128,4.8077,-0.1103,146.5323,7.8517,-0.1490,151.3082,4.8060,0.0783,146.3189,7.8504,0.1171,151.0953,-0.023891,-0.000455,146.5304,-0.029981,-0.000403,151.3082,-0.023914,0.000578,146.3170,-0.030012,0.000539,151.0953,-0.32346,0.00004,-0.00002,0.70549,-0.38057,-0.00001,-0.32346,-0.00003,0.00001,0.70549,-0.38056,0.00000,0.00110,0.00113,0.00110,0.00113,0.02842,-0.19727,0.10542,-11.90235,1.73074,0.07043,0.02262,0.19566,-0.10414,-11.88485,1.72487,-0.08719,-1.25217,-0.96515,-1.25223,-0.96515,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00016,0.00000,0.75219,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68472,0.68450,0.00187,0.00007,2,0.03442,0.00187,0.034419,0.01164,-1.2880,-0.0002,0.2206,-0.0008,-1.1400,0.0001,0.2373,0,0.08500,0.03000,0.0724,0.0724,0.006740,0.118116,3.7651,-0.1092,148.0761,6.6389,-0.1477,152.9775,3.7633,0.0815,147.8634,6.6376,0.1198,152.7655,-0.019128,-0.000466,148.0745,-0.024577,-0.000415,152.9775,-0.019144,0.000568,147.8619,-0.024601,0.000529,152.7655,-0.32355,0.00004,-0.00002,0.70564,-0.38063,-0.00001,-0.32355,-0.00003,0.00002,0.70563,-0.38063,-0.00000,0.00106,0.00113,0.00106,0.00113,0.18290,-0.19952,0.10457,-11.67956,2.39676,0.07268,0.17715,0.19827,-0.10346,-11.66214,2.39090,-0.08668,-1.26070,-0.98223,-1.26072,-0.98222,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00017,0.00000,0.75220,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68473,0.68449,0.00186,0.00007,2,0.03444,0.00186,0.034441,0.01102,-1.2774,-0.0002,0.1688,-0.0007,-1.0622,0.0001,0.1786,0,0.08500,0.03000,0.0605,0.0606,0.011279,0.118105,2.8816,-0.1081,149.4045,5.6053,-0.1466,154.3969,2.8799,0.0842,149.1925,5.6040,0.1221,154.1858,-0.015120,-0.000475,149.4033,-0.020037,-0.000426,154.3969,-0.015130,0.000560,149.1913,-0.020054,0.000521,154.1858,-0.32366,0.00004,-0.00002,0.70580,-0.38070,-0.00001,-0.32366,-0.00003,0.00002,0.70580,-0.38070,-0.00001,0.00102,0.00113,0.00102,0.00113,0.31760,-0.20145,0.10390,-11.48480,2.96882,0.07460,0.31189,0.20047,-0.10292,-11.46744,2.96297,-0.08625,-1.26683,-0.99647,-1.26683,-0.99645,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00018,0.00000,0.75220,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68474,0.68448,0.00185,0.00007,2,0.03446,0.00185,0.034462,0.01039,-1.2631,-0.0002,0.1250,-0.0006,-0.9950,0.0001,0.1245,0,0.08500,0.03000,0.0506,0.0507,0.015110,0.118097,2.1339,-0.1072,150.5501,4.7252,-0.1455,155.6058,2.1322,0.0866,150.3386,4.7240,0.1240,155.3953,-0.011733,-0.000482,150.5492,-0.016205,-0.000435,155.6058,-0.011738,0.000553,150.3378,-0.016216,0.000515,155.3953,-0.32377,0.00004,-0.00002,0.70598,-0.38078,-0.00000,-0.32377,-0.00003,0.00002,0.70597,-0.38078,-0.00001,0.00098,0.00114,0.00098,0.00114,0.43539,-0.20308,0.10337,-11.31387,3.46092,0.07623,0.42972,0.20233,-0.10250,-11.29655,3.45508,-0.08589,-1.27091,-1.00828,-1.27088,-1.00826,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
