t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,0.00014,0.00000,0.75205,1.00000,-0.00000,-0.00148,0.00000,0.03526,0.00007,0.68449,0.68449,0.00296,0.00007,2,0.03424,0.00296,0.034239,0.02150,-1.1965,0.0000,0,0.08500,0.03000,0.1898,0.1899,0.073179,0.118342,20.0888,-64.2142,107.0342,-19.0402,-0.5849,167.2771,22.5960,64.1274,106.8876,-19.0276,0.6194,167.0792,-0.085004,0.030003,107.0243,0.041863,-0.000189,167.2771,-0.085004,-0.029434,106.8761,0.041896,0.000197,167.0792,-0.32155,0.00021,0.00019,0.70525,-0.38140,-0.00011,-0.32155,-0.00020,-0.00020,0.70525,-0.38140,0.00011,0.00122,0.00074,0.00122,0.00074,-0.19626,35.20058,-13.08707,-9.86691,-4.40934,-0.96372,1.39812,-35.22048,13.08889,-9.01718,-4.27171,0.90143,-3.97142,-3.01852,-4.12128,-3.02176,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,0.00011,0.00000,0.75213,1.00000,-0.00000,-0.00148,0.00000,0.03523,0.00007,0.68457,0.68449,0.00297,0.00007,2,0.03430,0.00297,0.034298,0.03092,-1.7840,-0.0000,0,0.08500,0.03000,0.5164,0.5307,-0.026313,0.131126,17.8011,66.0798,110.8441,19.2679,-39.4595,141.7145,18.3531,-66.1741,110.3491,21.4894,39.5145,141.2575,-0.085003,0.030003,110.8338,-0.057628,0.012585,141.7145,-0.085003,-0.030003,110.3381,-0.057525,-0.012457,141.2575,-0.32149,0.00019,0.00014,0.70510,-0.38170,-0.00043,-0.32148,-0.00019,-0.00015,0.70509,-0.38170,0.00042,0.00085,0.00012,0.00085,0.00012,-0.91221,-45.05191,17.86903,-11.29323,-4.71502,-5.66131,-0.57452,45.06500,-17.91284,-11.04083,-4.66269,5.64922,-1.65511,-1.41113,-1.69791,-1.41236,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,0.00008,0.00000,0.75219,1.00000,-0.00000,-0.00147,0.00000,0.03521,0.00007,0.68465,0.68449,0.00296,0.00007,2,0.03435,0.00296,0.034354,0.02735,-2.6315,-0.0001,0,0.08500,0.03000,0.5176,0.5222,-0.021779,0.135973,15.9103,0.0514,113.0527,12.9994,44.4323,149.0832,15.9185,-0.1288,112.8357,13.5393,-44.5321,148.5626,-0.078674,0.000756,113.0358,-0.053085,0.017432,149.0832,-0.078742,-0.000418,112.8189,-0.053002,-0.017365,148.5626,-0.32147,0.00012,0.00002,0.70503,-0.38205,-0.00075,-0.32147,-0.00012,-0.00004,0.70502,-0.38205,0.00073,0.00049,-0.00057,0.00049,-0.00058,-1.17286,0.11893,0.02672,-11.80829,-4.21149,-0.10895,-1.19625,-0.11776,-0.02945,-11.78798,-4.21039,0.07310,-0.73439,-0.75753,-0.73028,-0.75788,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,0.00006,0.00000,0.75224,1.00000,-0.00000,-0.00146,0.00000,0.03519,0.00007,0.68472,0.68449,0.00294,0.00007,2,0.03440,0.00294,0.034404,0.02405,-2.4362,-0.0002,0,0.08500,0.03000,0.2478,0.2485,-0.047099,0.121389,13.1192,0.0289,120.5430,17.7983,-0.4387,119.7230,13.1252,-0.0977,120.3280,17.8128,0.3845,119.5033,-0.061797,0.000543,120.5240,-0.078398,0.002855,119.7230,-0.061838,-0.000283,120.3090,-0.078480,-0.002560,119.5033,-0.32149,0.00007,-0.00008,0.70501,-0.38234,-0.00100,-0.32148,-0.00007,0.00006,0.70500,-0.38235,0.00098,0.00014,-0.00133,0.00015,-0.00133,-0.87287,0.07443,0.03871,-11.74312,-2.63951,-0.07667,-0.89340,-0.07151,-0.03918,-11.72346,-2.63945,0.04748,-0.79910,-0.84189,-0.79430,-0.84229,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,0.00004,0.00000,0.75229,1.00000,-0.00000,-0.00144,0.00000,0.03517,0.00008,0.68478,0.68449,0.00292,0.00007,2,0.03445,0.00292,0.034448,0.02110,-2.2509,-0.0002,0,0.08500,0.03000,0.1994,0.1999,-0.031307,0.120852,10.7278,0.0035,126.9386,15.1685,-0.3112,126.8089,10.7321,-0.0621,126.7251,15.1792,0.2486,126.5933,-0.048991,0.000336,126.9196,-0.062598,0.002321,126.8089,-0.049016,-0.000135,126.7062,-0.062650,-0.002070,126.5933,-0.32154,0.00002,-0.00016,0.70502,-0.38258,-0.00121,-0.32153,-0.00003,0.00013,0.70501,-0.38259,0.00118,-0.00019,-0.00216,-0.00018,-0.00217,-0.61143,0.02375,0.05284,-11.68344,-1.30082,-0.04297,-0.62953,-0.01979,-0.05156,-11.66435,-1.30165,0.01950,-0.84992,-0.91662,-0.84463,-0.91710,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,0.00001,0.00000,0.75232,1.00000,-0.00000,-0.00143,0.00001,0.03516,0.00008,0.68483,0.68449,0.00289,0.00007,2,0.03449,0.00289,0.034486,0.01847,-2.0846,-0.0002,0,0.08500,0.03000,0.1591,0.1594,-0.018794,0.120327,8.7227,-0.0150,132.3676,12.6948,-0.3539,133.0415,8.7256,-0.0349,132.1554,12.7003,0.2995,132.8259,-0.039107,0.000198,132.3498,-0.050078,0.001800,133.0415,-0.039119,-0.000043,132.1377,-0.050111,-0.001602,132.8259,-0.32161,-0.00002,-0.00022,0.70506,-0.38277,-0.00137,-0.32160,0.00001,0.00019,0.70505,-0.38278,0.00134,-0.00050,-0.00308,-0.00049,-0.00308,-0.38171,-0.01451,0.06301,-11.62467,-0.16518,-0.01712,-0.39792,0.01930,-0.06026,-11.60605,-0.16668,-0.00153,-0.88928,-0.98392,-0.88356,-0.98449,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00001,0.00000,0.75235,1.00000,-0.00000,-0.00140,0.00001,0.03515,0.00008,0.68488,0.68449,0.00285,0.00007,2,0.03452,0.00285,0.034519,0.01614,-1.9357,-0.0003,0,0.08500,0.03000,0.1277,0.1279,-0.009026,0.119896,7.0474,-0.0283,136.9724,10.5957,-0.3735,138.3499,7.0493,-0.0141,136.7613,10.5983,0.3269,138.1343,-0.031333,0.000104,136.9566,-0.040304,0.001374,138.3499,-0.031336,0.000016,136.7456,-0.040324,-0.001219,138.1343,-0.32171,-0.00005,-0.00028,0.70512,-0.38292,-0.00148,-0.32170,0.00004,0.00024,0.70512,-0.38292,0.00145,-0.00079,-0.00408,-0.00078,-0.00409,-0.17845,-0.04325,0.07027,-11.56505,0.79961,0.00258,-0.19315,0.04869,-0.06628,-11.54682,0.79758,-0.01726,-0.91866,-1.04546,-0.91256,-1.04613,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00003,0.00000,0.75237,1.00000,-0.00000,-0.00137,0.00001,0.03514,0.00008,0.68491,0.68449,0.00280,0.00007,2,0.03455,0.00280,0.034548,0.01407,-1.8023,-0.0003,0,0.08500,0.03000,0.1031,0.1033,-0.001285,0.119559,5.6489,-0.0376,140.8743,8.8324,-0.3825,142.8655,5.6499,0.0017,140.6640,8.8327,0.3426,142.6501,-0.025120,0.000041,140.8606,-0.032558,0.001042,142.8655,-0.025117,0.000052,140.6505,-0.032569,-0.000920,142.6501,-0.32183,-0.00008,-0.00032,0.70520,-0.38303,-0.00157,-0.32182,0.00007,0.00029,0.70520,-0.38303,0.00153,-0.00106,-0.00519,-0.00105,-0.00520,0.00267,-0.06461,0.07533,-11.50348,1.62103,0.01745,-0.01082,0.07055,-0.07029,-11.48557,1.61858,-0.02888,-0.93932,-1.10270,-0.93289,-1.10350,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00005,-0.00000,0.75238,1.00000,-0.00000,-0.00134,0.00001,0.03513,0.00008,0.68494,0.68449,0.00275,0.00007,2,0.03457,0.00275,0.034574,0.01223,-1.6828,-0.0003,0,0.08500,0.03000,0.0836,0.0837,0.004940,0.119290,4.4825,-0.0440,144.1768,7.3516,-0.3838,146.7042,4.4829,0.0135,143.9673,7.3501,0.3497,146.4891,-0.020084,-0.000001,144.1654,-0.026327,0.000777,146.7042,-0.020076,0.000073,143.9559,-0.026331,-0.000682,146.4891,-0.32198,-0.00010,-0.00036,0.70530,-0.38310,-0.00162,-0.32196,0.00009,0.00032,0.70529,-0.38311,0.00158,-0.00131,-0.00642,-0.00129,-0.00643,0.16531,-0.08031,0.07872,-11.43921,2.32228,0.02853,0.15279,0.08662,-0.07280,-11.42156,2.31950,-0.03732,-0.95233,-1.15698,-0.94561,-1.15793,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00007,-0.00000,0.75239,1.00000,-0.00000,-0.00130,0.00001,0.03513,0.00008,0.68497,0.68449,0.00268,0.00007,2,0.03460,0.00268,0.034596,0.01060,-1.5759,-0.0004,0,0.08500,0.03000,0.0680,0.0681,0.010012,0.119073,3.5105,-0.0482,146.9689,6.1088,-0.3796,149.9641,3.5102,0.0223,146.7599,6.1059,0.3506,149.7492,-0.015950,-0.000028,146.9595,-0.021251,0.000565,149.9641,-0.015938,0.000085,146.7506,-0.021250,-0.000491,149.7492,-0.32214,-0.00013,-0.00039,0.70541,-0.38314,-0.00165,-0.32212,0.00011,0.00034,0.70540,-0.38315,0.00161,-0.00153,-0.00777,-0.00151,-0.00779,0.31258,-0.09166,0.08088,-11.37169,2.92302,0.03664,0.30085,0.09825,-0.07421,-11.35426,2.91998,-0.04332,-0.95860,-1.20951,-0.95161,-1.21063,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
