t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00064,0.00000,0.46168,1.00000,-0.00000,-0.00196,0.00000,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0.00370,0.034344,0.01506,-0.6239,0.0000,0.9909,0.0000,-1.4022,-0.0000,2.9136,0,0.04900,0.01900,0.0288,0.0288,0.013398,0.067548,3.2850,-0.0001,27.8717,-0.4918,0.2767,32.6831,3.2850,0.0001,27.8717,-0.4918,-0.2767,32.6831,-0.042527,-0.000051,27.8734,0.007182,-0.002494,32.6831,-0.042527,0.000051,27.8734,0.007182,0.002494,32.6831,-0.00011,0.00009,-0.54859,1.10730,-0.55431,0.00051,0.00011,-0.00009,-0.54859,1.10730,-0.55431,-0.00051,0.00019,-0.00042,0.00019,-0.00042,0.00014,-0.00020,-0.45008,-1.80912,-0.91534,0.00006,-0.00014,0.00020,-0.45008,-1.80912,-0.91534,-0.00006,-0.06489,-0.00597,-0.06489,-0.00597,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00070,0.00000,0.46172,1.00000,0.00000,-0.00204,-0.00000,0.00851,0.00000,0.30058,0.30051,0.00393,0.00000,2,0.03442,0.00393,0.034416,0.01394,-0.6329,-0.0001,0.6375,0.0001,-0.9603,0.0000,2.3581,0,0.04900,0.01900,0.1764,0.1764,-0.033495,0.069926,2.1133,0.0002,29.3368,3.0541,0.0230,28.8663,2.1133,0.0008,29.3365,3.0541,-0.0230,28.8663,-0.025637,-0.000074,29.3378,-0.039710,-0.000121,28.8663,-0.025638,0.000061,29.3374,-0.039710,0.000121,28.8663,-0.00011,0.00009,-0.54879,1.10791,-0.55464,0.00045,0.00011,-0.00009,-0.54879,1.10791,-0.55464,-0.00045,0.00019,-0.00040,0.00019,-0.00040,0.00005,-0.00081,-0.31447,-1.63859,-0.59026,0.00022,-0.00005,0.00092,-0.31448,-1.63857,-0.59027,0.00013,-0.04277,-0.00321,-0.04277,-0.00321,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00073,0.00000,0.46174,1.00000,0.00000,-0.00210,-0.00000,0.00848,0.00000,0.30062,0.30051,0.00409,0.00000,2,0.03448,0.00409,0.034481,0.01251,-0.6168,-0.0001,0.4021,0.0005,-0.6609,-0.0000,1.9064,0,0.04900,0.01900,0.1120,0.1120,-0.018210,0.069927,1.3329,0.0013,30.3300,2.0158,0.0173,30.0085,1.3329,0.0022,30.3284,2.0158,-0.0165,30.0081,-0.015336,-0.000098,30.3305,-0.024421,-0.000119,30.0085,-0.015337,0.000052,30.3289,-0.024422,0.000107,30.0081,-0.00010,0.00010,-0.54908,1.10873,-0.55516,0.00038,0.00010,-0.00010,-0.54908,1.10873,-0.55516,-0.00038,0.00018,-0.00036,0.00018,-0.00036,-0.00000,-0.00105,-0.22343,-1.52810,-0.37261,0.00070,0.00000,0.00146,-0.22346,-1.52803,-0.37263,0.00059,-0.02834,-0.00148,-0.02834,-0.00148,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00075,0.00000,0.46174,1.00000,0.00000,-0.00213,-0.00000,0.00847,0.00000,0.30065,0.30051,0.00419,0.00000,2,0.03454,0.00419,0.034539,0.01096,-0.5860,-0.0002,0.2489,0.0011,-0.4573,-0.0000,1.5362,0,0.04900,0.01900,0.0707,0.0707,-0.008647,0.069919,0.8250,0.0031,31.0059,1.3052,0.0142,30.7855,0.8250,0.0040,31.0023,1.3052,-0.0112,30.7839,-0.008961,-0.000122,31.0061,-0.014853,-0.000125,30.7855,-0.008964,0.000030,31.0025,-0.014855,0.000082,30.7839,-0.00010,0.00011,-0.54943,1.10963,-0.55575,0.00031,0.00010,-0.00011,-0.54943,1.10963,-0.55575,-0.00030,0.00018,-0.00033,0.00018,-0.00033,-0.00003,-0.00106,-0.16254,-1.45821,-0.22843,0.00141,0.00003,0.00192,-0.16261,-1.45806,-0.22847,0.00122,-0.01907,-0.00044,-0.01907,-0.00044,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00077,0.00000,0.46174,1.00000,0.00000,-0.00214,-0.00000,0.00846,0.00000,0.30067,0.30051,0.00426,0.00001,2,0.03459,0.00426,0.034589,0.00941,-0.5469,-0.0003,0.1500,0.0017,-0.3185,-0.0000,1.2319,0,0.04900,0.01900,0.0447,0.0447,-0.002643,0.069908,0.4974,0.0052,31.4674,0.8397,0.0119,31.3197,0.4974,0.0063,31.4609,0.8397,-0.0060,31.3162,-0.004957,-0.000147,31.4675,-0.008846,-0.000136,31.3197,-0.004960,0.000002,31.4610,-0.008849,0.000049,31.3162,-0.00010,0.00011,-0.54981,1.11052,-0.55631,0.00024,0.00010,-0.00012,-0.54981,1.11052,-0.55631,-0.00023,0.00017,-0.00029,0.00017,-0.00029,-0.00004,-0.00091,-0.12144,-1.41444,-0.13261,0.00228,0.00004,0.00231,-0.12155,-1.41418,-0.13269,0.00196,-0.01314,0.00015,-0.01314,0.00015,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00077,0.00000,0.46174,1.00000,0.00000,-0.00214,-0.00000,0.00845,0.00000,0.30069,0.30051,0.00429,0.00001,2,0.03463,0.00429,0.034632,0.00795,-0.5048,-0.0003,0.0867,0.0024,-0.2245,-0.0001,0.9810,0,0.04900,0.01900,0.0282,0.0282,0.001174,0.069892,0.2873,0.0076,31.7811,0.5363,0.0111,31.6957,0.2873,0.0087,31.7709,0.5363,-0.0016,31.6893,-0.002412,-0.000173,31.7811,-0.005027,-0.000151,31.6957,-0.002416,-0.000032,31.7709,-0.005030,0.000012,31.6893,-0.00010,0.00012,-0.55019,1.11134,-0.55683,0.00018,0.00010,-0.00012,-0.55019,1.11134,-0.55683,-0.00017,0.00017,-0.00026,0.00017,-0.00026,-0.00004,-0.00064,-0.09328,-1.38709,-0.06846,0.00327,0.00004,0.00266,-0.09346,-1.38667,-0.06858,0.00279,-0.00936,0.00046,-0.00936,0.00046,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00078,0.00000,0.46174,1.00000,0.00000,-0.00213,-0.00000,0.00845,0.00000,0.30070,0.30051,0.00429,0.00002,2,0.03467,0.00429,0.034668,0.00664,-0.4636,-0.0004,0.0465,0.0032,-0.1617,-0.0001,0.7737,0,0.04900,0.01900,0.0176,0.0176,0.003631,0.069872,0.1542,0.0101,31.9916,0.3381,0.0117,31.9619,0.1541,0.0112,31.9767,0.3381,0.0019,31.9517,-0.000782,-0.000199,31.9916,-0.002569,-0.000171,31.9619,-0.000787,-0.000068,31.9768,-0.002573,-0.000025,31.9517,-0.00010,0.00013,-0.55057,1.11208,-0.55726,0.00013,0.00010,-0.00013,-0.55057,1.11208,-0.55726,-0.00011,0.00017,-0.00022,0.00017,-0.00022,-0.00004,-0.00028,-0.07366,-1.36991,-0.02518,0.00432,0.00003,0.00300,-0.07392,-1.36930,-0.02536,0.00367,-0.00694,0.00058,-0.00694,0.00058,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00078,0.00000,0.46173,1.00000,0.00000,-0.00211,-0.00000,0.00845,0.00000,0.30070,0.30051,0.00426,0.00002,2,0.03470,0.00426,0.034697,0.00550,-0.4253,-0.0004,0.0214,0.0040,-0.1206,-0.0001,0.6022,0,0.04900,0.01900,0.0109,0.0109,0.005226,0.069849,0.0710,0.0127,32.1307,0.2092,0.0130,32.1497,0.0710,0.0137,32.1102,0.2092,0.0050,32.1349,0.000268,-0.000225,32.1307,-0.000972,-0.000194,32.1497,0.000261,-0.000106,32.1102,-0.000978,-0.000063,32.1349,-0.00010,0.00013,-0.55093,1.11272,-0.55762,0.00009,0.00010,-0.00014,-0.55094,1.11272,-0.55762,-0.00005,0.00016,-0.00019,0.00016,-0.00019,-0.00003,0.00012,-0.05970,-1.35902,0.00428,0.00541,0.00002,0.00335,-0.06007,-1.35817,0.00404,0.00458,-0.00540,0.00062,-0.00540,0.00062,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00077,0.00000,0.46172,1.00000,0.00000,-0.00208,-0.00000,0.00845,0.00000,0.30070,0.30051,0.00422,0.00003,2,0.03472,0.00422,0.034722,0.00452,-0.3912,-0.0004,0.0061,0.0047,-0.0944,-0.0002,0.4600,0,0.04900,0.01900,0.0066,0.0065,0.006270,0.069824,0.0202,0.0152,32.2208,0.1260,0.0148,32.2815,0.0202,0.0163,32.1938,0.1260,0.0076,32.2612,0.000949,-0.000253,32.2208,0.000072,-0.000219,32.2815,0.000940,-0.000144,32.1938,0.000065,-0.000100,32.2612,-0.00010,0.00013,-0.55128,1.11327,-0.55790,0.00006,0.00010,-0.00015,-0.55128,1.11327,-0.55790,-0.00000,0.00017,-0.00016,0.00017,-0.00016,-0.00002,0.00056,-0.04953,-1.35197,0.02455,0.00652,0.00001,0.00371,-0.05002,-1.35086,0.02423,0.00552,-0.00441,0.00062,-0.00441,0.00062,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00077,0.00000,0.46172,1.00000,0.00000,-0.00205,-0.00000,0.00845,0.00000,0.30071,0.30051,0.00416,0.00004,2,0.03474,0.00416,0.034742,0.00369,-0.3615,-0.0005,-0.0030,0.0055,-0.0783,-0.0003,0.3421,0,0.04900,0.01900,0.0038,0.0038,0.006960,0.069797,-0.0099,0.0178,32.2779,0.0728,0.0170,32.3735,-0.0100,0.0188,32.2434,0.0728,0.0101,32.3467,0.001394,-0.000281,32.2778,0.000762,-0.000246,32.3735,0.001383,-0.000182,32.2434,0.000753,-0.000138,32.3467,-0.00010,0.00013,-0.55161,1.11373,-0.55811,0.00003,0.00010,-0.00015,-0.55161,1.11373,-0.55812,0.00004,0.00017,-0.00013,0.00017,-0.00013,-0.00001,0.00103,-0.04193,-1.34727,0.03869,0.00764,0.00000,0.00410,-0.04255,-1.34585,0.03828,0.00649,-0.00377,0.00058,-0.00377,0.00058,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
