t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00066,-0.00000,0.46158,1.00000,0.00000,-0.00196,-0.00003,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0.00370,0.034340,0.01410,-1.2478,0.0000,0.9909,0.0000,-1.4022,-0.0000,2.9136,1,0.04900,0.01900,0.0288,0.0288,0.013398,0.067548,0.0000,-0.0000,0.0000,-0.4918,0.2767,32.6831,0.0000,-0.0000,0.0000,-0.4918,-0.2767,32.6831,0.000000,0.000000,0.0000,0.007182,-0.002494,32.6831,0.000000,0.000000,0.0000,0.007182,0.002494,32.6831,-0.00005,0.00008,-0.54955,1.10907,-0.55502,0.00051,0.00016,-0.00009,-0.54959,1.10907,-0.55498,-0.00051,0.00067,-0.00040,0.00034,-0.00042,0.00215,0.00031,-0.00884,-0.00021,-0.00163,0.00001,0.00215,0.00030,-0.00066,-0.00010,0.00002,0.00001,0.21532,0.03233,0.08749,0.00983,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00061,-0.00000,0.46138,1.00000,0.00000,-0.00205,-0.00007,0.00851,-0.00000,0.30050,0.30051,0.00392,0.00000,2,0.03441,0.00392,0.034408,0.01306,-1.2458,-0.0001,0.8031,0.0002,1.0721,-0.0137,2.3792,1,0.04900,0.01900,0.1978,0.2012,0.002531,0.069825,2.2689,-2.2695,3.7763,1.5973,0.0207,13.4651,2.2684,2.2689,3.7754,1.6270,-0.0231,13.4781,-0.049000,-0.018880,3.7790,-0.003682,-0.000219,13.4651,-0.049000,0.019000,3.7781,-0.003992,0.000224,13.4781,0.00006,0.00009,-0.55113,1.11386,-0.55786,0.00048,0.00019,-0.00009,-0.55123,1.11386,-0.55777,-0.00048,0.00852,-0.00025,0.00772,-0.00028,0.19986,0.76925,0.31502,-0.02618,-0.02273,0.15069,-0.20024,-0.76971,0.31424,-0.02617,-0.02288,-0.15111,3.12642,0.42368,3.13759,0.42554,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00042,-0.00000,0.46108,1.00000,0.00000,-0.00213,-0.00009,0.00847,-0.00000,0.30037,0.30051,0.00410,0.00000,2,0.03447,0.00410,0.034475,0.01340,-1.2702,-0.0001,0.3869,0.0009,2.8788,-0.0019,2.1668,1,0.04900,0.01900,0.3486,0.3499,0.000425,0.066117,1.2604,-5.5377,9.2182,3.2059,-2.2436,18.7102,1.2642,5.5404,9.2226,3.2264,2.2411,18.7156,-0.049000,-0.018966,9.2223,-0.005776,-0.003928,18.7102,-0.049000,0.019000,9.2267,-0.005934,0.003949,18.7156,0.00038,0.00012,-0.55279,1.12049,-0.56256,0.00052,-0.00003,-0.00012,-0.55292,1.12048,-0.56243,-0.00053,0.02282,0.00037,0.02166,0.00031,0.48707,1.87681,-0.06522,-0.76561,-0.34573,0.36855,-0.48770,-1.87803,-0.06487,-0.76535,-0.34577,-0.36904,1.23632,0.16313,1.24459,0.16451,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00021,0.00000,0.46073,1.00000,-0.00000,-0.00220,-0.00011,0.00846,-0.00000,0.30015,0.30051,0.00426,0.00000,2,0.03455,0.00426,0.034548,0.01542,-1.4033,-0.0002,0.1766,0.0024,3.8806,0.0065,2.0475,1,0.04900,0.01900,0.3759,0.3753,-0.005872,0.062975,0.5590,-7.4081,12.3306,1.8019,-5.3569,25.0635,0.5285,7.4219,12.3536,1.8101,5.3492,25.0855,-0.049000,0.018811,12.3359,-0.012057,-0.007079,25.0635,-0.049000,-0.019000,12.3589,-0.012089,0.007099,25.0855,0.00113,0.00024,-0.55480,1.12822,-0.56834,0.00038,-0.00073,-0.00024,-0.55496,1.12821,-0.56820,-0.00038,0.03715,0.00166,0.03572,0.00156,0.65182,2.04227,-0.31042,-1.21387,-0.53887,0.02697,-0.65334,-2.04333,-0.31950,-1.22114,-0.54256,-0.02467,-0.04612,-0.01378,-0.03896,-0.01251,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00004,0.00000,0.46034,1.00000,-0.00000,-0.00226,-0.00012,0.00845,-0.00000,0.29990,0.30051,0.00440,0.00001,2,0.03462,0.00440,0.034615,0.01229,-1.6815,-0.0003,0.0817,0.0038,4.3898,0.0109,1.9210,1,0.04900,0.01900,0.3657,0.3649,-0.007778,0.076186,0.2272,0.0118,14.1174,0.8816,-6.3249,29.1131,0.2268,0.0122,14.1111,0.8584,6.3244,29.1565,-0.044364,-0.000298,14.1175,-0.013941,0.006108,29.1131,-0.044398,-0.000329,14.1112,-0.013976,-0.006168,29.1565,0.00185,0.00037,-0.55720,1.13631,-0.57424,0.00014,-0.00141,-0.00037,-0.55738,1.13631,-0.57409,-0.00014,0.04888,0.00323,0.04725,0.00309,0.00142,-0.00012,-0.38551,-1.39748,-0.58063,0.00351,0.00075,0.00232,-0.38567,-1.39718,-0.58089,0.00453,-0.40692,-0.06409,-0.40071,-0.06299,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,0.00008,0.00000,0.45995,1.00000,-0.00000,-0.00232,-0.00013,0.00846,-0.00000,0.29962,0.30051,0.00452,0.00001,2,0.03467,0.00452,0.034668,0.00979,-1.5383,-0.0003,-0.0665,0.0032,4.7816,0.0140,1.8904,1,0.04900,0.01900,0.0750,0.0761,-0.010948,0.070284,-0.2564,0.0100,15.5552,1.2704,-0.4594,30.0099,-0.2566,0.0107,15.5443,1.2802,0.4889,29.9995,-0.029637,-0.000218,15.5551,-0.017108,0.000187,30.0099,-0.029679,-0.000275,15.5442,-0.017162,-0.000477,29.9995,0.00229,0.00045,-0.55986,1.14434,-0.57978,-0.00004,-0.00182,-0.00045,-0.56005,1.14434,-0.57961,0.00006,0.05798,0.00470,0.05620,0.00454,0.00117,-0.00112,-0.33509,-1.40094,-0.45186,0.00276,0.00026,0.00311,-0.33524,-1.40044,-0.45223,0.00419,-0.32432,-0.05247,-0.31971,-0.05163,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,0.00017,0.00000,0.45954,1.00000,-0.00000,-0.00238,-0.00014,0.00847,-0.00000,0.29934,0.30051,0.00464,0.00002,2,0.03471,0.00464,0.034711,0.00776,-1.4231,-0.0004,-0.1709,0.0032,5.0010,0.0137,1.8906,1,0.04900,0.01900,0.0495,0.0502,-0.005596,0.070170,-0.5939,0.0102,16.3730,0.8913,-0.2677,31.3641,-0.5941,0.0111,16.3569,0.8977,0.2919,31.3490,-0.020654,-0.000224,16.3729,-0.011753,0.000051,31.3641,-0.020701,-0.000275,16.3569,-0.011799,-0.000287,31.3490,0.00256,0.00050,-0.56265,1.15217,-0.58493,-0.00018,-0.00207,-0.00050,-0.56286,1.15217,-0.58476,0.00021,0.06501,0.00595,0.06311,0.00576,0.00100,-0.00147,-0.29609,-1.38727,-0.35486,0.00305,-0.00000,0.00384,-0.29627,-1.38656,-0.35533,0.00439,-0.25801,-0.04226,-0.25459,-0.04161,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,0.00024,0.00000,0.45914,1.00000,-0.00000,-0.00244,-0.00014,0.00848,0.00000,0.29904,0.30051,0.00476,0.00002,2,0.03475,0.00476,0.034744,0.00612,-1.3281,-0.0004,-0.2473,0.0037,5.1353,0.0120,1.9094,1,0.04900,0.01900,0.0344,0.0349,-0.002085,0.070098,-0.8396,0.0116,16.8777,0.6421,-0.1554,32.0381,-0.8398,0.0126,16.8558,0.6459,0.1780,32.0183,-0.014503,-0.000268,16.8778,-0.008242,-0.000037,32.0381,-0.014554,-0.000307,16.8560,-0.008282,-0.000207,32.0183,0.00272,0.00053,-0.56552,1.15978,-0.58973,-0.00029,-0.00222,-0.00054,-0.56573,1.15977,-0.58954,0.00033,0.07039,0.00695,0.06840,0.00674,0.00088,-0.00141,-0.26567,-1.36968,-0.28047,0.00390,-0.00014,0.00450,-0.26591,-1.36872,-0.28103,0.00497,-0.20492,-0.03375,-0.20238,-0.03325,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,0.00028,0.00000,0.45874,1.00000,-0.00000,-0.00250,-0.00014,0.00850,0.00000,0.29875,0.30051,0.00488,0.00003,2,0.03477,0.00488,0.034771,0.00479,-1.2493,-0.0005,-0.3046,0.0043,5.2270,0.0100,1.9357,1,0.04900,0.01900,0.0246,0.0249,0.000404,0.070044,-1.0237,0.0137,17.2213,0.4693,-0.0885,32.3803,-1.0239,0.0148,17.1928,0.4711,0.1121,32.3553,-0.010031,-0.000332,17.2216,-0.005755,-0.000101,32.3803,-0.010084,-0.000356,17.1932,-0.005790,-0.000184,32.3553,0.00281,0.00055,-0.56843,1.16715,-0.59420,-0.00037,-0.00231,-0.00056,-0.56863,1.16713,-0.59401,0.00043,0.07446,0.00774,0.07240,0.00752,0.00080,-0.00112,-0.24181,-1.35373,-0.22277,0.00503,-0.00021,0.00514,-0.24212,-1.35249,-0.22342,0.00582,-0.16246,-0.02682,-0.16059,-0.02644,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,0.00031,0.00000,0.45834,1.00000,-0.00000,-0.00256,-0.00014,0.00852,0.00000,0.29846,0.30051,0.00500,0.00004,2,0.03479,0.00500,0.034791,0.00372,-1.1841,-0.0005,-0.3484,0.0051,5.2967,0.0082,1.9623,1,0.04900,0.01900,0.0178,0.0181,0.002247,0.069999,-1.1642,0.0161,17.4794,0.3444,-0.0479,32.5607,-1.1644,0.0174,17.4435,0.3448,0.0742,32.5299,-0.006674,-0.000403,17.4800,-0.003914,-0.000154,32.5607,-0.006730,-0.000415,17.4441,-0.003945,-0.000191,32.5299,0.00287,0.00056,-0.57134,1.17429,-0.59839,-0.00042,-0.00236,-0.00058,-0.57155,1.17428,-0.59820,0.00050,0.07747,0.00835,0.07537,0.00812,0.00074,-0.00070,-0.22302,-1.34138,-0.17769,0.00630,-0.00024,0.00576,-0.22343,-1.33982,-0.17845,0.00682,-0.12853,-0.02124,-0.12717,-0.02095,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
