t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00064,-0.00000,0.46168,1.00000,0.00000,-0.00196,0.00000,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0.00370,0.034344,0.01510,-1.2478,0.0000,0.9909,0.0000,-1.4022,-0.0000,2.9136,0,0.04900,0.01900,0.0288,0.0288,0.013398,0.067548,3.2850,-0.0003,27.8717,-0.4918,0.2767,32.6831,3.2850,0.0003,27.8717,-0.4918,-0.2767,32.6831,-0.044990,-0.000057,27.8734,0.007182,-0.002494,32.6831,-0.044990,0.000057,27.8734,0.007182,0.002494,32.6831,-0.00011,0.00009,-0.54856,1.10723,-0.55428,0.00051,0.00011,-0.00009,-0.54856,1.10723,-0.55428,-0.00051,0.00018,-0.00042,0.00018,-0.00042,0.00011,-0.00061,-0.48390,-1.90368,-0.98005,0.00035,-0.00011,0.00061,-0.48390,-1.90368,-0.98005,-0.00035,-0.07239,-0.00683,-0.07239,-0.00683,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00069,0.00000,0.46173,1.00000,0.00000,-0.00204,-0.00000,0.00851,0.00000,0.30058,0.30051,0.00392,0.00000,2,0.03442,0.00392,0.034416,0.01398,-1.3309,-0.0001,0.6238,0.0001,-1.0415,-0.0000,2.2986,0,0.04900,0.01900,0.1793,0.1793,-0.035262,0.069916,2.0680,-0.0002,29.0678,3.1712,0.0254,29.4834,2.0680,0.0012,29.0674,3.1712,-0.0254,29.4834,-0.026827,-0.000094,29.0688,-0.041476,-0.000132,29.4834,-0.026827,0.000081,29.0684,-0.041476,0.000132,29.4834,-0.00011,0.00009,-0.54867,1.10767,-0.55455,0.00045,0.00011,-0.00009,-0.54867,1.10767,-0.55455,-0.00045,0.00017,-0.00040,0.00017,-0.00040,-0.00004,-0.00221,-0.32968,-1.69655,-0.61674,0.00107,0.00004,0.00232,-0.32968,-1.69653,-0.61675,-0.00072,-0.04643,-0.00359,-0.04643,-0.00359,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00072,0.00000,0.46176,1.00000,0.00000,-0.00208,-0.00000,0.00849,0.00000,0.30063,0.30051,0.00407,0.00000,2,0.03448,0.00407,0.034482,0.01255,-1.3571,-0.0001,0.3841,0.0005,-0.8012,-0.0000,1.8003,0,0.04900,0.01900,0.1123,0.1123,-0.018939,0.069893,1.2731,0.0008,29.8650,2.0517,0.0251,30.4464,1.2731,0.0027,29.8634,2.0517,-0.0243,30.4461,-0.015950,-0.000126,29.8655,-0.025150,-0.000153,30.4464,-0.015952,0.000080,29.8639,-0.025151,0.000141,30.4461,-0.00010,0.00010,-0.54886,1.10826,-0.55497,0.00038,0.00010,-0.00010,-0.54886,1.10826,-0.55497,-0.00038,0.00015,-0.00037,0.00015,-0.00037,-0.00014,-0.00308,-0.22998,-1.56709,-0.38256,0.00190,0.00014,0.00349,-0.23001,-1.56702,-0.38257,-0.00063,-0.03033,-0.00164,-0.03033,-0.00164,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00074,0.00000,0.46179,1.00000,0.00000,-0.00210,-0.00000,0.00847,0.00000,0.30067,0.30051,0.00416,0.00000,2,0.03454,0.00416,0.034540,0.01098,-1.3473,-0.0002,0.2301,0.0011,-0.6399,-0.0000,1.3925,0,0.04900,0.01900,0.0703,0.0703,-0.008976,0.069871,0.7629,0.0024,30.4006,1.3101,0.0254,31.0888,0.7628,0.0047,30.3970,1.3101,-0.0225,31.0872,-0.009289,-0.000155,30.4008,-0.015183,-0.000174,31.0888,-0.009292,0.000063,30.3972,-0.015184,0.000131,31.0872,-0.00010,0.00011,-0.54908,1.10887,-0.55542,0.00031,0.00010,-0.00011,-0.54908,1.10887,-0.55542,-0.00031,0.00013,-0.00033,0.00013,-0.00033,-0.00019,-0.00349,-0.16467,-1.48604,-0.23088,0.00283,0.00019,0.00433,-0.16474,-1.48589,-0.23092,-0.00025,-0.02031,-0.00052,-0.02031,-0.00052,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00075,0.00000,0.46181,1.00000,0.00000,-0.00211,-0.00000,0.00846,0.00000,0.30071,0.30051,0.00421,0.00001,2,0.03459,0.00421,0.034590,0.00942,-1.3142,-0.0003,0.1315,0.0017,-0.5306,-0.0000,1.0578,0,0.04900,0.01900,0.0442,0.0442,-0.002814,0.069851,0.4359,0.0045,30.7645,0.8359,0.0253,31.5205,0.4359,0.0070,30.7580,0.8359,-0.0195,31.5169,-0.005134,-0.000182,30.7645,-0.009018,-0.000193,31.5205,-0.005137,0.000037,30.7581,-0.009020,0.000108,31.5169,-0.00010,0.00011,-0.54933,1.10944,-0.55583,0.00024,0.00010,-0.00012,-0.54933,1.10944,-0.55583,-0.00024,0.00010,-0.00030,0.00010,-0.00030,-0.00022,-0.00357,-0.12117,-1.43507,-0.13166,0.00380,0.00022,0.00493,-0.12128,-1.43481,-0.13173,0.00032,-0.01409,0.00010,-0.01409,0.00010,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00075,0.00000,0.46182,1.00000,0.00000,-0.00209,-0.00000,0.00846,0.00000,0.30073,0.30051,0.00421,0.00001,2,0.03463,0.00421,0.034633,0.00795,-1.2687,-0.0003,0.0683,0.0025,-0.4562,-0.0001,0.7825,0,0.04900,0.01900,0.0279,0.0279,0.001063,0.069831,0.2264,0.0069,31.0131,0.5326,0.0258,31.8188,0.2264,0.0095,31.0028,0.5326,-0.0166,31.8124,-0.002501,-0.000208,31.0131,-0.005138,-0.000212,31.8188,-0.002506,0.000005,31.0028,-0.005142,0.000078,31.8124,-0.00010,0.00012,-0.54958,1.10993,-0.55617,0.00019,0.00010,-0.00012,-0.54958,1.10993,-0.55617,-0.00017,0.00008,-0.00026,0.00008,-0.00026,-0.00023,-0.00339,-0.09162,-1.40272,-0.06598,0.00479,0.00022,0.00535,-0.09180,-1.40230,-0.06610,0.00104,-0.01024,0.00041,-0.01024,0.00041,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00075,0.00000,0.46183,1.00000,0.00000,-0.00207,-0.00000,0.00846,0.00000,0.30076,0.30051,0.00419,0.00002,2,0.03467,0.00419,0.034669,0.00663,-1.2190,-0.0004,0.0279,0.0033,-0.4057,-0.0002,0.5561,0,0.04900,0.01900,0.0176,0.0176,0.003541,0.069811,0.0924,0.0095,31.1829,0.3375,0.0269,32.0276,0.0924,0.0121,31.1679,0.3375,-0.0138,32.0174,-0.000812,-0.000233,31.1829,-0.002659,-0.000233,32.0276,-0.000818,-0.000032,31.1679,-0.002663,0.000044,32.0174,-0.00010,0.00012,-0.54982,1.11033,-0.55643,0.00014,0.00010,-0.00013,-0.54982,1.11033,-0.55643,-0.00012,0.00006,-0.00023,0.00006,-0.00023,-0.00022,-0.00306,-0.07109,-1.38186,-0.02192,0.00580,0.00022,0.00568,-0.07136,-1.38124,-0.02210,0.00185,-0.00787,0.00052,-0.00787,0.00052,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00074,0.00000,0.46185,1.00000,0.00000,-0.00204,-0.00000,0.00846,0.00000,0.30077,0.30051,0.00414,0.00002,2,0.03470,0.00414,0.034698,0.00548,-1.1701,-0.0004,0.0021,0.0041,-0.3716,-0.0003,0.3696,0,0.04900,0.01900,0.0111,0.0110,0.005147,0.069789,0.0070,0.0123,31.2987,0.2117,0.0283,32.1743,0.0070,0.0148,31.2781,0.2117,-0.0111,32.1596,0.000286,-0.000258,31.2987,-0.001052,-0.000254,32.1743,0.000279,-0.000070,31.2781,-0.001058,0.000009,32.1596,-0.00010,0.00013,-0.55005,1.11063,-0.55660,0.00010,0.00010,-0.00014,-0.55005,1.11063,-0.55660,-0.00007,0.00004,-0.00019,0.00004,-0.00019,-0.00021,-0.00264,-0.05648,-1.36809,0.00806,0.00682,0.00020,0.00597,-0.05684,-1.36724,0.00782,0.00273,-0.00640,0.00053,-0.00640,0.00053,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00073,0.00000,0.46186,1.00000,0.00000,-0.00200,-0.00000,0.00846,0.00000,0.30079,0.30051,0.00407,0.00003,2,0.03472,0.00407,0.034723,0.00449,-1.1247,-0.0004,-0.0142,0.0049,-0.3487,-0.0004,0.2161,0,0.04900,0.01900,0.0069,0.0068,0.006203,0.069766,-0.0469,0.0151,31.3777,0.1306,0.0299,32.2779,-0.0470,0.0176,31.3506,0.1306,-0.0085,32.2576,0.001010,-0.000285,31.3777,0.000004,-0.000277,32.2779,0.001001,-0.000109,31.3506,-0.000003,-0.000028,32.2576,-0.00010,0.00013,-0.55026,1.11084,-0.55670,0.00007,0.00010,-0.00014,-0.55026,1.11084,-0.55670,-0.00002,0.00002,-0.00016,0.00002,-0.00016,-0.00020,-0.00216,-0.04578,-1.35872,0.02881,0.00785,0.00019,0.00627,-0.04627,-1.35761,0.02849,0.00364,-0.00548,0.00050,-0.00549,0.00050,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00072,0.00000,0.46187,1.00000,0.00000,-0.00195,-0.00000,0.00846,0.00000,0.30081,0.30051,0.00399,0.00004,2,0.03474,0.00399,0.034743,0.00367,-1.0842,-0.0005,-0.0244,0.0058,-0.3335,-0.0006,0.0898,0,0.04900,0.01900,0.0044,0.0041,0.006909,0.069741,-0.0808,0.0179,31.4318,0.0784,0.0317,32.3514,-0.0808,0.0203,31.3973,0.0784,-0.0060,32.3246,0.001496,-0.000312,31.4318,0.000710,-0.000302,32.3514,0.001485,-0.000148,31.3973,0.000701,-0.000064,32.3246,-0.00010,0.00013,-0.55046,1.11097,-0.55674,0.00005,0.00010,-0.00015,-0.55046,1.11097,-0.55674,0.00002,-0.00000,-0.00014,-0.00000,-0.00014,-0.00019,-0.00165,-0.03773,-1.35211,0.04342,0.00889,0.00017,0.00658,-0.03835,-1.35069,0.04302,0.00460,-0.00490,0.00044,-0.00491,0.00044,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
