t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00092,0.00001,0.48845,1.00000,0.00000,-0.00078,0.00015,0.00798,0.00001,0.31424,0.31424,0.00239,0.00440,2,0.03453,0.00239,0.034540,0.01120,-0.2537,0.0000,-0.5175,0.4113,-0.9956,0.0048,-7.1662,0,0.04900,0.01900,0.0448,0.0454,-0.004019,0.068144,-1.5573,1.2538,18.9159,0.0683,-0.7868,29.4052,-1.6028,1.2577,34.9048,0.0903,0.7959,29.4157,0.049029,-0.005351,18.9224,-0.008576,0.018998,29.4052,0.036319,-0.003027,34.8938,-0.008690,-0.018998,29.4157,-0.00038,-0.00212,-0.34813,0.70672,-0.35601,-0.00445,-0.00040,0.00203,-0.34790,0.70662,-0.35618,0.00460,0.00232,-0.01189,0.00229,-0.01363,-0.24099,-0.01465,0.35290,0.24643,0.83880,0.06116,-0.23013,-0.55491,0.68296,0.02249,1.16964,0.05591,0.22042,-0.48003,0.02174,-0.50790,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.011224,0.000008,0.004559,0.004398,0.004559,0.000000,0.024553,-0.013170,0.000000,0.007981,0.000000,0.000000,0.366002,0.633998,0.000000,0.000000,0.000000,-0.004708,0.004737
0.0050,0.00107,0.00003,0.48848,1.00000,0.00002,-0.00047,0.00054,0.00806,0.00001,0.31429,0.31424,0.00157,0.00452,2,0.03458,0.00157,0.034593,0.01043,-0.2825,-0.0001,-0.4901,0.3829,-0.7389,-0.1493,-5.5649,0,0.04900,0.01900,0.1233,0.1021,0.047865,0.045766,-1.5237,1.1689,20.2403,-1.0744,1.0535,20.3386,-1.4692,1.1690,35.1477,-1.5607,1.5048,35.3879,0.044054,-0.004641,20.2460,0.043307,-0.003384,20.3386,0.028898,-0.003299,35.1378,0.035922,-0.003657,35.3879,-0.00140,-0.00226,-0.34917,0.70740,-0.35614,-0.00379,-0.00121,0.00196,-0.34843,0.70713,-0.35674,0.00425,0.00380,-0.02113,0.00367,-0.02300,-0.21248,0.01577,0.34998,0.19195,0.80867,0.07065,-0.20540,-0.53767,0.49829,-0.19897,0.92405,0.06138,0.17192,-0.32800,0.01073,-0.34640,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.010960,0.000395,0.004559,0.004521,0.004559,0.000123,0.023761,-0.012253,0.000000,0.007615,0.000000,0.000000,0.375334,0.624666,0.000000,0.000000,0.000000,-0.004446,0.004600
0.0100,0.00120,0.00007,0.48849,1.00000,0.00003,-0.00024,0.00111,0.00813,0.00003,0.31432,0.31424,0.00094,0.00464,2,0.03462,0.00094,0.034641,0.00900,-0.2718,-0.0001,-0.4575,0.3587,-0.5160,-0.1767,-4.2340,0,0.04900,0.01900,0.1330,0.0930,0.046837,0.045845,-1.4200,1.0967,21.4026,-1.3788,0.9231,20.7949,-1.3736,1.0933,35.3466,-1.4792,1.3154,35.4643,0.036204,-0.003819,21.4072,0.042279,-0.003302,20.7949,0.025240,-0.003277,35.3377,0.028881,-0.003649,35.4643,-0.00277,-0.00247,-0.35030,0.70836,-0.35632,-0.00291,-0.00240,0.00187,-0.34890,0.70795,-0.35751,0.00381,0.00483,-0.02621,0.00456,-0.02808,-0.18614,0.03838,0.27812,0.06319,0.70142,0.06980,-0.18462,-0.52697,0.42455,-0.30449,0.80384,0.06015,0.13086,-0.19244,0.00094,-0.20391,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.010636,0.000741,0.004559,0.004644,0.004559,0.000246,0.022791,-0.011461,0.000000,0.007222,0.000000,0.000000,0.383393,0.616607,0.000000,0.000000,0.000000,-0.003792,0.004253
0.0150,0.00129,0.00012,0.48849,1.00000,0.00003,-0.00006,0.00183,0.00820,0.00005,0.31434,0.31424,0.00047,0.00477,2,0.03465,0.00047,0.034682,0.00760,-0.2440,-0.0002,-0.4232,0.3366,-0.3426,-0.1463,-3.2163,0,0.04900,0.01900,0.1304,0.0856,0.040601,0.046090,-1.3116,1.0308,22.3774,-1.4249,0.9002,21.5479,-1.2725,1.0245,35.4303,-1.3927,1.1763,35.5205,0.030471,-0.003087,22.3809,0.036041,-0.003054,21.5479,0.022356,-0.003110,35.4225,0.025343,-0.003444,35.5205,-0.00438,-0.00274,-0.35146,0.70944,-0.35652,-0.00192,-0.00390,0.00175,-0.34928,0.70895,-0.35841,0.00335,0.00552,-0.02838,0.00510,-0.03016,-0.16212,0.05645,0.22474,-0.04135,0.61766,0.06388,-0.16477,-0.51836,0.36910,-0.38656,0.70874,0.05603,0.09930,-0.09613,-0.00453,-0.10260,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.010291,0.001067,0.004559,0.004766,0.004559,0.000369,0.021754,-0.010729,0.000000,0.006822,0.000000,0.000000,0.390839,0.609161,0.000000,0.000000,0.000000,-0.002907,0.003810
0.0200,0.00136,0.00017,0.48848,1.00000,0.00004,0.00007,0.00266,0.00825,0.00009,0.31435,0.31423,0.00012,0.00489,2,0.03468,0.00012,0.034716,0.00632,-0.2156,-0.0002,-0.3901,0.3152,-0.2236,-0.1117,-2.4527,0,0.04900,0.01900,0.1209,0.0787,0.035169,0.046408,-1.2076,0.9664,23.1781,-1.3419,0.9122,22.3744,-1.1746,0.9582,35.3565,-1.2905,1.0686,35.4878,0.026262,-0.002579,23.1807,0.030605,-0.002734,22.3744,0.020148,-0.002926,35.3497,0.022495,-0.003159,35.4878,-0.00618,-0.00303,-0.35262,0.71056,-0.35671,-0.00091,-0.00563,0.00159,-0.34957,0.71002,-0.35941,0.00292,0.00598,-0.02855,0.00539,-0.03021,-0.14194,0.07286,0.18617,-0.12387,0.55400,0.05810,-0.14710,-0.50782,0.32694,-0.44670,0.63502,0.05263,0.07522,-0.02946,-0.00679,-0.03237,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.009955,0.001389,0.004559,0.004889,0.004559,0.000492,0.020747,-0.010011,0.000000,0.006432,0.000000,0.000000,0.398149,0.601851,0.000000,0.000000,0.000000,-0.001918,0.003348
0.0250,0.00141,0.00024,0.48847,0.99999,0.00004,0.00017,0.00358,0.00829,0.00013,0.31435,0.31423,0.00014,0.00501,2,0.03470,0.00014,0.034744,0.00521,-0.1894,-0.0002,-0.3591,0.2946,-0.1451,-0.0816,-1.8813,0,0.04900,0.01900,0.1099,0.0725,0.030959,0.046695,-1.1103,0.9042,23.8433,-1.2308,0.8979,23.1137,-1.0823,0.8949,35.1704,-1.1862,0.9785,35.3440,0.023072,-0.002221,23.8451,0.026393,-0.002447,23.1137,0.018424,-0.002744,35.1646,0.020272,-0.002901,35.3440,-0.00813,-0.00336,-0.35375,0.71164,-0.35685,0.00009,-0.00753,0.00141,-0.34978,0.71111,-0.36045,0.00256,0.00626,-0.02743,0.00550,-0.02893,-0.12516,0.08810,0.15820,-0.18972,0.50502,0.05300,-0.13165,-0.49594,0.29401,-0.49054,0.57718,0.05006,0.05686,0.01508,-0.00695,0.01466,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.009637,0.001704,0.004559,0.005012,0.004559,0.000614,0.019794,-0.009311,0.000000,0.006061,0.000000,0.000000,0.405266,0.594734,0.000000,0.000000,0.000000,-0.000905,0.002920
0.0300,0.00145,0.00032,0.48845,0.99999,0.00004,0.00024,0.00457,0.00832,0.00018,0.31434,0.31422,0.00033,0.00514,2,0.03472,0.00033,0.034767,0.00425,-0.1664,-0.0003,-0.3302,0.2751,-0.0956,-0.0581,-1.4535,0,0.04900,0.01900,0.0993,0.0670,0.027705,0.046938,-1.0202,0.8447,24.4053,-1.1205,0.8651,23.7573,-0.9962,0.8349,34.9106,-1.0857,0.9017,35.1233,0.020576,-0.001960,24.4064,0.023135,-0.002203,23.7573,0.017040,-0.002568,34.9057,0.018510,-0.002674,35.1233,-0.01019,-0.00370,-0.35487,0.71268,-0.35694,0.00104,-0.00957,0.00118,-0.34992,0.71218,-0.36151,0.00228,0.00642,-0.02552,0.00550,-0.02685,-0.11123,0.10243,0.13772,-0.24313,0.46653,0.04860,-0.11824,-0.48336,0.26742,-0.52257,0.53096,0.04815,0.04283,0.04332,-0.00577,0.04458,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.009340,0.002011,0.004559,0.005135,0.004559,0.000737,0.018901,-0.008636,0.000000,0.005711,0.000000,0.000000,0.412137,0.587863,0.000000,0.000000,0.000000,0.000087,0.002557
0.0350,0.00147,0.00041,0.48843,0.99998,0.00004,0.00029,0.00562,0.00835,0.00023,0.31434,0.31421,0.00048,0.00526,2,0.03474,0.00048,0.034786,0.00344,-0.1464,-0.0003,-0.3035,0.2565,-0.0658,-0.0396,-1.1321,0,0.04900,0.01900,0.0899,0.0620,0.025154,0.047138,-0.9369,0.7883,24.8915,-1.0214,0.8233,24.3168,-0.9160,0.7781,34.6069,-0.9913,0.8348,34.8531,0.018558,-0.001759,24.8921,0.020581,-0.002002,24.3168,0.015895,-0.002401,34.6028,0.017082,-0.002476,34.8531,-0.01234,-0.00406,-0.35597,0.71365,-0.35695,0.00194,-0.01170,0.00092,-0.35001,0.71322,-0.36257,0.00208,0.00650,-0.02317,0.00543,-0.02434,-0.09959,0.11602,0.12246,-0.28742,0.43541,0.04472,-0.10662,-0.47055,0.24526,-0.54617,0.49313,0.04664,0.03211,0.05976,-0.00384,0.06212,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.009062,0.002309,0.004559,0.005258,0.004559,0.000860,0.018067,-0.007986,0.000000,0.005382,0.000000,0.000000,0.418744,0.581256,0.000000,0.000000,0.000000,0.001038,0.002277
0.0400,0.00148,0.00051,0.48841,0.99998,0.00004,0.00034,0.00670,0.00836,0.00029,0.31433,0.31420,0.00059,0.00538,2,0.03475,0.00059,0.034801,0.00276,-0.1293,-0.0003,-0.2786,0.2390,-0.0489,-0.0251,-0.8896,0,0.04900,0.01900,0.0815,0.0574,0.023097,0.047312,-0.8598,0.7349,25.3216,-0.9320,0.7770,24.8122,-0.8414,0.7246,34.2795,-0.9037,0.7755,34.5533,0.016879,-0.001596,25.3219,0.018520,-0.001828,24.8122,0.014920,-0.002242,34.2761,0.015895,-0.002300,34.5533,-0.01456,-0.00444,-0.35706,0.71456,-0.35690,0.00278,-0.01390,0.00063,-0.35006,0.71422,-0.36362,0.00198,0.00654,-0.02065,0.00532,-0.02165,-0.08980,0.12897,0.11089,-0.32495,0.40950,0.04128,-0.09654,-0.45780,0.22618,-0.56374,0.46139,0.04539,0.02389,0.06782,-0.00154,0.07085,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.008802,0.002598,0.004559,0.005381,0.004559,0.000983,0.017287,-0.007364,0.000000,0.005074,0.000000,0.000000,0.425080,0.574920,0.000000,0.000000,0.000000,0.001935,0.002084
0.0450,0.00148,0.00062,0.48839,0.99997,0.00004,0.00037,0.00781,0.00837,0.00036,0.31431,0.31420,0.00067,0.00550,2,0.03477,0.00067,0.034813,0.00219,-0.1147,-0.0003,-0.2556,0.2225,-0.0406,-0.0137,-0.7056,0,0.04900,0.01900,0.0740,0.0533,0.021392,0.047467,-0.7885,0.6845,25.7097,-0.8513,0.7292,25.2578,-0.7721,0.6742,33.9421,-0.8230,0.7220,34.2378,0.015447,-0.001458,25.7097,0.016813,-0.001672,25.2578,0.014067,-0.002094,33.9392,0.014883,-0.002143,34.2378,-0.01681,-0.00483,-0.35814,0.71541,-0.35679,0.00356,-0.01614,0.00031,-0.35009,0.71518,-0.36464,0.00196,0.00653,-0.01811,0.00518,-0.01897,-0.08151,0.14138,0.10192,-0.35742,0.38728,0.03820,-0.08780,-0.44526,0.20931,-0.57698,0.43414,0.04431,0.01758,0.07010,0.00086,0.07349,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.008558,0.002879,0.004559,0.005504,0.004559,0.001106,0.016557,-0.006767,0.000000,0.004784,0.000000,0.000000,0.431148,0.568852,0.000000,0.000000,0.000000,0.002777,0.001981
