t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00019,0.00000,0.45573,1.00000,0.00000,-0.00196,0.00000,0.00886,-0.00000,0.29530,0.29530,0.00344,-0.00000,2,0.02815,0,0.04900,0.01900,0.0152,0.0152,0.005384,-0.000038,76.4465,0.001332,-0.000027,37.9254,0.005384,0.000038,76.4465,0.001332,0.000027,37.9254,-0.00011,0.00004,-0.54573,1.10302,-0.54892,0.00095,0.00011,-0.00004,-0.54573,1.10302,-0.54892,-0.00095,0.00038,-0.00041,0.00038,-0.00041,0.00006,-0.00020,-0.06079,-3.09767,0.28068,0.00034,-0.00006,0.00020,-0.06079,-3.09767,0.28068,-0.00034,-0.00150,0.00087,-0.00150,0.00087,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00019,0.00000,0.45524,1.00000,0.00000,-0.00220,-0.00000,0.00888,-0.00000,0.29456,0.29530,0.00391,0.00000,2,0.02719,0,0.04900,0.01900,0.0667,0.0667,0.006268,-0.000036,69.3846,0.004216,-0.000023,52.2168,0.006268,0.000030,69.3842,0.004216,0.000023,52.2168,-0.00011,0.00004,-0.54164,1.09440,-0.54192,0.00096,0.00011,-0.00004,-0.54164,1.09440,-0.54192,-0.00096,0.00053,-0.00039,0.00053,-0.00039,0.00008,0.00031,0.12029,-2.53228,0.47083,0.00034,-0.00008,-0.00020,0.12028,-2.53226,0.47083,0.00001,0.00927,0.00139,0.00927,0.00139,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00020,0.00000,0.45488,1.00000,0.00000,-0.00245,-0.00000,0.00889,-0.00000,0.29395,0.29530,0.00440,0.00000,2,0.02628,0,0.04900,0.01900,0.0296,0.0296,0.006970,-0.000043,63.2668,0.005491,-0.000023,49.4515,0.006970,0.000020,63.2652,0.005491,0.000022,49.4513,-0.00010,0.00004,-0.53702,1.08418,-0.53321,0.00098,0.00011,-0.00004,-0.53702,1.08418,-0.53321,-0.00097,0.00068,-0.00037,0.00068,-0.00037,0.00007,0.00059,0.19714,-2.10764,0.54585,0.00078,-0.00007,-0.00021,0.19711,-2.10757,0.54583,0.00061,0.00846,0.00087,0.00846,0.00087,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00021,0.00000,0.45461,1.00000,0.00000,-0.00272,-0.00000,0.00889,-0.00000,0.29346,0.29530,0.00491,0.00000,2,0.02548,0,0.04900,0.01900,0.0087,0.0087,0.007482,-0.000058,58.1005,0.006410,-0.000027,46.7217,0.007482,0.000004,58.0967,0.006410,0.000019,46.7208,-0.00010,0.00003,-0.53270,1.07434,-0.52418,0.00101,0.00011,-0.00004,-0.53270,1.07434,-0.52418,-0.00096,0.00079,-0.00033,0.00079,-0.00033,0.00007,0.00076,0.21155,-1.79238,0.54709,0.00157,-0.00006,-0.00007,0.21148,-1.79223,0.54705,0.00150,0.00225,-0.00000,0.00224,-0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00024,0.00000,0.45439,1.00000,0.00000,-0.00298,-0.00000,0.00890,-0.00000,0.29307,0.29530,0.00543,0.00001,2,0.02482,0,0.04900,0.01900,0.0012,0.0012,0.007690,-0.000081,53.8382,0.007033,-0.000033,44.1728,0.007689,-0.000018,53.8311,0.007033,0.000014,44.1707,-0.00010,0.00003,-0.52914,1.06601,-0.51576,0.00106,0.00011,-0.00004,-0.52914,1.06601,-0.51576,-0.00093,0.00083,-0.00030,0.00083,-0.00030,0.00006,0.00088,0.18796,-1.56640,0.49858,0.00265,-0.00005,0.00010,0.18784,-1.56611,0.49849,0.00262,-0.00621,-0.00090,-0.00622,-0.00090,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00027,0.00000,0.45421,0.99999,0.00000,-0.00324,0.00000,0.00891,-0.00000,0.29275,0.29530,0.00596,0.00001,2,0.02432,0,0.04900,0.01900,0.0032,0.0032,0.007500,-0.000110,50.3956,0.007332,-0.000041,41.8938,0.007499,-0.000045,50.3838,0.007331,0.000007,41.8898,-0.00010,0.00002,-0.52654,1.05973,-0.50857,0.00113,0.00011,-0.00005,-0.52654,1.05974,-0.50857,-0.00087,0.00075,-0.00026,0.00075,-0.00026,0.00006,0.00097,0.14312,-1.41227,0.41773,0.00392,-0.00004,0.00026,0.14293,-1.41181,0.41758,0.00391,-0.01484,-0.00162,-0.01485,-0.00162,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00032,0.00000,0.45405,0.99999,0.00000,-0.00349,-0.00000,0.00892,-0.00000,0.29249,0.29530,0.00648,0.00002,2,0.02395,0,0.04900,0.01900,0.0004,0.0003,0.006905,-0.000143,47.6702,0.007281,-0.000052,39.9236,0.006903,-0.000076,47.6523,0.007281,-0.000002,39.9171,-0.00010,0.00001,-0.52490,1.05566,-0.50298,0.00123,0.00011,-0.00006,-0.52491,1.05567,-0.50299,-0.00078,0.00055,-0.00023,0.00055,-0.00023,0.00008,0.00104,0.08943,-1.31350,0.31919,0.00531,-0.00000,0.00041,0.08914,-1.31280,0.31896,0.00531,-0.02211,-0.00203,-0.02211,-0.00204,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00038,0.00000,0.45391,0.99999,0.00000,-0.00373,-0.00000,0.00893,-0.00000,0.29229,0.29530,0.00698,0.00002,2,0.02370,0,0.04900,0.01900,0.0061,0.0061,0.005984,-0.000181,45.5546,0.006900,-0.000065,38.2655,0.005981,-0.000111,45.5288,0.006899,-0.000013,38.2556,-0.00010,-0.00001,-0.52414,1.05370,-0.49917,0.00136,0.00011,-0.00008,-0.52415,1.05371,-0.49918,-0.00066,0.00025,-0.00020,0.00025,-0.00020,0.00014,0.00110,0.03587,-1.25495,0.21556,0.00677,0.00007,0.00054,0.03548,-1.25396,0.21523,0.00676,-0.02701,-0.00207,-0.02699,-0.00207,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00044,0.00000,0.45376,0.99999,0.00000,-0.00394,-0.00000,0.00894,-0.00000,0.29212,0.29530,0.00745,0.00003,2,0.02356,0,0.04900,0.01900,0.0125,0.0125,0.004876,-0.000221,43.9451,0.006256,-0.000079,36.9005,0.004871,-0.000150,43.9097,0.006254,-0.000025,36.8862,-0.00009,-0.00003,-0.52411,1.05359,-0.49714,0.00152,0.00011,-0.00010,-0.52412,1.05362,-0.49716,-0.00050,-0.00016,-0.00017,-0.00016,-0.00017,0.00026,0.00118,-0.01156,-1.22375,0.11706,0.00824,0.00018,0.00067,-0.01210,-1.22241,0.11661,0.00822,-0.02907,-0.00173,-0.02899,-0.00173,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00050,0.00000,0.45362,0.99999,0.00000,-0.00413,-0.00000,0.00894,-0.00000,0.29198,0.29530,0.00788,0.00004,2,0.02350,0,0.04900,0.01900,0.0176,0.0176,0.003737,-0.000263,42.7466,0.005447,-0.000095,35.7984,0.003729,-0.000190,42.6999,0.005444,-0.000039,35.7787,-0.00009,-0.00005,-0.52465,1.05504,-0.49679,0.00173,0.00012,-0.00012,-0.52467,1.05509,-0.49683,-0.00030,-0.00064,-0.00015,-0.00064,-0.00015,0.00043,0.00128,-0.04960,-1.20986,0.03112,0.00971,0.00035,0.00082,-0.05030,-1.20811,0.03053,0.00967,-0.02833,-0.00108,-0.02816,-0.00107,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
