group,command,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived
forward,vx=+0.020,40,vx: +0.0196 / +0.0200 m/s (98%)   vy: -0.0014 m/s (drift),5.2,1.00,67,13,0,0,,SURVIVED
forward,vx=+0.036,40,vx: +0.0353 / +0.0360 m/s (98%)   vy: -0.0013 m/s (drift),5.2,1.00,68,8,0,0,,SURVIVED
forward,vx=+0.055,40,vx: +0.0539 / +0.0550 m/s (98%)   vy: -0.0013 m/s (drift),5.2,1.00,65,31,0,0,,SURVIVED
forward,vx=+0.073,40,vx: +0.0716 / +0.0730 m/s (98%)   vy: -0.0013 m/s (drift),5.2,1.00,67,40,0,0,,SURVIVED
forward,vx=+0.091,40,vx: +0.0890 / +0.0910 m/s (98%)   vy: -0.0014 m/s (drift),6.6,1.00,75,99,0,0,,SURVIVED
forward,vx=+0.109,40,vx: +0.1064 / +0.1090 m/s (98%)   vy: -0.0014 m/s (drift),23.2,1.00,108,274,0,2,,SURVIVED
forward,vx=+0.145,9,vx: +0.1971 / +0.1450 m/s (136%)   vy: -0.1163 m/s (drift)   wz: +0.5835 rad/s (drift),166.3,1.00,206,53,0,0,6.600,FELL
backward,vx=-0.036,40,vx: -0.0351 / -0.0360 m/s (97%)   vy: -0.0013 m/s (drift),5.2,1.00,67,9,0,0,,SURVIVED
backward,vx=-0.073,40,vx: -0.0712 / -0.0730 m/s (97%)   vy: -0.0013 m/s (drift),5.2,1.00,74,13,0,0,,SURVIVED
backward,vx=-0.091,40,vx: -0.0887 / -0.0910 m/s (97%)   vy: -0.0013 m/s (drift),5.2,1.00,64,23,0,0,,SURVIVED
backward,vx=-0.109,40,vx: -0.1059 / -0.1090 m/s (97%)   vy: -0.0013 m/s (drift),5.8,1.00,65,123,0,0,,SURVIVED
lateral,vy=+0.018,40,vy: +0.0162 / +0.0180 m/s (90%),5.2,1.00,65,11,0,0,,SURVIVED
lateral,vy=-0.018,40,vy: -0.0189 / -0.0180 m/s (105%),5.2,1.00,64,11,0,0,,SURVIVED
lateral,vy=+0.036,40,vy: +0.0338 / +0.0360 m/s (94%),8.8,1.00,67,19,0,0,,SURVIVED
lateral,vy=-0.036,40,vy: -0.0365 / -0.0360 m/s (101%),12.4,1.00,66,20,0,0,,SURVIVED
lateral,vy=+0.055,8,vx: +0.0767 m/s (drift)   vy: +0.0871 / +0.0550 m/s (158%)   wz: -0.4872 rad/s (drift),156.1,1.00,186,24,16,0,6.195,FELL
lateral,vy=-0.055,17,vx: +0.0186 m/s (drift)   vy: -0.0717 / -0.0550 m/s (130%)   wz: +0.1585 rad/s (drift),164.2,1.01,206,35,20,0,11.180,FELL
lateral,vy=+0.073,8,vx: -0.0120 m/s (drift)   vy: +0.3321 / +0.0730 m/s (455%)   wz: -0.0336 rad/s (drift),291.5,1.00,195,16,0,0,6.115,FELL
lateral,vy=-0.073,7,vx: +0.2933 m/s (drift)   vy: -0.0954 / -0.0730 m/s (131%)   wz: +0.4759 rad/s (drift),104.8,1.01,179,29,19,0,5.685,FELL
turn,wz=+0.05,40,vy: -0.0016 m/s (drift)   wz: +0.0502 / +0.0500 rad/s (100%),5.2,1.00,64,15,0,0,,SURVIVED
turn,wz=-0.05,40,vy: -0.0011 m/s (drift)   wz: -0.0503 / -0.0500 rad/s (101%),5.2,1.00,71,9,0,0,,SURVIVED
turn,wz=+0.10,40,vy: -0.0019 m/s (drift)   wz: +0.1005 / +0.1000 rad/s (100%),5.2,1.00,62,12,0,0,,SURVIVED
turn,wz=-0.10,40,wz: -0.1006 / -0.1000 rad/s (101%),5.2,1.00,70,9,0,0,,SURVIVED
turn,wz=+0.20,40,vy: -0.0023 m/s (drift)   wz: +0.2009 / +0.2000 rad/s (100%),5.2,1.00,60,6,0,0,,SURVIVED
turn,wz=-0.20,40,wz: -0.2011 / -0.2000 rad/s (101%),5.2,1.00,82,15,0,0,,SURVIVED
turn,wz=+0.40,40,vy: -0.0033 m/s (drift)   wz: +0.4020 / +0.4000 rad/s (100%),5.2,1.00,58,9,0,0,,SURVIVED
turn,wz=-0.40,40,wz: -0.4021 / -0.4000 rad/s (101%),5.2,1.00,80,16,0,0,,SURVIVED
turn,wz=+0.60,40,vx: +0.0014 m/s (drift)   vy: -0.0031 m/s (drift)   wz: +0.6031 / +0.6000 rad/s (101%),9.6,1.00,59,14,0,0,,SURVIVED
turn,wz=-0.60,40,wz: -0.6037 / -0.6000 rad/s (101%),17.4,1.00,85,29,0,0,,SURVIVED
turn,wz=+0.80,16,vx: +0.0342 m/s (drift)   vy: -0.0335 m/s (drift)   wz: +0.3940 / +0.8000 rad/s (49%),405.9,1.01,201,92,68,0,10.520,FELL
turn,wz=-0.80,11,vx: -0.0215 m/s (drift)   vy: +0.0650 m/s (drift)   wz: -0.7442 / -0.8000 rad/s (93%),194.3,1.01,198,37,29,0,7.735,FELL
turn fast,wz=+0.80 t=0.40,40,vx: +0.0021 m/s (drift)   vy: -0.0039 m/s (drift)   wz: +0.8132 / +0.8000 rad/s (102%),11.3,1.01,60,12,0,0,,SURVIVED
turn fast,wz=+1.00 t=0.40,32,vx: +0.0019 m/s (drift)   vy: -0.0149 m/s (drift)   wz: +0.9423 / +1.0000 rad/s (94%),176.9,1.01,141,41,13,0,14.535,FELL
squat,amp=10mm still,0,no command,2.8,0.39,2,0,0,0,,SURVIVED
squat,amp=10mm walk,40,vx: +0.0538 / +0.0550 m/s (98%)   vy: -0.0014 m/s (drift),5.2,1.00,85,26,0,0,,SURVIVED
squat,amp=20mm still,0,no command,2.8,0.39,2,0,0,0,,SURVIVED
squat,amp=20mm walk,40,vx: +0.0538 / +0.0550 m/s (98%)   vy: -0.0014 m/s (drift),5.2,1.00,100,19,0,0,,SURVIVED
squat,amp=40mm still,0,no command,2.8,0.40,2,0,0,0,,SURVIVED
squat,amp=40mm walk,40,vx: +0.0532 / +0.0550 m/s (97%)   vy: -0.0014 m/s (drift),11.0,1.00,106,18,0,0,,SURVIVED
combined,vx+wz,40,vx: +0.0540 / +0.0550 m/s (98%)   vy: -0.0025 m/s (drift)   wz: +0.1004 / +0.1000 rad/s (100%),5.2,1.00,62,30,0,0,,SURVIVED
combined,vx+vy,40,vx: +0.0546 / +0.0550 m/s (99%)   vy: +0.0335 / +0.0360 m/s (93%),12.9,1.00,88,33,0,0,,SURVIVED
combined,vx+squat,40,vx: +0.0538 / +0.0550 m/s (98%)   vy: -0.0014 m/s (drift),5.2,1.00,100,19,0,0,,SURVIVED
