cell,stance,budget_ns,prox 0 safe,prox 0 fail,prox 0 speckle,prox 1e-4 safe,prox 1e-4 fail,prox 1e-4 speckle
fwd ds,DS,1.81,1.500,1.550,0/0,1.250,1.500,3/4
back ds,DS,1.81,0.750,0.800,0/0,0.750,0.800,0/0
left ds,DS,0.70,0.000,0.700,4/5,0.450,0.500,0/0
right ds,DS,0.70,0.900,0.950,0/0,0.850,0.900,0/0
diag ds,DS,1.00,0.700,0.750,0/0,0.650,0.700,0/0
fwd ss,SS/R,1.81,1.350,1.600,2/4,1.300,,3/6
back ss,SS/R,1.81,1.000,1.050,0/0,0.900,1.050,1/2
left ss,SS/R,0.70,0.600,,1/4,0.750,0.800,0/0
right ss,SS/R,0.70,0.650,0.700,0/0,0.000,0.600,3/4
diag ss,SS/R,1.00,0.700,,3/4,0.800,0.850,0/0
left ds (mirror),DS,0.70,0.950,1.000,0/0,0.850,0.900,0/0
left ss (mirror),SS/L,0.70,0.000,,6/9,0.350,0.550,1/3
right ds (mirror),DS,0.70,0.400,,4/5,0.500,0.550,0/0
right ss (mirror),SS/L,0.70,0.550,0.600,0/0,0.750,,0/0
