cell,stance,budget_ns,cad 0.35 safe,cad 0.35 fail,cad 0.35 speckle,cad 0.30 safe,cad 0.30 fail,cad 0.30 speckle,cad 0.25 safe,cad 0.25 fail,cad 0.25 speckle,cad 0.20 safe,cad 0.20 fail,cad 0.20 speckle
fwd ds,DS,1.81,1.350,1.550,2/3,1.400,1.450,0/0,1.200,1.250,0/0,1.200,1.250,0/0
back ds,DS,1.81,0.750,0.800,0/0,0.750,0.800,0/0,1.050,,0/0,0.800,,4/5
left ds,DS,0.70,0.650,0.800,1/2,0.450,0.500,0/0,0.350,0.400,0/0,0.400,0.450,0/0
right ds,DS,0.70,0.950,1.000,0/0,0.950,1.000,0/0,1.100,,2/3,1.200,1.250,0/0
diag ds,DS,1.00,0.550,0.750,2/3,0.650,,1/4,0.550,0.700,1/2,0.450,0.650,2/3
fwd ss,SS/R,1.81,1.400,1.650,3/4,1.550,1.600,0/0,1.100,1.450,3/6,0.000,1.350,3/5
back ss,SS/R,1.81,0.900,0.950,0/0,0.850,1.100,1/4,0.850,,2/7,0.800,1.000,2/3
left ss,SS/R,0.70,0.600,0.850,1/4,0.700,0.750,0/0,0.800,,1/2,0.900,,0/0
right ss,SS/R,0.70,0.600,0.650,0/0,0.450,0.600,1/2,0.000,0.650,4/7,0.400,0.450,0/0
diag ss,SS/R,1.00,0.700,,4/6,0.700,1.000,4/5,1.000,,0/0,1.000,,0/0
left ds (mirror),DS,0.70,0.950,1.000,0/0,1.150,1.200,0/0,1.100,,2/3,1.250,,0/0
left ss (mirror),SS/L,0.70,0.450,0.650,2/3,0.250,0.650,6/7,0.150,0.750,6/11,0.150,,8/12
right ds (mirror),DS,0.70,0.450,,5/6,0.450,0.500,0/0,0.350,0.400,0/0,0.400,0.450,0/0
right ss (mirror),SS/L,0.70,0.550,0.850,2/5,0.700,,2/3,0.850,,0/0,0.850,,0/0
