cell,stance,budget_ns,sole 38 safe,sole 38 fail,sole 38 speckle,sole 46 safe,sole 46 fail,sole 46 speckle,sole 60 safe,sole 60 fail,sole 60 speckle
fwd ds,DS,1.81,1.500,1.550,0/0,1.300,1.450,1/2,1.350,1.500,1/2
back ds,DS,1.81,0.750,0.800,0/0,0.850,,1/2,0.950,,0/0
left ds,DS,0.70,0.000,0.700,4/5,0.500,0.850,1/6,0.650,,3/4
right ds,DS,0.70,0.900,0.950,0/0,0.950,1.000,0/0,1.100,1.150,0/0
diag ds,DS,1.00,0.700,0.750,0/0,0.750,,0/0,0.750,,0/0
fwd ss,SS/R,1.81,1.350,1.600,2/4,1.350,,1/5,1.600,,0/0
back ss,SS/R,1.81,1.000,1.050,0/0,0.900,1.050,1/2,1.050,1.100,0/0
left ss,SS/R,0.70,0.600,,1/4,0.750,0.800,0/0,0.800,,0/0
right ss,SS/R,0.70,0.650,0.700,0/0,0.800,,0/0,0.450,,3/7
diag ss,SS/R,1.00,0.700,,3/4,0.900,,0/0,0.900,,0/0
left ds (mirror),DS,0.70,0.950,1.000,0/0,0.950,1.000,0/0,1.150,,0/0
left ss (mirror),SS/L,0.70,0.000,,6/9,0.650,,0/0,0.500,0.650,1/2
right ds (mirror),DS,0.70,0.400,,4/5,0.550,0.600,0/0,0.650,,0/0
right ss (mirror),SS/L,0.70,0.550,0.600,0/0,0.700,0.750,0/0,0.750,,0/0
