cell,stance,budget_ns,timing off safe,timing off fail,timing off speckle,timing on safe,timing on fail,timing on speckle
fwd ds,DS,1.81,1.200,,0/0,1.050,,2/3
back ds,DS,1.81,0.750,,2/9,0.750,1.200,2/8
left ds,DS,0.70,0.650,0.800,1/2,0.650,0.850,2/3
right ds,DS,0.70,0.950,1.000,0/0,0.950,,1/5
diag ds,DS,1.00,0.550,0.750,2/3,0.550,,3/13
fwd ss,SS/R,1.81,1.200,,0/0,1.200,,0/0
back ss,SS/R,1.81,0.900,0.950,0/0,0.900,1.050,1/2
left ss,SS/R,0.70,0.600,1.100,2/9,0.750,0.800,0/0
right ss,SS/R,0.70,0.600,0.650,0/0,0.850,1.150,3/5
diag ss,SS/R,1.00,0.700,,6/10,1.200,,0/0
left ds (mirror),DS,0.70,0.950,1.000,0/0,1.200,,0/0
left ss (mirror),SS/L,0.70,0.450,0.650,2/3,0.450,1.100,6/12
right ds (mirror),DS,0.70,0.450,0.800,5/6,0.450,0.800,5/6
right ss (mirror),SS/L,0.70,0.550,0.850,2/5,0.750,0.800,0/0
