cell,impulse,push_dt,verdict,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived,fired,stance,budget,peak_dcm,peak_tilt,push_degraded,recover_s,push_cop,push_ankle,spill,edge_pct,edge_leave,xfer_t,impact,fz_min,unloaded,slid,verdict_push
fwd ds,1.3500,0.05,fell,9,vx: +0.3241 / +0.0550 m/s (589%)   vy: +0.0099 m/s (drift)   wz: -0.0266 rad/s (drift),386.1,1.00,198,17,9,0,6.435,FELL,5.155,DS,1.81,386.1,0.527,14,,1.00,198,,0,0,0.150,1.53,0.75,135,5,fell
fwd ds,1.3500,0.1,recovered,20,vx: +0.0497 / +0.0550 m/s (90%)   vy: -0.0032 m/s (drift)   wz: -0.0011 rad/s (drift),33.0,1.00,64,20,0,0,,SURVIVED,5.155,DS,1.81,33.0,0.030,17,0.275,1.00,64,,0,0,0.150,1.33,0.75,0,140,recovered
fwd ds,1.3500,0.15,fell,7,vx: +0.1869 / +0.0550 m/s (340%)   vy: -0.0293 m/s (drift)   wz: +0.1682 rad/s (drift),186.1,1.01,190,32,0,0,5.800,FELL,5.155,DS,1.81,186.1,0.521,29,,1.01,190,0.005,95,5,0.150,1.22,0.93,85,5,fell
fwd ds,1.3500,0.2,fell,8,vx: +0.3420 / +0.0550 m/s (622%)   vy: -0.1951 m/s (drift)   wz: +1.2294 rad/s (drift),371.3,1.01,204,58,20,0,6.160,FELL,5.155,DS,1.81,371.3,0.539,55,,1.01,204,0.055,35,0,0.150,1.23,0.96,270,40,fell
back ds,0.7500,0.05,fell,8,vx: +0.2489 / +0.0550 m/s (452%)   vy: -0.0179 m/s (drift)   wz: +0.4966 rad/s (drift),63.6,1.00,174,22,7,0,5.880,FELL,5.155,DS,1.81,63.6,0.524,19,,1.00,174,,100,,0.150,1.51,0.51,50,5,fell
back ds,0.7500,0.1,absorbed,20,vx: +0.0531 / +0.0550 m/s (97%)   vy: -0.0033 m/s (drift),13.1,1.00,64,13,0,0,,SURVIVED,5.155,DS,1.81,13.1,0.015,10,,1.00,64,,0,0,0.150,1.18,0.87,0,155,absorbed
back ds,0.7500,0.15,absorbed,20,vx: +0.0529 / +0.0550 m/s (96%)   vy: -0.0033 m/s (drift),10.7,1.00,64,15,0,0,,SURVIVED,5.155,DS,1.81,10.7,0.013,12,,1.00,64,0.005,0,0,0.150,1.22,0.96,0,150,absorbed
back ds,0.7500,0.2,absorbed,20,vx: +0.0527 / +0.0550 m/s (96%)   vy: -0.0033 m/s (drift),8.5,1.00,65,13,0,0,,SURVIVED,5.155,DS,1.81,8.5,0.013,10,,1.00,65,0.055,0,0,0.150,1.20,0.96,0,130,absorbed
left ds,0.6500,0.05,absorbed,20,vx: +0.0515 / +0.0550 m/s (94%)   vy: -0.0042 m/s (drift)   wz: -0.0022 rad/s (drift),17.0,1.00,66,14,0,0,,SURVIVED,5.155,DS,0.70,17.0,0.010,11,,1.00,66,,10,10,0.150,1.36,0.52,0,140,absorbed
left ds,0.6500,0.1,absorbed,20,vx: +0.0516 / +0.0550 m/s (94%)   vy: -0.0042 m/s (drift)   wz: -0.0024 rad/s (drift),16.8,1.00,65,17,0,0,,SURVIVED,5.155,DS,0.70,16.8,0.009,14,,1.00,65,,15,15,0.150,1.43,0.49,5,135,absorbed
