t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00064,0.00000,0.46168,1.00000,0.00000,-0.00196,0.00000,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0,0.04900,0.01900,0.0288,0.0288,-0.044990,-0.000057,27.8734,0.007182,-0.002494,32.6831,-0.044990,0.000057,27.8734,0.007182,0.002494,32.6831,-0.00011,0.00009,-0.54856,1.10723,-0.55428,0.00051,0.00011,-0.00009,-0.54856,1.10723,-0.55428,-0.00051,0.00018,-0.00042,0.00018,-0.00042,0.00011,-0.00061,-0.48390,-1.90368,-0.98005,0.00035,-0.00011,0.00061,-0.48390,-1.90368,-0.98005,-0.00035,-0.07239,-0.00683,-0.07239,-0.00683,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00069,0.00000,0.46173,1.00000,0.00000,-0.00204,-0.00000,0.00851,0.00000,0.30058,0.30051,0.00392,0.00000,2,0.03442,0,0.04900,0.01900,0.1793,0.1793,-0.026827,-0.000094,29.0688,-0.041476,-0.000132,29.4834,-0.026828,0.000081,29.0684,-0.041476,0.000132,29.4834,-0.00011,0.00009,-0.54867,1.10767,-0.55455,0.00045,0.00011,-0.00009,-0.54867,1.10767,-0.55455,-0.00045,0.00017,-0.00040,0.00017,-0.00040,-0.00004,-0.00221,-0.32968,-1.69656,-0.61675,0.00107,0.00004,0.00232,-0.32969,-1.69655,-0.61676,-0.00072,-0.04643,-0.00359,-0.04643,-0.00359,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00072,0.00000,0.46176,1.00000,0.00000,-0.00208,-0.00000,0.00849,0.00000,0.30063,0.30051,0.00407,0.00000,2,0.03448,0,0.04900,0.01900,0.1123,0.1123,-0.015951,-0.000126,29.8654,-0.025151,-0.000153,30.4466,-0.015953,0.000080,29.8639,-0.025151,0.000141,30.4462,-0.00010,0.00010,-0.54886,1.10826,-0.55497,0.00038,0.00010,-0.00010,-0.54886,1.10826,-0.55497,-0.00038,0.00015,-0.00037,0.00015,-0.00037,-0.00014,-0.00309,-0.23000,-1.56713,-0.38258,0.00190,0.00014,0.00349,-0.23002,-1.56706,-0.38260,-0.00063,-0.03033,-0.00164,-0.03033,-0.00164,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00074,0.00000,0.46179,1.00000,0.00000,-0.00210,-0.00000,0.00847,0.00000,0.30067,0.30051,0.00416,0.00000,2,0.03454,0,0.04900,0.01900,0.0702,0.0702,-0.009291,-0.000155,30.4006,-0.015184,-0.000174,31.0891,-0.009293,0.000063,30.3970,-0.015185,0.000131,31.0876,-0.00010,0.00011,-0.54908,1.10887,-0.55542,0.00031,0.00010,-0.00011,-0.54908,1.10887,-0.55542,-0.00031,0.00013,-0.00033,0.00013,-0.00033,-0.00019,-0.00349,-0.16470,-1.48611,-0.23092,0.00283,0.00019,0.00433,-0.16476,-1.48597,-0.23096,-0.00025,-0.02032,-0.00052,-0.02032,-0.00052,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00075,0.00000,0.46181,1.00000,0.00000,-0.00211,-0.00000,0.00846,0.00000,0.30071,0.30051,0.00421,0.00001,2,0.03459,0,0.04900,0.01900,0.0442,0.0442,-0.005136,-0.000182,30.7641,-0.009019,-0.000193,31.5210,-0.005139,0.000037,30.7576,-0.009021,0.000108,31.5175,-0.00010,0.00011,-0.54933,1.10944,-0.55583,0.00024,0.00010,-0.00012,-0.54933,1.10944,-0.55583,-0.00024,0.00010,-0.00030,0.00010,-0.00030,-0.00022,-0.00357,-0.12120,-1.43518,-0.13172,0.00380,0.00022,0.00493,-0.12131,-1.43491,-0.13179,0.00032,-0.01410,0.00010,-0.01410,0.00010,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00075,0.00000,0.46182,1.00000,0.00000,-0.00209,-0.00000,0.00846,0.00000,0.30073,0.30051,0.00421,0.00001,2,0.03463,0,0.04900,0.01900,0.0279,0.0279,-0.002504,-0.000208,31.0124,-0.005140,-0.000213,31.8196,-0.002509,0.000005,31.0021,-0.005144,0.000078,31.8131,-0.00010,0.00012,-0.54958,1.10993,-0.55617,0.00019,0.00010,-0.00012,-0.54958,1.10993,-0.55617,-0.00017,0.00008,-0.00026,0.00008,-0.00026,-0.00023,-0.00340,-0.09165,-1.40286,-0.06605,0.00479,0.00022,0.00536,-0.09184,-1.40244,-0.06617,0.00104,-0.01025,0.00041,-0.01025,0.00041,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00075,0.00000,0.46183,1.00000,0.00000,-0.00207,-0.00000,0.00846,0.00000,0.30076,0.30051,0.00419,0.00002,2,0.03467,0,0.04900,0.01900,0.0176,0.0176,-0.000815,-0.000233,31.1817,-0.002662,-0.000233,32.0285,-0.000821,-0.000032,31.1667,-0.002666,0.000044,32.0184,-0.00010,0.00012,-0.54982,1.11033,-0.55643,0.00014,0.00010,-0.00013,-0.54982,1.11033,-0.55643,-0.00012,0.00006,-0.00023,0.00006,-0.00023,-0.00022,-0.00307,-0.07114,-1.38202,-0.02200,0.00580,0.00022,0.00569,-0.07140,-1.38141,-0.02218,0.00185,-0.00788,0.00052,-0.00788,0.00052,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00074,0.00000,0.46185,1.00000,0.00000,-0.00204,-0.00000,0.00846,0.00000,0.30077,0.30051,0.00414,0.00002,2,0.03470,0,0.04900,0.01900,0.0111,0.0110,0.000283,-0.000258,31.2970,-0.001055,-0.000254,32.1755,0.000275,-0.000070,31.2764,-0.001061,0.000009,32.1607,-0.00010,0.00013,-0.55005,1.11063,-0.55660,0.00010,0.00010,-0.00014,-0.55005,1.11063,-0.55660,-0.00007,0.00004,-0.00019,0.00004,-0.00019,-0.00021,-0.00265,-0.05653,-1.36829,0.00797,0.00682,0.00020,0.00598,-0.05689,-1.36744,0.00773,0.00272,-0.00641,0.00053,-0.00642,0.00053,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00073,0.00000,0.46186,1.00000,0.00000,-0.00199,-0.00000,0.00846,0.00000,0.30079,0.30051,0.00407,0.00003,2,0.03472,0,0.04900,0.01900,0.0069,0.0068,0.001007,-0.000285,31.3754,0.000000,-0.000277,32.2792,0.000998,-0.000109,31.3484,-0.000007,-0.000028,32.2589,-0.00010,0.00013,-0.55026,1.11084,-0.55670,0.00007,0.00010,-0.00014,-0.55026,1.11084,-0.55670,-0.00002,0.00002,-0.00016,0.00002,-0.00016,-0.00020,-0.00217,-0.04583,-1.35895,0.02871,0.00786,0.00019,0.00628,-0.04632,-1.35783,0.02839,0.00364,-0.00550,0.00049,-0.00550,0.00049,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00072,0.00000,0.46187,1.00000,0.00000,-0.00195,-0.00000,0.00846,0.00000,0.30081,0.30051,0.00399,0.00004,2,0.03474,0,0.04900,0.01900,0.0044,0.0041,0.001493,-0.000313,31.4288,0.000706,-0.000302,32.3528,0.001482,-0.000148,31.3943,0.000697,-0.000064,32.3261,-0.00010,0.00013,-0.55046,1.11096,-0.55674,0.00005,0.00010,-0.00015,-0.55046,1.11097,-0.55674,0.00002,-0.00000,-0.00014,-0.00000,-0.00014,-0.00019,-0.00166,-0.03779,-1.35236,0.04332,0.00890,0.00017,0.00659,-0.03841,-1.35094,0.04291,0.00459,-0.00492,0.00044,-0.00493,0.00044,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
