t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00092,0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03425,0.00183,0.034247,0.02459,-1.6701,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0863,0.056853,0.118397,15.5921,-80.3776,134.2966,-8.9380,-0.6137,173.2324,16.8749,80.3061,133.8681,-8.9347,0.6301,173.0819,-0.085001,0.030001,134.2911,0.025531,-0.000134,173.2324,-0.085001,-0.029901,133.8620,0.025547,0.000147,173.0819,-0.32327,0.00027,0.00027,0.70536,-0.38090,-0.00016,-0.32326,-0.00027,-0.00028,0.70535,-0.38090,0.00016,0.00133,0.00112,0.00133,0.00112,-1.57974,44.03902,-16.41745,-15.47193,-5.99467,-1.21580,-0.74256,-44.02055,16.42305,-14.97986,-5.90648,1.19208,-2.99701,-2.04579,-3.06539,-2.04725,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00009,0.00000,0.75210,1.00000,-0.00000,-0.00092,0.00000,0.03514,0.00007,0.68457,0.68452,0.00184,0.00007,2,0.03431,0.00184,0.034310,0.03390,-2.9206,-0.0000,0.7698,-0.0023,-2.0347,-0.0007,0.5167,1,0.08500,0.03000,0.4356,0.4416,-0.033565,0.131151,13.1818,79.4196,132.8927,19.2261,-41.5028,175.0418,13.0943,-79.4974,132.5073,20.3380,41.4937,174.4237,-0.085001,0.029999,132.8883,-0.064884,0.012608,175.0418,-0.085001,-0.029997,132.5027,-0.064832,-0.012612,174.4237,-0.32334,0.00081,0.00094,0.70551,-0.38153,-0.00047,-0.32334,-0.00080,-0.00095,0.70551,-0.38153,0.00046,0.00119,0.00091,0.00119,0.00091,-1.57974,44.03902,-16.41745,-15.47193,-5.99467,-1.21580,-0.74256,-44.02055,16.42305,-14.97986,-5.90648,1.19208,-2.99701,-2.04579,-3.06539,-2.04725,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00011,0.00000,0.75214,1.00000,-0.00000,-0.00092,0.00000,0.03512,0.00007,0.68463,0.68452,0.00184,0.00008,2,0.03437,0.00184,0.034371,0.02981,-4.1749,-0.0001,0.5894,-0.0021,-2.1201,-0.0010,0.2537,0,0.08500,0.03000,0.4446,0.4506,-0.032685,0.131217,10.0514,-3.6682,131.3483,18.9716,-42.7612,175.3899,10.0655,3.5951,131.1362,20.1049,42.7541,174.7847,-0.078270,-0.022327,131.3354,-0.063996,0.012644,175.3899,-0.078286,0.022493,131.1232,-0.063944,-0.012649,174.7847,-0.32343,0.00133,0.00160,0.70570,-0.38219,-0.00070,-0.32343,-0.00132,-0.00161,0.70569,-0.38218,0.00068,0.00103,0.00068,0.00103,0.00068,-1.95320,-5.98580,1.98366,-16.48036,-5.02483,3.04063,-1.98884,5.99399,-1.98782,-16.45860,-5.01853,-3.05400,-1.78950,-1.12070,-1.78444,-1.12064,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00013,0.00000,0.75217,1.00000,-0.00000,-0.00091,0.00000,0.03511,0.00008,0.68467,0.68452,0.00183,0.00008,2,0.03443,0.00183,0.034425,0.02601,-3.9091,-0.0002,0.4728,-0.0017,-1.9148,-0.0008,0.1537,0,0.08500,0.03000,0.1503,0.1505,-0.042379,0.099111,8.0638,-3.1307,134.8526,13.0622,0.3532,144.9133,8.0752,3.0718,134.6409,13.0530,-0.4072,144.6809,-0.064202,-0.018543,134.8373,-0.073746,-0.019469,144.9133,-0.064208,0.018636,134.6257,-0.073750,0.019602,144.6809,-0.32351,0.00174,0.00213,0.70585,-0.38272,-0.00082,-0.32351,-0.00174,-0.00214,0.70584,-0.38272,0.00080,0.00086,0.00044,0.00086,0.00044,-1.52478,-5.13417,1.68193,-15.72529,-3.37625,2.59658,-1.55596,5.14353,-1.68478,-15.70444,-3.37165,-2.60178,-1.74485,-1.13413,-1.73979,-1.13405,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00014,0.00000,0.75221,1.00000,-0.00000,-0.00090,0.00000,0.03510,0.00008,0.68472,0.68452,0.00182,0.00008,2,0.03447,0.00182,0.034472,0.02252,-3.6515,-0.0002,0.3729,-0.0013,-1.7354,-0.0005,0.0634,0,0.08500,0.03000,0.1261,0.1263,-0.030073,0.101984,6.3602,-2.6978,137.9138,11.1292,1.1392,147.8337,6.3694,2.6550,137.7021,11.1168,-1.1827,147.6000,-0.052699,-0.015653,137.8986,-0.061446,-0.016644,147.8337,-0.052697,0.015674,137.6869,-0.061443,0.016718,147.6000,-0.32359,0.00207,0.00257,0.70597,-0.38315,-0.00087,-0.32358,-0.00207,-0.00258,0.70597,-0.38315,0.00084,0.00068,0.00021,0.00068,0.00021,-1.15536,-4.45042,1.44152,-15.07304,-1.96506,2.24375,-1.18287,4.46118,-1.44336,-15.05282,-1.96189,-2.24036,-1.70224,-1.14325,-1.69710,-1.14316,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00016,0.00000,0.75224,1.00000,-0.00000,-0.00089,0.00000,0.03510,0.00008,0.68476,0.68452,0.00180,0.00008,2,0.03451,0.00180,0.034512,0.01943,-3.4074,-0.0003,0.2875,-0.0008,-1.5791,-0.0003,-0.0182,0,0.08500,0.03000,0.1070,0.1070,-0.019916,0.104184,4.9032,-2.3538,140.5831,9.4857,1.7608,150.3547,4.9106,2.3280,140.3706,9.4712,-1.7936,150.1183,-0.043223,-0.013459,140.5694,-0.051291,-0.014495,150.3547,-0.043216,0.013408,140.3570,-0.051284,0.014512,150.1183,-0.32366,0.00234,0.00292,0.70607,-0.38348,-0.00086,-0.32365,-0.00234,-0.00294,0.70606,-0.38347,0.00083,0.00050,-0.00002,0.00050,-0.00002,-0.83611,-3.90899,1.25266,-14.50843,-0.75632,1.96764,-0.86072,3.92145,-1.25378,-14.48864,-0.75429,-1.95511,-1.66218,-1.14908,-1.65691,-1.14897,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00017,0.00000,0.75226,1.00000,-0.00000,-0.00088,0.00000,0.03509,0.00008,0.68479,0.68452,0.00178,0.00008,2,0.03455,0.00178,0.034547,0.01671,-3.1859,-0.0003,0.2140,-0.0002,-1.4450,-0.0002,-0.0936,0,0.08500,0.03000,0.0917,0.0918,-0.011399,0.106012,3.6489,-2.0740,142.8725,8.1154,2.1933,152.7520,3.6549,2.0663,142.6585,8.0994,-2.2154,152.5153,-0.035424,-0.011759,142.8611,-0.042774,-0.012716,152.7520,-0.035412,0.011637,142.6472,-0.042762,0.012672,152.5153,-0.32372,0.00255,0.00321,0.70614,-0.38371,-0.00082,-0.32371,-0.00255,-0.00323,0.70613,-0.38371,0.00078,0.00031,-0.00024,0.00031,-0.00024,-0.56252,-3.47117,1.10077,-14.02530,0.27170,1.74658,-0.58486,3.48523,-1.10166,-14.00576,0.27281,-1.72475,-1.62626,-1.15276,-1.62094,-1.15265,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00018,0.00000,0.75229,1.00000,-0.00000,-0.00086,0.00001,0.03509,0.00008,0.68482,0.68452,0.00175,0.00008,2,0.03458,0.00175,0.034577,0.01434,-2.9900,-0.0003,0.1512,0.0003,-1.3305,-0.0001,-0.1633,0,0.08500,0.03000,0.0788,0.0788,-0.004293,0.107530,2.5781,-1.8468,144.8272,6.8934,2.4697,154.8681,2.5831,1.8577,144.6111,6.8754,-2.4778,154.6301,-0.028955,-0.010440,144.8184,-0.035666,-0.011243,154.8681,-0.028939,0.010247,144.6024,-0.035648,0.011138,154.6301,-0.32378,0.00272,0.00344,0.70618,-0.38388,-0.00075,-0.32377,-0.00272,-0.00346,0.70617,-0.38387,0.00071,0.00012,-0.00047,0.00012,-0.00047,-0.32671,-3.11818,0.97860,-13.60921,1.14854,1.57019,-0.34733,3.13400,-0.97960,-13.58978,1.14893,-1.53865,-1.59446,-1.15500,-1.58913,-1.15488,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00019,0.00000,0.75231,1.00000,-0.00000,-0.00085,0.00001,0.03508,0.00008,0.68485,0.68452,0.00173,0.00008,2,0.03460,0.00173,0.034602,0.01227,-2.8171,-0.0004,0.0977,0.0009,-1.2327,0.0000,-0.2278,0,0.08500,0.03000,0.0685,0.0684,0.001629,0.108718,1.6648,-1.6619,146.4969,5.8471,2.6911,156.6704,1.6690,1.6918,146.2780,5.8281,-2.6854,156.4306,-0.023556,-0.009416,146.4908,-0.029742,-0.010096,156.6704,-0.023536,0.009151,146.2720,-0.029720,0.009930,156.4306,-0.32383,0.00285,0.00363,0.70620,-0.38397,-0.00066,-0.32382,-0.00286,-0.00365,0.70620,-0.38397,0.00062,-0.00008,-0.00069,-0.00008,-0.00069,-0.12288,-2.83351,0.88033,-13.24968,1.89751,1.42957,-0.14216,2.85125,-0.88167,-13.23024,1.89732,-1.38797,-1.56631,-1.15611,-1.56096,-1.15598,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00019,0.00000,0.75233,1.00000,-0.00000,-0.00083,0.00001,0.03508,0.00008,0.68488,0.68452,0.00169,0.00009,2,0.03461,0.00169,0.034607,-0.00673,-2.6645,-0.0004,0.0520,0.0014,-1.1492,0.0001,-0.2874,0,0.08500,0.03000,0.0641,0.0640,0.006301,0.108827,0.8858,-1.5110,147.9238,4.9721,3.4379,157.2163,0.8893,1.5604,147.7014,4.9528,-3.4288,156.9533,-0.019026,-0.008620,147.9203,-0.025071,-0.010022,157.2163,-0.019002,0.008280,147.6979,-0.025051,0.009809,156.9533,-0.32384,0.00296,0.00378,0.70608,-0.38358,-0.00058,-0.32383,-0.00296,-0.00380,0.70607,-0.38358,0.00054,-0.00028,-0.00091,-0.00028,-0.00091,0.05375,-2.60387,0.80131,-12.93824,2.53795,1.31764,0.03549,2.62368,-0.80317,-12.91869,2.53728,-1.26568,-1.54136,-1.15632,-1.53600,-1.15619,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
