t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00007,0.00000,0.75203,1.00000,-0.00000,-0.00092,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32333,0.00004,-0.00002,0.70541,-0.38065,-0.00002,-0.32332,-0.00003,0.00001,0.70541,-0.38065,0.00002,0.00136,0.00121,0.00136,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00010,0.00000,0.75203,1.00000,-0.00000,-0.00091,-0.00000,0.03514,0.00007,0.68455,0.68452,0.00184,0.00007,2,0.03426,0.00184,1,0.08500,0.03000,0.5057,0.5056,-0.011648,0.118664,-29.3711,89.8962,149.9900,19.5591,-0.2846,64.4741,55.7319,-89.9680,150.0240,19.5569,0.2833,64.4689,-0.013759,-0.000681,150.0002,-0.042972,0.000133,64.4741,-0.024485,0.002275,150.0002,-0.042971,-0.000132,64.4689,-0.32354,0.00004,-0.00002,0.70571,-0.38071,-0.00002,-0.32353,-0.00003,0.00001,0.70570,-0.38070,0.00002,0.00128,0.00122,0.00128,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00014,0.00000,0.75200,1.00000,-0.00000,-0.00090,-0.00000,0.03512,0.00007,0.68456,0.68452,0.00183,0.00007,2,0.03429,0.00183,0,0.08500,0.03000,0.4924,0.4924,-0.010436,0.118662,-69.6519,89.9268,149.9765,19.3400,-0.2839,65.4652,89.9458,-89.9984,150.0342,19.3379,0.2826,65.4599,-0.079919,-0.029157,150.0002,-0.041760,0.000131,65.4652,-0.085002,0.030002,150.0002,-0.041759,-0.000130,65.4599,-0.32390,0.00004,-0.00002,0.70627,-0.38090,-0.00002,-0.32390,-0.00003,0.00002,0.70627,-0.38090,0.00003,0.00120,0.00126,0.00120,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00018,0.00000,0.75194,1.00000,-0.00000,-0.00088,-0.00000,0.03511,0.00008,0.68454,0.68452,0.00180,0.00007,2,0.03432,0.00180,1,0.08500,0.03000,0.4797,0.4797,-0.009278,0.118661,-75.7038,89.9270,149.9771,19.1348,-0.2843,66.4863,89.9515,-89.9985,150.0308,19.1327,0.2829,66.4808,-0.085002,-0.030002,150.0002,-0.040602,0.000130,66.4863,-0.085002,-0.030002,150.0002,-0.040602,-0.000128,66.4808,-0.32441,0.00004,-0.00002,0.70710,-0.38123,-0.00003,-0.32441,-0.00003,0.00002,0.70709,-0.38122,0.00003,0.00111,0.00132,0.00111,0.00132,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00023,0.00000,0.75185,1.00000,-0.00000,-0.00085,-0.00000,0.03511,0.00008,0.68450,0.68452,0.00175,0.00007,2,0.03435,0.00175,1,0.08500,0.03000,0.4676,0.4676,-0.008174,0.118660,-81.7382,89.9272,149.9779,18.9411,-0.2856,67.5225,89.9569,-89.9985,150.0275,18.9390,0.2841,67.5168,0.085002,0.005368,150.0002,-0.039497,0.000129,67.5225,-0.050683,0.030002,150.0002,-0.039497,-0.000127,67.5168,-0.32506,0.00004,-0.00002,0.70819,-0.38168,-0.00003,-0.32506,-0.00003,0.00002,0.70818,-0.38168,0.00003,0.00101,0.00140,0.00101,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00028,0.00000,0.75173,1.00000,-0.00000,-0.00081,-0.00000,0.03510,0.00008,0.68444,0.68452,0.00170,0.00007,2,0.03438,0.00170,0,0.08500,0.03000,0.4560,0.4560,-0.007121,0.118659,-87.7582,89.9273,149.9790,18.7568,-0.2875,68.5613,89.9620,-89.9986,150.0244,18.7547,0.2860,68.5554,-0.085002,-0.030002,150.0002,-0.038442,0.000128,68.5613,-0.085002,-0.030002,150.0002,-0.038442,-0.000127,68.5554,-0.32586,0.00004,-0.00002,0.70952,-0.38227,-0.00003,-0.32586,-0.00003,0.00002,0.70952,-0.38226,0.00003,0.00092,0.00151,0.00092,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00033,0.00000,0.75158,1.00000,-0.00000,-0.00077,0.00000,0.03511,0.00008,0.68435,0.68452,0.00162,0.00007,2,0.03441,0.00162,0,0.08500,0.03000,0.4450,0.4450,-0.006116,0.118659,-90.0247,89.9274,149.9811,18.5800,-0.2898,69.5921,86.2257,-89.9987,150.0206,18.5779,0.2883,69.5860,-0.085002,-0.028984,150.0002,-0.037435,0.000128,69.5921,-0.085002,0.030002,150.0002,-0.037435,-0.000126,69.5860,-0.32679,0.00004,-0.00002,0.71111,-0.38298,-0.00003,-0.32678,-0.00003,0.00002,0.71110,-0.38297,0.00003,0.00082,0.00164,0.00082,0.00164,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00039,0.00000,0.75141,1.00000,-0.00000,-0.00072,0.00000,0.03511,0.00008,0.68424,0.68452,0.00154,0.00007,2,0.03443,0.00154,1,0.08500,0.03000,0.4346,0.4346,-0.005156,0.118659,-74.5163,89.9273,149.9866,18.4089,-0.2925,70.6059,64.7247,-89.9988,150.0138,18.4069,0.2910,70.5996,0.085002,0.030002,150.0002,-0.036472,0.000127,70.6059,0.085002,0.030002,150.0002,-0.036472,-0.000126,70.5996,-0.32785,0.00004,-0.00003,0.71293,-0.38381,-0.00003,-0.32784,-0.00003,0.00002,0.71292,-0.38381,0.00003,0.00072,0.00180,0.00072,0.00180,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00046,0.00000,0.75120,1.00000,-0.00000,-0.00067,0.00000,0.03512,0.00008,0.68411,0.68452,0.00144,0.00007,2,0.03446,0.00144,1,0.08500,0.03000,0.4247,0.4247,-0.004237,0.118659,-90.0253,89.9270,149.9859,18.2423,-0.2955,71.5953,74.2505,-89.9989,150.0135,18.2402,0.2940,71.5887,-0.023317,0.029990,150.0002,-0.035550,0.000128,71.5953,-0.085002,0.024376,150.0002,-0.035550,-0.000127,71.5887,-0.32903,0.00004,-0.00003,0.71499,-0.38477,-0.00003,-0.32903,-0.00003,0.00002,0.71498,-0.38476,0.00003,0.00062,0.00198,0.00062,0.00198,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00052,0.00000,0.75097,1.00000,-0.00000,-0.00061,0.00000,0.03514,0.00008,0.68395,0.68452,0.00134,0.00007,2,0.03449,0.00134,0,0.08500,0.03000,0.4154,0.4153,-0.003357,0.118659,-90.0214,89.9267,149.9880,18.0787,-0.2986,72.5539,68.2718,-89.9990,150.0106,18.0767,0.2971,72.5471,-0.085002,-0.030002,150.0002,-0.034667,0.000128,72.5539,-0.085002,-0.030002,150.0002,-0.034667,-0.000127,72.5471,-0.33034,0.00004,-0.00003,0.71728,-0.38584,-0.00003,-0.33034,-0.00003,0.00003,0.71728,-0.38584,0.00004,0.00052,0.00218,0.00052,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
