group,command,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived
forward,vx=+0.020,40,vx: +0.0197 / +0.0200 m/s (98%)   vy: -0.0016 m/s (drift),5.9,1.00,82,14,0,0,,SURVIVED
forward,vx=+0.036,40,vx: +0.0354 / +0.0360 m/s (98%)   vy: -0.0016 m/s (drift),5.9,1.00,85,17,0,0,,SURVIVED
forward,vx=+0.055,40,vx: +0.0540 / +0.0550 m/s (98%)   vy: -0.0016 m/s (drift),6.1,1.00,97,43,0,0,,SURVIVED
forward,vx=+0.073,40,vx: +0.0715 / +0.0730 m/s (98%)   vy: -0.0016 m/s (drift),5.9,1.00,80,81,0,0,,SURVIVED
forward,vx=+0.091,23,vx: +0.0841 / +0.0910 m/s (92%)   vy: -0.0365 m/s (drift)   wz: +0.1325 rad/s (drift),453.5,1.05,196,92,0,0,14.120,FELL
forward,vx=+0.109,6,vx: +0.0000 / +0.1090 m/s (0%),152.0,1.01,149,20,0,0,5.065,FELL
forward,vx=+0.145,10,vx: +0.2076 / +0.1450 m/s (143%)   vy: +0.0160 m/s (drift)   wz: -0.3513 rad/s (drift),229.6,1.00,155,75,0,0,7.020,FELL
backward,vx=-0.036,40,vx: -0.0351 / -0.0360 m/s (97%)   vy: -0.0016 m/s (drift),5.9,1.00,79,5,0,0,,SURVIVED
backward,vx=-0.073,40,vx: -0.0711 / -0.0730 m/s (97%)   vy: -0.0016 m/s (drift),5.9,1.00,81,20,0,0,,SURVIVED
backward,vx=-0.091,40,vx: -0.0886 / -0.0910 m/s (97%)   vy: -0.0016 m/s (drift),5.9,1.00,78,50,0,0,,SURVIVED
backward,vx=-0.109,28,vx: -0.1056 / -0.1090 m/s (97%)   vy: +0.0174 m/s (drift)   wz: +0.0155 rad/s (drift),276.3,1.01,162,162,0,0,17.170,FELL
lateral,vy=+0.018,40,vy: +0.0159 / +0.0180 m/s (89%),5.9,1.00,81,14,0,0,,SURVIVED
lateral,vy=-0.018,40,vy: -0.0192 / -0.0180 m/s (107%),5.9,1.00,76,21,0,0,,SURVIVED
lateral,vy=+0.036,40,vy: +0.0335 / +0.0360 m/s (93%)   wz: +0.0017 rad/s (drift),19.5,1.00,100,30,0,0,,SURVIVED
lateral,vy=-0.036,40,vy: -0.0367 / -0.0360 m/s (102%),11.0,1.00,77,22,0,0,,SURVIVED
lateral,vy=+0.055,8,vx: -0.0110 m/s (drift)   vy: +0.2988 / +0.0550 m/s (543%)   wz: +0.0368 rad/s (drift),327.7,1.00,203,18,7,0,6.180,FELL
lateral,vy=-0.055,8,vx: -0.0443 m/s (drift)   vy: -0.0726 / -0.0550 m/s (132%)   wz: +0.4098 rad/s (drift),113.9,1.01,213,19,13,0,6.335,FELL
lateral,vy=+0.073,6,vy: +0.0000 / +0.0730 m/s (0%),276.1,1.00,197,26,3,0,5.130,FELL
