cell,stance,budget_ns,stance 90 safe,stance 90 fail,stance 90 speckle,stance 99 safe,stance 99 fail,stance 99 speckle,stance 110 safe,stance 110 fail,stance 110 speckle,stance 120 safe,stance 120 fail,stance 120 speckle,stance 130 safe,stance 130 fail,stance 130 speckle
fwd ds,DS,1.81,1.500,1.550,0/0,1.500,1.550,0/0,1.450,1.500,0/0,1.400,1.450,0/0,1.200,1.250,0/0
back ds,DS,1.81,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0,0.750,0.800,0/0
left ds,DS,0.70,0.500,0.550,0/0,0.000,0.700,4/5,0.000,0.450,0/0,0.000,0.450,0/0,0.000,0.550,1/2
right ds,DS,0.70,0.850,0.900,0/0,0.900,0.950,0/0,1.150,,0/0,1.150,,0/0,1.150,,0/0
diag ds,DS,1.00,0.550,0.700,1/2,0.700,0.750,0/0,0.350,0.750,5/7,0.600,,1/3,0.600,,2/3
fwd ss,SS/R,1.81,1.350,,3/5,1.350,1.600,2/4,1.250,1.500,3/4,1.450,1.500,0/0,0.000,,5/9
back ss,SS/R,1.81,1.000,,1/2,1.000,1.050,0/0,0.900,,2/4,0.900,1.100,1/3,0.950,1.100,1/2
left ss,SS/R,0.70,0.550,,1/5,0.600,,1/4,0.600,0.650,0/0,0.600,0.650,0/0,0.500,0.750,3/4
right ss,SS/R,0.70,0.600,0.750,1/2,0.650,0.700,0/0,0.450,0.700,3/4,0.000,0.600,3/4,0.400,0.800,2/7
diag ss,SS/R,1.00,0.700,0.900,2/3,0.700,,3/4,0.700,,3/4,0.700,,3/4,0.550,,2/7
left ds (mirror),DS,0.70,0.850,0.900,0/0,0.950,1.000,0/0,1.150,,0/0,1.150,,0/0,1.100,1.150,0/0
left ss (mirror),SS/L,0.70,0.550,,1/2,0.000,,6/9,0.350,0.500,1/2,0.000,0.250,0/0,0.450,,2/4
right ds (mirror),DS,0.70,0.400,,1/5,0.400,,4/5,0.400,0.450,0/0,0.550,0.600,0/0,0.300,,4/7
right ss (mirror),SS/L,0.70,0.550,0.600,0/0,0.550,0.600,0/0,0.600,0.650,0/0,0.650,0.700,0/0,0.350,0.700,4/6
