t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48034,1.00000,0.00000,-0.00126,0.00000,0.00608,-0.00000,0.31446,0.31446,0.00284,0.00445,2,0.03443,0.00284,0.034433,0.01269,-0.5191,0.0000,-0.1997,0.4165,-1.1877,-0.0000,-2.3360,0,0.04900,0.01900,0.1001,0.1001,0.002422,0.068717,-0.6671,1.3799,19.8685,0.0484,-1.9840,33.0639,-0.6566,1.3816,37.2976,0.0484,1.9840,33.0639,0.022349,-0.004996,19.8748,-0.001791,0.018998,33.0639,0.015568,-0.002931,37.2883,-0.001791,-0.018998,33.0639,-0.00064,-0.00035,-0.34818,0.70681,-0.35469,-0.00498,0.00064,0.00028,-0.34816,0.70676,-0.35467,0.00508,0.00034,-0.00039,0.00034,-0.00039,0.00192,-0.31812,0.09844,-0.17103,0.38194,0.05710,0.00112,-0.31024,0.29901,-0.64223,0.51706,0.05337,0.02800,0.00203,0.02801,0.00203,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006961,-0.000000,0.004200,0.004450,0.004200,0.000000,0.012483,-0.013351,0.000000,0.005237,0.000000,0.000000,0.365724,0.634276,0.000000,0.000000,0.000000,-0.005271,0.005271
0.0050,0.00024,0.00003,0.48038,1.00000,0.00000,-0.00112,0.00000,0.00610,0.00001,0.31452,0.31446,0.00251,0.00457,2,0.03449,0.00251,0.034494,0.01186,-0.5332,-0.0001,-0.1856,0.3906,-0.8523,-0.0205,-1.9082,0,0.04900,0.01900,0.0992,0.0736,0.025597,0.046374,-0.6203,1.2964,21.5263,-0.6538,1.0803,21.2140,-0.6104,1.2933,37.8631,-0.6551,1.5638,38.4054,0.016789,-0.003816,21.5320,0.021399,-0.003333,21.2140,0.012924,-0.002836,37.8547,0.015342,-0.003286,38.4054,-0.00062,-0.00049,-0.34878,0.70747,-0.35514,-0.00442,0.00062,0.00023,-0.34872,0.70734,-0.35507,0.00476,0.00034,-0.00037,0.00035,-0.00037,0.00193,-0.29195,0.04805,-0.28703,0.29668,0.05250,0.00069,-0.30082,0.23598,-0.72975,0.42441,0.04971,0.02046,0.00187,0.02072,0.00188,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006818,0.000362,0.004200,0.004575,0.004200,0.000124,0.012055,-0.012515,0.000000,0.004961,0.000000,0.000000,0.374134,0.625866,0.000000,0.000000,0.000000,-0.004983,0.005082
0.0100,0.00027,0.00006,0.48040,1.00000,0.00000,-0.00100,0.00000,0.00612,0.00002,0.31457,0.31446,0.00224,0.00470,2,0.03454,0.00224,0.034550,0.01074,-0.5247,-0.0001,-0.1719,0.3659,-0.6101,-0.0311,-1.5824,0,0.04900,0.01900,0.0915,0.0668,0.020568,0.046950,-0.5746,1.2159,22.8567,-0.6062,1.0720,22.4466,-0.5652,1.2099,38.1385,-0.6062,1.4220,38.6026,0.013177,-0.003055,22.8616,0.016369,-0.002759,22.4466,0.011033,-0.002712,38.1313,0.012812,-0.003058,38.6026,-0.00060,-0.00068,-0.34950,0.70842,-0.35571,-0.00368,0.00060,0.00015,-0.34939,0.70818,-0.35557,0.00437,0.00034,-0.00034,0.00035,-0.00034,0.00187,-0.26955,0.01482,-0.37709,0.23677,0.04888,0.00040,-0.28825,0.19065,-0.79206,0.35700,0.04675,0.01521,0.00172,0.01563,0.00175,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006677,0.000714,0.004200,0.004699,0.004200,0.000249,0.011633,-0.011707,0.000000,0.004693,0.000000,0.000000,0.382259,0.617741,0.000000,0.000000,0.000000,-0.004415,0.004756
0.0150,0.00029,0.00011,0.48041,1.00000,0.00001,-0.00090,0.00000,0.00613,0.00005,0.31460,0.31446,0.00201,0.00482,2,0.03459,0.00201,0.034600,0.00949,-0.5022,-0.0002,-0.1588,0.3424,-0.4359,-0.0353,-1.3303,0,0.04900,0.01900,0.0841,0.0610,0.017145,0.047331,-0.5309,1.1390,23.9412,-0.5569,1.0461,23.4808,-0.5221,1.1314,38.2094,-0.5562,1.2984,38.6257,0.010735,-0.002539,23.9452,0.012947,-0.002378,23.4808,0.009648,-0.002569,38.2033,0.010957,-0.002833,38.6257,-0.00059,-0.00093,-0.35026,0.70949,-0.35633,-0.00285,0.00059,0.00004,-0.35009,0.70913,-0.35611,0.00399,0.00034,-0.00031,0.00036,-0.00031,0.00177,-0.24984,-0.00642,-0.44795,0.19499,0.04567,0.00022,-0.27398,0.15784,-0.83604,0.30773,0.04432,0.01158,0.00159,0.01209,0.00162,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006542,0.001055,0.004200,0.004823,0.004200,0.000373,0.011226,-0.010931,0.000000,0.004437,0.000000,0.000000,0.390066,0.609934,0.000000,0.000000,0.000000,-0.003678,0.004373
0.0200,0.00031,0.00017,0.48041,1.00000,0.00001,-0.00082,0.00001,0.00614,0.00008,0.31462,0.31446,0.00181,0.00495,2,0.03462,0.00181,0.034643,0.00821,-0.4718,-0.0002,-0.1464,0.3203,-0.3115,-0.0357,-1.1320,0,0.04900,0.01900,0.0773,0.0560,0.014759,0.047601,-0.4896,1.0659,24.8390,-0.5081,1.0088,24.3645,-0.4813,1.0575,38.1363,-0.5067,1.1912,38.5310,0.009029,-0.002173,24.8422,0.010559,-0.002107,24.3645,0.008608,-0.002413,38.1311,0.009572,-0.002616,38.5310,-0.00059,-0.00121,-0.35101,0.71057,-0.35693,-0.00199,0.00059,-0.00012,-0.35078,0.71009,-0.35665,0.00366,0.00034,-0.00027,0.00036,-0.00027,0.00164,-0.23212,-0.01940,-0.50454,0.16601,0.04264,0.00011,-0.25886,0.13380,-0.86664,0.27135,0.04226,0.00908,0.00147,0.00962,0.00150,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006412,0.001386,0.004200,0.004948,0.004200,0.000497,0.010838,-0.010187,0.000000,0.004193,0.000000,0.000000,0.397546,0.602454,0.000000,0.000000,0.000000,-0.002851,0.003995
0.0250,0.00031,0.00023,0.48041,1.00000,0.00001,-0.00074,0.00001,0.00615,0.00012,0.31463,0.31446,0.00164,0.00507,2,0.03466,0.00164,0.034681,0.00699,-0.4380,-0.0003,-0.1349,0.2994,-0.2238,-0.0337,-0.9735,0,0.04900,0.01900,0.0709,0.0517,0.013059,0.047808,-0.4509,0.9967,25.5941,-0.4619,0.9639,25.1310,-0.4433,0.9880,37.9622,-0.4596,1.0980,38.3543,0.007800,-0.001903,25.5967,0.008859,-0.001898,25.1310,0.007806,-0.002251,37.9580,0.008517,-0.002410,38.3543,-0.00058,-0.00152,-0.35171,0.71159,-0.35750,-0.00114,0.00059,-0.00031,-0.35144,0.71100,-0.35714,0.00340,0.00033,-0.00024,0.00036,-0.00024,0.00149,-0.21588,-0.02680,-0.55045,0.14595,0.03974,0.00006,-0.24341,0.11583,-0.88751,0.24405,0.04050,0.00735,0.00136,0.00789,0.00138,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006291,0.001706,0.004200,0.005072,0.004200,0.000621,0.010473,-0.009475,0.000000,0.003962,0.000000,0.000000,0.404705,0.595295,0.000000,0.000000,0.000000,-0.001992,0.003662
0.0300,0.00032,0.00031,0.48041,1.00000,0.00001,-0.00068,0.00001,0.00615,0.00017,0.31464,0.31446,0.00148,0.00520,2,0.03468,0.00148,0.034712,0.00586,-0.4039,-0.0003,-0.1241,0.2796,-0.1632,-0.0305,-0.8451,0,0.04900,0.01900,0.0649,0.0481,0.011826,0.047981,-0.4149,0.9313,26.2396,-0.4200,0.9135,25.8061,-0.4079,0.9226,37.7189,-0.4170,1.0172,38.1218,0.006888,-0.001695,26.2415,0.007624,-0.001725,25.8061,0.007169,-0.002090,37.7155,0.007701,-0.002219,38.1218,-0.00058,-0.00185,-0.35237,0.71252,-0.35799,-0.00031,0.00058,-0.00054,-0.35206,0.71183,-0.35758,0.00322,0.00033,-0.00021,0.00037,-0.00021,0.00133,-0.20073,-0.03048,-0.58832,0.13204,0.03697,0.00004,-0.22800,0.10204,-0.90126,0.22308,0.03896,0.00616,0.00125,0.00666,0.00127,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006176,0.002016,0.004200,0.005196,0.004200,0.000746,0.010129,-0.008795,0.000000,0.003744,0.000000,0.000000,0.411552,0.588448,0.000000,0.000000,0.000000,-0.001136,0.003400
0.0350,0.00031,0.00040,0.48040,1.00000,0.00001,-0.00062,0.00001,0.00615,0.00022,0.31464,0.31446,0.00135,0.00532,2,0.03471,0.00135,0.034739,0.00486,-0.3715,-0.0003,-0.1141,0.2611,-0.1223,-0.0266,-0.7396,0,0.04900,0.01900,0.0594,0.0449,0.010911,0.048131,-0.3815,0.8697,26.8001,-0.3822,0.8607,26.4067,-0.3750,0.8611,37.4293,-0.3790,0.9463,37.8512,0.006191,-0.001528,26.8016,0.006708,-0.001573,26.4067,0.006648,-0.001934,37.4265,0.007054,-0.002046,37.8512,-0.00057,-0.00221,-0.35297,0.71333,-0.35842,0.00049,0.00058,-0.00080,-0.35262,0.71256,-0.35794,0.00312,0.00033,-0.00018,0.00037,-0.00018,0.00118,-0.18639,-0.03173,-0.62006,0.12231,0.03436,0.00004,-0.21285,0.09111,-0.90979,0.20649,0.03761,0.00532,0.00115,0.00578,0.00116,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006069,0.002316,0.004200,0.005321,0.004200,0.000870,0.009807,-0.008143,0.000000,0.003539,0.000000,0.000000,0.418102,0.581898,0.000000,0.000000,0.000000,-0.000306,0.003219
0.0400,0.00031,0.00049,0.48040,1.00000,0.00001,-0.00056,0.00001,0.00615,0.00029,0.31465,0.31446,0.00123,0.00544,2,0.03473,0.00123,0.034760,0.00399,-0.3418,-0.0004,-0.1048,0.2436,-0.0957,-0.0225,-0.6521,0,0.04900,0.01900,0.0544,0.0421,0.010216,0.048267,-0.3503,0.8115,27.2949,-0.3481,0.8072,26.9461,-0.3444,0.8032,37.1108,-0.3449,0.8829,37.5542,0.005641,-0.001388,27.2960,0.006012,-0.001436,26.9461,0.006210,-0.001787,37.1086,0.006530,-0.001889,37.5542,-0.00057,-0.00258,-0.35351,0.71403,-0.35876,0.00124,0.00059,-0.00110,-0.35313,0.71320,-0.35824,0.00311,0.00032,-0.00015,0.00037,-0.00015,0.00104,-0.17268,-0.03143,-0.64710,0.11535,0.03194,0.00005,-0.19809,0.08212,-0.91455,0.19291,0.03639,0.00472,0.00106,0.00513,0.00107,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005968,0.002607,0.004200,0.005445,0.004200,0.000994,0.009505,-0.007520,0.000000,0.003344,0.000000,0.000000,0.424369,0.575631,0.000000,0.000000,0.000000,0.000488,0.003123
0.0450,0.00030,0.00059,0.48039,1.00000,0.00001,-0.00052,0.00001,0.00614,0.00036,0.31465,0.31446,0.00113,0.00557,2,0.03474,0.00113,0.034778,0.00324,-0.3153,-0.0004,-0.0961,0.2271,-0.0792,-0.0185,-0.5788,0,0.04900,0.01900,0.0497,0.0395,0.009673,0.048391,-0.3213,0.7568,27.7388,-0.3172,0.7545,27.4351,-0.3159,0.7488,36.7764,-0.3143,0.8251,37.2403,0.005193,-0.001266,27.7396,0.005467,-0.001311,27.4351,0.005830,-0.001651,36.7746,0.006092,-0.001747,37.2403,-0.00056,-0.00298,-0.35399,0.71461,-0.35902,0.00196,0.00059,-0.00143,-0.35360,0.71374,-0.35847,0.00317,0.00032,-0.00013,0.00037,-0.00013,0.00091,-0.15949,-0.03020,-0.67056,0.11020,0.02972,0.00006,-0.18378,0.07446,-0.91660,0.18137,0.03529,0.00428,0.00099,0.00463,0.00099,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005873,0.002888,0.004200,0.005569,0.004200,0.001119,0.009221,-0.006924,0.000000,0.003160,0.000000,0.000000,0.430367,0.569633,0.000000,0.000000,0.000000,0.001242,0.003109
