t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00003,0.00109,0.75229,0.99998,0.00311,0.00059,0.00497,0.03452,-0.00013,0.68485,0.68485,0.00591,-0.00013,2,0.03460,0.00591,0.035195,-0.02071,11.1638,0.0000,1,0.08500,0.03000,1.1667,0.0000,0.113219,0.149374,-24.9477,-88.8330,150.3651,-29.6666,0.0000,42.3808,88.3271,84.1882,149.6085,0.0000,0.0000,0.0000,-0.085000,0.030000,150.0000,0.085017,0.030016,42.3808,-0.085000,0.030000,150.0000,0.000000,0.000000,0.0000,-0.32111,-0.02378,-0.03683,0.70494,-0.38470,-0.00267,-0.31932,-0.02253,0.02102,0.71030,-0.39896,0.01597,0.01384,-0.00261,0.00164,0.01223,-8.13636,44.18149,-19.38462,-30.64359,-8.03388,-1.45116,44.13609,-49.33183,31.31152,3.66409,-2.91987,-7.46343,-25.00000,-24.99999,-25.00000,8.77517,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00007,0.00105,0.75199,0.99997,0.00302,0.00068,0.00641,0.03445,-0.00012,0.68459,0.68485,0.00622,-0.00013,2,0.03465,0.00622,0.035479,-0.00701,2.0798,0.0003,1,0.08500,0.03000,0.0000,0.7150,0.000000,0.000000,2.2878,71.8311,150.0101,0.0000,0.0000,0.0000,90.5993,-87.2472,151.2628,315.2525,-327.3166,1059.3528,0.085008,-0.030008,150.0006,0.000000,0.000000,0.0000,0.057522,-0.030008,150.0006,-0.085030,0.025034,1059.3528,-0.32269,-0.02642,-0.04384,0.71041,-0.38475,-0.00089,-0.31925,-0.02470,0.01641,0.71326,-0.39986,0.02021,0.01523,-0.00466,-0.00010,0.01443,-23.96710,-56.98346,24.14213,-6.51825,16.88713,2.29090,21.77020,68.58307,-45.87991,25.42221,17.36641,7.87338,2.51341,0.31989,8.08230,6.94898,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00014,0.00102,0.75173,0.99997,0.00283,0.00092,0.00770,0.03438,-0.00010,0.68434,0.68485,0.00603,-0.00013,2,0.03506,0.00603,0.035761,-0.05175,0.5292,-0.0000,1,0.08500,0.03000,0.9092,0.5543,0.109768,0.089895,3.8037,48.1417,150.1305,-236.9574,86.8823,462.6282,90.7483,-88.0986,150.6789,385.4228,-304.7646,1477.4016,0.085008,-0.030008,150.0006,0.085020,-0.030014,462.6282,0.077822,-0.030008,150.0006,-0.085020,0.019844,1477.4016,-0.32456,-0.02847,-0.05013,0.71560,-0.38968,-0.00078,-0.32056,-0.02612,0.01336,0.71868,-0.40125,0.02302,0.01594,-0.00621,0.00011,0.01535,-28.93039,-37.70494,25.63792,-9.49366,16.69023,2.93270,26.12351,51.81115,-22.19229,20.24702,19.94289,7.86983,-13.26929,-1.49338,21.74790,12.83798,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00020,0.00102,0.75147,0.99996,0.00257,0.00118,0.00891,0.03433,-0.00009,0.68415,0.68485,0.00564,-0.00013,2,0.03579,0.00564,0.035989,-0.07906,3.6579,-0.0003,1,0.08500,0.03000,0.0000,0.7487,0.000000,0.000000,-17.3651,73.2877,150.3355,0.0000,0.0000,0.0000,91.1498,-88.5653,150.1620,299.6765,-285.0261,920.6905,0.085007,-0.030007,150.0006,0.000000,0.000000,0.0000,0.080348,-0.030008,150.0006,-0.085006,0.025003,920.6905,-0.32629,-0.03019,-0.05596,0.72041,-0.39385,-0.00067,-0.32298,-0.02675,0.01290,0.72665,-0.39822,0.02797,0.01612,-0.00734,0.00212,0.01521,-37.79409,-52.74299,33.47564,-13.98588,15.74442,1.97879,47.02716,66.17547,-29.99312,14.32399,20.17559,8.24829,-15.14173,-4.88292,14.84769,9.16191,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00026,0.00097,0.75118,0.99996,0.00229,0.00142,0.00871,0.03429,-0.00009,0.68398,0.68485,0.00512,-0.00013,2,0.03664,0.00512,0.036085,-0.10363,5.4783,-0.0005,1,0.08500,0.03000,0.0000,1.1667,0.000000,0.000000,94.3020,85.0588,150.2428,0.0000,0.0000,0.0000,-73.0024,-78.7662,150.3247,-142.2429,0.0000,203.2041,0.085008,-0.002840,150.0006,0.000000,0.000000,0.0000,0.003613,0.030008,150.0006,0.085039,0.029983,203.2041,-0.32722,-0.02715,-0.05284,0.72429,-0.39757,-0.00035,-0.32623,-0.02580,0.01443,0.73592,-0.40267,0.03295,0.01573,-0.00803,0.00412,0.01526,19.92339,-63.59112,44.74056,20.63836,21.24568,-2.76031,-29.57635,65.33199,-25.85799,-45.48578,0.59443,-0.97697,-2.07268,1.82929,-0.68286,0.90872,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00034,0.00094,0.75085,0.99996,0.00200,0.00166,0.00850,0.03425,-0.00009,0.68378,0.68485,0.00454,-0.00013,2,0.03740,0.00454,0.036132,-0.12864,7.2912,-0.0006,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,86.9924,-80.3293,149.3922,0.0000,0.0000,0.0000,-65.0863,87.6741,151.3587,0.0000,0.0000,0.0000,0.085008,-0.030008,150.0006,0.000000,0.000000,0.0000,-0.018572,-0.030008,150.0006,0.000000,0.000000,0.0000,-0.32812,-0.02427,-0.05001,0.72803,-0.40072,-0.00008,-0.32942,-0.02496,0.01579,0.74460,-0.40158,0.03710,0.01564,-0.00884,0.00446,0.01655,9.63375,29.40550,-7.77659,20.46726,21.20271,7.06523,-27.93893,-19.18839,20.78588,-46.59074,-2.04384,2.06614,-0.67506,0.41591,-0.63234,0.32017,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00040,0.00097,0.75050,0.99997,0.00192,0.00185,0.00785,0.03420,-0.00010,0.68354,0.68485,0.00397,-0.00013,2,0.03810,0.00397,0.036150,-0.16279,9.2169,-0.0007,0,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,87.3486,-79.0095,149.3077,0.0000,0.0000,0.0000,-62.3262,87.1119,152.0998,0.0000,0.0000,0.0000,0.085008,0.030008,150.0006,0.000000,0.000000,0.0000,0.085008,0.030008,150.0006,0.000000,0.000000,0.0000,-0.32839,-0.02315,-0.04932,0.73127,-0.40339,0.00013,-0.33266,-0.02448,0.01753,0.75317,-0.40056,0.04054,0.01613,-0.00888,0.00492,0.01913,7.39816,21.09979,-2.90719,19.85330,21.25359,-1.95907,-18.04491,-29.95522,17.51090,-32.15824,13.68630,-7.05167,25.00122,17.94583,23.38432,18.89183,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00046,0.00094,0.75014,0.99997,0.00171,0.00204,0.00701,0.03416,-0.00010,0.68327,0.68485,0.00380,-0.00013,2,0.03886,0.00380,0.036106,-0.18204,11.9204,-0.0007,1,0.08500,0.03000,0.0000,0.9089,0.000000,0.000000,87.5169,-77.1351,149.2049,0.0000,0.0000,0.0000,-67.9697,86.5692,152.9156,-84.4711,229.8449,449.0228,-0.003906,0.030008,150.0007,0.000000,0.000000,0.0000,0.085008,-0.029304,150.0007,0.085117,-0.030071,449.0228,-0.32855,-0.02062,-0.04702,0.73424,-0.40566,0.00027,-0.33611,-0.02306,0.01954,0.76216,-0.40368,0.04154,0.01635,-0.00796,0.00545,0.02173,7.39816,21.09979,-2.90719,19.85330,21.25359,-1.95907,-18.04491,-29.95522,17.51090,-32.15824,13.68630,-7.05167,25.00122,17.94583,23.38432,18.89183,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00053,0.00092,0.74975,0.99998,0.00150,0.00224,0.00619,0.03412,-0.00009,0.68298,0.68485,0.00411,-0.00013,2,0.03953,0.00411,0.036020,-0.20508,13.5315,-0.0006,1,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,87.3429,-88.9156,148.9568,0.0000,0.0000,0.0000,-72.7383,86.3094,153.3168,0.0000,0.0000,0.0000,-0.004854,-0.030008,150.0006,0.000000,0.000000,0.0000,0.085008,-0.002112,150.0006,0.000000,0.000000,0.0000,-0.32872,-0.01817,-0.04494,0.73710,-0.40757,0.00039,-0.33956,-0.02171,0.02145,0.77047,-0.40374,0.04168,0.01677,-0.00719,0.00519,0.02476,7.39816,21.09979,-2.90719,19.85330,21.25359,-1.95907,-18.04491,-29.95522,17.51090,-32.15824,13.68630,-7.05167,25.00122,17.94583,23.38432,18.89183,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00062,0.00091,0.74934,0.99999,0.00135,0.00235,0.00454,0.03407,-0.00009,0.68267,0.68485,0.00450,-0.00013,2,0.04015,0.00450,0.035901,-0.19849,15.5132,-0.0006,0,0.08500,0.03000,0.0000,0.0000,0.000000,0.000000,87.6750,-88.0968,148.7810,0.0000,0.0000,0.0000,-69.7430,86.3413,153.6087,0.0000,0.0000,0.0000,0.085008,0.030008,150.0007,0.000000,0.000000,0.0000,0.085008,0.030008,150.0007,0.000000,0.000000,0.0000,-0.32813,-0.01533,-0.04212,0.73963,-0.40983,0.00022,-0.34325,-0.01989,0.02421,0.77869,-0.40362,0.04176,0.01596,-0.00386,0.00413,0.03140,0.84115,18.86371,-16.83245,19.07543,21.09304,-1.74746,-18.77054,-37.38663,16.15040,-34.19433,13.68186,-7.57239,-4.09059,25.00120,-14.48511,25.00120,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
