t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1223,131.5726,-8.9380,-0.6137,173.2324,16.2324,0.0508,131.3517,-8.9347,0.6301,173.0819,-0.078920,-0.000342,131.5654,0.025531,-0.000134,173.2324,-0.079039,0.000703,131.3445,0.025547,0.000147,173.0819,-0.32322,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70525,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.18038,-0.17630,0.11786,-14.01886,-5.05044,0.04921,-1.18638,0.17204,-0.11400,-14.00077,-5.05651,-0.09400,-1.19297,-0.81544,-1.19275,-0.81550,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75208,1.00000,-0.00000,-0.00094,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0,0.08500,0.03000,0.2119,0.2122,-0.044896,0.118238,13.5153,-0.1192,135.5377,17.6417,-0.1986,138.7567,13.5132,0.0559,135.3189,17.6373,0.1435,138.5389,-0.065416,-0.000369,135.5321,-0.076219,-0.000292,138.7567,-0.065509,0.000660,135.3133,-0.076325,0.000608,138.5389,-0.32320,0.00004,-0.00002,0.70518,-0.38050,-0.00002,-0.32319,-0.00003,0.00001,0.70517,-0.38050,0.00002,0.00132,0.00118,0.00132,0.00118,-0.96850,-0.17969,0.11378,-13.67401,-3.54255,0.05408,-0.97442,0.17686,-0.11135,-13.65614,-3.54854,-0.09125,-1.21914,-0.85429,-1.21925,-0.85437,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00187,0.00007,2,0.03429,0.00187,0,0.08500,0.03000,0.1768,0.1770,-0.032393,0.118199,11.1748,-0.1175,138.9109,15.1244,-0.1575,142.5968,11.1728,0.0619,138.6939,15.1222,0.1053,142.3789,-0.054564,-0.000397,138.9065,-0.063717,-0.000331,142.5968,-0.054637,0.000633,138.6894,-0.063802,0.000594,142.3789,-0.32319,0.00004,-0.00002,0.70515,-0.38046,-0.00002,-0.32319,-0.00003,0.00001,0.70514,-0.38045,0.00002,0.00127,0.00116,0.00127,0.00116,-0.79446,-0.18465,0.11132,-13.38756,-2.26405,0.05920,-0.80026,0.18296,-0.10954,-13.36987,-2.27000,-0.09000,-1.24016,-0.88649,-1.24033,-0.88658,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75214,1.00000,-0.00000,-0.00095,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00189,0.00007,2,0.03432,0.00189,0,0.08500,0.03000,0.1471,0.1472,-0.022245,0.118171,9.1784,-0.1158,141.7873,12.8659,-0.1549,145.8317,9.1763,0.0673,141.5717,12.8644,0.1076,145.6157,-0.045708,-0.000419,141.7838,-0.053568,-0.000360,145.8317,-0.045766,0.000612,141.5681,-0.053636,0.000575,145.6157,-0.32321,0.00004,-0.00002,0.70516,-0.38044,-0.00002,-0.32320,-0.00003,0.00001,0.70516,-0.38044,0.00001,0.00122,0.00114,0.00122,0.00114,-0.64400,-0.18901,0.10939,-13.14027,-1.17166,0.06349,-0.64968,0.18810,-0.10795,-13.12273,-1.17759,-0.08906,-1.25713,-0.91362,-1.25729,-0.91370,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75216,1.00000,-0.00000,-0.00095,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00190,0.00007,2,0.03434,0.00190,0,0.08500,0.03000,0.1224,0.1226,-0.013919,0.118149,7.4810,-0.1142,144.2456,10.9130,-0.1532,148.5637,7.4789,0.0721,144.0311,10.9114,0.1116,148.3492,-0.038400,-0.000438,144.2427,-0.045241,-0.000382,148.5637,-0.038446,0.000596,144.0282,-0.045296,0.000558,148.3492,-0.32324,0.00004,-0.00002,0.70521,-0.38045,-0.00002,-0.32324,-0.00003,0.00001,0.70520,-0.38045,0.00001,0.00117,0.00113,0.00117,0.00113,-0.51078,-0.19279,0.10783,-12.92273,-0.23430,0.06707,-0.51639,0.19241,-0.10661,-12.90529,-0.24021,-0.08834,-1.27066,-0.93660,-1.27080,-0.93667,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00013,0.00000,0.75218,1.00000,-0.00000,-0.00096,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00191,0.00007,2,0.03437,0.00191,0,0.08500,0.03000,0.1021,0.1023,-0.007023,0.118132,6.0392,-0.1128,146.3503,9.2459,-0.1516,150.8797,6.0372,0.0762,146.1367,9.2443,0.1150,150.6664,-0.032316,-0.000452,146.3479,-0.038344,-0.000399,150.8797,-0.032352,0.000583,146.1343,-0.038387,0.000544,150.6664,-0.32329,0.00004,-0.00002,0.70528,-0.38048,-0.00001,-0.32328,-0.00003,0.00001,0.70528,-0.38048,0.00001,0.00112,0.00112,0.00112,0.00112,-0.39125,-0.19607,0.10656,-12.72912,0.57252,0.07007,-0.39681,0.19602,-0.10550,-12.71177,0.56663,-0.08779,-1.28124,-0.95607,-1.28136,-0.95614,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00014,0.00000,0.75220,1.00000,-0.00000,-0.00095,-0.00000,0.03508,0.00008,0.68471,0.68451,0.00191,0.00007,2,0.03439,0.00191,0,0.08500,0.03000,0.0853,0.0854,-0.001262,0.118118,4.8159,-0.1116,148.1556,7.8240,-0.1501,152.8455,4.8138,0.0798,147.9428,7.8224,0.1181,152.6332,-0.027211,-0.000464,148.1537,-0.032581,-0.000413,152.8455,-0.027239,0.000572,147.9409,-0.032616,0.000533,152.6332,-0.32335,0.00004,-0.00002,0.70538,-0.38052,-0.00001,-0.32335,-0.00003,0.00001,0.70537,-0.38052,0.00000,0.00108,0.00112,0.00108,0.00112,-0.28266,-0.19890,0.10555,-12.55486,1.26925,0.07257,-0.28820,0.19903,-0.10457,-12.53758,1.26338,-0.08737,-1.28929,-0.97260,-1.28939,-0.97265,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00015,0.00000,0.75221,1.00000,-0.00000,-0.00095,-0.00000,0.03508,0.00008,0.68473,0.68451,0.00191,0.00007,2,0.03442,0.00191,0,0.08500,0.03000,0.0713,0.0714,0.003589,0.118107,3.7789,-0.1104,149.7071,6.6123,-0.1488,154.5162,3.7770,0.0830,149.4950,6.6108,0.1208,154.3047,-0.022896,-0.000474,149.7056,-0.027729,-0.000424,154.5162,-0.022917,0.000564,149.4934,-0.027757,0.000525,154.3047,-0.32343,0.00004,-0.00002,0.70549,-0.38057,-0.00001,-0.32342,-0.00003,0.00001,0.70548,-0.38057,-0.00000,0.00103,0.00111,0.00103,0.00111,-0.18289,-0.20135,0.10475,-12.39635,1.87301,0.07466,-0.18842,0.20155,-0.10382,-12.37911,1.86716,-0.08707,-1.29520,-0.98664,-1.29527,-0.98668,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00017,-0.00000,0.75222,1.00000,-0.00001,-0.00094,0.00002,0.03507,0.00008,0.68474,0.68450,0.00190,0.00007,2,0.03445,0.00190,0,0.08500,0.03000,0.0597,0.0597,0.007701,0.118097,-25.9279,89.9708,149.9925,5.5806,-0.1475,155.9382,31.7287,-89.9943,150.0168,5.5791,0.1231,155.7275,0.033559,-0.029762,150.0002,-0.023615,-0.000434,155.9382,-0.069145,0.030002,150.0002,-0.023637,0.000518,155.7275,-0.32360,0.00009,0.00012,0.70575,-0.38056,0.00014,-0.32352,0.00010,0.00013,0.70566,-0.38083,-0.00016,0.00098,0.00111,0.00099,0.00112,-11.00837,-44.02894,29.69174,-13.78383,8.78014,1.31522,11.06889,47.22585,-23.78529,-10.09917,-3.59509,-1.35035,-1.27569,-0.99133,-1.27574,-0.99136,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00018,-0.00001,0.75223,1.00000,-0.00001,-0.00093,0.00004,0.03507,0.00008,0.68476,0.68450,0.00188,0.00007,2,0.03448,0.00188,0,0.08500,0.03000,0.6925,0.7057,0.044682,0.100147,1.2465,-0.7194,148.1884,-10.6576,78.7619,191.2950,1.0803,-1.6413,148.2626,32.1763,-64.6966,170.6483,-0.019963,-0.000016,148.1882,0.013365,-0.018367,191.2950,-0.018263,-0.005222,148.2618,-0.059043,0.017763,170.6483,-0.32380,0.00015,0.00029,0.70603,-0.38055,0.00031,-0.32363,0.00026,0.00027,0.70585,-0.38112,-0.00034,0.00092,0.00112,0.00094,0.00113,-0.16511,1.45302,0.36019,-12.60650,2.15678,0.05351,-0.73390,0.13125,0.90244,-12.54159,2.41236,0.79956,-1.77031,-1.01664,-0.94104,-0.98568,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
