t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0,0.08500,0.03000,0.0862,0.0862,0.056853,0.118397,16.2346,-0.1224,131.5729,-8.9380,-0.6137,173.2324,16.2325,0.0509,131.3514,-8.9347,0.6301,173.0819,-0.080742,-0.000335,131.5657,0.025531,-0.000134,173.2324,-0.080864,0.000711,131.3442,0.025547,0.000147,173.0819,-0.32322,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70525,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.38322,-0.17724,0.11810,-14.25454,-5.28887,0.04829,-1.38946,0.17144,-0.11358,-14.23630,-5.29490,-0.09502,-1.18306,-0.80345,-1.18284,-0.80345,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75208,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0,0.08500,0.03000,0.2113,0.2116,-0.046575,0.118245,13.5245,-0.1192,135.5387,17.5918,-0.1984,138.7601,13.5227,0.0560,135.3189,17.5876,0.1426,138.5420,-0.066057,-0.000358,135.5331,-0.077899,-0.000286,138.7601,-0.066150,0.000671,135.3133,-0.078006,0.000615,138.5420,-0.32320,0.00004,-0.00002,0.70518,-0.38051,-0.00002,-0.32320,-0.00003,0.00001,0.70517,-0.38050,0.00002,0.00132,0.00118,0.00132,0.00118,-1.04213,-0.18100,0.11418,-13.75816,-3.62824,0.05263,-1.04843,0.17573,-0.11092,-13.74005,-3.63417,-0.09277,-1.21550,-0.85003,-1.21560,-0.85004,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00187,0.00007,2,0.03429,0.00187,0,0.08500,0.03000,0.1768,0.1771,-0.033000,0.118209,11.1838,-0.1175,138.9134,15.1266,-0.1572,142.5896,11.1820,0.0619,138.6953,15.1246,0.1057,142.3709,-0.054199,-0.000385,138.9090,-0.064323,-0.000322,142.5896,-0.054271,0.000645,138.6908,-0.064409,0.000604,142.3709,-0.32320,0.00004,-0.00002,0.70515,-0.38046,-0.00002,-0.32320,-0.00003,0.00001,0.70514,-0.38046,0.00002,0.00127,0.00116,0.00127,0.00116,-0.75223,-0.18598,0.11180,-13.33671,-2.21284,0.05760,-0.75843,0.18162,-0.10914,-13.31875,-2.21875,-0.09162,-1.24212,-0.88909,-1.24225,-0.88910,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75214,1.00000,-0.00000,-0.00095,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00188,0.00007,2,0.03432,0.00188,0,0.08500,0.03000,0.1472,0.1474,-0.021901,0.118181,9.1852,-0.1158,141.7888,12.8778,-0.1546,145.8361,9.1834,0.0672,141.5721,12.8765,0.1080,145.6192,-0.044541,-0.000408,141.7852,-0.053224,-0.000349,145.8361,-0.044596,0.000623,141.5685,-0.053291,0.000586,145.6192,-0.32321,0.00004,-0.00002,0.70516,-0.38044,-0.00002,-0.32321,-0.00003,0.00001,0.70516,-0.38044,0.00001,0.00122,0.00114,0.00122,0.00114,-0.50460,-0.19021,0.10989,-12.97692,-1.00643,0.06191,-0.51066,0.18671,-0.10761,-12.95911,-1.01233,-0.09060,-1.26385,-0.92197,-1.26394,-0.92197,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75216,1.00000,-0.00000,-0.00095,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00189,0.00007,2,0.03434,0.00189,0,0.08500,0.03000,0.1226,0.1228,-0.012813,0.118160,7.4847,-0.1143,144.2445,10.9281,-0.1530,148.5748,7.4829,0.0719,144.0291,10.9267,0.1118,148.3594,-0.036610,-0.000427,144.2416,-0.044135,-0.000371,148.5748,-0.036653,0.000605,144.0261,-0.044187,0.000568,148.3594,-0.32325,0.00004,-0.00002,0.70521,-0.38045,-0.00002,-0.32324,-0.00003,0.00001,0.70520,-0.38045,0.00001,0.00117,0.00113,0.00117,0.00113,-0.29233,-0.19383,0.10831,-12.66861,0.02283,0.06559,-0.29828,0.19104,-0.10634,-12.65092,0.01694,-0.08973,-1.28133,-0.94960,-1.28140,-0.94960,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00013,0.00000,0.75218,1.00000,-0.00000,-0.00095,-0.00000,0.03509,0.00008,0.68469,0.68452,0.00190,0.00007,2,0.03437,0.00190,0,0.08500,0.03000,0.1023,0.1024,-0.005323,0.118142,6.0395,-0.1129,146.3456,9.2625,-0.1515,150.8947,6.0377,0.0760,146.1312,9.2612,0.1152,150.6805,-0.030052,-0.000443,146.3432,-0.036644,-0.000389,150.8947,-0.030084,0.000591,146.1289,-0.036685,0.000553,150.6805,-0.32329,0.00004,-0.00002,0.70528,-0.38048,-0.00001,-0.32329,-0.00003,0.00001,0.70528,-0.38048,0.00001,0.00112,0.00112,0.00112,0.00112,-0.10987,-0.19692,0.10700,-12.40352,0.90193,0.06873,-0.11574,0.19472,-0.10529,-12.38594,0.89606,-0.08898,-1.29514,-0.97278,-1.29518,-0.97278,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00014,0.00000,0.75220,1.00000,-0.00000,-0.00096,-0.00000,0.03508,0.00008,0.68471,0.68451,0.00191,0.00007,2,0.03440,0.00191,0,0.08500,0.03000,0.0855,0.0856,0.000891,0.118127,4.8126,-0.1116,148.1468,7.8410,-0.1501,152.8621,4.8108,0.0796,147.9333,7.8397,0.1182,152.6491,-0.024596,-0.000456,148.1449,-0.030428,-0.000404,152.8621,-0.024620,0.000579,147.9314,-0.030459,0.000541,152.6491,-0.32335,0.00004,-0.00002,0.70538,-0.38052,-0.00001,-0.32334,-0.00003,0.00001,0.70537,-0.38052,0.00000,0.00108,0.00112,0.00108,0.00112,0.04743,-0.19955,0.10594,-12.17474,1.65373,0.07141,0.04163,0.19784,-0.10444,-12.15725,1.64787,-0.08836,-1.30578,-0.99216,-1.30579,-0.99216,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00015,0.00000,0.75221,1.00000,-0.00000,-0.00096,-0.00000,0.03508,0.00008,0.68473,0.68451,0.00191,0.00007,2,0.03442,0.00191,0,0.08500,0.03000,0.0715,0.0716,0.006078,0.118114,3.7720,-0.1105,149.6940,6.6287,-0.1488,154.5329,3.7702,0.0827,149.4813,6.6274,0.1208,154.3208,-0.020034,-0.000467,149.6925,-0.025240,-0.000417,154.5329,-0.020051,0.000569,149.4798,-0.025264,0.000531,154.3208,-0.32341,0.00004,-0.00002,0.70549,-0.38057,-0.00001,-0.32341,-0.00003,0.00001,0.70549,-0.38057,-0.00000,0.00103,0.00111,0.00103,0.00111,0.18346,-0.20181,0.10508,-11.97648,2.29755,0.07369,0.17773,0.20048,-0.10376,-11.95906,2.29169,-0.08783,-1.31370,-1.00833,-1.31368,-1.00832,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00016,0.00000,0.75222,1.00000,-0.00000,-0.00095,-0.00000,0.03507,0.00008,0.68474,0.68450,0.00191,0.00007,2,0.03444,0.00191,1,0.08500,0.03000,0.0598,0.0599,0.010428,0.118104,-10.6392,89.9703,149.9987,5.5957,-0.1476,155.9538,16.4193,-89.9942,150.0106,5.5944,0.1231,155.7426,0.026649,-0.024363,150.0002,-0.020888,-0.000428,155.9538,-0.021272,0.030002,150.0002,-0.020906,0.000523,155.7426,-0.32349,0.00004,-0.00002,0.70562,-0.38063,-0.00001,-0.32348,-0.00003,0.00002,0.70562,-0.38063,-0.00001,0.00098,0.00111,0.00098,0.00111,0.18346,-0.20181,0.10508,-11.97648,2.29755,0.07369,0.17773,0.20048,-0.10376,-11.95906,2.29169,-0.08783,-1.31370,-1.00833,-1.31368,-1.00832,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00017,-0.00000,0.75222,1.00000,-0.00001,-0.00095,0.00002,0.03507,0.00008,0.68475,0.68450,0.00191,0.00007,2,0.03447,0.00191,0,0.08500,0.03000,0.0594,0.0595,0.010467,0.118103,-26.4160,89.9736,149.9925,5.5576,-0.1465,155.9486,30.4367,-89.9936,150.0168,5.5562,0.1222,155.7374,0.040241,-0.029770,150.0002,-0.020848,-0.000428,155.9486,-0.061029,0.030002,150.0002,-0.020866,0.000524,155.7374,-0.32366,0.00009,0.00013,0.70590,-0.38063,0.00015,-0.32357,0.00008,0.00011,0.70580,-0.38088,-0.00016,0.00092,0.00111,0.00093,0.00112,-10.36958,-44.04872,29.65209,-12.93988,9.74858,1.31631,11.39923,47.20025,-23.82807,-9.30657,-2.45379,-1.35027,-1.25649,-1.00524,-1.25648,-1.00522,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
