t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48034,1.00000,0.00000,-0.00126,0.00016,0.00608,-0.00000,0.31446,0.31446,0.00284,0.00445,2,0.03443,0.00284,0.034433,0.01269,-0.3179,0.0000,-0.1997,0.4165,-1.1877,-0.0000,-2.3360,0,0.04900,0.01900,0.1001,0.1001,0.002422,0.068717,-0.6979,1.3803,19.8691,0.0484,-1.9840,33.0639,-0.6258,1.3811,37.2970,0.0484,1.9840,33.0639,0.023640,-0.004676,19.8754,-0.001791,0.018998,33.0639,0.016290,-0.002809,37.2877,-0.001791,-0.018998,33.0639,-0.00098,-0.00035,-0.34827,0.70684,-0.35463,-0.00498,0.00031,0.00027,-0.34811,0.70682,-0.35476,0.00508,0.00035,-0.00039,0.00033,-0.00039,-0.29225,-0.32293,0.12517,-0.14292,0.40446,0.05088,-0.29346,-0.31829,0.30094,-0.59921,0.54295,0.04870,0.15066,0.01455,-0.08934,-0.00993,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006961,-0.000000,0.004200,0.004450,0.004200,0.000000,0.012483,-0.013351,0.000000,0.005237,0.000000,0.000000,0.365725,0.634275,0.000000,0.000000,0.000000,-0.005271,0.005271
0.0050,0.00024,0.00003,0.48037,1.00000,0.00000,-0.00112,0.00055,0.00610,0.00001,0.31452,0.31446,0.00251,0.00457,2,0.03449,0.00251,0.034494,0.01186,-0.3206,-0.0001,-0.1853,0.3908,-0.8194,-0.0326,-1.8716,0,0.04900,0.01900,0.0995,0.0747,0.026667,0.046670,-0.6442,1.2962,21.6318,-0.6578,1.0668,20.9923,-0.5843,1.2948,37.9762,-0.6884,1.5658,38.1547,0.017657,-0.003722,21.6374,0.022468,-0.003036,20.9923,0.013460,-0.002727,37.9678,0.016411,-0.003181,38.1547,-0.00177,-0.00049,-0.34911,0.70759,-0.35494,-0.00441,-0.00053,0.00022,-0.34853,0.70752,-0.35539,0.00475,0.00039,-0.00037,0.00031,-0.00037,-0.25208,-0.29967,0.06427,-0.26451,0.31757,0.05167,-0.25318,-0.30250,0.23972,-0.69521,0.44070,0.04524,0.11986,0.01189,-0.07413,-0.00764,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006815,0.000360,0.004200,0.004575,0.004200,0.000124,0.012044,-0.012521,0.000000,0.004960,0.000000,0.000000,0.374072,0.625928,0.000000,0.000000,0.000000,-0.004981,0.005082
0.0100,0.00027,0.00006,0.48039,1.00000,0.00001,-0.00101,0.00112,0.00612,0.00002,0.31456,0.31446,0.00225,0.00470,2,0.03454,0.00225,0.034550,0.01074,-0.3093,-0.0001,-0.1710,0.3661,-0.5536,-0.0464,-1.5168,0,0.04900,0.01900,0.0936,0.0671,0.021355,0.046953,-0.5917,1.2151,23.0388,-0.6216,1.0850,22.2778,-0.5420,1.2125,38.3313,-0.6411,1.4077,38.4435,0.013720,-0.003082,23.0437,0.017156,-0.002755,22.2778,0.011419,-0.002611,38.3240,0.013667,-0.002937,38.4435,-0.00295,-0.00070,-0.35016,0.70865,-0.35529,-0.00367,-0.00174,0.00014,-0.34900,0.70853,-0.35624,0.00437,0.00044,-0.00035,0.00028,-0.00034,-0.21788,-0.27886,0.02230,-0.36037,0.25512,0.05124,-0.21891,-0.28599,0.19513,-0.76554,0.36462,0.04235,0.09503,0.00966,-0.06056,-0.00579,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006667,0.000711,0.004200,0.004699,0.004200,0.000249,0.011603,-0.011716,0.000000,0.004690,0.000000,0.000000,0.382176,0.617824,0.000000,0.000000,0.000000,-0.004410,0.004755
0.0150,0.00028,0.00011,0.48039,1.00000,0.00001,-0.00092,0.00184,0.00613,0.00005,0.31459,0.31446,0.00202,0.00482,2,0.03458,0.00202,0.034600,0.00949,-0.2902,-0.0002,-0.1573,0.3426,-0.3641,-0.0504,-1.2428,0,0.04900,0.01900,0.0869,0.0607,0.017647,0.047182,-0.5421,1.1375,24.1747,-0.5719,1.0763,23.3670,-0.5007,1.1342,38.4518,-0.5873,1.2746,38.5348,0.011026,-0.002633,24.1787,0.013447,-0.002525,23.3670,0.009920,-0.002475,38.4456,0.011620,-0.002702,38.5348,-0.00444,-0.00095,-0.35133,0.70985,-0.35562,-0.00284,-0.00324,0.00002,-0.34943,0.70968,-0.35722,0.00399,0.00050,-0.00031,0.00024,-0.00030,-0.18898,-0.25978,-0.00590,-0.43648,0.21066,0.05003,-0.18988,-0.26923,0.16238,-0.81647,0.30817,0.04011,0.07501,0.00781,-0.04861,-0.00429,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006525,0.001053,0.004200,0.004823,0.004200,0.000373,0.011176,-0.010938,0.000000,0.004430,0.000000,0.000000,0.389998,0.610002,0.000000,0.000000,0.000000,-0.003670,0.004370
0.0200,0.00029,0.00017,0.48039,1.00000,0.00002,-0.00084,0.00268,0.00614,0.00008,0.31460,0.31446,0.00184,0.00495,2,0.03462,0.00184,0.034643,0.00822,-0.2671,-0.0002,-0.1444,0.3204,-0.2306,-0.0484,-1.0287,0,0.04900,0.01900,0.0804,0.0553,0.015027,0.047368,-0.4959,1.0638,25.1051,-0.5219,1.0491,24.2935,-0.4612,1.0602,38.4061,-0.5312,1.1620,38.4877,0.009120,-0.002304,25.1083,0.010827,-0.002338,24.2935,0.008799,-0.002329,38.4010,0.010075,-0.002481,38.4877,-0.00616,-0.00123,-0.35255,0.71106,-0.35589,-0.00197,-0.00497,-0.00014,-0.34980,0.71086,-0.35827,0.00366,0.00056,-0.00028,0.00020,-0.00026,-0.16454,-0.24203,-0.02421,-0.49755,0.17916,0.04822,-0.16527,-0.25260,0.13799,-0.85290,0.26620,0.03837,0.05883,0.00626,-0.03820,-0.00307,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006390,0.001385,0.004200,0.004948,0.004200,0.000497,0.010770,-0.010190,0.000000,0.004182,0.000000,0.000000,0.397518,0.602482,0.000000,0.000000,0.000000,-0.002837,0.003990
0.0250,0.00030,0.00024,0.48038,0.99999,0.00002,-0.00077,0.00361,0.00615,0.00012,0.31461,0.31446,0.00168,0.00507,2,0.03466,0.00168,0.034681,0.00701,-0.2425,-0.0003,-0.1323,0.2993,-0.1384,-0.0430,-0.8593,0,0.04900,0.01900,0.0741,0.0508,0.013141,0.047530,-0.4533,0.9940,25.8791,-0.4745,1.0097,25.0930,-0.4241,0.9901,38.2437,-0.4764,1.0661,38.3427,0.007735,-0.002053,25.8816,0.008939,-0.002174,25.0930,0.007944,-0.002178,38.2395,0.008894,-0.002279,38.3427,-0.00806,-0.00155,-0.35377,0.71221,-0.35606,-0.00110,-0.00688,-0.00034,-0.35009,0.71200,-0.35934,0.00339,0.00063,-0.00025,0.00016,-0.00023,-0.14387,-0.22534,-0.03548,-0.54714,0.15691,0.04600,-0.14439,-0.23631,0.11943,-0.87846,0.23482,0.03701,0.04573,0.00497,-0.02922,-0.00207,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006263,0.001707,0.004200,0.005072,0.004200,0.000621,0.010389,-0.009473,0.000000,0.003947,0.000000,0.000000,0.404732,0.595268,0.000000,0.000000,0.000000,-0.001970,0.003656
0.0300,0.00030,0.00031,0.48037,0.99999,0.00002,-0.00071,0.00460,0.00615,0.00017,0.31462,0.31446,0.00154,0.00520,2,0.03468,0.00154,0.034712,0.00589,-0.2183,-0.0003,-0.1212,0.2793,-0.0762,-0.0358,-0.7238,0,0.04900,0.01900,0.0681,0.0469,0.011762,0.047681,-0.4141,0.9280,26.5337,-0.4317,0.9619,25.7931,-0.3893,0.9241,38.0011,-0.4260,0.9845,38.1294,0.006700,-0.001854,26.5357,0.007559,-0.002020,25.7931,0.007277,-0.002027,37.9976,0.007982,-0.002096,38.1294,-0.01010,-0.00189,-0.35498,0.71326,-0.35612,-0.00026,-0.00892,-0.00058,-0.35030,0.71305,-0.36039,0.00321,0.00070,-0.00022,0.00011,-0.00019,-0.12635,-0.20949,-0.04180,-0.58791,0.14112,0.04356,-0.12666,-0.22046,0.10490,-0.89591,0.21113,0.03592,0.03509,0.00389,-0.02154,-0.00125,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006144,0.002019,0.004200,0.005196,0.004200,0.000746,0.010033,-0.008785,0.000000,0.003725,0.000000,0.000000,0.411645,0.588355,0.000000,0.000000,0.000000,-0.001105,0.003391
0.0350,0.00029,0.00040,0.48036,0.99998,0.00002,-0.00066,0.00565,0.00615,0.00022,0.31462,0.31446,0.00142,0.00532,2,0.03471,0.00142,0.034739,0.00489,-0.1957,-0.0003,-0.1109,0.2605,-0.0360,-0.0281,-0.6144,0,0.04900,0.01900,0.0625,0.0436,0.010735,0.047825,-0.3782,0.8656,27.0970,-0.3935,0.9095,26.4126,-0.3570,0.8618,37.7048,-0.3809,0.9141,37.8691,0.005906,-0.001690,27.0984,0.006530,-0.001874,26.4126,0.006746,-0.001882,37.7020,0.007270,-0.001932,37.8691,-0.01223,-0.00225,-0.35615,0.71419,-0.35607,0.00054,-0.01105,-0.00085,-0.35042,0.71401,-0.36140,0.00312,0.00076,-0.00019,0.00007,-0.00016,-0.11148,-0.19435,-0.04467,-0.62188,0.12978,0.04107,-0.11159,-0.20511,0.09314,-0.90728,0.19295,0.03501,0.02645,0.00300,-0.01503,-0.00057,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006033,0.002321,0.004200,0.005320,0.004200,0.000870,0.009701,-0.008127,0.000000,0.003515,0.000000,0.000000,0.418267,0.581733,0.000000,0.000000,0.000000,-0.000264,0.003210
0.0400,0.00029,0.00049,0.48035,0.99998,0.00002,-0.00061,0.00674,0.00614,0.00029,0.31461,0.31446,0.00132,0.00544,2,0.03473,0.00132,0.034761,0.00402,-0.1751,-0.0004,-0.1014,0.2428,-0.0113,-0.0204,-0.5253,0,0.04900,0.01900,0.0573,0.0407,0.009954,0.047962,-0.3452,0.8068,27.5905,-0.3593,0.8552,26.9661,-0.3268,0.8030,37.3751,-0.3407,0.8516,37.5758,0.005280,-0.001549,27.5916,0.005747,-0.001735,26.9661,0.006312,-0.001745,37.3729,0.006704,-0.001786,37.5758,-0.01443,-0.00263,-0.35727,0.71499,-0.35592,0.00130,-0.01326,-0.00116,-0.35048,0.71486,-0.36236,0.00310,0.00082,-0.00016,0.00003,-0.00012,-0.09885,-0.17981,-0.04518,-0.65061,0.12144,0.03863,-0.09878,-0.19027,0.08326,-0.91417,0.17869,0.03422,0.01941,0.00226,-0.00954,-0.00002,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005930,0.002615,0.004200,0.005445,0.004200,0.000994,0.009391,-0.007496,0.000000,0.003317,0.000000,0.000000,0.424610,0.575390,0.000000,0.000000,0.000000,0.000541,0.003115
0.0450,0.00027,0.00059,0.48034,0.99997,0.00003,-0.00057,0.00785,0.00613,0.00036,0.31461,0.31446,0.00123,0.00557,2,0.03474,0.00123,0.034778,0.00327,-0.1570,-0.0004,-0.0925,0.2261,0.0026,-0.0132,-0.4521,0,0.04900,0.01900,0.0525,0.0381,0.009343,0.048092,-0.3149,0.7514,28.0307,-0.3286,0.8008,27.4658,-0.2986,0.7477,37.0270,-0.3048,0.7950,37.2609,0.004771,-0.001426,28.0315,0.005135,-0.001603,27.4658,0.005948,-0.001616,37.0252,0.006244,-0.001654,37.2609,-0.01668,-0.00302,-0.35835,0.71566,-0.35567,0.00203,-0.01550,-0.00150,-0.35047,0.71560,-0.36327,0.00317,0.00088,-0.00014,-0.00000,-0.00009,-0.08810,-0.16580,-0.04410,-0.67529,0.11504,0.03632,-0.08787,-0.17595,0.07464,-0.91780,0.16718,0.03351,0.01367,0.00166,-0.00496,0.00042,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005833,0.002899,0.004200,0.005569,0.004200,0.001119,0.009100,-0.006892,0.000000,0.003130,0.000000,0.000000,0.430684,0.569316,0.000000,0.000000,0.000000,0.001304,0.003104
