t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r
0.0000,0.00020,0.00001,0.48035,1.00000,0.00002,-0.00125,0.00059,0.00608,-0.00000,0.31446,0.31446,0.00284,0.00445,2,0.03444,0.00284,0.034473,0.02510,-0.3179,0.0000,-0.1997,0.4165,-1.1877,-0.0000,-2.3360,0,0.04900,0.01900,0.1001,0.1001,0.002422,0.068717,-0.7964,1.3807,19.8810,0.0484,-1.9840,33.0639,-0.5273,1.3806,37.2851,0.0484,1.9840,33.0639,0.023598,-0.003912,19.8871,-0.001791,0.018998,33.0639,0.016279,-0.002400,37.2760,-0.001791,-0.018998,33.0639,-0.00308,-0.00031,-0.34904,0.70758,-0.35421,-0.00500,-0.00095,0.00024,-0.34801,0.70690,-0.35484,0.00511,0.00041,-0.00040,0.00025,-0.00038,-1.03735,-0.34056,0.15987,-0.16471,0.40054,0.03575,-1.24218,-0.33664,0.26618,-0.57748,0.54681,0.03348,0.49612,0.04980,-0.43480,-0.04518,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006961,-0.000000,0.004200,0.004450,0.004200,0.000000,0.012483,-0.013351,0.000000,0.005237,0.000000,0.000000,0.365728,0.634272,0.000000,0.000000,0.000000,-0.005271,0.005271
0.0050,0.00023,0.00003,0.48040,1.00000,0.00008,-0.00111,0.00204,0.00611,0.00001,0.31454,0.31446,0.00250,0.00457,2,0.03451,0.00250,0.034617,0.03068,-0.6305,-0.0001,-0.2161,0.3800,-1.1732,-0.6299,-1.9454,0,0.04900,0.01900,0.1198,0.0757,0.016600,0.047234,-0.8224,1.2587,20.6825,0.8864,1.5879,25.3074,-0.6101,1.2606,36.5797,-0.3660,1.6995,38.2815,0.019744,-0.005407,20.6873,0.012402,-0.002494,25.3074,0.015000,-0.003505,36.5714,0.016079,-0.002772,38.2815,-0.00870,-0.00036,-0.35161,0.70996,-0.35357,-0.00441,-0.00451,0.00008,-0.34809,0.70774,-0.35578,0.00485,0.00058,-0.00038,0.00005,-0.00033,-1.03457,-0.28467,0.08482,-0.20008,0.35123,0.08267,-1.02013,-0.27714,0.21586,-0.60125,0.46639,0.07252,0.40551,0.04039,-0.35537,-0.03518,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007145,0.000476,0.004200,0.004575,0.004200,0.000124,0.013036,-0.012173,0.000000,0.005048,0.000000,0.000000,0.377580,0.622420,0.000000,0.000000,0.000000,-0.005000,0.005111
0.0100,0.00026,0.00006,0.48042,0.99999,0.00014,-0.00100,0.00421,0.00614,0.00003,0.31460,0.31446,0.00223,0.00470,2,0.03457,0.00223,0.034762,0.02765,-0.7887,-0.0002,-0.2165,0.3506,-0.9565,-1.0033,-1.6009,0,0.04900,0.01900,0.0927,0.0756,0.016776,0.045856,-0.8079,1.1608,22.0244,0.3320,1.3018,24.1614,-0.6274,1.1639,36.6745,-0.8265,1.4441,36.6813,0.015155,-0.005939,22.0273,0.012583,-0.003903,24.1614,0.012988,-0.004080,36.6670,0.016005,-0.003750,36.6813,-0.01623,-0.00047,-0.35488,0.71295,-0.35271,-0.00353,-0.00945,-0.00014,-0.34798,0.70898,-0.35729,0.00456,0.00082,-0.00036,-0.00021,-0.00027,-0.92952,-0.24451,0.01821,-0.28337,0.28772,0.11266,-0.90104,-0.23398,0.16706,-0.67271,0.37721,0.09586,0.32530,0.03220,-0.28856,-0.02726,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007159,0.000879,0.004200,0.004699,0.004200,0.000249,0.013079,-0.011212,0.000000,0.004833,0.000000,0.000000,0.387241,0.612759,0.000000,0.000000,0.000000,-0.004411,0.004852
0.0150,0.00027,0.00010,0.48042,0.99998,0.00018,-0.00090,0.00697,0.00616,0.00006,0.31464,0.31446,0.00200,0.00482,2,0.03462,0.00200,0.034875,0.01976,-0.7363,-0.0004,-0.2022,0.3299,-0.6156,-0.9209,-1.3044,0,0.04900,0.01900,0.0787,0.0677,0.018161,0.045069,-0.7455,1.0921,23.6073,-0.5630,0.8869,22.2604,-0.5950,1.0951,37.3513,-0.8640,1.2210,36.8323,0.011033,-0.005001,23.6085,0.013973,-0.004711,22.2604,0.010734,-0.003755,37.3446,0.014042,-0.004131,36.8323,-0.02467,-0.00065,-0.35819,0.71569,-0.35183,-0.00222,-0.01543,-0.00038,-0.34765,0.71052,-0.35932,0.00428,0.00108,-0.00034,-0.00049,-0.00019,-0.81513,-0.22940,-0.03263,-0.39787,0.22510,0.10965,-0.78521,-0.22122,0.12892,-0.76579,0.29021,0.08914,0.25614,0.02521,-0.23220,-0.02098,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007015,0.001193,0.004200,0.004823,0.004200,0.000373,0.012646,-0.010519,0.000000,0.004594,0.000000,0.000000,0.394211,0.605789,0.000000,0.000000,0.000000,-0.003528,0.004559
0.0200,0.00028,0.00016,0.48039,0.99995,0.00018,-0.00082,0.01011,0.00618,0.00009,0.31467,0.31446,0.00181,0.00495,2,0.03466,0.00181,0.034889,-0.00798,-0.5598,-0.0005,-0.1781,0.3162,-0.2720,-0.6189,-1.0684,0,0.04900,0.01900,0.6753,0.0564,0.053192,0.044536,-0.6524,1.0473,25.0594,-4.8817,3.4285,14.7260,-0.5284,1.0491,38.1778,-0.6986,1.0773,37.9656,0.007988,-0.003363,25.0591,0.048999,-0.004888,14.7260,0.008782,-0.002999,38.1719,0.011360,-0.003665,37.9656,-0.03584,-0.00052,-0.36014,0.71656,-0.35258,0.00045,-0.02211,-0.00055,-0.34719,0.71236,-0.36178,0.00401,0.00147,-0.00031,-0.00086,-0.00009,-0.70756,-0.23005,-0.06463,-0.51050,0.17238,0.09228,-0.68050,-0.22828,0.10571,-0.85423,0.21901,0.06625,0.19893,0.01944,-0.18470,-0.01586,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006764,0.001434,0.004200,0.004947,0.004200,0.000497,0.011893,-0.010044,0.000000,0.004350,0.000000,0.000000,0.398984,0.601016,0.000000,0.000000,0.000000,-0.002217,0.004275
0.0250,0.00028,0.00024,0.48036,0.99991,0.00016,-0.00075,0.01361,0.00619,0.00014,0.31465,0.31446,0.00165,0.00507,2,0.03469,0.00165,0.034858,-0.00477,0.1177,-0.0005,-0.0997,0.2744,0.4158,0.3660,-0.8613,0,0.04900,0.01900,0.0237,0.0545,0.011281,0.047462,-0.3828,0.9011,28.2458,-0.0174,0.3624,25.5295,-0.2784,0.9178,39.5510,-0.6863,1.0480,38.3438,0.004945,-0.002345,28.2445,0.007001,-0.002548,25.5295,0.005572,-0.002258,39.5466,0.009472,-0.002969,38.3438,-0.04740,-0.00032,-0.36153,0.71639,-0.35341,0.00292,-0.02943,-0.00072,-0.34643,0.71404,-0.36442,0.00379,0.00189,-0.00028,-0.00125,0.00001,-0.68155,-0.24838,-0.05795,-0.72463,0.07320,0.12007,-0.61719,-0.20037,0.09300,-0.98022,0.11681,0.04664,0.16187,0.01482,-0.15677,-0.01142,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005927,0.001979,0.004200,0.005072,0.004200,0.000621,0.009383,-0.008657,0.000000,0.003543,0.000000,0.000000,0.412935,0.587065,0.000000,0.000000,0.000000,0.000449,0.004011
0.0300,0.00029,0.00032,0.48035,0.99985,0.00015,-0.00069,0.01744,0.00618,0.00019,0.31463,0.31446,0.00151,0.00520,2,0.03471,0.00151,0.034841,-0.00251,0.0438,-0.0005,-0.0999,0.2611,0.2313,0.2609,-0.7207,0,0.04900,0.01900,0.0492,0.0432,0.004222,0.046264,-0.3725,0.8596,27.9489,0.5284,0.6627,28.7197,-0.2895,0.8713,38.6248,-0.3400,0.9497,38.9284,0.004961,-0.002363,27.9462,-0.000095,-0.004028,28.7197,0.006178,-0.002028,38.6210,0.005893,-0.002253,38.9284,-0.05790,-0.00030,-0.36329,0.71623,-0.35301,0.00451,-0.03734,-0.00095,-0.34528,0.71530,-0.36706,0.00364,0.00223,-0.00025,-0.00156,0.00010,-0.56313,-0.22424,-0.05929,-0.70227,0.11450,0.08834,-0.52374,-0.19568,0.10333,-0.95121,0.13286,0.03985,0.12092,0.01122,-0.11311,-0.00758,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005926,0.002222,0.004200,0.005196,0.004200,0.000746,0.009380,-0.008177,0.000000,0.003439,0.000000,0.000000,0.417763,0.582237,0.000000,0.000000,0.000000,0.002921,0.003789
0.0350,0.00029,0.00041,0.48033,0.99977,0.00014,-0.00064,0.02150,0.00617,0.00025,0.31462,0.31446,0.00140,0.00532,2,0.03473,0.00140,0.034831,-0.00203,-0.0091,-0.0005,-0.0995,0.2453,0.1190,0.1722,-0.5970,0,0.04900,0.01900,0.0523,0.0416,0.005507,0.046651,-0.3637,0.8088,27.9462,0.3428,0.8199,28.3326,-0.2960,0.8176,37.8830,-0.3050,0.9029,38.1782,0.004660,-0.002447,27.9428,0.001145,-0.003710,28.3326,0.006465,-0.001899,37.8798,0.006332,-0.001997,38.1782,-0.06782,-0.00036,-0.36529,0.71601,-0.35165,0.00532,-0.04566,-0.00124,-0.34386,0.71629,-0.36970,0.00357,0.00252,-0.00022,-0.00182,0.00019,-0.47513,-0.20120,-0.06120,-0.69838,0.13711,0.07016,-0.45110,-0.18423,0.10263,-0.93544,0.13857,0.03817,0.08781,0.00820,-0.07931,-0.00456,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005920,0.002493,0.004200,0.005320,0.004200,0.000870,0.009362,-0.007611,0.000000,0.003310,0.000000,0.000000,0.423451,0.576549,0.000000,0.000000,0.000000,0.004505,0.003638
0.0400,0.00028,0.00051,0.48032,0.99967,0.00013,-0.00060,0.02572,0.00616,0.00032,0.31461,0.31446,0.00129,0.00544,2,0.03475,0.00129,0.034821,-0.00191,-0.0191,-0.0005,-0.1000,0.2264,0.0740,0.1456,-0.4807,0,0.04900,0.01900,0.0642,0.0394,0.005494,0.046184,-0.3599,0.7467,28.2369,0.3575,1.0111,27.8435,-0.3027,0.7542,37.2940,-0.2727,0.8460,37.6232,0.004073,-0.002632,28.2333,0.001117,-0.004230,27.8435,0.006492,-0.001790,37.2914,0.006485,-0.001849,37.6232,-0.07742,-0.00044,-0.36746,0.71567,-0.34948,0.00544,-0.05426,-0.00158,-0.34225,0.71708,-0.37232,0.00358,0.00277,-0.00019,-0.00205,0.00027,-0.40969,-0.17867,-0.06203,-0.71463,0.14866,0.05609,-0.39442,-0.16782,0.09297,-0.93104,0.13596,0.03811,0.06089,0.00564,-0.05348,-0.00220,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005923,0.002801,0.004200,0.005445,0.004200,0.000994,0.009369,-0.006938,0.000000,0.003156,0.000000,0.000000,0.430227,0.569773,0.000000,0.000000,0.000000,0.005320,0.003567
0.0450,0.00028,0.00061,0.48031,0.99955,0.00013,-0.00056,0.03004,0.00616,0.00039,0.31460,0.31446,0.00121,0.00557,2,0.03477,0.00121,0.034812,-0.00179,-0.0207,-0.0004,-0.0987,0.2076,0.0492,0.1310,-0.3893,0,0.04900,0.01900,0.0565,0.0370,0.005991,0.046484,-0.3522,0.6848,28.5944,0.1608,0.9410,28.1752,-0.3024,0.6918,36.7720,-0.2579,0.7831,37.1079,0.003508,-0.002788,28.5912,0.001589,-0.003944,28.1752,0.006441,-0.001714,36.7699,0.006422,-0.001734,37.1079,-0.08683,-0.00054,-0.36974,0.71523,-0.34678,0.00510,-0.06303,-0.00196,-0.34051,0.71771,-0.37489,0.00368,0.00299,-0.00016,-0.00225,0.00035,-0.35837,-0.15802,-0.06048,-0.73352,0.15316,0.04776,-0.34843,-0.15020,0.08169,-0.92859,0.13210,0.03948,0.03912,0.00355,-0.03297,-0.00033,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005907,0.003108,0.004200,0.005569,0.004200,0.001119,0.009323,-0.006264,0.000000,0.002995,0.000000,0.000000,0.437006,0.562994,0.000000,0.000000,0.000000,0.005438,0.003582
