t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00006,0.00000,0.75205,1.00000,-0.00000,-0.00093,-0.00000,0.03516,0.00007,0.68452,0.68452,0.00183,0.00007,2,0.03423,0.00183,0.034232,0.01478,-1.1824,0.0000,0.9512,-0.0021,-1.9537,-0.0004,0.7969,0,0.08500,0.03000,0.0862,0.0863,0.056853,0.118397,16.2346,-0.1245,134.1932,-8.9380,-0.6137,173.2324,16.2324,0.0530,133.9716,-8.9347,0.6301,173.0819,-0.084094,-0.000341,134.1860,0.025531,-0.000134,173.2324,-0.084219,0.000711,133.9644,0.025547,0.000147,173.0819,-0.32322,0.00004,-0.00002,0.70525,-0.38059,-0.00002,-0.32322,-0.00003,0.00001,0.70524,-0.38059,0.00002,0.00137,0.00120,0.00137,0.00120,-1.73367,-0.18116,0.11877,-15.10276,-5.84847,0.05000,-1.73991,0.17531,-0.11385,-15.08452,-5.85449,-0.09694,-1.24913,-0.82360,-1.24891,-0.82361,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0020,-0.00008,0.00000,0.75209,1.00000,-0.00000,-0.00093,-0.00000,0.03514,0.00007,0.68457,0.68452,0.00185,0.00007,2,0.03426,0.00185,0.034261,0.01454,-1.2294,-0.0000,0.7936,-0.0018,-1.7206,-0.0004,0.7004,0,0.08500,0.03000,0.2062,0.2065,-0.049750,0.118238,13.5458,-0.1209,138.1709,17.4781,-0.1955,141.2899,13.5440,0.0589,137.9509,17.4738,0.1405,141.0716,-0.069310,-0.000368,138.1652,-0.081073,-0.000293,141.2899,-0.069407,0.000669,137.9453,-0.081184,0.000617,141.0716,-0.32320,0.00004,-0.00002,0.70516,-0.38050,-0.00002,-0.32320,-0.00003,0.00001,0.70515,-0.38050,0.00002,0.00132,0.00117,0.00132,0.00117,-1.35750,-0.18502,0.11495,-14.56970,-4.14673,0.05497,-1.36379,0.17995,-0.11135,-14.55159,-4.15266,-0.09433,-1.28376,-0.87275,-1.28385,-0.87277,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0040,-0.00009,0.00000,0.75212,1.00000,-0.00000,-0.00094,-0.00000,0.03512,0.00007,0.68461,0.68452,0.00186,0.00008,2,0.03429,0.00186,0.034290,0.01420,-1.2574,-0.0001,0.6569,-0.0015,-1.5219,-0.0003,0.6090,0,0.08500,0.03000,0.1734,0.1736,-0.036132,0.118200,11.2125,-0.1172,141.5620,15.0917,-0.1586,145.0917,11.2107,0.0667,141.3433,15.0896,0.1082,144.8729,-0.057327,-0.000404,141.5574,-0.067455,-0.000331,145.0917,-0.057403,0.000632,141.3388,-0.067544,0.000603,144.8729,-0.32319,0.00004,-0.00002,0.70511,-0.38045,-0.00002,-0.32319,-0.00003,0.00001,0.70511,-0.38045,0.00002,0.00126,0.00115,0.00126,0.00115,-1.03484,-0.18963,0.11243,-14.11448,-2.69160,0.06132,-1.04104,0.18609,-0.10974,-14.09650,-2.69752,-0.09175,-1.31220,-0.91409,-1.31232,-0.91410,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0060,-0.00011,0.00000,0.75215,1.00000,-0.00000,-0.00094,-0.00000,0.03511,0.00007,0.68464,0.68452,0.00187,0.00008,2,0.03432,0.00187,0.034317,0.01377,-1.2754,-0.0001,0.5400,-0.0011,-1.3527,-0.0002,0.5234,0,0.08500,0.03000,0.1446,0.1448,-0.024907,0.118163,9.2167,-0.1125,144.4495,12.8679,-0.1545,148.3623,9.2148,0.0750,144.2316,12.8666,0.1119,148.1449,-0.047540,-0.000442,144.4458,-0.056229,-0.000368,148.3623,-0.047600,0.000595,144.2279,-0.056300,0.000576,148.1449,-0.32320,0.00004,-0.00002,0.70510,-0.38042,-0.00002,-0.32320,-0.00003,0.00001,0.70509,-0.38042,0.00001,0.00121,0.00113,0.00121,0.00113,-0.75685,-0.19331,0.11031,-13.72365,-1.44823,0.06781,-0.76294,0.19164,-0.10846,-13.70576,-1.45416,-0.08852,-1.33563,-0.94906,-1.33572,-0.94907,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0080,-0.00012,0.00000,0.75217,1.00000,-0.00000,-0.00094,-0.00000,0.03510,0.00008,0.68467,0.68452,0.00188,0.00008,2,0.03434,0.00188,0.034344,0.01328,-1.2857,-0.0001,0.4405,-0.0007,-1.2082,-0.0001,0.4437,0,0.08500,0.03000,0.1205,0.1206,-0.015685,0.118128,7.5183,-0.1070,146.9152,10.9217,-0.1504,151.1153,7.5165,0.0836,146.6975,10.9204,0.1181,150.8987,-0.039484,-0.000481,146.9122,-0.047006,-0.000403,151.1153,-0.039530,0.000558,146.6945,-0.047062,0.000544,150.8987,-0.32323,0.00004,-0.00002,0.70511,-0.38042,-0.00002,-0.32322,-0.00003,0.00001,0.70511,-0.38042,0.00001,0.00116,0.00112,0.00116,0.00112,-0.51649,-0.19622,0.10843,-13.38691,-0.38488,0.07435,-0.52249,0.19659,-0.10751,-13.36905,-0.39083,-0.08476,-1.35471,-0.97865,-1.35478,-0.97865,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0100,-0.00013,0.00000,0.75220,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68470,0.68452,0.00188,0.00008,2,0.03437,0.00188,0.034370,0.01273,-1.2891,-0.0001,0.3559,-0.0002,-1.0846,-0.0001,0.3697,0,0.08500,0.03000,0.1006,0.1007,-0.008067,0.118092,6.0746,-0.1008,149.0245,9.2590,-0.1458,153.4471,6.0728,0.0925,148.8064,9.2576,0.1246,153.2308,-0.032805,-0.000519,149.0220,-0.039387,-0.000439,153.4471,-0.032841,0.000520,148.8039,-0.039431,0.000511,153.2308,-0.32326,0.00004,-0.00002,0.70515,-0.38043,-0.00001,-0.32326,-0.00003,0.00001,0.70514,-0.38043,0.00001,0.00111,0.00111,0.00111,0.00111,-0.30810,-0.19846,0.10677,-13.09589,0.52556,0.08093,-0.31406,0.20105,-0.10685,-13.07802,0.51957,-0.08056,-1.37002,-1.00364,-1.37008,-1.00363,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00014,0.00000,0.75222,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68472,0.68452,0.00187,0.00008,2,0.03439,0.00187,0.034394,0.01215,-1.2867,-0.0002,0.2840,0.0002,-0.9787,-0.0000,0.3011,0,0.08500,0.03000,0.0841,0.0842,-0.001731,0.118056,4.8487,-0.0940,150.8325,7.8396,-0.1406,155.4246,4.8469,0.1016,150.6134,7.8382,0.1313,155.2080,-0.027235,-0.000559,150.8305,-0.033050,-0.000475,155.4246,-0.027263,0.000482,150.6114,-0.033085,0.000478,155.2080,-0.32330,0.00004,-0.00002,0.70520,-0.38045,-0.00001,-0.32330,-0.00003,0.00001,0.70519,-0.38045,0.00000,0.00105,0.00110,0.00105,0.00110,-0.12692,-0.20013,0.10528,-12.84358,1.30605,0.08753,-0.13285,0.20507,-0.10644,-12.82563,1.30002,-0.07598,-1.38209,-1.02471,-1.38213,-1.02470,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00015,0.00000,0.75223,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68474,0.68452,0.00187,0.00008,2,0.03442,0.00187,0.034418,0.01154,-1.2793,-0.0002,0.2231,0.0007,-0.8878,0.0000,0.2377,0,0.08500,0.03000,0.0704,0.0704,0.003568,0.118020,3.8089,-0.0867,152.3855,6.6290,-0.1350,157.1039,3.8071,0.1109,152.1647,6.6276,0.1381,156.8864,-0.022567,-0.000598,152.3838,-0.027749,-0.000511,157.1039,-0.022588,0.000443,152.1630,-0.027777,0.000444,156.8864,-0.32335,0.00004,-0.00002,0.70526,-0.38048,-0.00001,-0.32335,-0.00003,0.00001,0.70525,-0.38047,-0.00000,0.00100,0.00108,0.00100,0.00108,0.03107,-0.20131,0.10396,-12.62405,1.97605,0.09415,0.02513,0.20874,-0.10623,-12.60597,1.96996,-0.07109,-1.39137,-1.04244,-1.39138,-1.04242,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00016,0.00000,0.75225,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68476,0.68452,0.00186,0.00008,2,0.03444,0.00186,0.034440,0.01091,-1.2676,-0.0002,0.1715,0.0012,-0.8095,0.0000,0.1791,0,0.08500,0.03000,0.0589,0.0589,0.008023,0.117983,2.9279,-0.0789,153.7222,5.5972,-0.1291,158.5322,2.9261,0.1204,153.4990,5.5959,0.1451,158.3132,-0.018635,-0.000638,153.7209,-0.023292,-0.000548,158.5322,-0.018651,0.000404,153.4978,-0.023314,0.000409,158.3132,-0.32341,0.00004,-0.00002,0.70532,-0.38051,-0.00000,-0.32341,-0.00003,0.00002,0.70532,-0.38050,-0.00001,0.00094,0.00107,0.00094,0.00107,0.16925,-0.20207,0.10276,-12.43234,2.55207,0.10078,0.16329,0.21209,-0.10620,-12.41406,2.54590,-0.06594,-1.39826,-1.05731,-1.39826,-1.05729,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00016,0.00000,0.75226,1.00000,-0.00000,-0.00092,-0.00000,0.03507,0.00008,0.68478,0.68452,0.00185,0.00009,2,0.03446,0.00185,0.034461,0.01027,-1.2525,-0.0002,0.1278,0.0017,-0.7420,0.0001,0.1250,0,0.08500,0.03000,0.0493,0.0493,0.011785,0.117947,2.1823,-0.0707,154.8754,4.7186,-0.1228,159.7492,2.1805,0.1300,154.6492,4.7174,0.1522,159.5280,-0.015311,-0.000678,154.8744,-0.019529,-0.000585,159.7492,-0.015322,0.000365,154.6482,-0.019545,0.000374,159.5280,-0.32347,0.00004,-0.00002,0.70539,-0.38054,0.00000,-0.32346,-0.00003,0.00002,0.70539,-0.38053,-0.00001,0.00088,0.00107,0.00088,0.00107,0.29050,-0.20247,0.10167,-12.26426,3.04807,0.10741,0.28448,0.21519,-0.10634,-12.24574,3.04181,-0.06058,-1.40312,-1.06976,-1.40309,-1.06974,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
